Chrom	position
chr2	39444185
chr2	38323547
chr15	40391168
chr2	11638868
chr14	95731963
chr8	37002481
chr11	68148069
chr12	31902344
chr12	76371880
chr11	9587694
chr9	93686316
chr6	45678394
chr6	49858908
chr6	74290242
chr20	18883185
chr3	42538660
chr5	118873692
chr11	84698935
chr1	46598611
chr2	178128269
chr8	102449477
chr15	75018880
chr19	47288079
chr20	48782748
chr18	11005712
chr3	107646624
chr15	74934803
chr6	151979480
chr12	113683821
chr18	43382790
chr2	99099839
chr13	22010189
chr2	149877191
chr10	29414093
chr11	76483752
chr9	110517740
chr14	74223384
chr18	33679467
chr12	93957789
chr1	145382782
chr1	20940356
chr3	11817099
chr1	183811838
chr12	12736043
chr3	27575552
chr21	36107173
chr1	40840278
chr3	156530473
chr17	74248358
chr10	95195038
chr12	97962571
chr10	127755210
chr1	44856154
chr10	29311661
chr14	40690789
chr5	172899834
chr2	65615453
chr2	64248915
chr14	49274766
chr9	102196058
chr2	38304173
chr14	69043447
chr17	78830472
chr2	128458292
chr5	142625669
chr20	50351754
chr8	37032162
chr9	97755590
chr8	131009047
chr11	111307644
chr18	71510214
chr12	106695685
chr19	7717321
chr3	133171981
chr3	156534906
chr3	161138687
chr5	430054
chr21	37560505
chr2	197466342
chr13	20368874
chr2	232087123
chr13	28531151
chr3	124556740
chr7	157916641
chr6	33524803
chr13	34253692
chr10	50747287
chr3	42531976
chr15	75018399
chr15	81042108
chr19	15183934
chr17	37926344
chr2	179269310
chr6	14744380
chr1	53573415
chr3	133167629
chr16	29794963
chr12	56511922
chr3	174988493
chr7	6035310
chr8	40300759
chr6	45413752
chr1	184132957
chr17	38738689
chr8	94172602
chr10	95242400
chr15	101253665
chr6	21884437
chr12	102002344
chr17	25897408
chr15	90461048
chr9	33443194
chr18	3409249
chr1	235111025
chr17	78796965
chr15	75056033
chr5	173249646
chr17	72738465
chr17	72426921
chr17	70657823
chr1	204534899
chr5	159936022
chr15	63789363
chr7	135338282
chr11	120151666
chr10	127313583
chr2	43014715
chr12	116310054
chr5	66502925
chr2	153020464
chr2	150990272
chr13	113377493
chr20	46618819
chr7	42909179
chr11	67349172
chr2	222659136
chr11	78771249
chr12	117581050
chr5	374016
chr12	123095675
chr4	183672972
chr4	187684269
chr7	73996497
chr8	80844997
chr5	67730095
chr7	101045590
chr12	123579443
chr5	105577430
chr1	17886486
chr14	76032904
chr5	93013246
chr3	53190037
chr22	24199033
chr3	72031950
chr1	17738837
chr2	171673434
chr10	18899637
chr13	50819419
chr5	79477672
chr2	8680173
chr2	160142621
chr1	64167032
chr15	81097514
chr7	82329357
chr13	39260447
chr16	12118516
chr1	235109660
chr8	143471262
chr6	129018018
chr6	106583217
chr15	96103198
chr15	96614001
chr16	3045789
chr7	101132313
chr21	36238433
chr13	26596865
chr16	11453401
chr21	36250952
chr6	135994806
chr8	122788700
chr22	21241982
chr1	7019768
chr14	99240783
chr7	2394389
chr1	7508058
chr14	75756717
chr14	100525958
chr14	102948440
chr7	22713128
chr1	23912237
chr1	20559258
chr14	64180627
chr21	38282455
chr6	143164080
chr14	51370824
chr10	27926668
chr7	46926375
chr1	246339958
chr10	29948066
chr14	91742909
chr15	74838716
chr21	40159633
chr13	110651332
chr2	235372806
chr9	130784609
chr16	20311810
chr2	110316252
chr1	44793739
chr2	85934592
chr2	73978019
chr5	30100057
chr5	32887689
chr20	44519858
chr1	117811743
chr20	47321881
chr5	66530760
chr5	66531743
chr1	119022152
chr3	195266486
chr3	10018866
chr19	51574505
chr20	48021960
chr5	91977204
chr5	100596753
chr2	106778496
chr4	2331993
chr3	193590278
chr2	121156937
chr2	233250651
chr22	39320614
chr1	17736371
chr2	228333087
chr2	227024710
chr1	17603231
chr4	84469815
chr4	86370163
chr2	220433954
chr9	118706826
chr2	218112392
chr9	117670639
chr2	203453606
chr4	108980017
chr2	164205726
chr2	157038834
chr20	23900888
chr3	193853900
chr9	93641020
chr9	2235832
chr6	12336583
chr6	21104066
chr6	24879756
chr3	25594012
chr9	20391455
chr3	180577015
chr1	207490133
chr16	85554679
chr16	85182698
chr1	10010685
chr16	84628909
chr9	15401489
chr9	15350635
chr1	211765612
chr9	15242133
chr16	78331132
chr6	35064381
chr1	217489719
chr6	16965186
chr6	9503751
chr3	193588467
chr6	3665036
chr19	4715362
chr18	76823015
chr5	133205025
chr18	72895783
chr3	192536904
chr18	20837923
chr18	20681970
chr1	168735968
chr7	107834218
chr1	169042905
chr3	189176485
chr17	63286354
chr5	173910579
chr3	189042738
chr9	74398285
chr1	188458557
chr4	75579620
chr12	132349919
chr22	26339152
chr11	76499904
chr3	79934717
chr3	67980983
chr1	999731
chr8	113639660
chr10	74032417
chr10	98049480
chr12	6885234
chr8	116850830
chr12	3459170
chr12	93481248
chr12	53289152
chr7	157197917
chr8	111669486
chr12	90156679
chr8	94233699
chr8	95104977
chr10	105650154
chr11	78618795
chr7	140677711
chr11	111205571
chr8	94130932
chr12	122071336
chr10	121545806
chr11	95650546
chr10	80218940
chr8	92219937
chr8	58991711
chr3	72677409
chr11	86210945
chr8	88178687
chr8	91784642
chr12	13143798
chr10	112617510
chr10	112676411
chr8	18400397
chr8	26165775
chr10	134133853
chr1	3398956
chr8	80711929
chr9	114792495
chr2	66617068
chr2	66782806
chr6	119582466
chr7	1959913
chr11	78846116
chr8	67103277
chr2	56070515
chr2	54799615
chr2	54760305
chr7	139432142
chr15	88421587
chr5	34924265
chr8	67036460
chr4	159076998
chr2	197097897
chr2	71974937
chr2	216831913
chr2	16963804
chr1	85422576
chr14	96562345
chr12	75405125
chr7	3030940
chr5	57365825
chr2	28569618
chr6	106567685
chr2	28617573
chr15	93188351
chr1	94045528
chr14	99470682
chr15	93182544
chr7	141363098
chr3	40509710
chr8	141663698
chr4	126017947
chr2	140466205
chr2	121049123
chr11	72497635
chr8	134781473
chr6	143174653
chr15	62042878
chr2	130726351
chr15	58622479
chr9	112318488
chr2	85751973
chr4	153186549
chr2	143661524
chr10	4778504
chr2	154069906
chr4	154715369
chr22	46847275
chr2	151900175
chr17	56469035
chr8	69958276
chr5	1514970
chr2	164204788
chr6	170699173
chr6	131255137
chr11	71192655
chr6	170502037
chr15	70616603
chr1	246378415
chr15	70384430
chr2	100884438
chr9	110006309
chr4	143536682
chr9	110011704
chr2	101741604
chr2	164225793
chr1	109373313
chr6	140201338
chr2	101944437
chr2	7172182
chr1	8975702
chr16	90144026
chr9	33229573
chr9	84028551
chr17	76370450
chr9	84271866
chr17	4681895
chr12	11585090
chr5	148508908
chr6	26440031
chr17	81099562
chr16	89971079
chr15	99411965
chr9	85656834
chr16	88995655
chr16	88993652
chr1	169498761
chr10	91226577
chr16	86658795
chr6	31097071
chr16	85780090
chr5	142602582
chr6	17390685
chr17	70614303
chr5	159688047
chr17	26200922
chr17	55292855
chr6	474280
chr17	57864011
chr1	188401735
chr9	74061530
chr1	198904847
chr1	184377865
chr8	22596813
chr8	23651726
chr6	11390359
chr1	182603025
chr17	60796096
chr12	26020138
chr17	38478740
chr12	44918033
chr12	44919774
chr9	80278911
chr1	180200338
chr3	127310002
chr1	168876412
chr16	85181187
chr12	6473269
chr12	54656340
chr19	39602423
chr19	43403090
chr9	140376719
chr19	46696584
chr12	59271193
chr9	97581842
chr6	56593526
chr9	97629699
chr7	152272442
chr3	34053684
chr2	1235585
chr1	9173251
chr2	7023822
chr2	216847326
chr16	377314
chr6	91521643
chr12	67989368
chr6	93610251
chr15	99443114
chr12	55286054
chr8	50708196
chr18	21595452
chr5	101558683
