Chrom	position
chr2	32165785
chr15	76311613
chr1	161540226
chr1	28236109
chr17	8173609
chr1	161612715
chr7	148983703
chr5	181207728
chr17	64145921
chr5	181206846
chr14	90396996
chr12	56190340
chr16	22195810
chr6	27795965
chr1	153671228
chr1	181088689
chr21	29073670
chr5	61332231
chr19	4724729
chr17	29294165
chr19	11559413
chr1	44721924
chr3	101686721
chr17	74203670
chr1	44820026
chr1	28581890
chr17	38853747
chr1	27830786
chr12	112409596
chr11	68460210
chr17	30116841
chr14	20632988
chr3	129316308
chr1	161422189
chr9	134164620
chr12	120293277
chr1	149812404
chr19	48872400
chr6	28658308
chr10	67764486
chr14	35404783
chr2	20447055
chr1	153990739
chr16	11851501
chr11	17077703
chr12	56116626
chr5	140711262
chr6	27478793
chr19	33177033
chr12	49741548
chr1	16546024
chr11	62855891
chr12	65169592
chr1	147928425
chr17	43315891
chr15	92832067
chr6	129710209
chr17	43368111
chr6	27479647
chr20	38435405
chr10	3172810
chr12	98503483
chr19	3985464
chr11	76444640
chr16	3158912
chr3	119463788
chr4	77862794
chr6	28896355
chr2	130337228
chr1	109100169
chr8	81686319
chr5	181173628
chr10	73096873
chr19	4724047
chr19	5690273
chr6	28474635
chr19	55385916
chr2	32039923
chr2	61888655
chr6	27147067
chr10	124916729
chr6	136289863
chr6	27791440
chr17	19508156
chr6	28673929
chr20	45881251
chr19	1438402
chr6	28881367
chr11	59556405
chr3	4493324
chr5	176361773
chr8	95269771
chr5	178204495
chr19	6110748
chr6	28796056
chr6	27668571
chr6	27684792
chr1	114581685
chr1	121020813
chr1	75786248
chr5	181218368
chr6	27519504
chr13	30674051
chr14	20631246
chr10	16891852
chr6	26204590
chr6	31862849
chr3	41199471
chr6	30744568
chr16	87384107
chr17	30477402
chr13	94549748
chr9	132944633
chr19	12938575
chr8	123157323
chr3	53130546
chr6	89080742
chr14	20469399
chr3	39406699
chr5	54310689
chr14	20343447
chr6	31815535
chr3	101561781
chr7	23182066
chr13	91347668
chr12	120534322
chr1	27155151
chr1	148263458
chr11	66348101
chr17	58679707
chr1	149636739
chr14	75278815
chr21	29002803
chr3	150603270
chr22	40177914
chr6	26571954
chr1	222464982
chr6	170553327
chr1	161428173
chr15	65869155
chr1	161399796
chr3	12664287
chr15	45198719
chr16	21953271
chr2	161160432
chr3	197950179
chr2	42810520
chr6	99568706
chr1	161531106
chr19	13153036
chr6	28607142
chr6	29650101
chr19	12640219
chr1	150236135
chr1	146035667
chr6	30489478
chr12	6970888
chr14	39170388
chr6	28951008
chr1	144524038
chr1	1407307
chr5	181191783
chr17	38751882
chr17	32350068
chr12	120496097
chr14	21511305
chr8	116755822
chr1	146387464
chr2	73926869
chr1	173868002
chr12	53452043
chr6	28729302
chr12	75511650
chr13	44918026
chr6	27177307
chr2	69893918
chr1	70354739
chr6	26156318
chr6	27162243
chr6	27132822
chr15	65296023
chr7	44796651
chr12	6470690
chr11	62805454
chr11	62880928
chr12	49265078
chr12	49110870
chr14	69767150
chr14	102317060
chr16	57299931
chr7	149691277
chr6	26533013
chr6	26521204
chr10	87863610
chr16	89560679
chr7	100015578
chr14	81219441
chr3	52198135
chr5	112160853
chr15	34969770
chr6	43630046
chr6	26286491
chr5	140726143
chr17	50373156
chr12	6607393
chr9	19380250
chr22	41446849
chr19	49580575
chr5	133051836
chr16	3157497
chr9	124415462
chr3	169772209
chr6	28489085
chr12	6867532
chr2	84905652
chr6	28213018
chr22	37193967
chr7	65006677
chr11	93741506
chr7	23014109
chr6	37433052
chr12	95474135
chr20	38926379
chr8	27274559
chr10	89644120
chr17	68759580
chr6	26056489
chr19	45478727
chr7	23531993
chr19	46788602
chr17	64506300
chr8	37899496
chr12	7936170
chr12	128824133
chr12	124914687
chr17	8125724
chr15	49621033
chr2	85354556
chr7	22822924
chr16	22298634
chr19	47745529
chr17	27294115
chr9	133348220
chr6	30617259
chr19	39435958
chr6	28863783
chr6	27592914
chr10	5853791
chr6	28807925
chr6	27605763
chr17	75033884
chr6	27688170
chr19	39412284
chr16	75647671
chr6	27824059
chr6	27838426
chr6	16129070
chr1	6701805
chr5	21459496
chr1	204507131
chr13	60164094
chr6	27583545
chr6	27505931
chr1	247390378
chr8	66113348
chr6	26305581
chr6	26330391
chr4	118278756
chr11	130069880
chr4	13627771
chr2	113889777
chr3	33441042
chr8	66925541
chr10	102432667
chr12	66130766
chr6	83193253
chr2	172102938
chr16	56932120
chr19	41439648
chr1	212608736
chr17	17960223
chr5	43313418
chr12	112125551
chr17	34961520
chr14	49586532
chr14	58239982
chr3	170870208
chr7	113118597
chr19	1848647
chr2	37231599
chr9	19102964
chr1	100249816
chr16	2682494
chr3	179604690
chr2	38751378
chr1	109042093
chr1	144419238
chr16	3182728
chr15	64381459
chr11	43680754
chr8	144326872
chr7	77536839
chr1	114780714
chr10	22229614
chr6	35468394
chr17	39154591
chr2	43596182
chr7	5530636
chr11	62573846
chr17	42998410
chr11	62665295
chr22	39319634
chr18	268102
chr6	57046619
chr7	65373870
chr2	25362157
chr11	93784234
chr12	25386231
chr3	101574054
chr5	115841556
chr22	21567754
chr5	160421839
chr1	17439652
chr6	44247085
chr6	7590146
chr1	43650480
chr1	16861915
chr17	45061347
chr3	142448143
chr7	105532195
chr17	44015029
chr9	37592582
chr1	144412611
chr1	93516368
chr12	98504235
chr1	155934613
chr20	6006094
chr6	32972194
chr1	149708745
chr12	56042093
chr1	161523946
chr11	30323055
chr3	9933711
chr1	146039375
chr7	128783424
chr1	11909959
chr1	145157156
chr14	20663302
chr14	20653206
chr1	145287750
chr7	129952911
chr16	14285881
chr9	128552592
chr19	45507476
chr1	226309142
chr5	139274089
chr7	74174325
chr6	26027302
chr3	128726204
chr1	39576801
chr3	127598427
chr15	79744652
chr12	93467553
chr3	119498603
chr7	99500293
chr2	200889395
chr14	20609436
chr21	36430124
chr6	26189131
chr11	67240005
chr6	42979240
chr15	89335049
chr7	102363705
chr1	44775570
