Chrom	position
chr3	195824270
chr2	119431603
chr1	20630900
chr6	111113998
chr9	37627064
chr9	92098104
chr6	119273891
chr22	30615875
chr5	179123354
chr9	129955096
chr1	162185562
chr15	50777212
chr10	132044976
chr11	132921737
chr10	9331713
chr7	85521492
chr8	42412744
chr1	32936242
chr15	58934077
chr2	61700668
chr15	86735439
chr4	141244619
chr13	49171562
chr3	184006372
chr7	130908719
chr15	94141990
chr12	5197373
chr10	58456380
chr13	97250311
chr1	42962981
chr7	101100282
chr8	11347093
chr10	114499841
chr22	35377089
chr13	31605746
chr8	127952442
chr14	21988152
chr7	100081855
chr1	169015650
chr7	5237452
chr11	44170935
chr11	5928422
chr6	18640327
chr7	14855594
chr10	103241524
chr12	104584162
chr1	46725249
chr11	44781213
chr10	29760339
chr20	50338616
chr8	9919237
chr7	27345360
chr1	19792358
chr11	67558928
chr13	51122642
chr7	87784624
chr17	63435468
chr8	77033598
chr5	64769999
chr1	41578959
chr8	120084735
chr22	24510805
chr11	17413642
chr11	130763453
chr13	48919948
chr12	100211904
chr20	45968576
chr7	103140884
chr16	63171741
chr6	156964253
chr17	81926875
chr9	113381109
chr4	140852002
chr5	80854785
chr4	57266387
chr18	49907664
chr10	28684730
chr1	78003489
chr21	42245894
chr12	53575665
chr11	493960
chr5	59597162
chr1	24323501
chr15	98923457
chr3	143005023
chr7	69732500
chr1	94216154
chr12	50147474
chr2	184308906
chr14	34465443
chr10	122019295
chr4	81913502
chr7	94830188
chr10	119873264
chr5	170339583
chr17	78299254
chr2	198231777
chr5	161602940
chr5	68288321
chr1	165696726
chr3	168058664
chr7	108012724
chr1	183982338
chr3	162932696
chr6	7920092
chr12	7770201
chr7	87221011
chr11	56207989
chr6	7109662
chr2	148108576
chr4	132866121
chr7	37112394
chr21	40168184
chr10	116002934
chr12	116380260
chr9	93713878
chr4	89542194
chr4	130054013
chr10	57303765
chr3	140822791
chr10	116565739
chr7	50792136
chr7	96671087
chr21	26405895
chr2	79593665
chr4	8303748
chr11	86173147
chr14	90388651
chr7	107025692
chr4	41957918
chr19	54121461
chr11	129390616
chr13	46613908
chr13	103473284
chr8	115613280
chr4	164871876
chr11	23961695
chr16	19264492
chr22	47092966
chr17	49038748
chr19	53015921
chr15	48077982
chr11	26112384
chr2	5103022
chr22	47053719
chr12	111769777
chr15	27874025
chr1	61255257
chr1	61077868
chr15	29062499
chr8	102973224
chr20	34744541
chr6	92559253
chr2	23069343
chr12	105107390
chr3	189576688
chr6	122145946
chr18	48366169
chr8	37612846
chr12	25248935
chr12	130513778
chr7	65250454
chr8	34858424
chr2	219645788
chr1	778833
chr20	52483584
chr5	176851536
chr9	91906049
chr4	170003470
chr4	37453139
chr11	122883779
chr6	62903476
chr1	232905525
chr5	95379332
chr15	42371365
chr4	5953772
chr2	85179786
chr3	157602615
chr4	81465874
chr15	32004438
chr14	72525299
chr12	29556561
chr18	76149943
chr2	144608024
chr3	45183481
chr12	6962216
chr1	93330811
chr20	17720957
chr11	122110129
chr14	23925729
chr19	5301193
chr15	44193811
chr1	61061817
chr5	37226575
chr6	126820812
chr7	105612062
chr12	116493041
chr18	48264113
chr6	71822830
chr14	23161026
chr7	113928312
chr12	54668145
chr2	232942390
chr6	128118646
chr14	76053774
chr3	139096890
chr16	6122654
chr11	121081524
chr20	17964815
chr10	5814381
chr16	48959951
chr6	125492396
chr3	46110929
chr3	101352038
chr13	45540396
chr16	55000836
chr1	36992733
chr2	76870192
chr9	19522762
chr17	7611808
chr2	119317760
chr10	5071911
chr17	82333022
chr2	26363465
chr13	97108700
chr8	143741733
chr7	92809887
chr15	39942558
chr7	91661928
chr9	38393734
chr9	75574762
chr15	40092410
chr7	90152084
chr8	28368155
chr5	134893125
chr1	1576522
chr2	220296420
chr18	57998046
chr22	35372107
chr1	247852812
chr2	231203287
chr21	38299032
chr17	34161782
chr3	150847629
chr6	88370323
chr17	81923619
chr6	106084681
chr12	2047157
chr11	68209503
chr11	57461243
chr1	171769357
chr18	13661945
chr12	57771041
chr11	124608378
chr18	50939106
chr6	100839617
chr17	81722681
chr6	80314702
chr1	248007976
chr8	17940718
chr2	186623322
chr12	50214212
chr5	50901157
chr5	172403343
chr1	234294644
chr9	88642547
chr2	105545179
chr11	32892342
chr8	746690
chr8	99709301
chr17	49487417
chr10	107168944
chr2	231589856
chr5	140718832
chr6	75589144
chr2	15066340
chr11	69466233
chr1	25694269
chr4	108738508
chr18	69701513
chr14	58171275
chr4	165325123
chr2	88761016
chr7	78828519
chr13	28753663
chr8	137460177
chr18	49811195
chr1	248065835
chr5	57503503
chr6	97469139
chr17	34874694
chr7	36961933
chr18	36013103
chr4	132759406
chr3	59753999
chr4	56437855
chr14	96362146
chr10	25191361
chr6	30201931
chr5	96703738
chr6	30717676
chr10	24873531
chr15	26101639
chr2	44775250
chr18	11661609
chr12	41706576
chr2	177872500
chr1	211912297
chr16	14024540
chr13	50060917
chr15	86701460
chr6	158040447
chr13	112639041
chr2	168518943
chr5	24642175
chr11	126839635
chr17	28092302
chr15	85892429
chr3	126765507
chr2	111699077
chr12	71126176
chr3	24411013
chr1	224234213
chr16	19283862
chr6	45351897
chr6	25898463
chr3	58440477
chr15	87758932
chr3	62965569
chr20	49274079
chr12	19411009
chr1	215490365
chr6	39206501
chr13	105074956
chr20	32232146
chr14	101909934
chr13	104898686
chr2	49901403
chr5	82971230
chr3	120741512
chr3	120678719
chr16	83633491
chr8	86392189
chr8	117112858
chr9	5839482
chr9	120393541
chr13	105704045
chr13	73663035
chr6	34340243
chr11	62884713
chr2	161123418
chr19	57356124
chr15	93771629
chr3	65717875
chr15	52443406
chr12	106353370
chr15	50249913
chr10	15365915
chr20	6509573
chr1	220420919
chr4	4185723
chr18	9289896
chr14	103653012
chr1	16368465
chr2	216147558
chr11	6568670
chr11	37379175
chr3	135864251
chr9	127348505
chr4	106615615
chr2	205822804
chr12	31959137
chr2	150136542
chr12	63714544
chr7	27655381
chr1	61451421
chr5	74343525
chr7	25742487
chr10	44804010
chr12	117025508
chr16	9047965
chr18	34640469
chr3	135908939
chr15	64993487
chr2	116769714
chr17	3418418
chr11	61651260
chr9	8822120
chr6	53569302
chr20	59888250
chr11	90851394
chr12	93674565
chr7	30613781
chr7	156674098
chr4	97028988
chr8	96613767
chr4	113356660
chr12	124124644
chr3	136075447
chr19	11064945
chr4	18075927
chr1	87151716
chr12	117111918
chr8	52984427
chr7	15604365
chr11	76919068
chr2	206482249
chr1	46768643
chr12	121316409
chr2	4618914
chr11	61972051
chr9	102770903
chr19	30529114
chr22	44352103
chr7	18361982
chr2	116491431
chr8	55372785
chr1	201270100
chr1	40210708
chr22	44347826
chr17	67217107
chr7	148149932
chr5	76372795
chr5	83672358
chr7	144772116
chr18	966469
chr5	76592887
chr1	109792357
chr7	147806195
chr20	4161068
chr3	162487296
chr3	160638382
chr12	58601730
chr18	3037470
chr2	132391584
chr2	132752043
chr3	161965049
chr7	158802698
chr5	90545706
chr7	149494975
chr7	148793781
chr10	111080393
chr18	12517342
chr2	128388605
chr5	71460897
chr10	110733770
chr7	150503748
chr10	99776035
chr5	69525621
chr10	98380932
chr18	3723361
chr3	159741481
chr4	23667854
chr10	113586137
chr8	57587524
chr16	17424987
chr12	75410070
chr1	65170815
chr4	185730560
chr3	184500699
