Chrom	position
chr21	40685757
chr7	4681767
chr17	42148057
chr7	75677425
chr7	45026119
chr2	113300107
chr1	155579788
chr20	305151
chr19	41168879
chr5	140998838
chr3	131221747
chr5	170815578
chr6	35227412
chr1	46016489
chr17	5342377
chr2	27440327
chr1	110162374
chr18	46987169
chr8	101859784
chr1	154531467
chr2	178128331
chr19	2783552
chr2	32236110
chr17	75084792
chr1	29211672
chr1	115259447
chr1	211432441
chr7	6049082
chr2	122513089
chr12	109531272
chr17	39969145
chr19	10217057
chr12	2922097
chr12	56862313
chr1	93544722
chr19	45582450
chr17	74553864
chr20	62612348
chr16	22217524
chr3	52029831
chr11	60609537
chr7	913165
chr12	58146150
chr2	113033098
chr11	88070925
chr1	222638960
chr12	58165881
chr7	100200695
chr14	93260389
chr19	10138576
chr12	25102018
chr1	238027784
chr11	73587824
chr11	66095953
chr11	34127199
chr8	55047782
chr1	153483608
chr9	108006661
chr19	4809765
chr17	39894444
chr9	91933326
chr11	57508876
chr7	30634421
chr17	56327229
chr20	33680692
chr2	11919459
chr7	157180058
chr3	53381685
chr7	1544139
chr3	52720048
chr6	35436232
chr2	55920958
chr15	89164580
chr7	1513864
chr17	78549329
chr4	164415848
chr7	2144091
chr15	93352582
chr19	18043528
chr1	154193214
chr6	117996495
chr1	226111968
chr1	93297739
chr9	37120133
chr15	66797111
chr11	62623582
chr17	33469324
chr5	131892657
chr5	43120974
chr8	67341274
chr1	206718294
chr2	68589328
chr3	183851975
chr17	5372279
chr19	15543612
chr12	685413
chr6	10695217
chr10	5855790
chr12	117348720
chr12	69979429
chr1	23345891
chr4	54232230
chr2	99771537
chr6	24721856
chr5	14264849
chr12	93861488
chr21	45079337
chr3	183415866
chr17	17991188
chr2	109335835
chr3	39448385
chr13	76123570
chr17	48556211
chr19	12834782
chr19	5720229
chr7	45151303
chr11	62607029
chr1	210001312
chr22	19159189
chr10	96122804
chr14	102780676
chr8	10697412
chr17	8152659
chr14	91580408
chr2	170681446
chr12	110841419
chr6	144164526
chr15	75135656
chr15	75497241
chr17	48450533
chr20	13765576
chr19	10812115
chr17	72199940
chr17	55038436
chr20	34542517
chr9	139622726
chr19	47633932
chr17	57642831
chr18	13726629
chr12	64616039
chr2	10830095
chr6	30539166
chr16	88794550
chr19	1864265
chr8	99129486
chr12	49524091
chr17	38256960
chr4	110736939
chr20	30135213
chr9	124082567
chr17	17109787
chr7	156742425
chr12	6833434
chr4	2965126
chr11	58347202
chr12	124086670
chr1	35325516
chr19	47291829
chr6	111303270
chr2	29117548
chr16	3550913
chr21	45148557
chr2	122494461
chr15	45879507
chr15	49913232
chr7	23514363
chr11	75110666
chr6	43197225
chr21	30257624
chr22	30987883
chr11	6624843
chr18	55297545
chr9	136203054
chr1	33282957
chr6	34205973
chr6	114292676
chr8	103425184
chr19	1407321
chr20	37063912
chr19	41903271
chr6	151187477
chr14	24658049
chr19	18682533
chr17	61851200
chr19	39342578
chr3	141998986
chr17	74502645
chr7	2393696
chr3	122512714
chr6	30525104
chr1	36930009
chr15	34635437
chr10	70939675
chr1	26324795
chr7	66386099
chr17	65713976
chr17	48286969
chr7	127983913
chr1	32479219
chr19	57791263
chr1	245082239
chr3	197677094
chr17	40985372
chr1	231664318
chr1	154955677
chr3	148804505
chr22	36236690
chr19	48222393
chr17	79935474
chr11	126081581
chr1	224622608
chr1	61542835
chr6	13615424
chr2	39351550
chr11	60691892
chr20	1946466
chr5	154134540
chr12	10766181
chr16	70380778
chr22	46518517
chr1	165798255
chr2	216176811
chr16	11945378
chr10	120840330
chr1	93811369
chr19	55987602
chr20	30102242
chr3	196669394
chr5	40756138
chr6	43484873
chr8	48920896
chr22	29949835
chr10	95462391
chr16	58768269
chr14	20923362
chr17	17495002
chr20	39657140
chr12	94178385
chr2	118572237
chr12	124118293
chr7	22893957
chr17	76210266
chr20	3792573
chr17	81009602
chr17	74178491
chr19	5690358
chr1	28969703
chr12	56513353
chr5	86563483
chr4	185655474
chr1	214776344
chr14	96968467
chr6	53412925
chr2	172864906
chr12	57119073
chr3	183967359
chr1	38061534
chr17	47269397
chr1	16767118
chr1	44445536
chr12	132413801
