Chrom	position
chr15	32899415
chr9	128365112
chr4	156347152
chr7	27030570
chr3	57130997
chr20	6908816
chr3	152261537
chr21	16241793
chr10	21282230
chr17	48733242
chr2	13822535
chr12	93072721
chr18	48959986
chr2	44674709
chr15	89748049
chr4	182560619
chr8	35377453
chr2	42046940
chr5	161369227
chr3	141071151
chr13	51148471
chr13	81987866
chr4	22192129
chr11	120645889
chr8	60676398
chr3	33426265
chr18	8662581
chr2	176192475
chr14	53355823
chr15	60120281
chr4	112650553
chr4	112649059
chr8	90927986
chr4	183345678
chr14	41205614
chr5	89998689
chr1	177048904
chr5	38602848
chr3	191963427
chr3	197528073
chr5	19881002
chr6	44655491
chr20	58753735
chr18	76544691
chr8	25509074
chr10	63713463
chr13	87128140
chr19	2984202
chr4	151644859
chr2	233329926
chr4	113060985
chr8	3058869
chr6	91299794
chr22	27453895
chr12	104526542
chr9	38214611
chr2	213616375
chr6	42418891
chr3	26050960
chr10	25766778
chr1	44543403
chr10	95464775
chr1	43008859
chr11	62709631
chr4	110411869
chr11	97856844
chr3	187618888
chr18	3603831
chr10	84465124
chr20	32742401
chr10	118258507
chr17	77129428
chr5	74105531
chr13	39385770
chr12	112578205
chr2	43218117
chr12	39082045
chr2	126942604
chr17	9017190
chr1	68294248
chr18	50287861
chr6	10835024
chr16	25950970
chr17	71033547
chr16	78299275
chr12	97365027
chr6	126736634
chr3	170204028
chr2	161238626
chr6	10722900
chr8	81898261
chr9	115118793
chr10	75079902
chr12	120230734
chr17	57850171
chr12	47067959
chr5	147750380
chr6	95803173
chr6	108562836
chr6	111764509
chr7	101937119
chr22	32643446
chr3	138846008
chr22	28112746
chr22	34283989
chr3	137779089
chr5	149280533
chr11	131246276
chr15	96312590
chr4	18691524
chr10	95313195
chr5	124980659
chr2	146540944
chr7	82175430
chr21	15005570
chr17	50944771
chr17	53907676
chr1	36771383
chr12	11756135
chr9	85884819
chr10	104155993
chr2	203533528
chr10	7540800
chr9	81596298
chr5	126464971
chr12	49228807
chr6	10747542
chr10	117159573
chr12	58925316
chr18	21387057
chr3	27861313
chr7	18940802
chr4	138398610
chr2	85579607
chr2	80008319
chr3	31112017
chr8	112395668
chr7	116782304
chr4	103477001
chr9	131331372
chr11	66010230
chr10	131049268
chr1	243732759
chr11	57639538
chr5	88664776
chr3	61688498
chr8	122198242
chr6	56844012
chr14	60644238
chr6	168332230
chr1	3900638
chr2	18560648
chr6	68070110
chr19	29062640
chr9	129557598
chr3	32780885
chr11	92445866
chr2	122927458
chr7	20776585
chr7	115226549
chr9	42323629
chr6	40791291
chr9	14722873
chr8	126448839
chr1	120956151
chr20	46583806
chr7	75788309
chr2	38444459
chr14	58769165
chr8	33625105
chr6	111477539
chr14	57714740
chr15	89776209
chr8	126423180
chr7	42686816
chr7	80764384
chr7	2558956
chr7	72546770
chr8	35642170
chr1	214683833
chr15	88613408
chr5	153825104
chr1	47017710
chr13	38893680
chr4	10496389
chr2	42133063
chr2	167332163
chr13	44052862
chr11	46407894
chr4	86960008
chr5	74883027
chr18	58646587
chr5	41356833
chr7	94223871
chr6	98137490
chr21	45973889
chr5	38379490
chr1	68173318
chr18	3554937
chr1	93079184
chr17	12567216
chr14	74350770
chr10	20890264
chr2	904413
chr1	64473100
chr12	122872274
chr8	23979440
chr11	13434600
chr1	232110924
chr11	35152047
chr19	797011
chr9	8333053
chr8	25675580
chr17	27915848
chr2	148578291
chr14	64689180
chr10	115975628
chr2	25192525
chr18	61128010
chr14	50823942
chr11	57928995
chr2	170324907
chr15	51163693
chr13	60303326
chr1	221228801
chr15	72242951
chr2	85250993
chr13	80359972
chr11	119792049
chr2	183292198
chr4	44864007
chr13	67069622
chr17	61122539
chr8	65170904
chr11	79371810
chr18	24979446
chr6	122007536
chr13	68713596
chr2	204282770
chr4	135249191
chr6	138300243
chr11	115975724
chr5	128674181
chr5	126490371
chr7	20126290
chr7	20649287
chr1	42340885
chr8	70061296
chr18	21303608
chr1	43660589
chr2	220417683
chr2	80364681
chr5	138078300
chr10	119479748
chr18	21345065
chr18	48605497
chr17	46773369
chr9	21266950
chr2	58522178
chr17	46951493
chr5	146789135
chr20	8520096
chr2	63399368
chr11	128593457
chr2	170436384
chr8	48342523
chr2	65580013
chr4	41385857
chr20	1427784
chr8	53019039
chr5	142896510
chr11	124172359
chr4	115973881
chr14	32426248
chr5	118952542
chr4	35301608
chr13	54637594
chr1	87149528
chr8	56293922
chr4	140316255
chr3	61701201
chr14	79993012
chr12	105848464
chr7	113188638
chr8	9184335
chr3	59093737
chr12	82803445
chr16	76223025
chr16	27522622
chr3	71007618
chr1	184313899
chr10	27911855
chr3	143805672
chr12	42742920
chr3	79024285
chr16	28212197
chr6	24089934
chr10	60003715
chr10	52452824
chr6	41555800
chr3	147341900
chr3	127732450
chr9	123442885
chr3	100737528
chr3	139910060
chr12	70555244
chr22	42276138
chr6	88725632
chr7	115122654
chr6	19663039
chr3	27883444
chr3	7854674
chr3	41363176
chr12	70826387
chr3	90081209
chr3	94257563
chr7	105745816
chr9	124760924
chr12	79973639
chr7	150736156
chr2	70472685
chr2	69718164
chr6	44484346
chr20	11334683
chr4	16918856
chr4	147737825
chr8	108142253
chr16	19299777
chr11	75768775
chr3	134364320
chr3	27728611
chr10	120950388
chr20	10637767
chr7	69232859
chr4	139853628
chr9	34334447
chr2	100119402
chr7	138014887
chr7	138207660
chr2	68121234
chr6	80214226
chr16	88771051
chr11	126503156
chr4	10982570
chr1	32736944
chr17	40539840
chr14	46694020
chr4	3837023
chr5	89845770
chr16	15989478
chr1	199970333
chr15	89836554
chr20	39282817
chr10	92350583
chr2	49367201
chr6	111478987
chr4	167550324
chr18	46448597
chr3	76043976
chr11	57242453
chr10	129637130
chr8	116128461
chr11	70141843
chr1	81240591
chr10	125151929
chr6	49919443
chr5	150461495
chr2	64645266
chr20	19620640
chr1	223023224
chr20	22430210
chr13	38884075
chr1	245234863
chr2	186757293
chr15	35246736
chr1	16167838
chr3	138862734
chr15	35183326
chr1	81239015
chr15	75625761
chr9	91062001
chr3	10983370
chr2	200202112
chr16	27327353
chr15	67106874
chr9	82010033
chr13	71685366
chr10	105539142
chr12	42780905
chr4	54227218
chr10	113471771
chr7	47673246
chr4	82812210
chr15	70171711
chr16	85328434
chr6	29624607
chr10	112955142
chr15	67030199
chr11	100292286
chr10	57143320
chr17	71033006
chr10	108598502
chr5	124581146
chr17	71329554
chr7	40569502
chr1	209626235
chr2	182819140
chr1	12433698
chr5	124972071
chr3	124261502
chr1	101843317
chr11	109864310
chr3	7855105
chr17	74245554
chr2	154946154
chr13	66224780
chr4	130026379
chr2	44430525
chr5	139524272
chr6	119067320
chr16	30896044
chr15	51069592
chr1	50700421
chr10	52378388
chr4	117514982
chr4	105605588
chr10	62751038
chr2	114685261
chr15	76964768
chr4	123304383
chr11	83725380
chr2	110843777
chr13	106405823
chr2	223475095
chr3	127216327
chr8	61077960
chr1	213232126
chr17	59367755
chr13	65293705
chr17	80408121
chr4	94333428
chr2	214034483
chr12	53345446
chr1	181128841
chr9	126676948
chr2	144523982
chr1	214514151
chr2	144445381
chr18	3467023
chr6	40997805
chr1	225746913
chr12	48199914
chr5	85148892
chr7	84228689
chr5	59709485
chr9	135137545
chr19	17932788
chr3	148006567
chr3	169669362
chr12	75670385
chr8	26831175
chr3	148149752
chr10	67795295
chr6	71262177
chr17	32289604
chr11	9460671
chr5	58072569
chr1	68276676
chr20	56925341
chr3	68632392
chr6	73580478
chr4	185651526
chr17	6101904
chr1	197541622
chr17	12406752
chr12	12294734
chr17	25920213
chr3	186382721
chr2	30192018
chr5	169671043
chr5	2032634
chr8	135398688
chr22	27642207
chr20	60692213
chr8	135397053
chr15	98543479
chr12	16450667
chr14	99879762
chr5	64665430
chr5	16900539
chr8	20355004
chr19	14247651
chr17	29032906
chr1	239811345
chr8	20353312
chr2	10478123
chr1	64357008
chr5	24791568
chr2	2788202
chr1	69244426
chr3	172607889
chr20	58706248
chr8	13041666
chr10	35643522
chr5	77958297
chr12	125185391
chr2	38106143
chr12	115508132
chr17	9330254
chr3	71689499
chr12	65845947
chr1	226210711
chr1	20402970
chr11	20631976
chr14	81613507
chr6	56278386
chr11	2721345
chr5	156914275
chr9	17060654
chr14	65958205
chr12	26573469
chr2	15259549
chr12	15677379
chr14	81314666
chr19	43672248
chr3	194750622
chr12	78651974
chr15	92413725
chr8	121669519
chr1	160169664
chr18	79182195
chr12	67364440
chr18	71305029
chr14	76961908
chr5	78017364
chr5	78499671
chr12	124833856
chr1	231038189
chr3	52311107
chr10	16966828
chr12	114679744
chr12	130142567
chr22	17266658
chr8	140599593
chr6	98136559
chr18	55573500
chr5	73246470
chr1	74245369
chr3	104856953
