Chrom	position
chr18	3790888
chr8	37561036
chr10	13599157
chr3	177552951
chr8	37374845
chr8	37336992
chr1	62737824
chr8	8729891
chr21	40357033
chr5	147184751
chr1	160616841
chr9	6959816
chr5	146863811
chr9	132625649
chr22	35874140
chr12	54753125
chr7	117469026
chr7	871549
chr1	235254126
chr16	15685066
chr7	92263605
chr9	124375885
chr6	42710398
chr2	44589985
chr1	26015309
chr1	233248888
chr17	75231742
chr2	15958494
chr10	88648936
chr4	87882999
chr7	90955208
chr21	37470313
chr3	157325800
chr6	25174315
chr5	109024614
chr16	87422261
chr20	52516318
chr17	46632831
chr17	5430300
chr19	39353414
chr1	22345718
chr3	152124376
chr5	95903026
chr4	127771584
chr10	108992034
chr3	182049292
chr1	8709264
chr1	167761279
chr9	73223135
chr5	101958163
chr4	129308287
chr6	14639581
chr2	178524699
chr10	76349145
chr10	29935626
chr8	77493904
chr2	144209381
chr17	79317068
chr5	35665423
chr22	43709701
chr14	103588532
chr14	104690624
chr6	111003836
chr15	48874833
chr17	74025736
chr1	69729801
chr17	73688000
chr14	56879565
chr5	21152827
chr4	68070355
chr15	61466779
chr6	118508998
chr13	108918879
chr18	56307201
chr14	72918355
chr14	22953251
chr1	90374736
chr14	78369790
chr11	73232914
chr15	58624486
chr3	115232445
chr2	25299667
chr5	98265373
chr8	18925163
chr8	127976769
chr1	116901921
chr1	64935796
chr10	36828047
chr13	45794340
chr11	109947595
chr3	71276738
chr2	85814792
chr1	151961098
chr1	46009546
chr3	49276047
chr7	146353122
chr2	112382461
chr5	16791723
chr9	81871975
chr1	24234398
chr9	33225729
chr2	120283434
chr10	63658274
chr5	126694124
chr12	87054715
chr21	27276170
chr12	27772467
chr12	71918612
chr17	66809484
chr17	57906747
chr4	103486097
chr22	22296915
chr7	39851032
chr1	203016583
chr5	61625112
chr20	43622225
chr12	53759909
chr7	24861271
chr6	157950464
chr21	31029275
chr15	40384766
chr5	41763397
chr12	29396215
chr20	11198556
chr2	228324884
chr10	71621486
chr20	51110118
chr21	38807704
chr17	37225793
chr5	53511180
chr3	101948156
chr10	45474321
chr6	37282869
chr2	29545145
chr16	72961802
chr14	81440783
chr11	10130970
chr14	81893897
chr2	36584337
chr17	4920323
chr7	6524053
chr8	23738973
chr8	25242886
chr18	46449448
chr1	39249435
chr20	19739591
chr11	100796843
chr8	19243451
chr18	22110875
chr4	40911521
chr1	210412817
chr8	2049916
chr3	71099961
chr13	44817416
chr8	131342285
chr14	45722625
chr19	35453436
