Chrom	position
chr9	139519757
chr15	31523176
chr8	70725816
chr10	112617652
chr12	121124388
chr19	10347009
chr17	30646706
chr6	33138122
chr2	7567591
chr1	160518098
chr19	46234292
chr12	50093042
chr8	56832266
chr3	36933269
chr1	233088845
chr2	676686
chr19	1041061
chr7	134331438
chr19	51208929
chr1	210516961
chr16	11043471
chr7	30839387
chr11	36377955
chr15	68148424
chr10	112172693
chr3	155430029
chr7	76751634
chr1	211870847
chr7	39773045
chr7	151451362
chr3	195809014
chr9	88861882
chr19	11698585
chr8	22776143
chr9	132651096
chr5	176103495
chr16	89766687
chr18	60845936
chr2	27631118
chr19	35975711
chr12	108959917
chr15	31593863
chr7	27962724
chr14	51670083
chr16	30483996
chr14	70060233
chr19	2545118
chr2	75904581
chr7	104585765
chr2	75659127
chr7	104653067
chr2	38209455
chr19	2984219
chr19	19472110
chr1	25071553
chr10	49493899
chr3	27722909
chr8	38663040
chr3	44903312
chr2	20421900
chr20	31173671
chr20	49436049
chr9	19174371
chr11	45392956
chr21	39073202
chr18	77794705
chr2	53652281
chr11	101785619
chr1	44784118
chr1	183812598
chr11	20044317
chr1	182991881
chr5	71748195
chr9	131902460
chr19	11847701
chr11	69485200
chr15	74922996
chr11	7495169
chr7	100661004
chr3	178764576
chr11	65679682
chr9	129929282
chr12	3151797
chr22	38430712
chr19	45930988
chr13	20756555
chr19	40324219
chr1	160696841
chr3	42056873
chr2	74734494
chr1	224924685
chr10	74080650
chr12	1692801
chr7	66351387
chr5	137799791
chr6	41392489
chr12	14115852
chr4	102728277
chr2	6913430
chr1	66868098
chr6	12606190
chr5	158122765
chr17	4119528
chr8	22562694
chr5	135409613
chr22	30787271
chr7	5581671
chr19	49999375
chr11	64764486
chr6	6333405
chr1	174922995
chr2	65659853
chr11	5145463
chr10	30722733
chr11	121238302
chr17	25871825
chr9	102828990
chr17	42600773
chr8	38759431
chr17	56494949
chr1	919702
chr11	62623371
chr19	49990741
chr19	51925425
chr6	109704156
chr5	67366453
chr6	47755927
chr17	41801572
chr1	212923445
chr12	51441886
chr16	25052011
chr4	47465479
chr16	9102601
chr1	92864833
chr15	75081259
chr2	64518548
chr19	50180464
chr1	244624539
chr8	70730616
chr19	57813520
chr20	43331582
chr15	100052434
chr10	49842616
chr16	10407047
chr5	55291277
chr16	88991833
chr11	76385785
chr6	39656473
chr16	4897057
chr1	174768821
chr15	72766331
chr22	40295257
chr14	106995772
chr13	80623117
chr11	60589930
chr9	4490336
chr7	156686290
chr9	3850303
chr12	92428910
chr7	101034358
chr4	114539593
chr6	112194746
chr6	43276229
chr3	48507509
chr3	72144799
chr17	76731027
chr16	29822716
chr12	6744721
chr11	3915671
chr8	23145597
chr4	154419826
chr9	95790816
chr17	76718606
chr7	22904684
chr19	46146587
chr15	31521615
chr5	172198465
chr1	9129826
chr16	31886687
chr1	29062989
chr13	36295244
chr1	173974295
chr3	195946572
chr2	143631977
chr15	38313627
chr17	70506917
chr9	117777479
chr10	89578687
chr1	38156174
chr1	5570131
chr11	64645051
chr15	69770789
chr10	23221746
chr17	34430915
chr8	9466145
chr18	29628797
chr18	74695426
chr11	63448788
chr11	64582342
chr5	139043968
chr11	63713441
chr11	64443092
chr17	73901311
chr3	69132177
chr6	30655256
chr15	73928954
chr12	110809380
chr22	37652515
chr5	156647199
chr2	70141658
chr22	37596743
chr7	43094516
chr20	1935336
chr9	117111323
chr6	2733632
chr6	116486951
chr4	159973684
chr6	5031057
chr17	79367975
chr20	17837008
chr19	54857965
chr3	4468687
chr11	65337601
chr14	60715066
chr9	97431382
chr20	36010331
chr17	19250440
chr19	45274086
chr4	163813695
chr2	44271620
chr3	48236110
chr1	36916152
chr7	5598686
chr13	32470809
chr2	42523543
chr12	94018916
chr15	59705270
chr14	24835933
chr5	126022394
chr9	110022965
chr1	1107289
chr1	28503875
chr12	113608907
chr1	236320094
chr21	37885921
chr5	151082925
chr18	519299
chr5	149185473
chr20	32308190
chr20	32322020
chr1	24055316
chr8	101457599
chr10	125727355
chr7	97650995
chr6	7239260
chr7	148272851
chr7	1064090
chr7	73815767
chr19	1077216
chr2	54906076
chr6	160296583
chr17	27476752
chr8	135614293
chr4	54569216
chr7	130794684
chr17	28258426
chr2	27304231
chr7	73393555
chr5	131836993
chr12	21681055
chr16	58247192
chr10	73528746
chr1	28459027
chr3	59035639
chr6	33267133
chr15	78177550
chr2	24943323
chr12	23358285
chr18	12885791
chr5	68389797
chr19	2318603
chr5	1133929
chr7	90892844
chr2	219671110
chr15	49098516
chr11	46504837
chr17	8761442
chr2	171669411
chr14	45553330
chr9	140013417
chr16	28942232
chr16	23027931
chr17	726998
chr18	49181950
chr19	13227691
chr2	219137660
chr9	131406164
chr4	99064685
chr5	153900690
chr17	71313383
chr6	6918795
chr19	18519032
chr17	48703679
chr22	41079112
chr9	116143376
chr17	29923746
chr1	205628282
chr16	11391706
chr22	33698118
chr15	53027843
chr3	142315173
chr12	105502009
chr1	147112750
chr17	81122487
chr12	57856638
chr13	99831089
chr11	67039389
chr10	48377964
chr10	70997472
chr11	65097578
chr1	154915226
chr1	109655479
chr3	49843073
chr1	31354488
chr5	168307089
chr11	74704089
chr7	73631934
chr1	109618767
chr19	4722773
chr14	69827516
chr19	49972469
chr14	69414759
chr20	44519913
chr13	100195197
chr9	117250033
chr9	100231034
chr14	65787780
chr16	9023405
chr22	29563651
chr17	27219264
chr22	39696047
chr1	110036657
chr2	242910099
chr8	41573931
chr9	21381843
chr19	49843739
chr3	81810212
chr11	122745892
chr6	137083890
chr15	68852044
chr7	105805968
chr17	57906857
chr14	70078119
chr8	134693818
chr10	24672915
chr9	131321390
chr22	28387182
chr6	38656473
chr11	121460896
chr11	64624197
chr17	45348434
chr10	97551571
chr20	23106416
chr16	57420694
chr18	55892437
chr19	17958874
chr11	119383305
chr10	98135113
chr8	134461833
chr5	67581493
chr1	38617304
chr1	108733504
chr17	70403715
chr5	61625108
chr1	31227672
chr19	16696907
chr9	117350126
chr10	97990482
chr1	38518906
chr19	11692851
chr2	219271411
chr15	65047243
chr19	2332563
chr19	17515912
chr2	216899129
chr1	226862956
chr2	30440577
chr21	34814579
chr1	9295386
chr6	366017
chr7	1126289
chr13	99881204
chr16	11836968
chr17	8866554
chr18	51730486
chr16	11206986
chr17	4046439
chr22	38559096
chr17	5146508
chr10	112259486
chr6	28109385
chr1	113250037
chr7	97832014
chr18	10520221
chr1	16209396
chr2	73200965
chr20	30467672
chr1	226850804
chr1	226548312
chr9	116344370
chr3	14167108
chr11	111237396
chr1	118148535
chr4	154389957
chr17	9828257
chr9	103171020
chr1	33618910
chr16	68774117
chr7	99365458
chr9	2602016
chr3	72213373
chr9	107535176
chr1	116768882
chr10	104677729
chr19	17219398
chr6	36749667
chr16	11775484
