Chrom	position
chr6	159027187
chr22	32026795
chr19	47746957
chr11	117092884
chr4	187125480
chr19	1769146
chr17	43227500
chr9	135983644
chr10	121946797
chr15	33571207
chr17	30455611
chr7	75931749
chr8	22250354
chr1	161499546
chr19	49655071
chr17	7232907
chr2	221989817
chr15	33023047
chr13	100750949
chr1	46751958
chr1	155715374
chr19	49631227
chr9	131684606
chr17	74494418
chr10	121944255
chr22	39707185
chr10	121426128
chr9	88040163
chr13	20531836
chr10	48284513
chr8	99838335
chr4	13641944
chr1	155053463
chr16	22217451
chr10	45315773
chr17	6947208
chr19	47120465
chr1	16161074
chr16	85649096
chr22	31518969
chr1	16449546
chr11	72296968
chr10	131748427
chr7	152133875
chr13	111567627
chr15	40633079
chr1	43428440
chr6	33359117
chr4	109087802
chr10	24906949
chr14	61655159
chr17	77967623
chr6	34664778
chr19	45747575
chr17	77804761
chr19	45912283
chr11	77301021
chr17	76932250
chr12	51556208
chr7	73082176
chr7	128049925
chr10	121302240
chr9	141102509
chr6	71122987
chr10	89100253
chr3	131050822
chr8	144581996
chr5	176797943
chr13	80916884
chr1	24627692
chr12	6887511
chr14	74744985
chr10	88159815
chr10	104180914
chr10	88515624
chr12	6716531
chr3	105085590
chr2	170333218
chr16	31153696
chr12	6448715
chr14	90964713
chr14	90962088
chr7	102104716
chr14	89291089
chr17	56494920
chr17	55929192
chr17	48217506
chr10	102778915
chr9	104249394
chr9	103174034
chr13	44792982
chr10	77258832
chr10	77159498
chr3	152034376
chr12	56653940
chr14	68758736
chr7	80413613
chr17	68317232
chr9	127616070
chr2	198364781
chr17	65975057
chr1	153599912
chr16	57318537
chr6	76311605
chr11	48001823
chr16	66461258
chr22	43891165
chr10	72972485
chr16	67208759
chr10	72996212
chr7	117513532
chr9	124872907
chr12	15942487
chr22	46933341
chr3	167453553
chr17	62733146
chr22	47731948
chr1	48400316
chr10	106113559
chr6	144426286
chr22	37912105
chr6	13712473
chr1	95633235
chr14	23574484
chr18	48538285
chr6	692451
chr20	37434379
chr9	139972042
chr22	17639520
chr1	212872794
chr22	17652176
chr12	123579042
chr5	145215064
chr1	235668408
chr6	18387545
chr14	35169262
chr17	18907191
chr1	234736122
chr1	100315568
chr1	28586263
chr5	150158349
chr9	137187623
chr8	20238523
chr7	36298280
chr12	122510366
chr1	222791109
chr15	77357827
chr12	121341304
chr15	77789278
chr7	16707804
chr20	35437082
chr21	38338211
chr19	4723838
chr6	5094688
chr11	14913978
chr1	29063451
chr19	6502366
chr1	1226712
chr5	134094296
chr15	75500619
chr1	227503942
chr21	43639247
chr5	106841686
chr19	8009408
chr8	22255221
chr20	30258673
chr15	64752686
chr17	34053815
chr16	2033521
chr4	153511611
chr12	65219490
chr9	136223445
chr8	37552745
chr9	136221861
chr1	29563040
chr22	21322098
chr6	28739701
chr17	15555167
chr5	177548149
chr1	109647498
chr9	71395104
chr17	33390674
chr6	30698802
chr11	639187
chr1	205428268
chr12	125323020
chr9	135089496
chr19	869638
chr12	71869208
chr20	48808469
chr17	17251898
chr4	141075428
chr20	25228789
chr19	16845306
chr9	140197869
chr8	9537334
chr6	28414803
chr15	49338681
chr1	76802977
chr17	34171826
chr15	42783248
chr1	85725217
chr2	151889388
chr2	159702565
chr2	175562208
chr7	30544816
chr2	148602099
chr2	172968661
chr11	62192404
chr11	118890902
chr11	116706890
chr20	36809982
chr11	118799304
chr20	47237637
chr2	161126731
chr2	172017766
chr1	86046332
chr11	118023630
chr2	170430503
chr2	166810316
chr1	57044190
chr20	43434907
chr2	177011109
chr7	27230917
chr20	44420539
chr7	65711751
chr2	179058811
chr2	238595352
chr11	65659342
chr11	65851084
chr1	64972172
chr20	25229585
chr7	73156038
chr7	73134331
chr7	47419668
chr20	21503186
chr11	66360459
chr11	66512080
chr2	241759009
chr1	61548274
chr1	68639310
chr11	66557710
chr1	75602157
chr11	72505123
chr11	66883864
chr11	72354138
chr20	13200979
chr11	67374395
chr7	65496133
chr20	2520244
chr20	31172978
chr20	32673158
chr7	73992933
chr11	65239844
chr7	32921476
chr7	89783790
chr11	64349613
chr11	111207569
chr2	192496724
chr7	33760614
chr20	34205612
chr2	196478773
chr7	83306630
chr20	2821343
chr11	108441923
chr20	33893772
chr11	107799315
chr11	101981165
chr11	64863582
chr1	64180102
chr20	33464483
chr2	208717715
chr7	75864566
chr1	64695124
chr2	219271106
chr11	122527253
chr2	36877327
chr2	131555230
chr7	100067095
chr12	65059519
chr8	1790777
chr8	1867601
chr19	17439263
chr12	66239647
chr12	69201841
chr1	38455623
chr8	9792975
chr12	71849330
chr19	13988204
chr1	37963671
chr19	13287344
chr12	77025444
chr12	77157657
chr12	77160760
chr19	18632900
chr19	19509999
chr12	58129906
chr12	56495007
chr19	38827811
chr7	152174363
chr19	38210262
chr7	154721088
chr12	56137375
chr12	56325871
chr7	155255206
chr19	21106187
chr19	34269141
chr7	156793801
chr12	57022692
chr19	33766520
chr7	156931432
chr12	57487271
chr12	77271980
chr19	13065139
chr19	11616595
chr1	31643815
chr19	2463187
chr12	109531223
chr8	28586327
chr19	1687970
chr19	1456093
chr1	31909951
chr12	111031106
chr8	27789049
chr12	111712728
chr19	572234
chr19	395543
chr18	77711722
chr12	113494729
chr8	37557920
chr19	2785368
chr12	107350550
chr19	10613430
chr8	22406936
chr12	94219076
chr12	95050072
chr8	18836318
chr8	18870320
chr8	19029320
chr19	9930408
chr19	6516992
chr12	107349649
chr8	24931559
chr19	5897469
chr19	4304581
chr19	3643275
chr19	3432634
chr19	3012272
chr19	39793748
chr12	54440871
chr1	43814546
chr12	14339080
chr2	47615524
chr7	111903051
chr1	48462188
chr2	43447428
chr1	48154387
chr2	42724718
chr12	14556753
chr2	60860983
chr1	48054013
chr7	116660201
chr7	120969023
chr2	37552970
chr12	22682836
chr2	30143118
chr12	8383344
chr7	106749167
chr7	127222749
chr12	3083788
chr2	122236155
chr11	130318410
chr7	100806354
chr7	100901750
chr2	101923721
chr2	100630466
chr2	74153966
chr12	6976750
chr2	73461642
chr1	52456386
chr12	6726963
chr7	102985182
chr7	103086616
chr12	6934173
chr2	27543913
chr2	27368524
chr12	53811865
chr7	143598932
chr19	48996928
chr12	49724286
chr7	139478611
chr7	140391425
chr1	44966523
chr19	47777759
chr1	44679082
chr19	54057825
chr7	148163413
chr19	46265077
chr19	45312429
chr19	45245352
chr12	53291313
chr7	150780567
chr12	48395487
chr7	130353330
chr12	26267662
chr2	25232883
chr7	127742792
chr2	26987074
chr2	26915884
chr2	26872344
chr2	25887751
chr7	128423326
chr2	24149967
chr7	129592738
chr2	11058395
chr7	129014076
chr19	58428166
chr7	129246006
chr7	129415619
chr19	57998925
chr20	47804826
chr6	160210854
chr7	26206397
chr4	110482316
chr6	33343134
chr4	103788925
chr10	24808072
chr6	34334088
chr10	26222881
chr10	26912033
chr10	27124128
chr6	35420211
chr6	35695558
chr4	88578860
chr4	87865598
chr10	28854367
chr4	84278538
chr4	83288087
chr4	77623758
chr1	161284076
chr10	22610394
chr4	77135207
chr4	120135002
chr4	154178410
chr10	11589271
chr10	12739443
chr4	148406524
chr6	30850335
chr10	15851557
chr4	140925868
chr10	16869665
chr1	161854489
chr4	140778472
chr6	31926973
chr10	17801056
chr4	126993024
chr10	21463025
chr4	120375947
chr1	156486857
chr6	36836572
chr7	25992455
chr4	6641620
chr4	3321224
chr6	46618332
chr4	1562141
chr3	197875086
chr3	197237140
chr3	196956272
chr3	195782773
chr3	195624454
chr10	64028569
chr3	195270085
chr3	193857673
chr10	65472279
chr3	192635979
chr3	192606733
chr3	189756091
chr1	154997848
chr4	7746327
chr4	73284234
chr6	43478058
chr10	34817331
chr10	34865962
chr10	35057738
chr4	56815148
chr6	37812895
chr4	56264130
chr1	155904894
chr6	41457455
chr4	38665879
chr1	155560179
chr4	38277370
chr6	42929356
chr6	42982025
chr6	42988874
chr10	44175699
chr10	11187236
chr4	159690186
chr4	169552795
chr5	136985075
chr1	222951485
chr1	224007799
chr1	224181384
chr5	130501060
chr5	127333227
chr5	127280053
chr5	122759137
chr1	185123411
chr1	185009703
chr5	115193850
chr1	226595688
chr5	112073616
chr5	110559762
chr5	108084671
chr6	7390951
chr1	221092164
chr5	138940698
chr1	165601278
chr1	214710752
chr1	202896363
chr1	202995702
chr5	176463130
chr1	203087165
chr5	173846766
chr5	173798657
chr5	173191585
chr1	205718777
chr1	205782499
chr1	208058568
chr1	209921309
chr5	149682585
chr5	148918978
chr5	180611299
chr1	183463195
chr5	95767514
chr5	95046964
chr6	14601905
chr5	38540631
chr5	37668788
chr6	27181059
chr6	27219632
chr1	243277554
chr5	16919582
chr1	245026676
chr1	247095372
chr5	1175292
chr10	1095080
chr4	187648136
chr6	28715625
chr4	186831779
chr6	28725358
chr4	185655474
chr1	174128377
chr5	56737583
chr5	57878900
chr5	76979178
chr5	81047327
chr5	79866192
chr5	78771081
chr1	230031444
chr5	77804511
chr1	180609514
chr5	75641697
chr6	26034469
chr5	72733497
chr1	180096048
chr5	72436822
chr5	69697386
chr5	67512538
chr6	25311709
chr10	70883951
chr10	71083238
chr3	185821961
chr22	38598255
chr6	151389480
chr10	124046588
chr22	38046675
chr10	124914568
chr6	154829623
chr6	157263634
chr10	131407639
chr1	110663847
chr6	158917941
chr10	134067008
chr6	160180891
chr8	37648397
chr22	30002481
chr10	135072896
chr1	110012627
chr10	123912394
chr22	39112516
chr10	116454644
chr22	39240010
chr22	42662224
chr10	118764720
chr22	42311072
chr22	42196526
chr22	41693614
chr6	148664291
chr22	41061025
chr22	40467916
chr10	121417991
chr1	116314776
chr22	39919727
chr6	149832458
chr10	122610780
chr10	122708647
chr6	150459993
chr7	40536
chr22	24989225
chr22	24109028
chr7	941610
chr21	34925699
chr21	34079673
chr11	27494284
chr11	33891118
chr20	62313842
chr20	62130803
chr20	61552972
chr11	45939755
chr1	92311659
chr7	21466753
chr7	22766900
chr11	46260792
chr11	47560500
chr7	25924062
chr20	49407331
chr11	16934290
chr21	43378351
chr11	14521374
chr7	2439965
chr22	22337243
chr11	3860874
chr22	21983719
chr1	107600102
chr22	21910428
chr11	6724922
chr11	8985924
chr21	44064522
chr7	4998759
chr22	19627738
chr7	5485698
chr7	5553555
chr11	13064530
chr21	44251095
chr22	42690083
chr22	43692413
chr10	71892537
chr6	90550451
chr10	77863264
chr3	129253632
chr10	80923037
chr6	99968883
chr1	149982568
chr10	81967118
chr6	105640706
chr10	85965610
chr3	118753787
chr6	108000884
chr6	108460217
chr10	89623371
chr3	93743494
chr6	109803756
chr1	150552403
chr3	149375702
chr6	142646448
chr1	151162781
chr10	72141400
chr10	72142663
chr10	72647759
chr10	72973903
chr10	73448196
chr10	73533324
chr3	171510520
chr3	169381038
chr6	82463553
chr3	167605161
chr10	74493959
chr3	158206651
chr1	151350115
chr3	155854380
chr1	151166510
chr6	110000466
chr3	79054447
chr10	96163425
chr3	57583199
chr3	14565925
chr3	13972864
chr3	13143715
chr3	12804910
chr10	104946620
chr10	104948759
chr3	10050884
chr6	137112611
chr3	5068724
chr3	4866807
chr22	50781086
chr10	112272810
chr22	47158583
chr22	46939043
chr22	45080764
chr10	103578769
chr6	132833817
chr3	23963718
chr3	49910857
chr10	98273869
chr1	148598506
chr1	149230924
chr6	113735931
chr10	99078375
chr10	99094445
chr10	101280047
chr10	103070431
chr10	101722346
chr6	119030622
chr3	38388306
chr10	102505272
chr3	38028577
chr10	102756921
chr12	113591164
chr5	176739127
chr15	49517951
chr15	40559208
chr17	79375902
chr1	27444664
chr1	27459366
chr17	27070143
chr8	80789389
chr14	35761538
chr17	26284359
chr14	76334410
chr14	79836153
chr1	27675932
chr9	132940919
chr16	3162509
chr9	124113761
chr12	131311052
chr16	3142693
chr8	81017997
chr17	60187044
chr17	27703933
chr9	34646474
chr8	125384848
chr17	29298418
chr16	3078448
chr17	79361069
chr15	52472263
chr15	99791435
chr9	108460315
chr17	79228863
chr16	85411566
chr14	99681893
chr13	44361036
chr1	3585544
chr9	35116467
chr9	124262306
chr1	1530118
chr8	104311152
chr15	38361392
chr14	100139696
chr8	70725931
chr17	56530366
chr15	62682732
chr14	38063831
chr17	19996743
chr15	61448702
chr8	71315626
chr17	21160484
chr1	17558828
chr14	37515048
chr17	21176486
chr8	73922167
chr8	128910786
chr17	79650944
chr9	35665153
chr1	27877829
chr15	85186880
chr15	85523727
chr9	102582517
chr14	37039538
chr17	57642791
chr13	47190229
chr9	137979855
chr17	25871474
chr17	79955029
chr1	17824974
chr17	79944974
chr17	79885831
chr9	33151359
chr16	3071943
chr13	113366174
chr13	114919208
chr17	65667821
chr17	65779769
chr1	25256009
chr16	73129951
chr14	21560706
chr16	2313214
chr13	37248031
chr9	114921104
chr17	66053864
chr1	21276028
chr16	842795
chr17	41150299
chr17	40670722
chr15	42873777
chr17	74361722
chr17	74519293
chr16	1317621
chr17	70454004
chr17	74353084
chr8	101962754
chr16	1478104
chr13	27700022
chr9	134610938
chr14	94811931
chr9	135287665
chr15	42119562
chr17	73521143
chr1	3238967
chr16	2034172
chr16	1862874
chr1	2245990
chr9	114717515
chr13	43207787
chr9	136857321
chr16	3065169
chr17	61851416
chr13	42533831
chr9	133588494
chr17	77879760
chr12	133082623
chr17	35120304
chr17	77273041
chr9	136933162
chr1	21653774
chr1	27022142
chr17	35747685
chr13	20420100
chr17	62971803
chr14	91527005
chr14	91959791
chr15	102192228
chr16	78133423
chr8	95565728
chr9	13279426
chr16	77468971
chr17	37183531
chr14	91883879
chr8	95625248
chr17	75141912
chr8	96280676
chr9	14320458
chr9	20681660
chr16	628378
chr9	136238240
chr1	17256365
chr9	101737469
chr1	28099598
chr17	15848606
chr17	1362498
chr9	95898570
chr16	21514848
chr8	145049288
chr15	73976289
chr12	120662735
