Chrom	position
chr22	36635661
chr2	191885135
chr2	227637526
chr20	46116138
chr2	231191828
chr1	146556231
chr2	231280882
chr22	35773079
chr6	32806609
chr22	50978169
chr7	74064537
chr12	113344740
chr5	5523383
chr15	45021023
chr3	122283157
chr9	126964919
chr19	48018802
chr1	145438392
chr3	146262461
chr5	64331627
chr3	46152823
chr9	104603293
chr10	114851872
chr7	134832764
chr6	88707655
chr16	11391504
chr17	40714147
chr9	37197308
chr2	231084727
chr11	5710990
chr20	47894652
chr2	26635304
chr6	119634290
chr1	21670108
chr2	179279503
chr11	65695738
chr12	92797799
chr5	84943807
chr3	69841290
chr6	150881260
chr14	24630404
chr6	16237052
chr17	54991394
chr22	36044444
chr21	35029659
chr16	50699426
chr3	124873947
chr6	138043992
chr16	48642655
chr21	40159706
chr14	91580948
chr19	4841141
chr2	216696292
chr4	17578645
chr3	122399634
chr10	25156353
chr19	13262464
chr12	12953586
chr12	11802605
chr2	201273384
chr2	30661148
chr1	24285572
chr1	205216591
chr19	3843058
chr16	23568852
chr2	202084958
chr11	34331036
chr17	53644748
chr16	17922098
chr22	46589900
chr2	55921058
chr18	23570669
chr17	78237368
chr5	81581279
chr5	81763195
chr7	36444587
chr8	10488081
chr10	6205786
chr15	81400366
chr11	78356469
chr17	80408826
chr10	25026167
chr15	77905895
chr2	163175234
chr10	3975375
chr18	10626666
chr15	75417810
chr21	11186632
chr21	15826804
chr5	119848657
chr2	169856356
chr11	64764529
chr18	46599043
chr7	8805222
chr3	156892768
chr1	25682575
chr14	97284397
chr14	97297453
chr14	100841814
chr7	92747426
chr2	38701281
chr16	9179185
chr5	61601631
chr9	33265059
chr2	39719401
chr11	118895486
chr15	101137193
chr11	113244789
chr2	152118369
chr1	110453423
chr18	60173681
chr15	98503716
chr17	76976064
chr11	102318139
chr12	32174078
chr15	72530015
chr10	104541158
chr6	30457139
chr6	99282021
chr1	173640259
chr2	231200805
chr17	41158780
chr6	100706040
chr12	127568070
chr11	314008
chr11	320903
chr12	133199334
chr11	356400
chr6	82462989
chr12	110517420
chr4	78656261
chr21	45275171
chr4	144434713
chr1	169863448
chr1	158979639
chr17	6659356
chr9	71362167
chr6	34923379
chr9	90407958
chr2	75538151
chr8	144105648
chr7	105924554
chr20	30263821
chr12	121477079
chr8	124281343
chr3	45709732
chr17	7482898
chr3	48514515
chr9	90289711
chr10	80719183
chr10	91092218
chr21	44772859
chr2	97151945
chr19	54712199
chr13	67914581
chr2	26716604
chr17	30454544
chr3	5539374
chr10	97068591
chr16	70438560
chr17	33571546
chr4	169401710
chr4	26199213
chr2	86811391
chr6	43597893
chr10	102027514
chr2	86221298
chr3	36949651
chr17	31291253
chr13	50070051
chr17	26595448
chr4	155394905
chr8	95831761
chr11	5646157
chr19	51727748
chr17	33864819
chr10	52086817
chr17	31802156
chr5	103425031
chr8	20060098
chr10	91087649
chr10	88535145
chr10	99187774
chr5	75838922
chr2	84013447
chr15	89183411
chr15	92015911
chr4	89300566
chr21	22565720
chr3	187086173
chr15	90727487
chr10	94520536
chr17	78228781
chr15	81615260
chr10	105576397
chr7	120640219
chr17	38072902
chr7	120666382
chr10	91152310
chr5	94879176
chr2	55687918
chr1	36555361
chr18	967246
chr9	74245544
chr16	50700852
chr2	99177017
chr22	36649134
chr16	31034019
chr11	32559103
chr7	139762751
chr7	148581848
chr2	7017774
chr4	24586362
chr9	100174429
chr7	87834699
chr2	120990005
chr21	42798078
chr2	119542556
chr4	38285552
chr2	149372062
chr21	42792500
chr17	54910013
chr4	169239968
chr18	2641836
chr4	169402276
chr6	43894515
chr2	113836293
chr2	113299911
chr2	68964997
chr1	44514094
chr9	35111844
chr1	41311036
chr7	149552555
chr7	100499721
chr17	76259441
chr16	3313905
chr10	18948164
chr3	197439358
chr16	10595170
chr7	92776974
chr10	24858357
chr11	57333770
chr22	17724571
chr5	39502309
chr17	40540811
chr9	37800757
chr5	39077251
chr16	20186719
chr4	123668463
chr9	94668622
chr7	135260193
chr9	37587709
chr3	197575149
chr9	100881516
chr11	615675
chr7	142536501
chr15	57029767
chr19	16254501
chr8	144107969
chr12	32049797
chr12	31868348
chr1	148604977
chr3	88083880
chr2	12728377
chr3	93692829
chr14	36830558
chr6	143521848
chr19	47217860
chr3	98489388
chr6	10838858
chr6	7313562
chr14	58711952
chr6	82648250
chr6	19996333
chr2	201990496
chr1	23961673
chr12	10766316
chr19	10381721
chr20	48393077
chr12	72298562
chr1	117370007
chr2	201248650
chr6	159463655
chr14	81893813
chr14	89625274
chr14	89631973
chr2	37384152
chr12	33759866
chr3	5191339
chr19	3553047
chr20	35579261
chr12	129822064
chr12	56754224
chr1	180554782
chr3	57969720
chr3	58311377
chr6	109625818
chr13	32890071
chr6	30685424
chr8	145060608
chr1	185303474
chr2	20776613
chr13	43566449
chr19	40790450
chr13	51873128
chr12	45718378
chr13	67922589
chr19	19772821
chr20	36751478
chr12	50641055
chr19	40939775
chr6	126240361
chr12	49484262
chr3	71242979
chr2	231571157
chr1	196527705
chr8	103666376
chr12	47754716
chr6	24721670
chr6	69450799
chr12	6445487
chr1	161356504
chr11	82544268
chr1	234807282
chr20	388971
chr1	113481019
chr6	37401021
chr12	109022343
chr1	1710418
chr1	237077217
chr15	63402315
chr5	131826583
chr6	42013506
chr20	62205584
chr12	104995247
chr6	47388391
chr15	65588488
chr3	38180079
chr1	27998838
chr12	104201832
chr1	154580696
chr3	172310177
chr3	172312573
chr8	27180449
chr1	247381628
chr11	77735661
chr9	26954266
chr3	28390148
chr7	22860496
chr8	26150669
chr15	67383779
chr20	5059323
chr3	183271586
chr7	12425233
chr8	30513647
chr18	74921081
chr5	150635647
chr2	38871043
chr1	159047108
chr20	50443120
chr3	128562232
chr3	130791879
chr1	150540010
chr15	34339855
chr2	191879043
chr9	127314375
chr15	50540158
chr19	1099678
chr7	2445795
chr18	53144916
chr9	14522772
chr20	53719962
chr11	117043966
chr17	33760803
chr10	80853637
chr2	11641009
chr2	24014161
chr8	130594493
chr1	147994315
chr10	91174318
chr1	178994847
chr1	153963274
chr3	39219536
chr17	40830089
chr17	38296426
chr3	13167171
chr1	167511787
chr3	50628412
chr19	47747474
chr1	169337745
chr8	125484754
chr19	50676554
chr2	10830117
chr2	12417780
chr2	9904415
chr17	40264766
chr10	80806970
chr22	39410110
chr1	179851163
chr3	171897740
chr8	42074765
chr17	73779374
chr10	14996275
chr3	142804101
chr2	43195295
chr2	45878195
chr4	79655953
chr18	21121013
chr8	8957372
chr9	33025832
chr8	27209399
chr17	42785998
chr1	93369025
chr22	40170183
chr22	40071613
chr17	79779831
chr17	80297111
chr17	80317017
chr1	247523578
chr22	39076592
chr18	9825708
chr10	3871213
chr1	113217478
chr17	67043763
chr19	3155268
chr22	47000446
chr7	137897265
chr17	44054611
chr17	48415406
chr8	90996360
chr4	26585559
chr1	197964203
chr7	143123722
chr22	30817769
chr1	198574324
chr8	86290499
chr10	3852480
chr19	15432705
chr3	105723129
chr1	84972115
chr1	85038812
chr1	204829257
chr3	119307113
chr17	56445007
chr17	57864016
chr19	9732150
chr7	150104175
chr22	21925601
chr2	7020741
chr7	51172695
chr12	50665914
chr5	81047211
chr6	108582587
chr1	11969844
chr15	82584855
chr21	17104818
chr11	67373413
chr21	16126251
chr1	11791907
chr11	68671346
chr6	120039308
chr2	169832968
chr6	126101531
chr15	68406905
chr5	122278372
chr1	36107160
chr5	77656244
chr9	100700604
chr16	11406687
chr9	100705760
chr7	75544286
chr2	131914279
chr7	75410184
chr11	43890742
chr9	136147191
chr1	9653671
chr5	76034964
chr2	231524039
chr12	125404839
chr9	135998654
chr2	230786094
chr16	193159
chr12	127610565
chr13	90946310
chr15	67963161
chr6	26156641
chr7	1544082
chr7	4660243
chr1	24779774
chr9	127129992
chr5	149319778
chr15	30918004
chr7	1894943
chr11	125423045
chr1	31714325
chr11	126207563
chr1	25665438
chr6	168241713
chr14	94576993
chr14	93570183
chr6	169852312
chr15	43425727
chr11	111101351
chr5	138721184
chr12	14437667
chr15	55532140
chr1	22231625
chr6	144053813
chr14	31291426
chr9	123659623
chr9	131534373
chr20	44519954
chr1	28975195
chr6	20458765
chr6	20846997
chr11	82504065
chr5	125856138
chr13	108922292
chr1	8812735
chr1	25423550
chr1	51746565
chr9	95875942
chr4	90810645
chr16	57023415
chr1	47010741
chr12	96795021
chr17	8313793
chr4	170548228
chr1	6419837
chr10	112935688
chr4	130017509
chr9	94181932
chr6	41293387
chr4	159456560
chr10	112127965
chr12	113376152
chr6	68599183
chr6	56934340
chr6	67774366
chr11	4414929
chr7	113159835
chr6	36648349
chr10	111827957
chr2	97561006
chr12	120884237
chr4	122722312
chr11	33342680
chr4	87883016
chr17	26593359
chr16	30076770
chr11	31634445
chr2	122288557
chr5	10627926
chr1	948745
chr21	38791992
chr6	84772750
chr4	110915703
chr22	19417509
chr6	47382659
chr4	122911858
chr19	12655367
chr6	11931670
chr1	155293053
chr1	205139907
chr14	65548312
chr12	96769845
chr1	155214603
chr12	10902916
chr6	3027171
chr6	34544529
chr19	56146320
chr12	7758860
chr12	98909180
chr2	7005928
chr8	129189286
chr1	154244929
chr8	56814390
chr6	43599097
chr8	56853975
chr3	126630427
chr5	172124594
chr1	207818525
chr14	77428472
chr19	59010933
chr12	6477464
chr12	29256607
chr14	75179833
chr14	74484955
chr1	206846744
chr14	70826403
chr1	206785763
chr1	206990340
chr6	49431070
chr6	16215919
chr12	56730677
chr6	68750521
chr6	36842591
chr6	32811836
chr19	47839143
chr19	4723948
chr3	53380873
chr19	39926601
chr6	100016584
chr12	116999372
chr1	173572585
chr12	70083062
chr6	84684475
chr12	124118304
chr8	110345704
chr12	123872945
chr8	105630224
chr12	122521158
chr12	64612601
chr6	33546546
chr8	124050009
chr12	54698303
chr12	33741495
chr19	49990886
chr6	47102626
chr3	36999617
chr13	109422025
chr3	72338307
chr3	71633884
chr1	156100177
chr6	34191974
chr13	99706054
chr3	39187675
chr12	92539581
chr6	37151185
chr6	57181521
chr3	69774116
chr6	28770656
chr13	41634600
chr13	38533703
chr1	183871270
chr8	99318565
chr6	30484376
chr10	98433755
chr1	233804772
chr19	3721495
chr17	57287358
chr4	175341553
chr4	185395936
chr4	25314335
chr16	53133789
chr4	190861915
chr7	92583259
chr16	50297439
chr5	1634170
chr5	10596070
chr10	45966199
chr17	56736554
chr10	43150099
chr10	35484801
chr16	74734229
chr16	24550732
chr16	22630368
chr4	693345
chr16	19130432
chr5	42876024
chr16	5083915
chr17	72199857
chr17	73092435
chr11	59728117
chr7	56029945
chr16	2653428
chr17	74268340
chr4	26828555
chr16	75077175
chr8	52717642
chr7	104584224
chr10	102832137
chr4	84551452
chr17	25958209
chr10	105572445
chr17	20610526
chr4	89303987
chr10	91056384
chr10	90844331
chr4	74088846
chr17	17991238
chr17	40118682
chr17	7137934
chr17	40829370
chr7	138794125
chr10	126199225
chr11	327189
chr7	135513075
chr4	56596126
chr17	41393350
chr17	41438467
chr17	41445425
chr16	84627833
chr16	81771726
chr10	72338358
chr17	43238910
chr3	193973412
chr11	61605617
chr17	76268456
chr1	230262934
chr5	133747683
chr5	134469948
chr1	236162992
chr18	42305711
chr8	28745687
chr18	43830622
chr15	52024188
chr4	83295248
chr7	8802608
chr11	102435079
chr18	53415837
chr3	151919030
chr7	6144207
chr17	76778729
chr1	229441360
chr15	43398382
chr15	41694741
chr3	146261345
chr7	5008204
chr1	226187337
chr19	893341
chr5	148003462
chr19	1848779
chr15	32907373
chr19	2269607
chr5	149957853
chr5	133268577
chr5	132576390
chr5	131831573
chr3	172230410
chr11	62559315
chr15	91473425
chr11	65264991
chr7	38503376
chr5	89940170
chr5	89940984
chr7	36352330
chr15	83478374
chr17	80377539
chr15	81391598
chr10	4909902
chr7	30370491
chr18	268087
chr5	102455890
chr11	69066102
chr11	74959875
chr8	23088291
chr5	123987864
chr7	22862475
chr7	22740500
chr15	66089110
chr15	66084777
chr3	177332926
chr3	172241264
chr5	131746622
chr11	5706294
chr6	43804519
chr8	130701813
chr9	130213622
chr1	8487830
chr9	66458463
chr9	14555113
chr1	45075979
chr2	236369537
chr2	74433462
chr1	43415399
chr1	68202078
chr22	24594222
chr2	176961501
chr21	36855712
chr20	61436230
chr20	47895216
chr1	29210544
chr2	45795209
chr2	240202099
chr1	79085999
chr9	101820271
chr22	39862886
chr2	172779826
chr9	102669151
chr1	17222768
chr1	39251945
chr1	150534673
chr2	48493061
chr3	10068075
chr1	8960151
chr1	94313156
chr2	40008617
chr1	52868131
chr22	18632844
chr2	30513737
chr2	32236106
chr9	91381898
chr2	197025019
chr1	54842949
chr3	5058433
chr2	196397895
chr1	149514148
chr20	48983343
chr1	12065847
chr22	50946650
chr1	47647048
chr2	191888241
chr20	51792141
chr2	191445143
chr9	79018448
chr2	101816042
chr9	75747614
chr20	35233963
chr1	145455618
chr2	26559030
chr9	6757152
chr1	14661018
chr9	32526291
chr2	28753866
chr1	92198132
chr2	152146466
chr2	58136019
chr8	131054723
chr1	940498
chr9	108147847
chr1	92783593
chr9	33240036
chr2	217957657
chr1	19496276
chr9	108641681
chr1	33476943
chr6	159274466
chr10	93971181
chr10	93390057
chr4	9896808
chr17	36981620
chr4	76949522
chr9	74510202
chr6	158461577
chr17	37957023
chr4	77134954
chr17	34526770
chr22	22337216
chr10	94698765
chr20	48585959
chr4	76498793
chr17	73444725
chr7	128580676
chr7	128452778
chr22	36597909
chr4	79405909
chr17	34217157
chr2	200820262
chr4	79560098
chr1	61798100
chr14	23479103
chr10	91061751
chr4	73419449
chr22	36553023
chrUn_gl000211	136908
chrUn_gl000211	149027
chr2	74847244
chr10	81838759
chr9	71584641
chr3	197268956
chr17	40128652
chr12	7261877
chr14	70168832
chr2	75539349
chr10	88558595
chr6	158088517
chr2	83007335
chr17	39667409
chr22	23494799
chr17	38673238
chr2	216449350
chr12	31882168
chr1	89594701
chr10	89638959
chr7	156828204
chr1	63988930
chr14	71159094
chr7	129710200
chr4	79653924
chr4	79613252
chr6	159537608
chr17	33887952
chr12	685486
chr12	1413630
chr1	90460413
chr10	103953212
chr6	169252016
chr6	17885123
chr1	54873379
chr7	116654957
chr17	26500298
chr17	26137471
chr3	193849124
chr10	104748917
chr1	91487736
chr5	169578614
chr2	197664447
chr10	14690296
chr6	17908106
chr4	88040184
chr10	105127617
chr4	89206085
chr14	93673482
chr11	130113894
chr10	106013139
chr10	108792291
chr4	89471136
chr12	1549044
chr1	25035633
chr2	63671931
chr5	173282793
chr2	85727409
chr17	73781232
chr17	67892811
chr7	123410704
chr12	4498007
chr14	78047459
chr17	31298436
chr1	55940001
chr14	78326438
chr10	17467993
chr3	194304488
chr4	81064644
chr1	54930536
chr14	81687698
chr10	17387906
chr10	101379159
chr12	4245285
chr22	20284215
chr6	161591683
chr20	48782759
chr17	74382043
chr6	163881563
chr5	172483363
chr9	80602064
chr17	40472165
chr22	24312665
chr17	40714403
chr7	142960564
chr17	55366021
chr10	49545256
chr10	49676399
chr6	10403095
chr6	147561928
chr1	84945040
chr10	51371345
chr10	51827667
chr2	208675692
chr4	25236625
chr2	70023514
chr17	49337633
chr9	131464764
chr2	209037032
chr14	53575869
chr7	151047251
chr22	30443475
chr4	26131996
chr17	48739406
chr14	30119972
chr7	141438067
chr6	5340161
chr2	70351286
chr4	37391809
chr10	63046587
chr10	63348647
chr6	11918853
chr17	56024377
chr14	24716270
chr14	35342811
chr7	150070885
chr6	15097515
chr17	57697013
chr6	139766810
chr2	65249064
chr22	35695911
chr12	22697497
chr14	33366539
chr10	43140696
chr6	14656432
chr4	15006785
chr22	32534119
chr7	150724085
chr1	85158799
chr17	58654642
chr14	35763607
chr17	56498393
chr6	13795465
chr14	37556640
chr10	45434576
chr17	56415076
chr1	22014409
chr10	45774530
chr12	26624616
chr14	39639584
chr14	31324653
chr17	47838449
chr17	47817065
chr12	25348280
chr1	89449735
chr12	10047958
chr22	25125132
chr4	49102256
chr4	54871851
chr7	137341236
chr14	24036735
chr9	37390938
chr22	24553058
chr14	24026918
chr9	131873360
chr6	693136
chr1	89357291
chr6	391805
chr12	10050916
chr9	37798904
chr1	65975791
chr1	65946831
chr4	57253560
chr6	229421
chr10	75490260
chr17	40851267
chr7	131207577
chr2	74682142
chr10	75716458
chr17	67089600
chr12	31806290
chr7	138037557
chr17	19411518
chr6	16006280
chr4	40207131
chr10	64415420
chr2	208541932
chr2	208195757
chr17	47465150
chr17	47257883
chr14	59642305
chr17	46918798
chr17	46095073
chr20	45989546
chr6	154841619
chr6	2990108
chr4	40202638
chr2	203240676
chr20	45946185
chr2	202098171
chr2	70913501
chr7	152011294
chr6	155672675
chr6	16131336
chr22	28329355
chr10	71993494
chr1	23885886
chr7	138775823
chr14	68034133
chr7	138729055
chr12	10282869
chr14	68146983
chr17	13416594
chr17	19015334
chr16	16915342
chr9	117264891
chr5	41904433
chr11	56894390
chr15	66790059
chr2	170870544
chr7	23053672
chr16	11401248
chr11	57508819
chr2	145244859
chr15	67095585
chr5	53621641
chr11	76338151
chr7	70148942
chr5	54198794
chr15	67332124
chr7	23387394
chr7	23586717
chr11	58912262
chr11	59278534
chr2	146450879
chr16	9173043
chr16	4897258
chr11	59434640
chr5	60704500
chr11	59578290
chr2	146481704
chr2	170681453
chr11	59952896
chr16	4010975
chr11	78003373
chr5	40578909
chr5	61708589
chr21	34681349
chr5	131832746
chr11	33966489
chr2	175352273
chr11	34621986
chr16	24706491
chr2	128587650
chr5	131800120
chr16	23912774
chr16	23838038
chr7	20259600
chr7	20310644
chr5	131758545
chr7	21453325
chr5	126333979
chr1	29063370
chr11	38560571
chr1	29216948
chr2	173420494
chr9	101130831
chr5	38807833
chr16	19707869
chr5	125850687
chr21	34697181
chr5	39080907
chr9	101614117
chr11	46563413
chr11	46582418
chr16	18957479
chr5	39117717
chr2	146506728
chr9	102972482
chr5	31532242
chr15	91590935
chr15	75940367
chr2	167214169
chr5	78908482
chr15	76867853
chr7	30348159
chr11	67771092
chr15	90692533
chr11	65239782
chr1	36103140
chr5	81147833
chr1	35965545
chr2	153550878
chr5	99982499
chr1	35451036
chr5	85913726
chr11	65479462
chr5	96271724
chr11	65543246
chr5	96270835
chr15	85567372
chr11	65686824
chr9	110546927
chr7	36636967
chr11	65769658
chr21	22572646
chr2	158678817
chr9	112083567
chr21	16135275
chr21	20830729
chr2	167232776
chr5	77655803
chr9	116102568
chr7	44187115
chr11	75045674
chr16	3156503
chr1	38455806
chr5	65075658
chr1	38391972
chr7	25935073
chr2	146508974
chr16	2570360
chr15	69745175
chr11	74459897
chr16	2014802
chr7	50152355
chr2	169853723
chr21	30543476
chr11	62420842
chr15	72668365
chr15	101667848
chr9	108006564
chr15	74287108
chr15	75072660
chr15	96807767
chr15	96270085
chr5	75953907
chr5	107338996
chr1	36916238
chr2	169630799
chr15	75465028
chr2	152639316
chr15	92014841
chr5	132126323
chr5	132198127
chr9	90328451
chr2	100752977
chr17	3835272
chr15	28512422
chr5	149082959
chr4	123745934
chr10	130397966
chr11	118966422
chr4	128981895
chr20	52364961
chr16	89988267
chr11	308132
chr15	35262001
chr21	46831551
chr21	46529887
chr11	356055
chr9	94696407
chr7	100995877
chr16	87422307
chr4	141758706
chr7	100495604
chr11	1509224
chr15	40875067
chr15	40883103
chr21	45138859
chr5	142965773
chr7	5497751
chr1	46528480
chr2	191049429
chr11	3924915
chr7	100145751
chr17	4166877
chr1	48036581
chr15	42263801
chr7	2119461
chr7	969863
chr17	18086602
chr4	95489153
chr9	91208920
chr14	101237691
chr7	1083883
chr17	16284419
chr4	102339406
chr14	102291464
chr17	14286791
chr7	107475079
chr17	76183157
chr17	13413641
chr11	125495822
chr10	118935588
chr4	109968123
chr7	106231080
chr17	7740302
chr1	52044242
chr10	121465047
chr7	105817288
chr11	123104217
chr17	7387710
chr7	1922817
chr15	27641777
chr17	6915759
chr17	6884972
chr2	99797568
chr4	119771830
chr4	154439995
chr5	140985383
chr16	28986088
chr11	12138150
chr16	53986529
chr1	45187301
chr11	13016219
chr16	50732092
chr1	27998696
chr1	44679109
chr9	98615056
chr16	48647012
chr7	10775402
chr16	47502178
chr16	47181213
chr11	18416051
chr15	52121987
chr7	12768920
chr11	95149241
chr16	31117253
chr11	20382378
chr15	57079365
chr16	30635129
chr5	133904765
chr2	121832866
chr11	94267561
chr11	94138434
chr2	177796788
chr5	14695458
chr15	59210841
chr2	127416869
chr7	17274255
chr16	29816858
chr9	125667774
chr4	186153562
chr11	113536027
chr4	185655380
chr15	43249186
chr1	46153791
chr11	5731612
chr5	139949018
chr16	71842812
chr7	99756467
chr11	6640519
chr15	44116813
chr16	70806631
chr16	70780764
chr11	8008683
chr7	99717018
chr1	27648722
chr15	44589005
chr15	45003572
chr11	9406164
chr21	42733865
chr16	69796062
chr11	9484869
chr15	45004872
chr16	67906955
chr5	139026761
chr4	175075818
chr11	107940890
chr11	10324479
chr5	138872460
chr15	49087000
chr16	57496538
chr1	27900977
chr6	136571502
chr10	50391860
chr17	76254832
chr1	227545294
chr1	148241545
chr3	5182808
chr19	17186291
chr1	200622460
chr1	200683843
chr1	144311283
chr3	98241668
chr3	98259454
chr2	27594353
chr6	32821609
chr1	11724795
chr8	81260277
chr6	17910641
chr12	57382268
chr1	203490751
chr3	105042046
chr12	133179230
chr1	11858660
chr12	56727723
chr12	56709772
chr8	146230389
chr9	251602
chr6	31795139
chr19	17516568
chr2	231276624
chr1	196621171
chr6	89673359
chr2	25524525
chr19	36231447
chr12	122096994
chr1	182809145
chr19	36119915
chr19	36103612
chr1	183430752
chr8	96282015
chr3	65025647
chr1	185129284
chr12	63254674
chr12	62658695
chr1	148241634
chr1	145455405
chr12	122751018
chr19	29097447
chr12	122985612
chr6	91168302
chr1	145969405
chr8	91200101
chr8	91180254
chr6	32821906
chr1	9834988
chr1	148241817
chr6	31782547
chr3	119289242
chr3	119814363
chr6	28695559
chr6	29935474
chr3	128732454
chr19	2950114
chr1	218458597
chr8	43109405
chr13	45492068
chr1	219638827
chr19	2273870
chr2	38879826
chr6	28864031
chr1	221927714
chr19	1897730
chr1	12589586
chr12	52810451
chr13	49721153
chr6	28311774
chr19	1132333
chr13	50811226
chr13	50909181
chr6	28220055
