Chrom	position
chr5	91280670
chr18	13726634
chr4	119300723
chr6	87155552
chr19	34359369
chr10	73096930
chr11	18394482
chr8	133375712
chr1	40161393
chr17	18183094
chr10	91633311
chr3	4987065
chr7	54759315
chr12	7970827
chr22	46762573
chr16	30065553
chr19	5720206
chr11	66421805
chr3	48557264
chr4	185396445
chr15	90165902
chr22	30424140
chr14	33938505
chr3	146161403
chr16	31094942
chr10	72261041
chr17	82231114
chr17	82458210
chr2	135985113
chr11	126163355
chr3	25790059
chr15	92809204
chr7	105012802
chr3	190566658
chr9	15422687
chr15	72226891
chr2	84946646
chr2	172556098
chr6	44073540
chr14	67695742
chr2	28392830
chr13	25301644
chr1	8879013
chr3	93470598
chr2	118088183
chr19	49987337
chr15	74890062
chr20	50166091
chr8	142699939
chr20	46089998
chr19	4968614
chr8	134832486
chr10	97426071
chr11	14520585
chr15	72230536
chr16	81568340
chr8	28365956
chr2	86440849
chr1	113812576
chr12	120474860
chr10	73773015
chr6	89081837
chr12	2812852
chr2	74740871
chr1	244835426
chr19	12832587
chr19	4769674
chr5	136058514
chr10	6201652
chr16	14364596
chr5	173329572
chr3	122978247
chr12	71754812
chr21	33915835
chr5	176837813
chr11	65084158
chr22	23894451
chr14	23301472
chr12	124838342
chr1	8212235
chr9	91193875
chr11	71299514
chr3	81761094
chr13	48303688
chr6	44011037
chr8	141716122
chr19	2740245
chr3	128680864
chr8	122760355
chr10	14397319
chr1	58755679
chr11	113875834
chr7	155070139
chr17	38286796
chr2	197500024
chr13	110006555
chr20	35617576
chr19	16572567
chr5	151081385
chr8	23345463
chr1	34925001
chr12	6533542
chr12	53321526
chr3	196082118
chr10	33005759
chr5	1568792
chr20	31968574
chr2	231613935
chr11	61567393
chr10	122912084
chr15	84915112
chr11	34105650
chr8	23164052
chr16	84643264
chr9	19161914
chr5	151924751
chr17	43251724
chr11	6683403
chr4	1410609
chr11	65455271
chr21	29259170
chr7	75486321
chr17	19977963
chr17	58692627
chr3	88059316
chr7	66921037
chr8	22598207
chr1	26408722
chr17	40312529
chr14	105801360
chr5	134648533
chr17	48107632
chr4	173369889
chr20	38033525
chr16	71462189
chr1	17233872
chr9	113221330
chr14	35535364
chr1	21238610
chr1	159910556
chr21	28992933
chr16	87860839
chr12	120446437
chr21	36430246
chr10	16986667
chr1	203861595
chr1	11929990
chr12	92145897
chr16	2682442
chr2	177618723
chr1	193121789
chr14	34035789
chr10	6299442
chr17	47229969
chr9	112041811
chr19	44742029
chr18	37270235
chr11	47579007
chr9	124110498
chr5	150000604
chr9	126082877
chr3	38165002
chr19	55643532
chr4	102869204
chr5	111092289
chr7	101117516
chr8	38901786
chr21	25607500
chr6	139980805
chr6	35259634
chr19	29606282
chr20	62623684
chr6	166958479
chr1	11859335
chr9	35673910
chr19	2087303
chr20	36384198
chr2	55617812
chr14	64987070
chr3	9363093
chr10	73730491
chr8	67825000
chr22	25448090
chr8	142235234
chr12	56468538
chr18	11851333
chr7	128455687
chr12	123633752
chr17	42773416
chr12	123602039
chr8	94441108
chr7	100158752
chr17	59565448
chr20	58651189
chr3	196503616
chr11	70650502
chr17	63600874
chr7	140626528
chr1	159177479
chr10	68901285
chr13	40771221
chr3	157088971
chr2	219230426
chr2	39124377
chr12	45728872
chr3	38805979
chr7	135171563
chr6	57317666
chr15	41402510
chr4	189774133
chr1	1471683
chr6	45697790
chr8	10990366
chr1	44775476
chr9	35657905
chr19	53103380
chr19	10333318
chr19	55634970
chr17	81861125
chr8	38839630
chr20	45088544
chr14	35292410
chr9	118331843
chr2	55269254
chr16	80027380
chr8	102807583
chr8	66925532
chr5	139531368
chr2	70142766
chr16	67170391
chr12	56118172
chr3	177300451
chr9	91197401
chr5	40835256
chr5	168486451
chr15	90930168
chr7	21946117
chr11	116788088
chr19	8362146
chr1	85607385
chr10	120851325
chr8	124539145
chr10	72297430
chr3	50569452
chr8	61714848
chr6	125780880
chr7	128343842
chr3	138174810
chr4	158723422
chr16	1309272
chr4	77158405
chr15	74873191
chr3	11642635
chr12	69470400
chr19	56638162
chr15	96273914
chr1	151909761
chr7	158864179
chr17	18315073
chr3	119463691
chr12	124423314
chr3	196568545
chr5	139526155
chr1	37764466
chr6	170554334
chr21	43728613
chr15	53831157
chr3	134333695
chr5	1634061
chr17	76872805
chr3	124701185
chr21	44939972
chr10	91923760
chr8	100150598
chr3	51995913
chr7	44490760
chr6	42217889
chr5	177351739
chr5	175797012
chr3	10460343
chr7	6577466
chr15	65611144
chr11	68903881
chr1	12478379
chr17	59209958
chr16	31117543
chr12	124938700
chr11	72434514
chr9	6757686
chr5	143246059
chr7	76549291
chr1	148522761
chr19	7563011
chr8	28412066
chr19	19516182
chr20	2664248
chr15	74615661
chr4	139295915
chr1	23825446
chr19	10928740
chr11	62025705
chr11	60842072
chr2	69893934
chr20	6006073
chr1	23177572
chr6	87590104
chr2	133818423
chr6	110982059
chr1	27322312
chr17	72407621
chr22	36529131
chr6	11393232
chr18	48998362
chr7	66682012
chr12	12725395
chr6	10747820
chr13	28659099
chr20	38446736
chr1	1079808
chr5	115626127
chr1	167220412
chr7	140479402
chr7	6826344
chr6	83859561
chr5	150142942
chr12	56152471
chr15	74995390
chr4	1712710
chr20	402038
chr19	10749218
chr17	28357635
chr16	2010017
chr12	57782741
chr12	57127378
chr10	73168071
chr10	101588330
chr11	66002237
chr17	2336440
chr1	42941207
chr15	64387798
chr9	92670370
chr1	234612865
chr19	4379727
chr5	139808757
chr4	49121019
chr17	17591681
chr1	228486737
chr1	9943415
chr10	131982030
chr2	162840803
chr7	74254385
chr4	73259210
chr20	2470809
chr7	155166898
chr2	3575172
chr22	18061300
chr11	118359578
chr5	69094050
chr8	143281700
chr11	9759862
chr9	137205730
chr3	10026383
chr19	2525137
chr19	11293888
chr5	181191825
chr12	75511743
chr16	84840193
chr5	77030342
chr11	10308001
chr11	47248869
chr11	66348133
chr2	20179789
chr3	101561833
chr7	47979562
chr19	51422162
chr20	10219682
chr7	72879326
chr1	37990081
chr2	20823101
chr9	37592599
chr21	8234500
chr3	149225385
chr20	63653343
chr17	62423830
chr16	87853915
chr1	148459504
chr16	1971961
chr1	156652234
chr16	1773169
chr16	85011592
chr19	58499560
chr5	134632832
chr22	50245083
chr1	155140545
chr16	58129630
chr1	155085243
chr1	15356511
chr17	18781225
chr17	27293987
chr22	43187805
chr1	145281265
chr12	122752748
chr12	132144369
chr8	48008487
chr17	77140415
chr3	195271547
chr1	43946492
chr8	10839865
chr16	75109107
chr20	37627171
chr2	117814652
chr5	160434196
chr18	23453136
chr5	134005024
chr2	110101526
chr2	74833860
chr7	30672052
chr3	81761767
chr2	27663568
chr2	27771794
chr9	133418117
chr16	87766075
chr4	139015430
chr2	28870325
chr1	65148690
chr5	110739019
chr12	55716068
chr3	131502991
chr6	161407655
chr11	128336454
chr2	37231586
chr14	20682819
chr1	28329037
chr2	38751352
chr12	11500782
chr5	68434288
chr12	2752812
chr18	77114723
chr6	157764850
chr20	31060501
chr20	62182936
chr20	45781718
chr7	102363841
chr16	78099428
chr1	44213413
chr7	99325796
chr16	86555254
chr3	162709130
chr16	88560926
chr10	100346500
chr22	31177625
chr6	31186142
chr1	149899599
chr17	74671419
chr3	32685218
chr17	75453229
chr2	112881416
chr17	78187104
chr16	56965669
chr19	19192195
chr6	33812872
chr2	202265710
chr9	131125594
chr1	150321543
chr3	10115564
chr12	102062105
chr17	18087877
chr12	74537863
chr6	69233051
chr9	123930290
chr5	175871893
chr15	34102023
chr5	102756162
chr14	61751140
chr14	60734853
chr3	187669834
chr5	75717148
chr5	74767186
chr17	38825372
chr14	49999308
chr5	111758201
chr9	125200403
chr14	73756666
chr2	119167254
chr1	19210391
chr5	139638374
chr14	77708076
chr5	141923772
chr1	109076024
chr1	11273356
chr10	47553460
chr3	141311833
chr11	65712217
chr22	31160090
chr6	113645720
chr15	65869434
chr2	24076420
chr1	218285200
chr22	20916933
chr12	45233139
chr19	10119941
chr20	3811837
chr22	37675128
chr17	8173504
chr11	125626013
chr15	75336051
chr4	158210491
chr2	45611238
chr22	26512465
chr2	223957419
chr3	130746799
chr15	75666888
chr3	140942666
chr9	92115412
chr6	73580514
chr17	50373191
chr3	53347623
chr3	48661869
chr9	105558047
chr4	138053850
chr13	52617465
chr13	52194455
chr11	69008961
chr16	81314829
chr9	127578990
chr9	127715798
chr11	77637827
chr9	91423389
chr14	34060300
chr11	65570389
chr5	73448741
chr11	65096130
chr7	73308873
chr2	101002310
chr10	49942016
chr9	91131729
chr3	100492662
chr20	31608485
chr17	31550135
chr20	37289632
chr17	64919505
chr9	124696783
chr15	43330390
chr15	41544242
chr20	45416127
chr3	129161247
chr17	19378202
chr18	268087
chr7	155209283
chr1	42658323
chr12	88580533
chr12	76348420
chr10	97687633
chr18	12287949
chr12	70645784
chr1	43172308
chr15	34969799
