Chrom	position
chr17	47001349
chr1	148522732
chr14	91241986
chr1	179882788
chr12	124927843
chr19	50345107
chr19	35205494
chr17	35947260
chr12	112014777
chr19	1904487
chr21	34615451
chr12	14614993
chr1	64864315
chr6	40149071
chr1	156726019
chr5	141960964
chr22	31490616
chr18	79820257
chr18	3178102
chr9	99130300
chr9	2761673
chr11	118011153
chr17	44348333
chr17	68172553
chr17	76408691
chr2	60439571
chr19	2631660
chr20	36843555
chr2	100142642
chr7	5218793
chr7	122544672
chr1	192609300
chr8	18847110
chr13	52921410
chr16	56931701
chr16	58243644
chr12	16199082
chr11	46603899
chr1	206012248
chr14	76905150
chr2	65228472
chr18	70036885
chr14	68268406
chr18	58015213
chr1	115976233
chr20	32277613
chr14	67816786
chr2	42752478
chr2	216491997
chr1	14254405
chr5	10505774
chr7	21355533
chr13	109162373
chr9	112061456
chr12	108712595
chr8	60999362
chr2	41955834
chr1	154407465
chr2	30683429
chr17	38752620
chr22	40050420
chr17	18751178
chr1	205288400
chr17	27806064
chr15	83956155
chr15	84750792
chr1	184548308
chr1	86617110
chr5	54786341
chr3	5038088
chr8	102239857
chr1	37289069
chr1	111505992
chr10	85947169
chr7	47574884
chr18	32907065
chr12	4118263
chr5	125829501
chr3	2944834
chr14	93967894
chr8	37402086
chr18	13893601
chr3	129233768
chr12	116858217
chr7	100887770
chr3	129424447
chr7	50416647
chr1	183590629
chr6	30200970
chr12	52118617
chr1	153599109
chr11	61095242
chr17	68498174
chr2	11753628
chr14	24274312
chr3	46095483
chr11	62555697
chr1	28172912
chr17	74467804
chr11	75773742
chr1	52637251
chr10	63698616
chr1	211677834
chr3	112677065
chr11	73983231
chr7	134293264
chr7	76606226
chr3	11140575
chr2	58032459
chr17	1463541
chr22	37285180
chr1	218456644
chr18	3585092
chr10	92742425
chr5	35518304
chr10	92756635
chr6	142913700
chr6	1739842
chr18	58999083
chr3	122573100
chr7	29282991
chr13	78022362
chr2	105129879
chr6	154355122
chr5	88827447
chr16	46659175
chr3	140843431
chr2	64260990
chr7	142955048
chr3	42490468
chr16	71853610
chr14	95328027
chr14	95495724
chr14	96012975
chr4	182970133
chr12	47312967
chr14	100015537
chr1	108043904
chr16	48188666
chr6	53199323
chr13	48078369
chr10	23742564
chr6	12357538
chr6	3027224
chr3	53158880
chr8	42284739
chr3	20126142
chr12	47408456
chr1	157774187
chr18	79793169
chr2	230589719
chr8	51937555
chr10	96764481
chr11	121570148
chr5	56565927
chr12	89574817
chr8	119601499
chr2	195536438
chr4	81635902
chr13	22883623
chr2	104976685
chr2	196211406
chr2	196250031
chr11	60910424
chr3	13332412
chr1	183911527
chr1	183956840
chr3	22157018
chr11	72392306
chr8	127137495
chr8	11492206
chr19	55254235
chr4	168741967
chr13	48579337
chr11	127074670
chr17	80737604
chr1	20060038
chr7	27713438
chr10	15189702
chr3	106629677
chr19	51607196
chr19	11206090
chr11	60310827
chr5	53008972
chr1	181129314
chr1	217323015
chr10	14608665
chr2	102033626
chr13	28527863
chr17	77876029
chr3	39255817
chr12	46536479
chr2	64474489
chr6	16493313
chr9	89522579
chr18	47680070
chr21	31327125
chr12	76777848
chr10	48668190
chr12	77060652
chr4	40307845
chr3	18223788
chr1	167499863
chr7	99380313
chr7	38694518
chr2	118056319
chr6	42930193
chr10	84013249
chr8	99233179
chr6	11877135
chr5	119290431
chr18	36150097
chr20	19706620
chr20	64252927
chr18	48715811
chr7	46522566
chr6	36312946
chr1	160540329
chr1	116794942
chr3	184765988
chr7	43649903
chr3	61358635
chr14	66140425
chr6	10889587
chr12	8037238
chr11	45032345
chr1	161718995
chr10	79939041
chr12	32139221
chr3	185208227
chr1	56473052
chr6	149468327
chr1	56516591
chr16	66524959
chr1	169044553
chr6	43684231
chr10	88108422
chr21	34545437
chr12	45984702
chr2	112636711
chr16	68741169
