Chrom	position
chr5	66502938
chr17	57864009
chr16	11327140
chr6	37018147
chr20	30263785
chr6	37151178
chr3	17193326
chr12	109022350
chr3	50649448
chr9	88555783
chr17	53421994
chr17	33864775
chr19	3155281
chr3	50638734
chr6	41903985
chr1	159047102
chr17	78228780
chr9	117481298
chr12	92797816
chr6	84569244
chr3	187463239
chr12	4262906
chr5	140018843
chr3	4781642
chr1	150534668
chr19	49403396
chr5	156971754
chr1	26827799
chr1	150540026
chr7	107300311
chr8	144629558
chr12	93964685
chr15	101137193
chr1	180554779
chr12	94136038
chr7	32945083
chr2	39444136
chr12	66696234
chr8	37749473
chr19	16482592
chr14	34513128
chr8	67446013
chr7	39629417
chr2	162849237
chr1	2222308
chr3	156892751
chr3	5028725
chr17	76356221
chr3	196001639
chr11	10879360
chr2	192502378
chr1	8960157
chr18	12904162
chr4	109894204
chr13	49136629
chr14	23025350
chr21	32727112
chr1	55606433
chr19	39894602
chr17	74188213
chr15	67012657
chr16	9173031
chr2	196424515
chr4	40202635
chr1	9777896
chr6	160883700
chr10	73508696
chr10	11220929
chr10	17071706
chr20	45618998
chr2	161934205
chr11	65188867
chr21	34144329
chr8	125274180
chr11	62609088
chr11	104747971
chr1	118207153
chr11	45856157
chr18	42305756
chr5	171540296
chr3	171825019
chr11	88154901
chr3	192611060
chr8	29356964
chr9	136013052
chr11	5710969
chr12	110517432
chr2	86221275
chr4	40057252
chr20	48210963
chr1	145427635
chr13	46734748
chr16	11146078
chr14	100844304
chr14	24630403
chr1	152007237
chr3	50611148
chr19	35168192
chr10	112261213
chr16	11198958
chr9	127632669
chr1	12509750
chr2	114634568
chr15	74838730
chr4	103508064
chr18	43735961
chr9	101855360
chr2	74494407
chr12	7261873
chr17	38673248
chr7	114649362
chr17	57915284
chr2	39369333
chr6	130835164
chr1	163291601
chr11	117873068
chr2	7050080
chr11	61872819
chr12	49246179
chr3	131221856
chr6	26123289
chr8	56987146
chr1	185409117
chr2	144016188
chr5	80051714
chr8	126954581
chr10	112264021
chr7	77543690
chr16	3125220
chr16	67018856
chr22	19467124
chr12	46613802
chr2	217745593
chr12	4381991
chr4	102127297
chr3	45106389
chr2	62932680
chr15	45021013
chr11	65192774
chr1	111422751
chr1	12079373
chr19	50528972
chr17	53497546
chr16	46422668
chr3	194024372
chr17	7456133
chr20	2644907
chr9	73034166
chr15	91192036
chr18	21599797
chr14	72943705
chr5	76151947
chr3	50628358
chr2	192540691
chr7	92314692
chr3	50637814
chr2	231524019
chr19	12904484
chr16	21518468
chr10	105670835
chr3	192616920
chr18	60867434
chr12	47754646
chr9	98785168
chr21	44783005
chr9	22073539
chr15	58837781
chr16	50279403
chr1	160635752
chr6	106968890
chr11	44552128
chr19	51014714
chr9	126965024
chr16	29611587
chr6	26027508
chr9	94877848
chr10	130262841
chr2	8685286
chr3	177063595
chr3	126630468
chr2	122288523
chr2	202271230
chr16	68390482
chr1	155163212
chr14	52819084
chr13	114908257
chr19	14486188
chr1	179851895
chr19	18401239
chr10	50391878
chr1	169013805
chr3	151961313
chr2	74433471
chr15	64679994
chr9	100864407
chr12	62654725
chr19	2562070
chr16	420662
chr6	26204823
chr1	32394535
chr3	195531401
chr8	98787323
chr5	169724820
chr3	187717781
chr7	21395166
chr17	55677647
chr19	14479076
chr5	64372490
chr3	52029905
chr19	36618867
chr19	45256743
chr2	120989999
chr7	150019673
chr2	149639331
chr5	43040493
chr5	99983794
chr9	98225041
chr4	185395922
chr2	36473637
chr6	6655313
chr6	90943849
chr11	133815262
chr8	74224718
chr10	6114692
chr17	71663455
chr2	64083498
chr11	78036696
chr6	160400407
chr12	47610145
chr12	56415218
chr1	85328660
chr14	64331186
chr10	5339533
chr2	70270829
chr15	70744692
chr20	2506465
chr10	30316408
chr22	28792221
chr12	4378605
chr1	156163769
chr12	76328402
chr1	26947164
chr15	101142401
chr14	55240208
chr1	186258144
chr2	191885118
chr5	156680267
chr15	38746337
chr1	148241579
chr17	8844910
chr7	141438064
chr19	13947859
chr10	6625598
chr6	119031365
chr12	46122690
chr14	95989808
chr2	95740469
chr2	131862799
chr13	32890120
chr6	149462189
chr7	142506681
chr12	111868193
chr1	93544750
chr14	100545548
chr21	22572636
chr14	61919447
chr17	47819872
chr14	90108050
chr5	55908786
chr17	78821515
chr21	11186608
chr8	134058241
chr13	80025816
chr7	97884798
chr10	70982598
chr12	9894544
chr3	122399652
chr20	37064064
chr5	159471487
chr4	49123046
chr17	28087509
chr7	38255537
chr20	5591798
chr9	130318463
chr1	147994272
chr7	12762574
chr2	235399033
chr18	60873197
chr18	60880696
chr2	219261010
chr16	46421810
chr21	34807262
chr3	39219363
chr1	234861133
chr6	31550315
chr1	6761908
chr1	175158217
chr12	46384616
chr5	112214668
chr2	113033013
chr10	125795569
chr16	17441048
chr22	36044440
chr3	187463581
chr7	105987249
chr14	70163789
chr1	235147871
chr15	67383782
chr1	45187424
chr9	132625532
chr3	194025119
chr1	54750613
chr8	19674830
chr3	196625720
chr5	172483352
chr11	78003360
chr10	130833939
chr6	28973441
chr15	75890242
chr1	9006743
chr20	23331295
chr6	26189321
chr11	43890691
chr17	79779826
chr2	198753898
chr6	27799423
chr21	47012460
chr19	16480141
chr20	57235013
chr4	148973854
chr22	37518340
chr5	158634732
chr20	46116129
chr12	9917563
chr1	47047390
chr1	65859233
chr20	1415822
chr2	202117412
chr10	102269127
chr1	59282009
chr10	11752896
chr2	20101865
chr4	159968764
chr19	45674781
chr22	40316360
chr3	50610411
chr15	79229657
chr16	46393021
chr6	29932725
chr18	12839845
chr5	142965766
chr10	63943339
chr9	96725392
chr10	63808409
chr11	77348881
chr7	123352048
chr7	644266
chr20	35575587
chr15	81459782
chr11	10610636
chr16	66556303
chr12	48202035
chr2	197125487
chr1	30664141
chr1	110406968
chr18	47340793
chr14	66394818
chr14	66317327
chr6	20404238
chr12	96883279
chr2	197664459
chr16	11254746
chr17	76409318
chr11	122941394
chr3	56817950
chr11	35364988
chr7	48137218
chr2	11970548
chr16	50718062
chr9	117453515
chr3	128957995
chr10	3819360
chr14	90863335
chr22	37257361
chr15	49447903
chr13	48669321
chr2	90383296
chr19	2032071
chr7	1922784
chr6	26285815
chr6	131949436
chr17	16284337
chr17	1776854
chr16	46433297
chr3	45709687
chr2	227637550
chr1	156571353
chr4	10673127
chr4	49151717
chr3	20145941
chr16	25072411
chr6	71361176
chr10	35240655
chr12	104872369
chr17	78992146
chr7	139952869
chr14	62019818
chr12	32174080
chr3	4872728
chr3	186589295
chr8	121744619
chr9	20514842
chr1	21716480
chr7	139910317
chr1	193028573
chr2	13105740
chr2	224822139
chr8	126946456
chr3	156837341
chr3	170985046
chr3	156878003
chr12	120729435
chr21	16108740
chr16	50781195
chr5	157030573
chr6	26104128
chr12	112568585
chr2	32502841
chr3	158362240
chr10	7275611
chr19	16462058
chr8	29948507
chr7	99756470
chr21	45275177
chr13	80096889
chr16	46420342
chr8	19333226
chr1	203256792
chr21	32505392
chr2	102844244
chr16	88758766
chr12	10902875
chr1	565324
chr16	31262497
chr12	109232337
chr2	120687241
chr11	65264960
chr21	34588076
chr18	9084059
chr20	48909240
chr16	31471352
chr1	89594710
chr9	113019202
chr1	183549488
chr5	133968547
chr9	136009286
chr2	197041026
chr15	59566475
chr1	100598578
chr4	49653477
chr7	138794566
chr2	201981526
chr11	64863611
chr22	30097315
chr16	10456345
chr17	39829589
chr7	151536285
chr12	53845730
chr1	70820498
chr12	57024198
chr17	17082864
chr3	101833286
chr17	76352619
chr7	24964156
chr1	35965560
chr2	191929509
chr18	60829240
chr20	3400949
chr3	185216815
chr1	93456606
chr6	149449798
chr3	160116962
chr20	62339286
chr14	91668836
chr5	42950944
chr1	230262926
chr10	6338573
chr7	36238768
chr6	167321004
chr2	148778495
chr6	106263136
chr12	69067688
chr5	110427980
chr10	75681945
chr6	157744586
chr12	7053220
chr15	83209344
chr6	73270923
chr4	152020644
chr2	90392895
chr6	20534543
chr6	25006936
chr1	185148038
chr16	46432833
chr11	74886023
chr17	13940988
chr14	52819488
chr8	29107620
chr1	156187919
chr4	49659605
chr8	20123298
chr9	123659636
chr7	100042512
chr8	126606462
chr10	120891571
chr7	110723716
chr1	186390208
chr4	40435763
chr2	9922513
chr7	2996578
chr17	76259412
chr9	22079911
chr1	17222686
chr15	60130727
chr20	46236105
chr21	37693215
chr2	92269352
chr12	15715365
chr6	142468264
chr7	110617629
chr8	20134822
chr19	41963363
chr11	3078664
chr11	76299497
chr1	16840526
chr9	237740
chr22	30580028
chr12	75905445
chr16	27329877
chr19	50878221
chr17	39835441
chr10	72502472
chr3	98275249
chr12	38710482
chr16	21623266
chr11	118889110
chr19	16377528
chr11	45826491
chr1	182585351
chr17	75182436
chr3	69141245
chr16	46428710
chr12	102188997
chr11	47907807
chr15	60771491
chrUn_gl000228	118377
chr17	38137060
chr2	100900352
chr3	186738428
chr17	41438580
chr1	180806394
chr6	91168296
chr9	117661161
chr14	71353602
chr4	90224512
chr1	41328409
chr17	57518253
chr5	79286238
chr9	20209494
chr1	569412
chr20	54987389
chr10	63824110
chr11	277627
chr13	96033026
chr7	47258605
chr22	30617414
chr3	119276939
chr22	24407843
chr17	17752636
chr17	58248034
chr15	58777131
chr7	96746924
chr5	43020315
chr20	35286933
chr19	12946230
chr19	17983638
chr17	36858466
chr3	97629976
chr2	39666932
chr12	111264664
chr12	133264104
chr17	61920540
chr12	102437880
chr21	32554874
chr16	46407407
chr8	129672108
chr6	41985076
chr10	112262939
chr17	41150288
chr14	64405443
chr3	124844838
chr3	60034476
chr8	126942763
chr14	103894001
chr5	133268542
chr2	235310177
chr6	2543263
chr9	100811784
chr4	39087658
chr5	54198813
chr1	26324853
chr15	101991783
chr12	82752256
chr1	212895113
chr1	22118119
chr22	20104713
chr4	78783859
chr10	92961340
chr2	89867456
chr17	58155506
chr7	48019258
chr21	40357735
chr8	33330763
chr1	236051681
chr1	110448961
chr19	42985124
chr4	38858319
chr19	46220865
chr21	30164488
chr7	98967814
chr9	134273858
chr1	66742055
chr12	51762969
chr8	8730010
chr17	78851441
chr2	196401138
chr5	110866124
chr8	8869690
chr10	103879531
chr2	175499021
chr19	39146375
chr3	172310351
chr3	141217853
chr2	10830138
chr17	46569165
chr1	145382887
chr20	10419062
chr9	107753471
chr2	11828669
