Chrom	position
chr15	41245422
chr16	46420343
chr11	34296412
chr10	42364758
chr17	70497565
chr16	87887307
chr16	87812829
chr12	131400875
chr16	46396719
chr16	46385954
chr5	145061427
chr7	158387959
chr10	101190591
chr8	144751758
chr16	46418757
chr11	46264942
chr1	207490113
chr1	569407
chr16	46417254
chr12	100623811
chr6	45413748
chr10	38872158
chr7	77168199
chr8	124674471
chr1	204476283
chr7	5436936
chr16	46428728
chr16	46403864
chr16	46435397
chr16	46434795
chr16	46433067
chr3	169716676
chr17	34044262
chr7	115480907
chr4	49123019
chr1	214390209
chr7	17029765
chr6	53330709
chr14	30920063
chr3	183729235
chr4	6635082
chr1	205288756
chr14	31699057
chr5	101811778
chr3	186503639
chr3	191109279
chr7	30591003
chr3	119879034
chr1	212782102
chr7	99006489
chr8	124417987
chr3	194215065
chr5	81937298
chr1	201123707
chr3	149986668
chr3	178161165
chr8	67085380
chr4	139163573
chr7	12982303
chr17	29399413
chr5	126012035
chr5	52856406
chr7	31204652
chr17	39066995
chr3	169472629
chr9	110045298
chr7	156945359
chr2	11623378
chr12	25539276
chr7	148926122
chr5	148865609
chr16	46412567
chr16	85754045
chr8	102450847
chr3	138631397
chr1	226890628
chr10	35784586
chr11	114050209
chr11	62276008
chr12	132345472
chr10	92780637
chr2	89875337
chr17	77967416
chr3	184514928
chr20	49838680
chr7	55035345
chr3	175611605
chr10	95195041
chr10	42379903
chr1	212659854
chr2	76484062
chr10	86392896
chr3	169842975
chr19	4801065
chr4	1694996
chr19	7717252
chr16	85505696
chr20	43357623
chr3	185540969
chr1	8319352
chr15	55489189
chr16	46386713
chr3	174963650
chr14	22415147
chr3	160888843
chr4	80194756
chr8	116873758
chr3	169508492
chr4	49659623
chr11	134763103
chr8	115810157
chr4	72302652
chr6	27090302
chr4	57587052
chr3	160268608
chr8	117877528
chr4	74988946
chr8	116577287
chr18	8673348
chr3	160267546
chr6	26661905
chr3	160162587
chr1	214679771
chr1	214592982
chr3	159867515
chr4	49109463
chr3	197143179
chr2	43503816
chr3	168162266
chr1	224626904
chr8	103922115
chr14	59729952
chr3	169145421
chr1	224786980
chr8	103788659
chr3	169090892
chr19	2528907
chr14	51535032
chr8	102507555
chr6	66901382
chr1	226706380
chr14	52924878
chr8	104439671
chr6	70406575
chr18	63586793
chr3	169064561
chr14	53273925
chr18	62626859
chr3	197520402
chr6	72672177
chr6	79798118
chr18	48551047
chr18	45883571
chr14	56097597
chr6	88441736
chr6	54373167
chr8	104609694
chr8	114368460
chr3	169356948
chr2	42258160
chr1	215573883
chr2	38101567
chr6	38670650
chr14	34204346
chr2	36288976
chr11	130938311
chr3	162843601
chr6	44042263
chr3	196768885
chr6	44648928
chr6	83765493
chr2	11287170
chr11	122852925
chr4	29774254
chr2	7172136
chr3	164182995
chr6	49998988
chr19	47438596
chr8	107361098
chr19	38227321
chr19	38086235
chr4	12250407
chr1	222808058
chr11	128237607
chr3	166726385
chr8	108945172
chr2	135768006
chr4	81057519
chr20	21697718
chr13	33694258
chr8	145180786
chr8	145118406
chr12	48064575
chr1	184020824
chr5	167604502
chr5	167723887
chr5	167792849
chr8	141908429
chr8	141353420
chr2	242642778
chr13	51227481
chr5	1122710
chr13	52138474
chr12	44966018
chr5	172438800
chr8	136478532
chr3	143566694
chr1	188681338
chr2	228213241
chr3	143751011
chr1	188962477
chr3	143804959
chr5	173194765
chr1	189745999
chr2	223233896
chr1	190832923
chr1	182938423
chr20	32320441
chr4	81146787
chr12	50482784
chr3	115625191
chr9	80911885
chr3	118537578
chr12	57449902
chr5	156606739
chr12	123850164
chr12	56435764
chr12	56366133
chr12	55412056
chr1	174245008
chr12	125735091
chr12	54192497
chr9	68419460
chr5	159471195
chr12	126443464
chr20	38988368
chr1	176089198
chr20	38345648
chr12	53140522
chr12	128894805
chr5	162109286
chr1	178280096
chr12	52348824
chr12	131200005
chr3	134071274
chr3	134418400
chr12	50645897
chr2	219366658
chr13	71087785
chr13	72424037
chr1	191666873
chr12	28227405
chr1	202896445
chr2	140152070
chr8	124576401
chr8	124513258
chr4	110495333
chr2	136468865
chr3	169580000
chr3	155383195
chr3	155491549
chr4	103651509
chr1	204381138
chr3	155572354
chr6	17145014
chr13	106523439
chr8	122515050
chr2	120041572
chr13	106940164
chr13	109421803
chr2	107689018
chr6	21304128
chr4	87308751
chr2	100040488
chr4	82393643
chr2	90375395
chr6	24303223
chr6	24776242
chr4	124400280
chr2	159059257
chr4	131812104
chr12	40358520
chr2	216847428
chr8	133911325
chr8	133059335
chr2	212046666
chr13	76410794
chr12	41778466
chr1	193723750
chr8	131495698
chr2	203429948
chr1	196281118
chr4	160519476
chr12	40559140
chr3	149207503
chr13	94641688
chr12	39441381
chr8	129374429
chr8	129189397
chr3	150187478
chr6	3670330
chr4	151051525
chr1	198198358
chr2	178128240
chr3	150910652
chr8	128022806
chr1	199390360
chr2	173311382
chr6	113917122
chr6	153932824
chr14	66169325
chr17	22020711
chr17	29982155
chr3	178841322
chr3	178866414
chr15	78784438
chr15	79166064
chr3	179007314
chr3	179106605
chr7	35897717
chr10	68237573
chr8	8319169
chr17	25572209
chr10	74032699
chr11	31701381
chr3	190883621
chr15	90460137
chr10	75949967
chr17	19262148
chr7	137331128
chr7	135661363
chr7	131064973
chr3	179820019
chr3	179869948
chr7	129341945
chr3	179995036
chr7	128089057
chr7	120414660
chr10	79190914
chr3	178642459
chr7	34097669
chr8	35574608
chr7	31597885
chr3	177169158
chr15	60672092
chr11	44577010
chr7	27850831
chr17	40049694
chr7	28076610
chr10	58293944
chr17	39705256
chr8	40393947
chr15	61898085
chr17	39571795
chr3	177337179
chr3	190607422
chr8	39912467
chr11	41407865
chr3	177528195
chr3	177594956
chr10	61062940
chr15	65862688
chr3	177684411
chr17	38375179
chr3	177853696
chr8	37548903
chr3	177935534
chr8	37229536
chr8	37003369
chr15	70301144
chr15	94830938
chr16	89477287
chr7	114743424
chr16	15554087
chr7	80260377
chr7	53061740
chr7	80198662
chr3	182429097
chr16	77878671
chr16	20841072
chr3	182623559
chr7	78347128
chr10	95524948
chr3	184053496
chr7	61794616
chr16	29690789
chr3	183967372
chr16	31195146
chr16	46396273
chr16	46407413
chr16	46405157
chr16	62434184
chr3	183623020
chr16	53810216
chr7	68877733
chr16	48199446
chr16	46427051
chr16	46423608
chr7	80828290
chr3	182175717
chr7	113750192
chr3	185012519
chr16	88576958
chr16	88111119
chr3	180643343
chr7	95138826
chr7	92920238
chr16	85709574
chr15	99882158
chr11	20009825
chr3	181150175
chr15	101262133
chr16	85604289
chr3	185618112
chr11	14276555
chr16	85407958
chr10	86227071
chr16	85398399
chr7	85695506
chr3	181618625
chr7	83707717
chr10	133811445
chr16	83339406
chr16	9162162
chr3	185216706
chr10	89539792
chr16	11689952
chr16	14106768
chr3	185050490
chr11	45000125
chr17	42190895
chr3	196562665
chr10	3514623
chr6	158016671
chr17	72811786
chr8	85748314
chr3	195429505
chr17	71304456
chr3	171459051
chr17	70681415
chr11	104879204
chr11	104222878
chr17	69704566
chr3	171732898
chr17	69421699
chr7	2232995
chr3	194857601
chr15	57635527
chr7	3062198
chr10	4770860
chr3	194403222
chr3	172279820
chr7	5553865
chr10	5596611
chr3	172398085
chr7	6594821
chr3	194246902
chr3	194179957
chr10	7340530
chr3	172796001
chr14	100045653
chr6	157377187
chr17	73455682
chr11	111671398
chr9	88204820
chr6	124521439
chr6	125189116
chr17	80110597
chr3	196534744
chr3	196533565
chr8	95123639
chr6	126167757
chr1	234782924
chr3	169951444
chr1	235484125
chr3	170073488
chr11	120172791
chr14	69036942
chr6	136495154
chr6	137119487
chr3	170284299
chr14	69784644
chr1	237051680
chr6	145052671
chr3	195933953
chr14	74226934
chr11	113766402
chr3	195869400
chr17	74637858
chr3	170843062
chr6	152957312
chr3	170893210
chr7	8619878
chr10	8892590
chr17	61689631
chr3	175051337
chr11	65255169
chr8	58095098
chr11	64078738
chr10	35519375
chr17	49060725
chr11	62003876
chr8	55484945
chr10	42365074
chr17	47964760
chr10	44065410
chr8	54236137
chr3	175895645
chr15	47746872
chr3	176189696
chr15	49170388
chr10	47058729
chr3	176291067
chr17	46276495
chr11	50114962
chr15	52848577
chr11	47270499
chr10	53002364
chr8	48556687
chr3	191220723
chr3	176838435
chr11	46493850
chr3	177002487
chr7	18621595
chr15	37029732
chr3	173314492
chr3	174879157
chr8	71130729
chr17	61068049
chr7	11379741
chr17	60897344
chr8	69766841
chr8	69644212
chr3	173630257
chr3	193632189
chr15	20546318
chr15	20858717
chr7	12981431
chr17	58422161
chr8	67026932
chr8	67003299
chr10	13629252
chr3	193430065
chr17	57929586
chr10	14367519
chr10	14614203
chr17	56860885
chr17	56596184
chr3	174383345
chr8	62517400
chr7	16887131
chr8	60182570
chr3	174807629
chr11	68890478
chr5	154448390
chr1	565316
chr21	30447077
chr12	59707520
chr3	111301171
chr5	142361993
chr9	112951493
chr22	26275420
chr12	111941240
chr22	27517474
chr21	41225597
chr9	116870173
chr12	69278327
chr12	60515626
chr5	73209024
chr21	22784551
chr12	116713635
chr21	36109477
chr12	86039672
chr5	116766675
chr1	37588857
chr3	14474161
chr1	28573032
chr9	131082921
chr12	83325268
chr5	123935398
chr21	44763208
chr22	41128993
chr9	130727950
chr12	107831772
chr1	23493600
chr3	37794966
chr12	64923300
chr12	75299891
chr12	84947346
chr5	105233902
chr9	116396758
chr12	86080130
chr12	102652675
chr3	23485511
chr1	164548812
chr12	86302277
chr3	45697532
chr3	45718851
chr5	115863338
chr12	115658561
chr21	45006112
chr5	54134389
chr12	65950675
chr22	24594241
chr1	150669606
chr12	116475783
chr12	65536352
chr12	92437076
chr21	30268210
chr12	76218326
chr5	149323467
chr9	134045243
chr3	53648612
chr21	37565702
chr3	103612896
chr1	15371468
chr12	117004164
chr21	43101630
chr20	57531297
chr1	95006925
chr1	161710752
chr5	117448879
chr12	63232994
chr5	106652955
chr1	10534918
chr12	85430273
chr5	147546799
chr22	29913773
chr1	72040046
