Chrom	position
chr3	66813851
chr15	52580729
chr16	88298694
chr7	141395751
chr4	4543732
chr12	125322903
chr10	133344824
chr8	29610002
chr7	105710699
chr17	7591620
chr8	125869157
chr14	69618299
chr4	78026283
chr9	138287317
chr14	59711464
chr3	48594686
chr3	122102957
chr3	58089030
chr12	14994911
chr3	72677375
chr10	69991277
chr19	7745609
chr20	11392519
chr3	25611486
chr8	58491978
chr17	12806181
chr10	53562644
chr19	4831789
chr9	97581797
chr1	53573353
chr3	133461681
chr19	5298601
chr21	45079325
chr14	102512889
chr6	74363610
chr10	60027832
chr3	57935609
chr13	74352820
chr12	118573850
chr14	93075821
chr5	158837675
chr13	76054981
chr21	15646248
chr9	15401473
chr2	114361462
chr9	15422693
chr3	38388271
chr1	18995420
chr10	70287273
chr8	20054730
chr14	104165343
chr2	106072248
chr9	33415687
chr4	76649697
chr14	24740794
chr10	74033584
chr7	55249050
chr10	74075515
chr8	134387904
chr1	224626819
chr10	123822884
chr2	102649944
chr1	12658008
chr1	12676091
chr5	172710787
chr2	232478668
chr9	35604221
chr6	39891303
chr5	57484206
chr7	127777430
chr2	106139297
chr18	76823057
chr2	8818974
chr17	74178385
chr7	137638709
chr5	176273924
chr1	94375141
chr1	33807956
chr15	25684173
chr1	114889313
chr11	46920476
chr18	60988177
chr17	25574576
chr4	160024115
chr1	16563678
chr1	228231408
chr12	446336
chr19	37178319
chr1	10785176
chr10	124802949
chr2	10545752
chr2	100273543
chr18	20695797
chr3	156806753
chr7	21583558
chr17	75798106
chr16	8891617
chr3	24406821
chr3	66271362
chr2	218112376
chr11	2860659
chr7	157197866
chr2	218113274
chr12	8142801
chr11	117915093
chr18	52632119
chr14	37905902
chr2	128615751
chr14	63971493
chr16	75467175
chr19	19145320
chr15	85473314
chr7	41105562
chr19	18682496
chr5	38660435
chr1	192778086
chr7	97983913
chr17	26926007
chr1	27334740
chr7	93633709
chr10	99334594
chr2	172864880
chr8	581022
chr4	25235576
chr17	27527715
chr12	10321848
chr19	3506075
chr3	53106808
chr5	90676006
chr6	29974664
chr6	163912402
chr12	3853073
chr1	247494530
chr22	41844564
chr19	389465
chr5	90576464
chr8	27608128
chr19	453969
chr1	249201421
chr5	90515119
chr18	74256158
chr19	344948
chr22	41840510
chr8	27386737
chr5	92414453
chr8	26496085
chr8	26516855
chr12	4140633
chr12	4060680
chr8	27168982
chr10	9496176
chr8	27183021
chr10	9444689
chr6	168405783
chr8	27198271
chr18	77766937
chr19	2977610
chr5	92088112
chr20	39308019
chr15	71946590
chr8	27335409
chr8	27699658
chr19	485205
chr12	4407059
chr5	89705560
chr12	3620609
chr6	168198336
chr6	168192246
chr12	122934192
chr19	2727729
chr3	52815874
chr20	37628920
chr3	52043862
