Chrom	position
chr1	28088612
chr22	17988360
chr7	152436793
chr20	36556719
chr19	14072121
chr5	139388471
chr11	61971985
chr22	50306031
chr16	30814317
chr5	149562059
chr12	6235592
chr6	36885954
chr11	1072444
chr17	78169486
chr12	53079437
chr14	32354926
chr7	101856939
chr1	46183235
chr11	119730064
chr3	190812019
chr19	35449657
chr19	38058168
chr2	3575204
chr20	2470904
chr9	38069756
chr17	14738444
chr14	54773503
chr8	100488022
chr17	40314791
chr7	73308884
chr5	181206830
chr19	47244300
chr2	10452566
chr3	31981741
chr19	45717549
chr20	58651204
chr1	209827917
chr21	46286317
chr12	122127332
chr11	47768539
chr2	223957403
chr14	74881811
chr12	38316741
chr4	782124
chr10	12068731
chr2	222959541
chr19	15836866
chr19	3572588
chr8	95408244
chr1	205122303
chr2	241102394
chr2	1625391
chr6	41787617
chr5	94021415
chr8	22604683
chr1	85297913
chr7	26200196
chr15	55408482
chr10	70775245
chr14	100108493
chr17	58991989
chr11	1220054
chr15	58866472
chr5	81852024
chr17	73003729
chr3	156812682
chr8	29286946
chr11	118252118
chr12	6364006
chr8	73356424
chr2	1246405
chr3	71423528
chr17	68019963
chr17	5439251
chr20	39050224
chr3	194685871
chr20	38605148
chr11	61333355
chr17	18781249
chr10	101066253
chr17	18315327
chr1	154961777
chr15	74546337
chr1	161133168
chr12	52984281
chr1	161202310
chr6	157763502
chr12	52215681
chr7	144836076
chr14	90419471
chr12	56118193
chr22	38681905
chr2	178072767
chr19	43951190
chr11	67428476
chr1	151070559
chr22	39176319
chr11	78139629
chr6	39280383
chr10	133520412
chr8	42140776
chr12	123383787
chr1	218674626
chr15	85047425
chr3	141311826
chr18	35497998
chr3	14268214
chr11	66002227
chr2	58241442
chr6	7920038
chr2	222796777
chr16	28822679
chr1	38012877
chr14	67359932
chr12	48022014
chr12	55940403
chr20	25237916
chr19	49392088
chr18	9743609
chr13	60267735
chr8	97434279
chr18	57630341
chr2	112056369
chr11	65333731
chr3	170870451
chr1	109426046
chr7	100802341
chr7	139340334
chr1	109277593
chr12	47759120
chr9	122913166
chr15	76313008
chr6	104683269
chr12	103957204
chr3	47513421
chr9	129611241
chr1	51297054
chr17	64707253
chr7	74890825
chr10	930720
chr3	149277656
chr3	39406575
chr18	12640687
chr1	41515316
chr16	27550272
chr1	167714527
chr2	224485526
chr13	52194469
chr15	50355192
chr13	39037843
chr9	93120114
chr16	21555038
chr9	92670216
chr16	20806405
chr10	72354920
chr5	112976481
chr3	46407441
chr5	1634039
chr19	39412591
chr5	131635556
chr2	61888630
chr5	149551529
chr9	127937882
chr3	15636400
chr3	38024462
chr8	25345577
chr3	44625010
chr7	77482187
chr12	48758426
chr14	83816971
chr19	54523619
chr17	4999163
chr2	161308378
chr12	6663315
chr12	6336325
chr17	17352384
chr1	234746990
chr19	12836411
chr11	72112687
chr2	32356737
chr20	5844444
chr5	139660322
chr6	125198069
chr1	120176441
chr4	119300641
chr1	152183071
chr4	189940712
chr2	176637865
