Chrom	position
chr9	135230594
chr19	48018675
chr19	1205675
chr19	4968838
chr3	196359348
chr14	90849672
chr19	50145272
chr1	171750516
chr20	36322411
chr9	37485899
chr2	8822125
chr19	14228704
chr12	56223454
chr19	6280114
chr11	28129798
chr21	40684435
chr6	88299775
chr5	179125836
chr1	27648677
chr1	55230340
chr12	102513942
chr18	47013654
chr1	3566663
chr11	126138915
chr3	155572440
chr19	2475978
chr16	15982542
chr4	166248694
chr3	100211379
chr5	179921280
chr6	36391196
chr17	1619706
chr2	191879005
chr10	126605364
chr17	48556131
chr6	31707721
chr16	30825792
chr14	23790589
chr14	100842721
chr4	3076193
chr15	43803116
chr10	104221081
chr19	16683370
chr2	65357366
chr7	150869812
chr19	47104337
chr3	196295473
chr19	49990712
chr19	41082720
chr8	95565799
chr19	40854467
chr1	10003475
chr7	44646513
chr12	64798097
chr19	13906103
chr12	1800129
chr7	6144349
chr19	3572733
chr19	41833535
chr6	10747924
chr1	225662824
chr21	40721323
chr19	50934992
chr20	814313
chr2	201390857
chr1	39325512
chr19	8478090
chr16	57496548
chr12	53661993
chr6	53412975
chr15	93363698
chr22	43583673
chr12	111834968
chr13	111365347
chr7	30544497
chr9	95056063
chr8	37620072
chr17	45728073
chr16	84538385
chr2	64068041
chr14	102991011
chr2	172967731
chr7	123389168
chr19	1507885
chr1	36863585
chr22	50714806
chr9	97488932
chr19	13858609
chr14	68066963
chr22	42062856
chr12	120524886
chr15	70392059
chr15	70390311
chr19	18392538
chr3	195163940
chr10	14996090
chr15	34394175
chr19	17420274
chr1	202311202
chr14	53019464
chr3	20227810
chr16	50775906
chr12	108908974
chr1	181057754
chr1	51425968
chr16	30645759
chr7	1199927
chr19	17502001
chr15	89631560
chr11	65625758
chr3	122920729
chr1	155579804
chr5	75013127
chr19	47852485
chr1	230778164
chr2	26101458
chr19	36103623
chr19	14640354
chr12	56618065
chr4	6675707
chr11	119252411
chr6	108879766
chr16	58663861
chr7	25165000
chr8	42010342
chr4	120375879
chr16	57569971
chr19	797307
chr19	2977350
chr2	97523886
chr15	66679100
chr5	174961272
chr9	134000910
chr12	98987375
chr11	47198493
chr19	2740103
chr9	132388489
chr6	26172210
chr3	49761490
chr17	8059791
chr19	33462964
chr6	31926823
chr17	76183216
chr11	65819729
chr13	31191870
chr6	144164429
chr1	26560626
chr11	93394754
chr16	85454525
chr11	64578134
chr21	45209307
chr12	56754052
chr17	58041989
chr6	30688023
chr1	10270479
chr17	80250521
chr12	120933810
chr17	58469695
chr2	55921001
chr10	74033620
chr4	26859195
chr5	175875310
chr15	76603845
chr20	35807598
chr8	144450860
chr12	93323166
chr15	42787808
chr19	1240362
chr14	23755442
chr17	48238965
chr9	140095320
chr9	128003829
chr9	138853308
chr7	100895734
chr2	234160189
chr15	66084703
chr19	14063093
chr8	103666277
chr7	5436940
chr1	85156307
chr7	100209929
chr11	124823989
chr20	30200814
chr3	56591162
chr20	56785052
chr19	48867514
chr3	52091483
chr6	38607833
chr17	49198413
chr2	43437936
chr16	30669189
chr13	50018300
chr5	37379315
chr20	2854080
chr1	9489071
chr6	44281099
chr17	43394587
chr22	22863132
chr11	65265013
chr22	36520175
chr9	129677006
chr1	33177981
chr7	150076329
chr14	94492759
chr16	4817256
chr20	44509796
chr1	155278517
chr14	54976478
chr11	102980133
chr1	28879513
chr7	108166811
chr14	105512224
chr10	79793550
chr19	58919908
chr1	154531435
chr5	40756167
chr16	12009968
chr11	67275779
chr4	2538091
chr11	64085582
chr12	104531944
chr19	55987911
chr6	56911413
chr3	136471286
chr1	7844100
chr10	76995833
chr22	41487652
chr3	179322523
chr3	64009218
chr19	59084804
chr5	150537385
chr14	39644325
chr19	13991133
chr16	69419952
chr17	79075711
chr11	66050071
chr16	15188195
chr6	117996543
chr19	2819820
chr7	75947462
chr17	27139557
chr16	22386028
chr5	36242303
chr2	113033071
chr1	32757585
chr9	15422648
chr19	41076606
