Chrom	position
chr15	74838683
chr14	102094924
chr19	7717169
chr19	49137802
chr7	95238225
chr11	68606886
chr5	179246073
chr17	17727222
chr20	23314833
chr5	131758601
chr20	30198724
chr13	41345429
chr17	16189412
chr16	28874723
chr16	31117187
chr1	12664577
chr9	19161751
chr6	30710730
chr7	128695118
chr17	17739634
chr12	7126237
chr22	24921531
chr18	11947335
chr16	9221599
chr7	48019243
chr11	86748966
chr19	1383851
chr3	48936302
chr7	149321941
chr17	8199039
chr14	94425934
chr20	62339284
chr6	16131357
chr3	192569826
chr15	76603939
chr5	60704636
chr10	102133160
chr3	57541816
chr19	46220837
chr6	53224420
chr11	129994204
chr8	103666387
chr8	53627142
chr5	140018803
chr17	42581025
chr12	76371896
chr19	2163709
chr9	136283252
chr2	97304133
chr12	46121462
chr1	93544732
chr17	35716174
chr11	10329465
chr1	207378619
chr7	17448331
chr3	177077832
chr14	35873090
chr3	5028689
chr19	50145231
chr19	2169130
chr1	225632824
chr12	124938089
chr10	43951229
chr17	1991198
chr17	21191363
chr9	20624976
chr11	65265113
chr6	170863423
chr8	145133450
chr5	146345827
chr9	107754097
chr1	110881087
chr1	1655820
chr19	18485381
chr4	140187992
chr17	61920555
chr12	123868290
chr1	19337817
chr20	44519890
chr19	45245371
chr17	61920183
chr13	52157955
chr15	65903533
chr13	48612215
chr1	153919255
chr2	74198323
chr19	17416249
chr19	55770652
chr2	204676478
chr3	14693125
chr19	45256751
chr4	4543800
chr16	85558710
chr9	107689004
chr16	30640224
chr3	47517493
chr22	20104973
chr11	69066138
chr1	149982827
chr1	59347383
chr12	53614823
chr3	25469690
chr17	58469838
chr12	53845764
chr1	153325115
chr15	67402112
chr2	55496401
chr1	15851182
chr13	111124320
chr17	2296255
chr17	80225655
chr5	140904506
chr16	30710520
chr9	132222772
chr12	53493328
chr2	198364759
chr10	89622183
chr1	41898512
chr6	44026354
chr2	97303709
chr4	152020682
chr6	42694480
chr20	57226233
chr10	127511943
chr14	89467103
chr12	69202585
chr22	46402459
chr11	69064893
chr17	48739291
chr14	75536225
chr3	149470327
chr12	118490484
chr17	4324071
