Chrom	position
chr2	129511891
chr16	3105046
chr17	72776339
chr1	212810257
chr5	131802323
chr1	200123445
chr11	122568564
chr10	105517666
chr8	114752670
chr6	30650487
chr17	55945570
chr7	139952865
chr1	221881570
chr6	15299986
chr11	121288028
chr12	32049769
chr7	75247345
chr16	27378907
chr6	134954297
chr7	139311762
chr3	182930521
chr3	152939753
chr19	16197398
chr3	18024805
chr18	77551871
chr22	21190752
chr21	40357734
chr12	54698300
chr4	185775977
chr15	90577695
chr2	127822637
chr13	52368214
chr19	54714751
chr5	88123202
chr7	5436953
chr16	85962215
chr5	140985420
chr8	134666817
chr6	143050393
chr16	88866534
chr1	24281835
chr19	35453499
chr6	166901759
chr2	60593444
chr19	36400372
chr10	12154973
chr17	2693981
chr4	37750362
chr22	37681188
chr20	46356331
chr19	33751867
chr14	45719576
chr2	44317933
chr6	11975937
chr1	26615747
chr5	88692603
chr3	72037206
chr19	54882240
chr16	50316078
chr22	48494233
chr9	123655165
chr6	41907408
chr15	73989586
chr12	116997762
chr1	160983732
chr13	110352754
chr1	203290220
chr19	17416334
chr16	57724017
chr13	99698693
chr17	34128765
chr7	97762690
chr13	49436883
chr1	94282653
chr9	114943594
chr19	44067063
chr7	2445868
chr8	125274132
chr20	48726946
chr9	134531938
chr1	44951509
chr9	79071369
chr10	54515329
chr19	51749535
chr3	49276129
chr11	72865440
chr9	117661217
chr7	92384544
chr1	160510118
chr7	141656115
chr20	641381
chr15	96472759
chr1	199010842
chr19	16999657
chr16	85863469
chr1	221340386
chr2	43188812
chr13	49789365
chr10	49842539
chr6	154676342
chr11	46692799
chr1	7709309
chr19	54899863
chr1	23496334
chr12	52226680
chr4	87883005
chr12	29396253
chr2	208104018
chr3	44481458
chr8	22573367
chr2	8683984
chr15	101991824
chr1	156067013
chr12	50093200
chr14	102343020
chr15	90358448
chr2	8443853
chr2	8442404
chr12	98834015
chr11	15135063
chr17	37323942
chr2	68954357
chr13	77456724
chr15	70053398
chr6	37151245
chr7	41855885
chr18	59932444
chr16	16156127
chr1	203643314
chr6	36879954
chr16	29674895
chr3	128393760
chr5	115790383
chr5	159191429
chr15	75162511
chr3	113325915
chr2	69001994
chr17	3819890
chr21	38730858
chr20	56025670
chr5	36404287
chr17	1101513
chr18	42686427
chr19	14466791
chr6	13527095
chr3	4575612
chr6	158830676
chr11	58345181
chr1	246945928
chr3	107723808
chr2	65308611
chr3	50280457
chr5	1313239
chr5	150144311
chr19	13215296
chr3	49843901
chr20	2781622
chr8	102149516
chr6	88466797
chr5	159894852
chr14	93126334
chr17	38673199
chr1	182269350
chr15	73943322
chr16	58460233
chr6	2543250
chr14	74210486
chr12	116985850
chr17	27466197
