Chrom	position
chr5	74767194
chr19	50376375
chr1	9943402
chr10	58468741
chr2	38285126
chr14	68164946
chr2	3780942
chr11	47578997
chr1	44213416
chr7	32490405
chr9	131125620
chr1	81849052
chr12	124130873
chr1	203861586
chr2	196799739
chr2	170530493
chr2	3575183
chr5	40835291
chr19	2950633
chr13	40771213
chr7	22442406
chr17	57938236
chr2	223957403
chr1	185674401
chr7	1504423
chr4	105708726
chr20	58651200
chr2	174039997
chr2	117814626
chr5	124656082
chr8	25201777
chr1	70205673
chr15	74100232
chr2	24076404
chr3	149752537
chr12	109052540
chr1	53107778
chr12	53299710
chr6	28080935
chr12	113303052
chr3	193593206
chr12	116910942
chr2	182079145
chr9	92670297
chr2	113584048
chr13	28659095
chr3	195954568
chr6	131628286
chr20	5724820
chr2	113967039
chr22	26512513
chr7	101352473
chr10	96864276
chr14	75196708
chr2	180935018
chr22	21982838
chr17	82212891
chr2	62478365
chr2	158232696
chr4	499234
chr12	46494074
chr14	74713112
chr7	130051393
chr5	892798
chr20	14986284
chr2	63984433
chr17	42773422
chr13	98050209
chr7	99552129
chr2	99155084
chr11	43880766
chr1	206612475
chr9	89556809
chr7	6577439
chr1	12604562
chr8	142670000
chr12	75511654
chr2	9951682
chr6	138259237
chr7	141738287
chr16	690447
chr13	52194483
chr1	186566649
chr21	38907264
chr12	89632979
chr6	22141543
chr22	19171677
chr1	46681939
chr8	66428986
chr15	34343174
chr5	156678706
chr3	15099177
chr19	58555045
chr1	220734769
chr7	2860900
chr4	26584005
chr10	120851307
chr4	11612086
chr19	38862799
chr15	59587306
chr5	77301657
chr5	78720777
chr7	90029675
chr13	26950146
chr15	64387796
chr19	41531812
chr20	46977091
chr5	76369128
chr3	105835723
chr6	24838899
chr11	110832944
chr4	11232199
chr13	23969864
chr2	178291522
chr2	180007144
chr5	82223068
chr13	25494298
chr4	10006399
chr4	7757952
chr5	88256267
chr17	10119930
chr2	178820062
chr13	26956669
chr2	67304827
chr6	148133411
chr2	99160833
chr1	116489594
chr2	101026359
chr11	59810809
chr2	34345867
chr1	117569862
chr6	140393949
