Chrom	position
chr18	55143770
chr3	64354259
chr17	1133368
chr2	39378248
chr1	98895729
chr19	18491105
chr17	1901433
chr14	38013772
chr5	83427467
chr10	51531385
chr5	121755037
chr1	62444643
chr5	52772912
chr3	120310165
chr14	30291646
chr12	94980618
chr9	79757373
chr1	185666269
chr1	46830399
chr4	23822623
chr1	184772250
chr7	20646888
chr4	123252533
chr1	69047909
chr1	107973418
chr11	10691391
chr10	127600759
chr12	94070977
chr13	85287202
chr1	40439479
chr20	1364921
chr8	125575989
chr19	2953350
chr1	14208163
chr1	97634813
chr1	36629044
chr9	14180364
chr17	46873084
chr12	4816629
chr1	166723328
chr1	32363252
chr12	124673199
chr1	150178595
chr5	17216354
chr7	141788029
chr16	29776974
chr1	229980070
chr15	74641925
chr6	82484628
chr12	80101533
chr10	80288749
chr1	154310261
chr14	69998059
chr11	107701863
chr10	35134033
chr12	68309212
chr1	58649201
chr7	101459336
chr11	46192665
chr12	54850180
chr11	13952061
chr1	225960345
chr4	26041438
chr4	149425091
chr10	99088699
chr6	96041065
chr17	70988602
chr14	23030266
chr11	13625651
chr3	148760333
chr16	19671950
chr1	219406079
chr10	82422437
chr14	100447177
chr17	39006764
chr4	140929858
chr12	28041732
chr1	166578870
chr1	233110772
chr18	31802467
chr1	28975195
chr1	8308060
chr1	183994533
chr17	74656185
chr10	100092786
chr7	123725323
chr10	33684971
chr15	71123944
chr4	20520886
chr3	172035503
chr14	70826535
chr1	164174707
chr17	75912685
chr11	43989226
chr9	35257999
chr4	140843118
chr17	6949151
chr12	120123285
chr15	72325952
chr2	182410955
chr1	232801178
chr9	2466438
chr9	114828126
chr6	135354486
chr1	153682458
chr5	99466190
chr19	51372863
chr6	48048132
chr10	33576238
chr9	89134541
chr19	51354092
chr2	139840801
chr16	67820342
chr11	46541066
chr10	120065480
chr8	117971672
chr6	157315602
chr1	211357538
chr22	23869598
chr11	9896593
chr9	23505438
chr1	147994293
chr1	182172586
chr6	125553244
chr12	96859639
chr1	177410277
chr1	182249901
chr8	126298386
chr7	155430644
chr4	128896868
chr7	80003834
chr3	70326589
chr6	126039446
chr9	14888664
chr13	100887755
chr1	147845371
chr7	121762736
chr9	122714123
chr7	43933637
chr1	78917615
chr17	44852057
chr11	112188728
chr17	64720924
chr20	14394345
chr18	57641599
chr5	15900777
chr2	103286044
chr11	9098229
chr6	99528299
chr2	29153266
chr3	69331553
chr21	11152863
chr14	103888460
chr3	42386961
chr11	10666715
chr13	74241608
chr8	113477495
chr20	18397887
chr1	163891638
chr11	12556145
chr7	78866018
chr8	101704865
chr1	55938712
chr14	65875335
chr13	48612397
chr11	16788142
chr3	128427021
chr11	12895581
chr12	54427485
chr9	14344591
chr5	105218821
chr7	123039217
chr11	108428429
chr20	238249
chr8	141469832
chr10	98036749
chr9	126656588
chr5	32843877
chr11	77068795
chr2	101431253
chr12	30684476
chr7	98919181
chr2	135787272
chr1	145246318
chr6	134488018
chr3	71036208
chr21	38652402
chr4	102615246
chr17	41089132
chr17	68274682
chr14	102123960
chr14	65376933
chr14	70883661
chr1	28673111
chr3	44912205
chr5	132649628
chr3	188301493
chr4	79432283
chr3	178865178
chr15	55699929
chr6	3878859
chr8	27460960
chr3	178850688
chr3	131888277
chr1	93788092
chr2	167014007
chr2	226525280
chr14	33077944
chr1	113798162
