Chrom	position
chr19	6292228
chr2	171631539
chr12	31682356
chr3	15656515
chr4	25223948
chr21	38229464
chr8	124976909
chr3	128859740
chr2	239917799
chr1	246515511
chr7	149529299
chr12	111304770
chr19	57566603
chr20	38337883
chr2	172525777
chr18	80022861
chr2	6845553
chr16	75122119
chr16	3408774
chr19	21947982
chr8	8358669
chr7	111796874
chr2	160088042
chr7	99531468
chr7	111942895
chr12	48716885
chr3	138768303
chr7	87328504
chr19	29691068
chr22	19316899
chr7	65404232
chr3	101308346
chr7	138527844
chr22	44612089
chr20	38243032
chr8	143669271
chr9	122905508
chr22	49767447
chr20	341972
chr11	10044869
chr3	128854579
chr12	32044130
chr17	77167903
chr17	77174824
chr12	82358521
chr20	56200623
chr15	79915964
chr13	41148876
chr18	21612274
chr1	163321821
chr19	9674006
chr8	68895132
chr14	106308938
chr7	67076331
chr19	22945763
chr13	52067353
chr7	46468958
chr6	33101325
chr6	18823971
chr2	108719418
chr2	113604257
chr16	10408992
chr5	171979784
chr12	949721
chr16	50671867
chr17	39047112
chr17	28262320
chr19	58197201
chr3	129917576
chr2	3575164
chr18	47184831
chr17	27695443
chr3	123590883
chr19	2933652
chr15	34161523
chr3	120045672
chr17	59565449
chr2	31694095
chr3	38433044
chr7	121505764
chr20	25402788
chr9	88044378
chr14	67493519
chr7	5045804
chr4	39366408
chr19	50026060
chr15	79920303
chr5	117713788
chr7	72736071
chr21	33367636
chr1	191813813
chr20	41600025
chr7	50583481
chr7	56106675
chr20	45400799
chr13	49463416
chr1	12640402
chr19	12527584
chr8	43124582
chr10	37322715
chr10	27504244
chr9	37079518
chr6	4488583
chr13	48095154
chr12	31907021
chr19	9524097
chr9	37120110
chr3	87615690
chr2	127820290
chr2	212863315
chr5	115545283
chr10	5165926
chr22	43096628
chr1	151907595
chr18	51198327
chr1	120176542
chr3	48617774
chr13	51748353
chr9	91930550
chr7	6675154
chr21	38224106
chr22	43187717
chr5	151729841
chr7	33070482
chr12	104235116
chr4	6058728
chr7	67252138
chr7	138188457
chr1	31458488
chr7	5064538
chr7	131337078
chr21	28885288
chr10	56370938
chr14	103204917
chr6	4384239
chr16	30097116
chr2	155404870
chr12	1421296
chr3	120039829
chr19	10836648
chr17	57850206
chr16	3383180
chr10	5684555
chr12	31923172
chr15	34154788
chr11	43880741
chr9	112284061
chr10	98347066
chr9	135648115
chr1	67067867
chr7	152733459
chr11	17371810
chr17	15717105
chr20	13784914
chr6	28326623
chr17	68332116
chr17	47492639
chr7	121511079
chr8	144088505
chr19	57615543
chr1	15603748
chr12	50498320
chr1	183472048
chr19	8811500
chr7	87205156
chr8	130829131
chr3	183653402
chr11	59924056
chr12	9911006
chr8	142973470
chr5	173592270
chr10	125953944
chr2	102801303
chr9	35604044
chr2	86500544
chr2	231410403
chr2	128469406
chr13	20565547
chr2	43022399
chr13	114234792
chr2	237962650
chr1	245207233
chr11	35663213
chr1	244576461
chr1	244452290
chr1	29379610
chr2	2613488
chr12	9354176
chr4	64230920
chr19	58107924
chr1	218507811
chr14	70359766
chr20	33737178
chr12	100685543
chr19	41666300
chr7	100428234
chr7	97117521
chr1	151737696
chr7	141738292
chr15	64387817
chr7	124929921
chr2	173346253
chr22	22459380
chr22	20079915
chr17	64438130
chr17	51153550
chr8	125189185
chr3	149752563
chr1	44986664
chr17	48944962
chr7	139340215
chr21	29526754
chr1	9289156
chr3	42915088
chr22	23925396
chr11	110054021
chr8	18141058
chr11	76815896
chr3	143001481
chr19	2783550
chr12	45990791
chr3	99159226
chr14	101741104
chr9	122940742
chr1	186082445
chr5	72401145
chr1	244573968
chr10	17263793
chr1	145281204
chr16	87817556
chr18	23270117
chr1	16506541
chr13	110957753
chr7	39882339
chr14	92978816
chr16	3317520
chr19	44890538
chr11	63791955
chr6	150297553
chr8	23600472
chr20	25514954
chr2	138426260
chr1	116743720
chr6	83867773
chr9	126009216
chr4	88120104
chr12	32669808
chr1	212826053
chr4	105708719
chr8	101756460
chr2	43284574
chr12	104232806
chr4	116015272
chr18	31974141
chr17	36486534
chr7	23654141
chr2	28894474
chr18	31778566
chr1	17755257
chr2	62325565
chr19	9487216
chr1	235670381
chr12	31608481
chr4	177298198
chr1	171723404
chr9	36793492
chr5	138352451
chr19	247227
chr2	9631355
chr7	96713255
chr7	154934617
chr15	43361569
chr19	12919239
chr2	12223934
chr8	90616681
chr17	43380477
chr1	168452542
chr11	70449208
chr19	7083414
chr2	191020395
chr8	131009250
chr11	74827094
chr14	39056247
chr7	149710982
chr10	35444043
chr18	70443128
chr1	1724449
chr16	66552631
chr9	125746331
chr8	139861136
chr19	22144578
chr18	70227613
chr20	16729943
chr6	131628348
chr19	16882319
chr10	28845209
chr6	27452593
chr15	100172814
chr6	25158027
chr11	14154303
chr8	93908311
chr9	127849293
chr7	66265798
chr20	297293
chr4	87243612
chr6	106325800
chr17	60492020
chr17	58911943
chr11	37394440
chr6	107447871
chr6	110982039
chr17	60135783
chr15	56232267
chr6	35908995
chr11	93661519
chr8	55545274
chr12	133106393
chr22	28847191
chr3	100179873
chr5	6821073
chr16	10447506
chr5	153941430
chr22	32706332
chr8	61580350
chr10	96129977
chr12	126069807
chr6	27388924
chr2	74120403
chr6	28188345
chr12	31749137
chr6	88031756
chr5	150904910
chr2	64917897
chr6	31216697
chr12	3406000
chr4	128265777
chr10	17262722
chr2	200526053
chr8	54022457
chr6	39993232
chr2	128043254
chr8	53538593
chr6	62652873
chr3	10245438
chr6	118574440
chr19	55634946
chr17	29954607
chr12	89526103
chr1	34859887
chr13	42271854
chr19	14718777
chr19	16221380
chr20	49287116
chr1	52217098
chr7	127585765
chr7	130070312
chr18	69719123
chr19	21335914
chr3	142976795
chr1	151190203
chr17	428609
chr12	94422345
chr4	4974948
chr1	186747885
chr12	88142274
chr3	196756935
chr9	137702790
chr2	169584237
chr19	2834378
chr7	100177808
chr19	5535117
chr17	5809781
chr19	2740200
chr12	71436449
chr20	64145634
chr21	8219990
chr3	193714719
chr7	106829700
chr12	71839697
chr12	11171657
chr11	69950288
chr22	42115468
chr1	172620821
chr11	74949139
chr2	12705480
chr7	134089659
chr1	192165190
chr11	78139637
chr3	170908840
chr6	157958248
chr11	60169486
chr8	110798742
chr11	59810858
chr11	58917349
chr10	119892561
chr6	140944934
chr17	74437860
chr17	74085633
chr11	47876060
chr21	42605296
chr2	173298747
chr5	62305836
chr1	236097360
chr5	68933034
chr15	92949806
chr4	39371430
chr1	42506736
chr1	196535907
chr13	58949851
chr15	80367852
chr16	53185952
chr1	206878657
chr19	49369145
chr20	35093003
chr10	90136918
chr7	138351079
chr20	33947889
chr7	138429764
chr7	10759342
chr17	18662124
chr17	81973633
chr7	6009342
chr5	60568856
chr2	197483673
chr2	189943219
chr5	56335403
chr14	37225355
chr12	132926556
chr3	100709343
chr3	178987943
chr3	177006207
chr3	172667518
chr11	74871213
chr3	149831108
chr3	149086736
chr11	78079915
chr3	131502994
chr3	64023543
chr11	70038479
chr12	22544545
chr22	37432709
chr12	14351711
chr3	49233882
chr3	44761746
chr3	44729582
chr3	31606655
chr12	9902746
chr3	180602102
chr20	51978184
chr5	8457349
chr4	83378634
chr12	132144395
chr11	6683423
chr2	219661271
chr2	222709428
chr11	14337028
chr4	123291562
chr2	237085767
chr4	107720462
chr4	75990961
chr20	49545762
chr20	4645312
chr4	51844841
chr4	41025088
chr4	26406519
chr20	36461070
chr12	92600244
chr11	66510564
chr20	49281189
chr13	32539078
chr12	6938096
chr15	75142678
chr16	4540103
chr17	47362447
chr6	146965306
chr8	56074617
chr15	34588469
chr19	57473832
chr14	61144322
chr7	92788769
chr1	150321392
chr1	58546844
chr9	93091638
chr15	38454126
chr6	132109899
chr6	125956727
chr17	43251714
chr6	124920737
chr19	11606694
chr7	94878119
chr1	110964280
chr7	149719165
chr15	45242483
chr2	20823041
chr15	49625620
chr6	104344435
chr6	160983566
chr17	49129505
chr2	28155820
chr17	51319166
chr1	109100221
chr1	174321116
chr19	21519693
chr17	63600826
chr19	23824030
chr1	185027436
chr1	185578530
chr7	55951886
chr1	189269228
chr14	100155186
chr7	50369598
chr1	192201506
chr7	45111683
chr7	152704948
chr8	37993151
chr17	67717786
chr7	23597249
chr7	22645593
chr8	42152642
chr1	209827871
chr7	15584775
chr7	6729715
chr16	3224167
chr13	33818087
chr7	149373286
chr8	91015614
chr1	20508141
chr6	10093483
chr6	5550736
chr2	112204606
chr5	173101430
chr18	50977293
chr2	117814601
chr17	309484
chr2	121530933
chr2	121683028
chr8	143650589
chr2	131668847
chr17	5182201
chr16	82009169
chr5	134284635
chr1	30092710
chr1	152048258
chr18	46868691
chr1	27680412
chr10	93702657
chr10	97070116
chr5	112563641
chr9	33340435
chr1	33495065
chr7	75806776
chr2	97871673
chr7	139803662
chr1	165768917
chr6	57316658
chr2	48388813
chr8	116373393
chr8	121219301
chr15	57706573
chr6	40183992
chr19	2877697
chr7	105711898
chr1	38012495
chr10	17282513
chr8	129798591
chr8	103271533
chr17	79961385
chr16	34071613
chr18	10230223
chr2	86661536
chr2	95149497
chr2	95215182
chr2	41495232
chr7	138165062
chr7	138565677
chr7	143288051
chr3	128879537
chr11	77056994
chr7	152471487
chr5	111092257
chr1	93262852
chr1	91088388
chr3	10169402
chr3	13815301
chr1	27914826
chr12	698433
chr8	142718281
chr8	142328560
chr1	36450605
chr3	38327529
chr8	126604046
chr8	124911839
chr8	122232593
chr3	50292533
chr8	106258088
chr1	23362389
chr3	53347684
chr8	90657765
chr11	114587577
chr1	52697871
chr3	72224957
chr8	87945820
chr11	106222833
chr1	53206298
chr1	53238592
chr8	60605335
chr8	57597794
chr8	43110500
chr1	74726240
chr1	86377531
chr1	89480861
chr8	66910180
chr7	77209691
chr1	151166023
chr11	16635973
chr6	36027572
chr4	124961323
chr4	124461781
chr6	53349124
chr4	119454726
chr6	66881033
chr6	67812915
chr6	71556320
chr6	75285006
chr6	90587332
chr6	99026348
chr11	36289470
