Chrom	position
chr12	6772472
chr3	12883273
chr6	31926860
chr18	61089814
chr17	73452620
chr19	56632939
chr1	1590590
chr17	72869491
chr1	169863221
chr17	35306206
chr17	7143069
chr19	58816700
chr3	93781861
chr6	24721518
chr17	80408675
chr1	1655856
chr12	21654634
chr6	36853685
chr1	151138490
chr1	27648729
chr16	12009991
chr22	36925293
chr6	30034954
chr19	41082767
chr10	104503415
chr8	27169101
chr17	76837160
chr5	93447383
chr6	90348395
chr12	7080012
chr16	87425831
chr17	43138507
chr6	151773419
chr20	43595071
chr19	16296131
chr14	81687630
chr6	144416801
chr19	44711595
chr20	16710606
chr19	12780390
chr12	122751061
chr3	156273093
chr19	45004592
chr1	156711038
chr15	34394187
chr3	57541845
chr16	8891666
chr3	47324214
chr9	97021585
chr7	38948807
chr9	95432518
chr1	110036727
chr16	791047
chr17	65713910
chr19	50879680
chr19	19626985
chr17	16439123
chr8	104427514
chr19	9251035
chr5	130971257
chr18	39535116
chr5	173315257
chr3	42003735
chr2	224822128
chr17	38375501
chr12	64616065
chr19	55629222
chr18	55289135
chr1	235324587
chr2	241500619
chr15	64648515
chr7	64467091
chr6	136571463
chr15	36871744
chr9	135282228
chr2	128848690
chr19	46498443
chr1	161172120
chr3	180319919
chr16	80574802
chr19	19496574
chr19	13885217
chr4	190861957
chr13	24463582
chr5	176778710
chr2	74682149
chr21	30365237
chr1	52499485
chr22	20861861
chr19	46234194
chr3	130745664
chr8	17780153
chr4	152020730
chr4	56719829
chr20	54967447
chr11	114271315
chr10	135333914
chr8	101734738
chr1	25558994
chr7	30634390
chr1	100598584
chr11	64851682
chr20	30697454
chr11	66112589
chr12	56512001
chr20	37678863
chr17	79212900
chr12	58329981
chr12	54582885
chr5	140079861
chr19	53898412
chr19	52772844
chr19	52490104
chr20	44044761
chr19	16607063
chr18	55297522
chr17	73663375
chr6	84569392
chr9	128024010
chr5	140071023
chr22	32146145
chr11	118230288
chr3	129118527
chr12	66524543
chr2	10830127
chr1	173793687
chr6	34725153
chr5	131892582
chr10	16859721
chr19	39390571
chr2	73964566
chr19	16308617
chr3	142297661
chr20	33735180
chr8	54755875
chr1	44435617
chr4	140004129
chr3	141030661
chr6	142468374
chr15	74753550
chr20	55043680
chr9	130478048
chr19	57999005
chr3	150264418
chr2	234160224
chr19	17326149
chr2	243030829
chr15	55611365
chr19	53238292
chr4	13629389
chr11	20409098
chr19	4723851
chr8	120845112
chr17	37886772
chr19	21512181
chr18	11851382
chr19	2151758
chr1	172413221
chr14	104387917
chr9	104296092
chr19	6863682
chr7	66386118
chr8	356948
chr19	44669185
chr11	124492763
chr1	231473718
chr2	55844903
chr20	32398966
chr2	3381633
chr9	127177861
chr3	193310995
chr12	108908953
chr1	16693600
chr19	21203436
chr12	38710515
chr16	70835073
chr1	63989064
chr22	26908452
chr10	126150301
chr9	19380274
chr6	88412139
chr12	125473670
chr13	32889569
chr2	3622815
chr6	106773595
chr16	4524686
chr10	122610861
chr3	15140689
chr1	22755283
chr5	40835348
chr12	109915287
chr5	82373411
chr19	53837013
chr9	130700157
chr20	61569307
chr4	83812427
chr19	33463144
chr7	75677356
chr10	116697939
chr7	7680395
chr5	141404637
chr2	201390818
chr20	5931209
chr21	45759326
chr15	57998897
chr3	194304733
chr10	46222637
chr10	114206958
chr1	155211078
chr5	6378668
chr9	132586489
chr3	14693041
chr17	33446881
chr17	48075824
chr14	55493953
chr17	79633730
chr16	89724104
chr8	95565803
chr20	1099165
chr2	114384838
chr11	118889159
chr11	8710582
chr2	24299319
chr6	153323912
chr17	36908879
chr12	21590827
chr15	73076106
chr12	133405596
chr13	79233293
chr1	155904325
chr19	42388329
chr12	118814275
chr19	59066478
chr9	34458579
chr6	36409350
chr2	231084740
chr1	151162676
chr9	4662300
chr2	136499196
chr22	38453369
chr15	67547033
chr7	141438122
chr22	19467062
chr7	134855533
chr14	75179850
chr7	132937737
chr8	681234
chr1	200589947
chr3	50397030
chr7	6121137
chr17	41561279
chr19	56165212
chr9	136283191
chr20	62612416
chr10	43904504
chr6	28317695
chr22	39928896
chr19	19774564
chr11	61197560
chr7	98923501
chr1	47184855
chr5	140998671
chr8	124553519
chr12	1800091
chr19	39926707
chr8	18067614
chr15	64679918
chr3	10028539
chr11	94227168
chr1	16302598
chr7	130692438
chr8	117778731
chr19	18682524
chr11	69490127
chr19	36239329
chr6	139094765
chr11	57434940
chr19	1174266
chr16	69788905
chr10	100206697
chr15	91565854
chr6	134274251
chr7	139025005
chr22	30234262
chr15	91473424
chr22	51222063
chr11	75110530
chr3	195681436
chr16	30759460
chr7	23636936
chr12	49245992
chr4	1283538
chr3	183853140
chr19	17530786
chr10	119806420
chr14	24664926
chr16	15684933
chr19	53868988
chr17	43568158
chr16	85149056
chr1	153963220
chr17	41150330
chr1	246729610
chr17	79935440
chr11	65819805
chr12	64798099
chr16	67261013
chr12	124118264
chr20	2821337
chr12	57914480
chr7	1199888
chr8	75262619
chr19	7694625
chr2	198364763
chr19	14800843
chr3	133380796
chr1	3566690
chr1	59282137
chr7	64838743
chr19	49955169
chr19	44617536
chr6	693129
chr20	18774676
chr20	44420555
chr2	113342013
chr12	62860567
chr17	12921509
chr12	57985001
chr4	44680456
chr9	37079904
chr11	109817142
chr14	23299058
chr15	65282261
chr14	21924385
chr12	49110622
chr8	87520975
chr13	48669300
chr6	109804429
chr8	102166171
chr3	40351082
chr6	116989948
chr5	148724965
chr7	4815246
chr8	144623786
chr18	33077930
chr11	71791715
chr19	44860846
chr13	45492184
chr19	56146340
chr17	18684552
chr8	67579619
chr19	53606674
chr15	75165660
chr9	102861349
chr17	7475888
chr22	46431932
chr20	30865407
chr19	7459986
chr17	79269098
chr5	55008168
chr22	38577847
chr6	43603539
chr4	177116849
chr17	79829271
chr11	86013214
chr8	21966952
chr12	100594501
chr1	155278492
chr2	202097104
chr6	36953938
chr5	141303279
chr12	76742240
chr17	26662568
chr18	47013634
chr6	34855837
chr7	72298967
chr8	101162838
chr9	140095491
chr19	53290011
chr2	55459515
chr6	8064779
chr17	40307033
chr17	62833318
chr2	66662242
chr19	38826416
chr3	52029967
chr19	10028116
chr1	100315648
chr22	21983746
chr6	8435767
chr5	85913697
chr9	97488975
chr4	170679085
chr1	231114773
chr1	209958074
chr12	121790294
chr9	137030041
chr7	127225658
chr16	72127640
chr5	36152067
chr20	10415936
chr1	24127410
chr2	48667935
chr20	1373836
chr1	1167438
chr1	236767837
chr11	2923507
chr7	89976008
chr19	51611684
chr2	170430417
chr1	40997278
chr21	37432640
chr22	21921967
chr1	26758804
chr3	119217302
chr19	44488333
chr17	34958009
chr15	83209230
chr19	54024133
chr10	74870207
chr9	123555725
chr1	234509175
chr16	67515150
chr17	34891318
chr19	49122652
chr11	66247903
chr14	64010308
chr3	184529918
chr1	28969632
chr13	31736154
chr12	120105746
chr1	104068566
chr12	112123805
chr11	70049330
chr10	35924609
chr4	10118497
chr16	15150061
chr17	47022211
chr14	59951170
chr9	33001628
chr2	99797514
chr1	109642789
chr20	62339385
chr2	162164937
chr7	134331466
chr11	61891305
chr9	127962755
chr6	37786783
chr19	2273853
chr4	153457386
chr19	37663655
chr20	22666895
chr7	129845300
chr15	43477610
chr5	157286182
chr17	36981607
chr7	99613178
chr17	80163947
chr11	65655980
chr22	46692602
chr11	107436305
chr4	926178
chr10	85899244
chr9	139258265
chr10	95256373
chr2	74153968
chr5	172483206
chr16	28962002
chr6	43149880
chr19	36208597
chr13	100153638
chr5	60458299
chr7	6865946
chr5	114961853
chr12	110888159
chr7	86781835
chr2	228189928
chr12	105630041
chr1	71547020
chr5	126409199
chr1	115259382
chr2	230786111
