Chrom	position
chr9	19161790
chr7	95608921
chr7	129055049
chr19	45717559
chr1	1724381
chr1	153352635
chr19	35459527
chr19	49765740
chr8	13366995
chr14	103576863
chr2	11345497
chr1	58883455
chr1	204412172
chr19	8367518
chr17	350870
chr1	201713651
chr9	2570911
chr15	76311618
chr3	156535383
chr15	74800279
chr1	165637607
chr8	81496927
chr12	120529002
chr11	74018622
chr12	109115983
chr1	17561825
chr10	125823388
chr2	10010168
chr2	119759915
chr1	145999559
chr22	24525568
chr1	19156832
chr20	51750325
chr13	109685135
chr19	42419507
chr1	44674719
chr1	93759151
chr1	202348526
chr2	219498837
chr6	163181334
chr17	17580986
chr12	118052684
chr10	80499114
chr2	109638066
chr5	74538435
chr14	31229912
chr1	31954830
chr6	163956748
chr12	76621698
chr2	74458308
chr11	65421364
chr8	26458020
chr7	73979259
chr20	50929588
chr17	59521659
chr11	64270172
chr12	50102784
chr18	11947343
chr5	72504332
chr11	34439348
chr1	167442312
chr14	73728928
chr20	53916022
chr6	11525956
chr7	106988002
chr10	80505726
chr11	59190150
chr17	4420784
chr10	112383513
chr1	146377096
chr1	234978910
chr1	24019099
chr8	81488455
chr7	47266529
chr7	35993897
chr2	120552929
chr9	8961415
chr3	38164934
chr3	43318185
chr12	57139087
chr17	61008157
chr8	30414406
chr3	29291501
chr11	47257613
chr7	128454580
chr8	130302631
chr10	112227791
chr17	39461351
chr3	75433064
chr7	27364672
chr20	47359271
chr5	150782181
chr22	35377133
chr8	119722254
chr3	183285955
chr12	39581752
chr2	26274249
chr19	49515984
chr9	69277044
chr12	55721105
chr7	80473081
chr13	110412313
chr10	69450007
chr1	1659067
chr7	16990107
chr9	110027807
chr22	17571143
chr4	113547772
chr15	89680743
chr15	62603880
chr12	89265803
chr1	99595267
chr22	31089297
chr5	140639180
chr17	8420494
chr12	75978135
chr19	51366627
chr16	87316991
chr6	37083667
chr18	23379020
chr3	30597459
chr21	35508555
chr22	29843032
chr15	91867871
chr19	19595234
chr3	194497960
chr10	71613667
chr1	25990047
chr11	117098857
chr8	101046380
chr9	89757081
chr9	110058513
chr19	55547557
chr1	8742299
chr21	38831817
chr5	40991526
chr17	17972849
chr11	76772691
chr4	139665893
chr1	151311842
chr4	184896929
chr14	75906865
chr19	38831971
chr21	42724483
chr3	119629157
chr2	26345854
chr5	149135625
chr6	170554285
chr1	201466716
chr16	57304344
chr14	75301971
chr5	96855672
chr8	142676235
chr12	68406286
chr4	88456929
chr3	169699802
chr17	47837700
chr3	187889739
chr12	89217639
chr10	80410281
chr8	81492656
chr16	85563703
chr1	149939350
chr17	7220360
chr10	60353774
chr9	96420678
chr19	18459969
chr12	92071278
chr14	101405816
chr12	13390693
chr15	96330697
chr14	74940195
chr18	48790332
chr16	15094104
chr2	43808467
chr11	76083788
chr2	160221888
chr11	47254996
chr14	89041032
chr17	59965046
chr2	150586987
chr17	8365280
chr13	114044687
chr17	9875708
chr12	15629323
chr19	6088085
chr13	51583818
chr19	47158046
chr20	1325854
chr2	85561720
chr19	4521769
chr9	134186758
chr1	30824037
chr13	110559539
chr2	222860093
chr6	33200849
chr15	65832933
chr19	16886787
chr19	42433765
chr5	154648930
chr9	120735545
chr4	185112225
chr22	27274894
chr4	159010793
chr9	686616
chr1	99685885
chr20	50126862
chr12	109148163
chr5	132866552
chr22	44634411
chr15	58932278
chr1	23169921
chr6	44738784
chr11	118919605
chr11	10323173
chr12	6336576
chr5	55577587
chr1	221891910
chr2	163708477
chr2	20593716
chr6	145267294
chr15	68816982
chr12	128287240
chr15	70486899
chr16	85116719
chr6	112222392
chr1	43545906
chr1	82515865
chr10	47403141
chr9	37603089
chr2	63673936
chr6	41449937
chr3	12999523
chr2	168961851
chr21	25735205
chr4	146192288
chr9	113559137
chr13	114025882
chr9	98911151
chr1	246583763
chr12	52927530
chr7	77122389
chr2	10019364
chr17	69480369
chr2	158954135
chr3	10225003
chr20	49772517
chr19	13032459
chr10	112261529
chr2	27185965
chr21	33799611
chr6	6915945
chr8	17661846
chr2	36371372
chr22	42680865
chr6	157727114
chr1	53183647
chr15	80172024
chr10	89591933
chr7	80942507
chr20	35742371
chr9	33391630
chr4	113468466
chr9	35511244
chr7	73522496
chr1	160132191
chr3	25033607
chr17	27247527
chr6	31822356
chr13	111116404
chr20	31572867
chr21	33419722
chr15	84841064
chr1	12525571
chr6	121809412
chr1	61441951
chr1	27625315
chr2	54229143
chr1	27863330
chr11	114162973
chr2	106030727
chr5	151195887
chr21	33215799
chr15	75029571
chr4	138982182
chr5	179819053
chr7	6318181
chr17	40550823
chr1	26799810
chr12	1669065
chr16	68528851
chr6	36027678
chr19	2629853
chr16	2673880
chr11	16788500
chr12	92539391
chr19	39445462
chr16	13957543
chr11	63609744
chr12	52442821
chr6	54011046
chr6	139679747
chr5	41193966
chr5	149299890
chr3	103052601
chr10	71985889
chr17	42998317
chr5	158868832
chr15	75368716
chr2	44083321
chr19	7652306
chr2	43144523
chr6	136104026
chr1	93814158
chr17	7836931
chr13	114151799
chr1	225428824
chr14	23321031
chr15	99442678
chr11	130434653
chr10	6050936
chr8	143547515
chr5	157210846
chr12	103575532
chr13	40382110
chr6	53465068
chr19	17469405
chr20	59048103
chr2	207311625
chr10	13853065
chr10	74924438
chr10	92430930
chr7	25429916
chr7	112450013
chr8	81558040
chr9	33402569
chr1	31753999
chr19	17305414
chr9	127838980
chr2	196160325
chr7	36072874
chr15	49620776
chr17	56915883
chr13	80558289
chr10	33002261
chr10	29947030
chr2	200471453
chr19	14128100
chr1	167714699
chr4	184805696
chr3	9878977
chr5	143516019
chr15	62439809
chr1	48494504
chr4	53536508
chr13	40402546
chr20	60034354
chr16	11551047
chr1	220451726
chr1	64934264
chr1	28590307
chr22	39464119
chr11	43880785
chr9	14320435
chr14	52889386
chr19	4518667
chr16	16015047
chr19	4724063
chr2	28396872
chr1	160284334
chr5	56545176
chr19	46850969
chr11	130451517
chr20	50931605
chr9	105138613
chr14	63896553
chr9	107269876
chr1	23370846
chr22	22960509
chr1	59423168
chr22	35648431
chr4	1887945
chr16	24701087
chr5	52870651
chr1	60431774
chr12	120195027
chr10	80495393
chr13	44364740
chr15	70266929
chr11	12412633
chr3	134340873
chr11	821326
chr10	30542690
chr2	64889120
chr12	89184283
chr11	75559296
chr2	101419258
chr6	75098904
chr5	77139103
chr12	131574256
chr2	20611457
chr12	92575110
chr1	22019340
chr1	192873240
chr18	12015838
chr5	172187212
chr8	127206308
chr17	9842482
chr7	135148070
chr2	144530046
chr10	86980348
chr22	38236985
chr5	150567188
chr11	86984852
chr12	51048303
chr3	45689035
chr7	155860963
chr2	236732260
chr2	237678193
chr5	149641368
chr2	216078893
chr3	53150387
chr16	77275510
chr1	109396910
chr10	70131114
chr20	57581904
chr5	143482160
chr1	56508683
chr5	95857487
chr19	42450655
chr12	53727458
chr3	52682153
chr4	6840249
chr14	74140643
chr2	54438483
chr2	226118858
chr13	102721995
chr20	31696322
chr8	143311344
chr17	50867733
chr22	41402175
chr2	113889752
chr10	70405413
chr7	80638431
chr16	30699222
chr3	112394358
chr16	71927605
chr18	22250828
chr17	58478076
chr6	7975259
chr1	85438556
chr1	173560586
chr14	24436845
chr3	12453186
chr12	18752735
chr13	35349917
chr10	4849867
chr7	116272122
chr17	19508177
chr10	100371235
chr20	50208307
chr11	68460163
