Chrom	position
chr10	133261511
chr12	46269196
chr19	43779368
chr4	128062251
chr11	65421414
chr18	34493332
chr22	44683361
chr20	21235807
chr2	127064866
chr2	218909036
chr20	3811840
chr15	70763522
chr2	96157996
chr17	18858021
chr19	58278762
chr13	50124448
chr7	135170902
chr2	240560363
chr11	35272552
chr12	45729015
chr3	72100832
chr11	123454425
chr1	214428017
chr6	28104946
chr15	31398831
chr11	14381224
chr1	193121863
chr8	12754209
chr19	55259207
chr22	46791390
chr2	216006455
chr10	69409004
chr17	64966027
chr11	1889345
chr1	182629752
chr4	74158020
chr16	30634367
chr16	2136245
chr6	89081765
chr11	64856792
chr12	92593894
chr16	87392023
chr19	34134506
chr1	111593026
chr1	10032724
chr14	101073291
chr10	97687532
chr10	94363078
chr15	58749867
chr9	72365382
chr14	39229354
chr5	59563127
chr1	15697074
chr9	137030610
chr3	27484558
chr22	17258109
chr7	150379341
chr11	61817023
chr6	30742971
chr1	153566744
chr5	108382556
chr11	62591850
chr7	150368098
chr1	155017582
chr17	78214333
chr11	64331912
chr7	55567727
chr17	82297412
chr6	31568746
chr17	82283467
chr17	83051706
chr10	80488027
chr21	42893072
chr7	75915174
chr10	87343149
chr16	327398
chr3	183884920
chr3	177345770
chr6	22036493
chr22	49853512
chr10	79298921
chr15	72231333
chr15	67121321
chr19	17946540
chr19	17512132
chr4	3305748
chr19	16268805
chr7	155291312
chr10	13300149
chr15	67763014
chr7	151433006
chr19	14369830
chr15	69669211
chr9	36151924
chr5	180135312
chr1	26545673
chr19	7099381
chr18	48834833
chr1	26319699
chr12	53079519
chr7	130961489
chr19	4064713
chr1	59139615
chr15	81294075
chr19	2474833
chr15	81296970
chr15	83067462
chr1	26169760
chr9	130128404
chr19	797033
chr15	88638819
chr7	97872251
chr1	41241382
chr22	32050946
chr22	25068272
chr11	13287153
chr16	68760974
chr3	16305158
chr3	15331836
chr6	89080575
chr6	73521209
chr11	48001868
chr17	21043692
chr1	43836602
chr6	53547982
chr6	45830605
chr3	71982661
chr11	122746305
chr6	44237593
chr3	10199163
chr3	10189679
chr11	62622117
chr16	69530687
chr11	64318177
chr11	67303505
chr11	68839472
chr1	23591809
chr3	43770989
chr11	67614245
chr3	41117632
chr11	75492464
chr3	50588619
chr11	64745292
chr11	65899487
chr17	3711203
chr6	107658000
chr17	3804750
chr11	65477576
chr3	20040030
chr6	43053858
chr7	602629
chr16	2868230
chr11	133945335
chr1	58816373
chr6	33694723
chr16	11363422
chr20	36462860
chr7	40135019
chr17	77404913
chr22	30435863
chr10	103908318
chr12	11500789
chr22	29388601
chr6	31796003
chr22	29167716
chr3	153160617
chr16	3020921
chr16	2882632
chr16	14975094
chr7	36115701
chr9	129488793
chr17	47896587
chr17	45226207
chr11	9060955
chr16	29807670
chr22	44684692
chr16	29291057
chr22	44664263
chr22	42079730
chr10	118755169
chr17	50051288
chr9	122402694
chr16	27372828
chr10	132572161
chr10	124153133
chr10	124035925
chr19	18303552
chr16	88454452
chr15	64882488
chr1	207823991
chr2	84905465
chr14	64914305
chr2	85889151
chr8	42209993
chr14	105174746
chr1	222713359
chr14	61528665
chr19	49554165
chr2	96010548
chr2	96148686
chr2	242088741
chr8	33513562
chr1	8873818
chr4	70839925
chr2	96532099
chr2	173964160
chr14	60721754
chr2	172253458
chr8	132918434
chr20	1416104
chr2	99155058
chr5	459001
chr5	126758612
chr5	157460103
chr9	26892863
chr14	76961905
chr2	43159997
chr2	219247811
chr1	173195691
chr2	32010985
chr9	99819595
chr2	62305928
chr2	62307005
chr14	73741620
chr1	200878354
chr5	132426642
chr2	64326120
chr8	116649926
chr4	184268212
chr2	68751966
chr14	97457241
chr14	98173498
chr2	15177211
chr14	100439403
chr1	206557069
chr8	125278447
chr13	77026421
chr1	224183725
chr1	39192300
chr15	45448183
chr20	34216285
chr2	127408178
chr1	110631502
chr8	144012249
chr10	6053996
chr20	31542390
chr19	38930305
chr19	39401544
chr1	116571055
chr2	168456110
chr19	40605544
chr12	106139613
chr15	45455017
chr1	32981451
chr4	36244673
chr8	100410143
chr9	137034914
chr2	106194637
chr4	40305534
chr6	36678554
chr13	110921312
chr11	75340795
chr6	37820403
chr5	80654731
chr12	1662041
chr6	89375644
chr12	674594
chr13	98853987
chr5	80488060
chr11	76628568
chr5	87340870
chr13	41465343
chr11	129966445
chr13	42377906
chr6	109450020
chr13	78022389
chr5	79845940
chr5	134132606
chr11	75143377
chr6	36755771
chr13	75482606
chr6	111873647
chr5	133336408
chr13	39655711
chr6	37102859
chr12	3931391
chr13	98143929
chr6	37619409
chr5	100872634
chr13	40171152
chr11	73779699
chr13	40402598
chr5	132099355
chr6	42045907
chr13	99381056
chr6	90406312
chr13	44198049
chr6	52227673
chr13	51802327
chr11	121468086
chr6	107618835
chr6	53245172
chr5	119367672
chr11	85753089
chr11	118919835
chr5	119275973
chr11	118917682
chr11	118841625
chr11	86593082
chr13	30464262
chr11	118820960
chr13	99372180
chr5	123549680
chr5	124902491
chr5	126748191
chr11	128039855
chr11	128473845
chr11	102318654
chr6	109095525
chr11	128422849
chr11	128319104
chr6	43734176
chr6	90398104
chr11	123381951
chr5	131394320
chr5	91311884
chr11	126465911
chr11	116851789
chr5	91314538
chr13	99416180
chr11	111531832
chr13	21075139
chr6	36441563
chr12	55729287
chr12	108633851
chr12	52327685
chr12	52244226
chr12	52045937
chr5	159412600
chr6	14271224
chr12	50589990
chr5	157602710
chr6	14542932
chr5	157272034
chr12	113233401
chr12	49705755
chr5	157172629
chr6	15331277
chr12	47868832
chr6	16685396
chr12	47829174
chr5	157100495
chr12	47391683
chr12	47278177
chr12	46215237
chr12	46210118
chr5	157025494
chr6	11732403
chr12	108628595
chr5	134556124
chr5	168801752
chr12	93742374
chr5	177440434
chr5	178116806
chr12	95103359
chr5	172837909
chr5	172443733
chr5	172188769
chr5	172175518
chr5	172115031
chr5	172113241
chr5	170333293
chr5	179796262
chr5	179803832
chr12	104501813
chr5	170303379
chr5	170293486
chr12	69053220
chr12	67630910
chr6	2127613
chr6	5517968
chr6	113858983
chr12	56032070
chr12	55929573
chr12	120015401
chr12	120252174
chr6	24936743
chr6	25056276
chr12	128791949
chr12	131106062
chr12	131222479
chr6	31806791
chr5	141605863
chr13	19960199
chr13	20161599
chr6	33593249
chr13	20412110
chr6	33692962
chr13	20419888
chr13	20526380
chr12	92988162
chr6	33840302
chr13	23466414
chr6	33856817
chr6	34238158
chr6	35394288
chr5	139415731
chr6	35688939
chr13	24265210
chr12	6462011
chr12	6430697
chr5	142095920
chr12	124921379
chr12	124774721
chr12	20492529
chr5	154190389
