Chrom	position
chr1	172788190
chr19	47289823
chr8	60969605
chr22	35773109
chr19	49467176
chr7	92439215
chr2	112456597
chr6	119217747
chr15	81322119
chr19	35953762
chr12	116997726
chr19	11175622
chr17	41081134
chr17	79689664
chr2	225531915
chr12	10366079
chr19	41196912
chr13	21755054
chr9	140640292
chr20	30628002
chr1	182991668
chr7	25896460
chr3	53304254
chr20	55130066
chr8	97833243
chr12	125352126
chr15	92398154
chr11	111293889
chr10	64529525
chr13	51330579
chr3	142926400
chr3	135794276
chr5	1134797
chr15	52313466
chr1	172876594
chr22	24906786
chr3	121711677
chr7	126341267
chr7	73189465
chr22	35768111
chr7	23312925
chr12	105352441
chr10	94502295
chr12	96721284
chr6	3024229
chr22	39268686
chr11	64758032
chr2	69135810
chr12	101381959
chr14	106167444
chr17	6354288
chr10	11720307
chr3	197439340
chr4	8230489
chr4	81797046
chr4	25863290
chr2	8369889
chr4	52762187
chr5	110866106
chr12	6539864
chr14	77423164
chr4	82834672
chr8	126302656
chr8	60964262
chr20	10457232
chr6	10759724
chr8	120592797
chr8	60060397
chr1	4712907
chr18	56232508
chr17	43505762
chr3	106021538
chr2	192540724
chr3	107086273
chr13	28843055
chr5	60704561
chr22	36779461
chr12	51720748
chr13	73574357
chr15	79399635
chr22	27055068
chr20	47489413
chr1	175124185
chr14	50401618
chr2	65142450
chr15	78246476
chr16	75143029
chr10	116259602
chr1	26564230
chr12	90647691
chr19	48928183
chr12	6432676
chr8	101914056
chr11	10512329
chr2	111506196
chr7	44925334
chr6	88433164
chr16	10371633
chr18	60092998
chr15	59836150
chr13	79768613
chr12	69202692
chr5	179247500
chr2	145461599
chr16	85158779
chr19	45157871
chr4	18077558
chr16	80574640
chr9	37256151
chr6	3002200
chr12	50030886
chr6	32938058
chr14	102173862
chr12	6855080
chr19	16568757
chr7	99679482
chr6	53302519
chr1	166879870
chr14	62129403
chr3	169658504
chr14	81637070
chr16	15684943
chr1	51339476
chr19	16441439
chr16	24740478
chr2	25642746
chr2	220082664
chr11	120523803
chr8	131012295
chr16	15991813
chr3	183724187
chr8	42623802
chr7	30348117
chr16	14448721
chr9	102821153
chr20	50267362
chr9	126964991
chr12	48169479
chr11	85376381
chr14	77490820
chr12	49454577
chr6	90907701
chr11	9385994
chr7	148715410
chr1	161277307
chr22	46409498
chr17	27966481
chr11	124942560
chr1	234738669
chr1	46813933
chr1	225616544
chr9	33619779
chr17	75230187
chr15	33494210
chr12	65190144
chr15	38377551
chr15	45020992
chr2	122288802
chr5	39077255
chr1	154452382
chr15	43733243
chr1	224618422
chr17	66284652
chr1	47817221
chr8	23278966
chr3	13373803
chr3	13394433
chr2	243040848
chr11	122619860
chr18	13597317
chr17	8761440
chr17	21191490
chr22	50364604
chr20	35224333
chr6	130005308
chr17	33668846
chr18	49874706
chr8	62475961
chr11	63335031
chr7	154997419
chr14	96129281
