Chrom	position
chr15	59953767
chr19	42032448
chr5	5340360
chr3	172201425
chr8	27603341
chr3	131232077
chr13	21044176
chr2	127226659
chr17	81397445
chr7	27115338
chr12	122072602
chr4	24646276
chr5	78908423
chr15	65833050
chr10	110265882
chr3	100003054
chr2	23921375
chr5	122333182
chr9	134776229
chr15	39403872
chr5	10607205
chr8	37598716
chr13	26049669
chr6	47722458
chr7	69827705
chr18	12520512
chr12	123075882
chr3	169575480
chr3	105253240
chr16	51557039
chr7	98476949
chr12	50664559
chr5	95543515
chr12	29754821
chr5	107389328
chr12	121203103
chr2	133755773
chr5	99900553
chr1	151013719
chr10	50464188
chr15	32991697
chr6	84353997
chr5	124741158
chr6	150592580
chr8	12873031
chr4	128393521
chr5	146290491
chr1	231106498
chr3	24365514
chr1	26126540
chr21	17251039
chr6	139152519
chr11	126116128
chr1	232670484
chr21	26124578
chr4	150367516
chr1	80403646
chr11	131998126
chr14	23321123
chr5	178588414
chr1	57678254
chr13	79741160
chr4	110904846
chr6	54879397
chr4	184808673
chr6	116933654
chr10	22553145
chr11	110760075
chr1	220918756
chr13	50400430
chr5	142316199
chr4	173252502
chr1	81954853
chr6	124822270
chr13	71877374
chr14	73125460
chr10	121501164
chr11	12802870
chr11	15836198
chr7	80923452
chr5	73786607
chr15	83062001
chr11	65472349
chr1	87718557
chr22	19287490
chr7	84022753
chr9	13979654
chr1	67646428
chr19	45630657
chr18	24209720
chr10	94546992
chr13	66835317
chr9	109474366
chr10	15802839
chr17	37274629
chr20	15455456
chr7	77687837
chr13	67224301
chr12	19576012
chr13	66529108
chr13	52832468
chr2	32942908
chr7	133478872
chr13	52804445
chr10	17139733
chr19	29476653
chr18	24056109
chr6	9141092
chr13	50437483
chr9	14322349
chr2	31008775
chr9	108476037
chr10	119211375
chr12	25333953
chr13	50357892
chr6	10407944
chr6	4321090
chr7	133492435
chr2	223806008
chr1	55877800
chr13	78618621
chr3	190566758
chr1	28792894
chr9	110521405
chr12	13196590
chr13	77509349
chr6	2028723
chr3	190973858
chr10	12845374
chr3	48034123
chr12	15175714
chr3	191342578
chr7	30893628
chr7	134313806
chr6	125025342
chr2	37318644
chr3	48237308
chr1	46691150
chr4	118330064
chr9	110089900
chr17	34981979
chr9	76365165
chr6	82260421
chr9	14271319
chr9	109751374
chr2	36394971
chr7	133530836
chr13	50223195
chr1	110647487
chr4	112998349
chr6	87095328
chr9	86545274
chr7	127908869
chr6	14825121
chr2	181683612
chr7	40382366
chr17	42142831
chr7	127820512
chr13	41849077
chr7	127684309
chr10	24892035
chr3	129399471
chr10	25174657
chr13	41306930
chr13	40986581
chr4	107824232
chr3	53460508
chr6	16146737
chr6	75493946
chr7	124702146
chr4	107293134
chr7	40986546
chr17	43517441
chr6	75489203
chr12	29699003
chr10	28203220
chr3	78879631
chr13	39346163
chr13	39329415
chr17	43573929
chr10	22979071
chr9	77150893
chr2	27771753
chr10	21920862
chr4	112910256
chr6	10613292
chr6	81614549
chr17	39063245
chr7	130913348
chr2	30422300
chr7	130210697
chr6	119521382
chr2	196853591
chr10	21359458
chr3	130783839
chr20	12925319
chr1	83102825
chr10	21975567
chr10	22555004
chr12	26870912
chr10	88541265
chr6	118709462
chr2	28614277
chr7	129224493
chr6	118467330
chr7	78074232
chr13	45467910
chr3	81717078
chr6	117591666
chr9	282132
chr7	79401510
chr10	88076140
chr4	119730393
chr1	113036940
chr20	18428969
chr13	78778160
chr1	25771347
chr2	221310073
chr3	36363123
chr6	134109659
chr10	93438914
chr12	2252019
chr12	2538149
chr12	64666157
chr1	58886214
chr5	173313030
chr10	125709171
chr3	37493225
chr18	34491891
chr18	34117437
chr12	4033084
chr3	94173124
chr12	62803959
chr3	185739379
chr10	94047468
chr5	174336170
chr21	37254082
chr13	106373504
chr13	105969935
chr2	45466137
chr3	89223384
chr17	20093435
chr5	174515163
chr3	37768625
chr17	20267185
chr17	17782121
chr1	88787602
chr3	138686971
chr12	810878
chr3	30689418
chr5	159712899
chr2	55550477
chr8	274447
chr3	31165511
chr3	94395143
chr3	31180442
chr18	42850397
chr17	13996004
chr8	130302586
chr5	168086426
chr4	145484404
chr2	53987616
chr5	168600601
chr17	17691941
chr10	126199355
chr19	40832015
chr17	15830380
chr2	47715756
chr5	169907455
chr3	32500431
chr10	126191346
chr17	78872647
chr1	81127275
chr6	134464828
chr21	26100778
chr17	17440132
chr13	113836072
chr18	33661053
chr10	91249880
chr19	18365070
chr10	10782826
chr2	202541355
chr3	188295075
chr10	7972093
chr6	129184010
chr5	181169814
chr2	197091062
chr10	122113388
chr10	8272179
chr18	31206959
chr13	93248924
chr13	93217987
chr10	8322218
chr6	1058037
chr10	121865749
chr7	140231397
chr7	138000532
chr12	12792168
chr6	125919096
chr13	79918810
chr13	79849832
chr12	62256882
chr6	82877351
chr10	11603140
chr6	1667350
chr2	38394964
chr10	11685941
chr13	79393989
chr4	27000276
chr13	95289247
chr7	29119561
chr20	20603571
chr12	65238776
chr17	20485105
chr1	245173902
chr3	185900342
chr3	186096515
chr4	138243543
chr17	21253481
chr3	40504834
chr3	186105795
chr1	115650208
chr10	979019
chr10	3078504
chr10	125633661
chr7	28572711
chr5	176183848
chr2	41966588
chr6	130927524
chr4	37430898
chr6	130617910
chr1	115299460
chr5	176845096
chr10	4354622
chr2	222177033
chr1	88145846
chr7	146656125
chr2	222241316
chr20	20207550
chr7	141477999
chr4	37562023
chr9	77807510
chr17	43778453
chr7	42152702
chr9	4762665
chr7	108017593
chr9	80158476
chr3	107208311
chr9	81116828
chr6	39059893
chr1	51737999
chr12	50196042
chr10	62048259
chr7	82542927
chr17	62792296
chr18	6808140
chr3	64331829
chr18	6775854
chr12	50233032
chr3	64996353
chr9	91898621
chr12	109696251
chr17	64082488
chr1	94101284
chr6	42210761
chr18	6734990
chr19	45103743
chr7	101914058
chr1	94082205
chr7	69232890
chr12	107646149
chr21	38323822
chr9	81661535
chr4	8044877
chr6	38371283
chr6	107599230
chr1	41870369
chr12	116719143
chr10	44857823
chr7	82156367
chr12	120224932
chr17	59666490
chr17	59707502
chr6	108684992
chr10	45235458
chr7	112150989
chr18	9700686
chr9	94094482
chr7	112130112
chr3	60990369
chr9	93468821
chr21	35256683
chr12	115860777
chr7	82382455
chr7	82384326
chr12	48021920
chr12	116236340
chr1	52183198
chr12	116196466
chr12	116153325
chr17	61153124
chr4	76782108
chr3	112090797
chr1	41783412
chr7	65572802
chr7	82429592
chr17	66177265
chr1	43199337
chr12	106962451
chr7	85737587
chr6	47571709
chr19	45406341
chr1	93150899
chr17	70969689
chr3	100526076
chr7	91557482
chr9	82665433
chr2	191322049
chr7	70044376
chr4	54165712
chr10	75405273
chr7	86819131
chr17	71163640
chr4	53943894
chr7	69934679
chr12	93145347
chr3	72256337
chr17	71616001
chr22	25966468
chr6	90895728
chr12	89373977
