Chrom	position
chr19	18522306
chr11	57325010
chr9	134164684
chr17	7483935
chr19	45478820
chr7	148987422
chr3	129053940
chr11	14359226
chr20	34303388
chr20	37528159
chr15	65295967
chr12	57242815
chr15	65304477
chr15	67840165
chr17	43315834
chr17	42388584
chr1	44820145
chr1	149812433
chr6	26123964
chr22	42615100
chr19	893344
chr1	11908074
chr9	34458608
chr17	43368213
chr2	88016625
chr1	11910117
chr14	32203392
chr12	6943700
chr11	64317868
chr1	210374392
chr1	16905058
chr11	62842028
chr9	95341710
chr6	27893338
chr2	121530803
chr14	20343446
chr4	1714799
chr4	112100138
chr9	35658054
chr1	163379958
chr11	62591777
chr1	44731316
chr1	48302737
chr19	1021423
chr6	20401721
chr1	148263376
chr1	202010441
chr11	71451973
chr6	27146893
chr6	27837305
chr9	127701042
chr1	148334890
chr19	5989002
chr3	112641439
chr7	148983627
chr6	137076770
chr1	149886734
chr6	27132822
chr5	40307058
chr11	75146567
chr3	129399798
chr19	21435315
chr6	102813628
chr17	58659477
chr20	10674118
chr5	91378727
chr1	144546676
chr17	9529321
chr19	46785023
chr11	74748803
chr6	68080294
chr7	100429226
chr14	105168785
chr12	120293361
chr10	16891697
chr10	79445916
chr22	37259268
chr6	102742183
chr7	154842088
chr6	43759378
chr1	44722099
chr19	5352377
chr2	45263264
chr8	29860344
chr2	117726257
chr7	102396242
chr7	44748826
chr1	55217996
chr19	56931338
chr2	238288933
chr19	45584953
chr22	39020161
chr19	1633617
chr7	2873926
chr6	26199427
chr11	130002884
chr4	59823618
chr1	223876549
chr19	18996012
chr13	110715402
chr2	64228389
chr1	227392151
chr19	45960782
chr19	40285684
chr1	146052322
chr1	144560946
chr6	26158084
chr17	4373864
chr14	100271555
chr22	39039506
chr3	81243029
chr17	40423063
chr17	47957942
chr17	58631970
chr6	52995459
chr8	33513357
chr5	115306379
chr18	30271883
chr7	44082679
chr8	101608127
chr1	228458032
chr12	120292063
chr4	140558296
chr17	2401648
chr9	14322706
chr16	69187062
chr2	14540287
chr1	38053328
chr6	154343974
chr10	14185310
chr10	71202453
chr19	49665898
chr19	45370595
chr18	28248873
chr1	67685131
chr12	68404598
chr1	16895816
chr19	2507288
chr4	180542585
chr1	90926330
chr19	54464284
chr9	79571891
chr6	2989554
chr14	21308882
chr11	46277587
chr18	21167827
