Chrom	position
chr9	77158951
chr4	7956532
chr12	6171733
chr1	33433820
chr5	151924743
chr19	49987319
chr20	10219645
chr3	48661876
chr7	155070145
chr11	66421805
chr14	35535370
chr2	86440998
chr8	101159047
chr1	37764476
chr5	56123975
chr10	122912079
chr3	12405955
chr1	58849034
chr12	11500786
chr9	755903
chr8	29637666
chr3	38805990
chr1	145892160
chr1	159177486
chr1	203674242
chr20	49775486
chr8	144336724
chr19	2950079
chr15	65832849
chr7	31115152
chr6	32255395
chr9	76456423
chr4	1410610
chr6	46876261
chr10	14782862
chr6	169899368
chr11	6635729
chr1	26408722
chr14	61356143
chr10	102600013
chr17	77110194
chr2	162840813
chr1	32934178
chr19	7563013
chr18	37270234
chr1	64898267
chr3	9704431
chr17	64707307
chr8	133217992
chr9	124110496
chr20	36384204
chr8	122576021
chr22	50600292
chr17	48244430
chr11	61567385
chr7	112192348
chr5	58019803
chr11	114179467
chr8	8288561
chr2	165953996
chr1	59084319
chr3	52217260
chr6	11609762
chr20	37627167
chr15	64387784
chr12	2752823
chr1	223707387
chr1	39398815
chr6	46935791
chr13	44933055
chr20	31968581
chr7	104943884
chr16	14058194
chr3	160566237
chr4	38667322
chr14	89619185
chr15	67025832
chr16	74449326
chr16	69530850
chr18	57668257
chr3	40971843
chr16	33336791
chr7	13981280
chr13	32143080
chr19	49640797
chr16	33339848
chr15	66883480
chr10	90931182
chr15	31024504
chr1	198935701
chr5	149062650
chr13	28408654
chr2	172253387
chr18	23192538
chr1	33347042
chr18	22432793
chr8	13366897
chr18	10927105
chr12	31749350
chr18	7324433
chr8	124564825
chr1	17128558
chr5	175797048
chr19	4769693
chr12	96427324
chr14	68459329
chr17	59853401
chr10	127945451
chr5	10734227
chr8	80980113
chr4	76831103
chr14	22537105
chr7	76201853
chr1	79079972
chr3	172138066
chr14	90419486
chr9	70438767
chr19	56638155
chr13	112711950
chr4	123555602
chr10	14783024
chr17	49688185
chr10	36173601
chr8	119722091
chr1	67725093
chr11	62556638
chr7	29305008
chr6	83859541
chr7	112160637
chr3	108035948
chr4	84870604
chr3	32401770
chr10	3095500
chr12	120231560
chr8	10990382
chr6	36755792
chr3	16051195
chr10	122308038
chr10	122310923
chr1	11550874
chr8	127508972
chr11	7605729
chr10	33264441
chr1	66336122
chr5	42950833
chr10	124153240
chr9	113621627
chr2	237603938
chr5	14809855
chr3	43389847
chr8	133540382
chr10	128464564
chr11	59707054
chr17	40021644
chr7	133843505
chr15	63870751
chr1	220732224
chr3	64210278
chr6	11653326
chr3	58082195
chr3	58332854
chr1	229059963
chr9	122820150
chr1	40875804
chr1	226778818
chr1	21324675
chr9	13575850
chr3	153221935
chr2	101120763
chr19	44742093
chr13	28329827
chr3	126911499
chr2	190334688
chr3	158650073
chr15	29698500
chr17	42320115
chr15	33126680
chr15	35673263
chr19	12832581
chr1	94038663
chr6	90369155
chr12	108644044
chr1	19156892
chr9	126082867
chr7	151687748
chr4	3305730
chr1	227357568
chr20	33789790
chr8	94719840
chr4	25312712
chr8	10152459
chr10	29659437
chr3	187669847
chr17	64412142
chr12	92754430
chr10	11210378
chr4	144709284
chr2	64273749
chr6	113496378
chr5	149562018
chr20	44601925
chr20	31573023
chr19	47176779
chr2	97869432
chr10	47403029
chr18	70422290
chr16	70428430
chr16	71467965
chr2	181810941
chr20	31610727
chr13	98910799
chr2	37390633
chr15	94585000
chr2	178112401
chr16	1025415
chr5	142362950
chr1	64864369
chr5	124599660
chr1	94327459
chr17	42024916
chr2	190718953
chr6	155782599
chr20	49989626
chr3	72310642
chr8	26641853
chr13	33126277
chr7	92645760
chr4	165741041
chr2	203811724
chr2	33555370
chr12	96078433
chr10	84291607
chr13	44306655
chr22	40499360
chr3	43286300
chr9	37472520
chr7	102875943
chr2	200405781
chr13	44364787
chr3	11496247
chr9	35335293
chr1	94045768
chr13	48095235
chr13	99315037
chr1	159409138
chr17	74671454
chr17	68822108
chr2	41837170
chr8	66535889
chr10	6722421
chr17	40516968
chr1	154497130
chr6	11318441
chr15	96330445
chr10	69819884
chr15	58771041
chr3	62159863
chr4	101021140
chr3	149367294
chr9	14238695
chr8	8310728
chr9	122821736
chr6	7827290
chr1	153566654
chr11	102011255
chr2	112624590
chr8	23548034
chr2	27955215
chr2	112811987
chr3	56291443
chr4	55214276
chr4	24979667
chr5	132388612
chr8	25308824
chr15	96993012
chr11	70650507
chr17	15490832
chr17	67422052
chr1	234772569
chr5	127872604
chr12	77213515
chr1	8197916
chr7	4973866
chr19	43789243
chr2	159497415
chr7	47786786
chr11	111707217
chr1	156123780
chr14	53550150
chr5	61323153
chr4	98728581
chr6	166598721
chr15	64536397
chr2	150133836
chr1	34925001
chr6	56715265
chr5	111681072
chr15	73697151
chr13	49630090
chr5	81852000
chr5	82357440
chr9	131331349
chr11	65317259
chr8	33473149
chr16	86929291
chr6	33694647
chr8	106435136
chr1	24720187
chr2	6993413
chr16	86664711
chr6	42198193
chr1	55429192
chr14	61562108
chr8	54525059
chr16	84730593
chr7	158818665
chr15	90401053
chr2	32792684
chr21	8219990
chr7	42247428
chr17	27353787
chr2	236889406
chr4	74632821
chr1	147794726
chr9	132582228
chr7	116426502
chr2	11830183
chr7	116395643
chr2	11744228
chr20	14951860
chr3	15636362
chr10	13713142
chr17	57425014
chr1	169676312
chr5	157554381
chr8	10711303
chr1	58395541
chr16	15590972
chr1	32886743
chr17	78592485
chr8	129636194
chr14	68598993
chr2	15730606
chr15	74011735
chr6	135291917
chr12	119716787
chr17	50639395
chr17	26885789
chr9	81875116
chr17	76029661
chr4	41427437
chr14	61476995
chr11	125300899
chr16	20904938
chr21	14877952
chr12	93785418
chr18	35459117
chr5	145854833
chr16	81997390
chr1	32066624
chr17	5191887
chr1	59596588
chr21	8234503
chr18	35463327
chr3	31288779
chr21	33287273
chr5	111530396
chr12	117687218
chr9	83271874
chr6	28399816
chr11	82883935
chr5	178585694
chr8	117702437
chr21	32772028
chr11	62890098
chr4	37666897
chr15	74546378
chr3	111676893
chr8	29752577
chr1	229231553
chr12	49503784
chr7	100829486
chr5	137061585
chr1	243101813
chr1	34859818
chr8	29665376
chr3	98977778
chr7	19177367
chr1	236503319
chr1	31573979
chr2	111975301
chr15	75532567
chr10	13866408
chr2	90392649
chr3	64189277
chr11	72072463
chr15	94607497
chr7	5781810
chr2	98758257
chr7	2863798
chr3	87333617
chr4	184355397
chr8	27720010
chr11	76588619
chr10	3755227
chr3	69353656
chr2	83082125
chr7	5574966
chr11	75340848
chr2	71460742
chr2	71492306
chr11	95144517
chr10	14578578
chr2	64263534
chr10	3924527
chr2	101759337
chr2	71605176
chr12	124740994
chr2	43168887
chr2	74120310
chr10	4704394
chr1	32981228
chr8	140646021
chr7	139680073
chr1	634028
chr9	123303114
chr7	84702108
chr14	61653672
chr12	1474323
chr1	165482394
chr13	44237529
chr14	58731607
chr14	57362550
chr20	28513660
chr3	10224962
chr14	64720381
chr20	32470188
chr1	158056096
chr14	53956761
chr1	61450661
chr5	61314144
chr20	41005602
chr20	41008509
chr20	17863931
chr1	58899134
chr4	129546176
chr13	41614343
chr13	40681606
chr4	130985618
chr13	40681698
chr7	40299299
chr8	11854108
chr7	41190018
chr9	76375423
chr20	11207999
chr9	77515117
chr20	11267459
chr3	15647060
chr8	10799997
chr9	76564474
chr1	58855555
chr4	140100178
chr9	76818510
chr1	154418370
chr5	57841832
chr14	49768075
chr13	98476671
chr1	67736084
chr13	106349527
chr13	51315398
chr1	67850828
chr5	14202696
chr1	109617526
chr9	108156658
chr21	41958284
chr12	6180409
chr22	38241089
chr1	97013973
chr22	37501893
chr13	59531743
chr4	185839353
chr1	85329162
chr22	35836466
chr7	70178940
chr21	20998234
chr13	114119376
chr14	20343240
chr5	57383376
chr7	47946982
chr20	49562471
chr20	49772405
chr20	49790449
chr5	56350692
chr1	64981234
chr13	48492688
chr22	46971451
chr5	56108460
chr14	23062232
chr20	54340817
chr1	143222731
chr1	143214742
chr7	53119745
chr1	173123579
chr1	174689731
chr15	60371549
chr1	207890466
chr9	22159212
chr9	22211857
chr2	169824912
chr5	125559406
chr3	46935641
chr4	109184759
chr2	174998608
chr11	118241229
chr1	214427978
chr2	181791438
chr4	112083468
chr5	121969430
chr11	118359542
chr4	113468445
chr8	19472264
chr1	44807807
chr1	213573120
chr1	214439731
chr20	1491603
chr12	48716834
chr2	113583985
chr9	14322431
chr2	119455423
chr7	95609008
chr8	23223855
chr2	133818385
chr3	58049375
chr15	56246189
chr2	159124471
chr2	144350683
chr3	56929028
chr7	22632778
chr11	110363409
chr7	23465650
chr13	27195539
chr7	142556944
chr2	191636398
chr9	35757191
chr4	116532096
chr3	30631416
chr7	91628981
chr11	128334644
chr14	75234707
chr2	234258306
chr2	234694682
chr2	234880692
chr4	124429541
chr14	74649796
chr2	201130835
chr2	236673605
chr11	128964723
chr13	39777642
chr7	37032117
chr3	29324543
chr13	40116253
chr20	1337081
chr14	85471871
chr11	124759821
chr1	198669320
chr1	200076291
chr13	31045960
chr8	18957732
chr4	119454735
chr2	204110457
chr2	204114559
chr14	95519838
chr14	95265595
chr13	33153970
chr7	30672057
chr15	95459583
chr9	62802652
chr5	107389312
chr11	122920762
chr4	123444469
chr9	63346509
chr8	133033400
chr22	35377093
chr2	1708127
chr4	73776629
chr3	169496602
chr16	69073441
chr18	49723888
chr17	49836500
chr11	62553506
chr6	131628284
chr4	16820543
chr12	112839475
chr6	79377986
chr7	131623387
chr19	45443693
chr4	6278905
chr18	55401968
chr17	64344568
chr17	50661974
chr9	131714371
chr17	75096250
chr10	49831566
chr3	157130677
chr16	34727021
chr10	113071685
chr10	42070567
chr10	113073822
chr3	169765163
chr6	52568497
chr3	170331361
chr6	127147084
chr2	1625452
chr6	137681101
chr18	48713448
chr16	20910847
chr11	10659899
chr8	89611986
chr18	48790477
chr6	11938765
chr12	96368469
chr8	89984280
chr9	127634244
chr7	112484824
chr12	55020017
chr9	136674638
chr7	136857741
chr10	87862330
chr10	109935276
chr10	80509905
chr8	103152420
chr12	90801934
chr19	40715818
chr11	9626996
chr17	27284955
chr3	197488052
chr18	62331758
chr16	69404701
chr3	146222535
chr6	70413188
chr12	90253934
chr3	197490239
chr6	36827759
chr17	26885432
chr4	38162402
chr4	25002765
chr6	25193360
chr6	41581716
chr3	188348838
chr10	63629609
chr17	26620043
chr19	33884095
chr3	157282699
chr11	16903242
chr6	138593362
chr10	122127476
chr18	57693981
chr17	23190348
chr10	124120078
chr9	128494640
chr17	6098723
chr6	3612905
chr1	9893321
chr16	56607428
chr11	7600664
chr10	122474598
chr11	17224886
chr6	73774564
chr11	36105170
chr8	39038309
chr10	122183377
chr10	110310947
chr3	142578837
chr6	109440834
chr17	25074466
chr10	90227326
chr17	25389917
chr16	19805048
chr5	170054015
chr7	108358685
chr3	193869873
chr17	41777653
chr16	64162815
chr4	11543907
chr10	102738965
chr10	25062583
chr18	24831996
chr6	121932789
chr6	89895481
chr6	169670079
chr3	194930931
chr11	68380550
chr2	26758173
chr4	10530493
chr6	29964997
chr3	172142741
chr12	75641161
chr2	25997916
chr2	28661810
chr6	90587283
chr9	137353936
chr10	95729429
chr2	38543023
chr18	22563279
chr3	119294260
chr16	83780035
chr10	99966532
chr2	36381274
chr16	66873507
chr1	27112332
chr10	114685042
chr16	82654102
chr15	99455123
chr15	99708812
chr10	22849651
chr18	11860097
chr3	177345851
chr11	22792720
chr11	22830027
chr19	13167723
chr10	72171305
chr6	113995123
chr9	137411850
chr17	66275781
chr6	163336010
chr18	25299067
chr8	115872277
chr6	160006434
chr3	128549502
chr3	128555574
chr6	136610396
chr16	57316784
chr19	17553506
chr5	176837806
chr17	35973627
chr10	103812668
chr16	81711820
chr16	81625778
chr9	128558718
chr2	6780981
chr3	129622107
chr16	89926505
chr3	156812600
chr4	76198634
chr10	29849716
chr19	2540984
chr8	32334459
chr3	171861315
chr5	173766572
chr3	151976413
chr18	25239854
chr12	79302653
chr6	87322547
chr2	20823096
chr20	31696334
chr6	44313331
chr11	12693928
chr14	55448225
chr6	125301808
chr8	100310528
chr20	31485936
chr8	100559795
chr8	8625916
chr14	54652403
chr12	2336528
chr14	55108433
chr20	25310489
chr17	6110800
chr14	61524735
chr14	59529397
chr1	160540414
chr6	44104845
chr6	42782765
chr10	112517600
chr9	84139461
chr8	100499653
chr17	73305164
chr17	74876000
chr17	75707278
chr1	161185390
chr15	95557040
chr18	3247231
chr6	127210937
chr17	77389837
chr1	175169508
chr20	3811805
chr1	174815254
chr16	89316270
chr8	105173192
chr7	39589867
chr1	173868436
chr5	80184418
chr1	173431372
chr20	4656810
chr20	4869662
chr11	130527777
chr18	7371041
chr18	7273759
chr18	3711159
chr1	175169854
