Chrom	position
chr4	190862010
chr17	42092380
chr12	56511932
chr5	133968533
chr11	47600537
chr17	38137035
chr8	22462190
chr1	23345849
chr7	148892650
chr2	55496406
chr1	89357259
chr15	64679955
chr6	138725250
chr6	138708818
chr2	74210915
chr4	106629893
chr15	41694731
chr12	53845715
chr2	3622795
chr15	86383928
chr19	11039476
chr2	231915146
chr7	149157739
chr8	143751436
chr5	148819608
chr15	89089971
chr11	8008696
chr5	150163225
chr21	18834936
chr19	33765405
chr4	8442481
chr12	109490335
chr2	110448522
chr12	31902345
chr20	3994878
chr13	76377321
chr10	130489778
chr20	1099189
chr3	131221824
chr6	30640800
chr16	14750507
chr18	55470525
chr11	77790925
chr22	20067438
chr8	117815233
chr5	87564603
chr11	3627212
chr7	30634410
chr17	59434109
chr16	23652764
chr9	37904386
chr11	75083507
chr11	72497553
chr1	205533260
chr8	39912486
chr8	33371153
chr15	50441607
chr13	108870794
chr18	61035068
chr1	27471037
chr20	57226269
chr10	36711957
chr11	57508824
chr1	6614662
chr5	110427981
chr3	119866480
chr16	2653363
chr4	159748201
chr3	37636877
chr17	41393387
chr12	89413507
chr17	22020721
chr5	271532
chr19	39353387
chr19	18487954
chr1	145096405
chr11	11157756
chr1	211319574
chr12	64256319
chr19	19488799
chr2	97304128
chr4	4543820
chr1	33615689
chr22	31603416
chr2	109335880
chr22	45152025
chr2	99797606
chr8	8318931
chr12	57024183
chr3	194393236
chr22	46992978
chr17	7740284
chr11	15790807
chr5	16889898
chr7	12841034
chr19	16830455
chr16	69430698
chr7	99063826
chr9	116102623
chr4	169991238
chr1	38455790
chr5	74062990
chr2	148570140
chr1	235096622
chr12	50635208
chr5	72143898
chr9	71735713
chr11	8710484
chr8	125192823
chr3	155572325
chr2	74682084
chr4	185252557
chr19	13885221
chr14	51707056
chr4	185408878
chr19	14682916
chr1	151162696
chr7	99036436
chr20	31989382
chr6	20589615
chr19	48085054
chr1	167896024
chr6	136887411
chr17	71304551
chr19	53875546
chr13	41568285
chr7	47618395
chr7	129691237
chr7	138818468
chr3	53381653
chr11	66516612
chr6	134722183
chr6	142468314
chr15	66084812
chr19	55770723
chr2	197664472
chr1	244486092
chr10	24759107
chr7	45808665
chr1	169498722
chr11	66176014
chr7	56019590
chr1	109408268
chr2	231921335
chr1	163291614
chr10	18899523
chr1	93544727
chr1	1310714
