Chrom	position
chr17	7837006
chr1	118960772
chr17	48871792
chr21	15140694
chr11	68298333
chr2	231050477
chr1	1006715
chr5	42811963
chr21	41768831
chr5	150543157
chr6	31959314
chr3	138863229
chr19	1400564
chr11	13965565
chr3	58536160
chr2	8609621
chr5	134506410
chr1	26350939
chr1	211675968
chr7	44562422
chr6	43804652
chr9	96339838
chr10	119317313
chr17	73289081
chr14	24308020
chr1	235062620
chr21	41715862
chr5	134018619
chr16	27274035
chr12	4277052
chr2	42092470
chr8	102808559
chr1	212791979
chr8	94198698
chr15	85840657
chr22	35372164
chr2	227821663
chr19	13162882
chr10	133378601
chr7	43905348
chr10	127873091
chr9	18824245
chr1	12616015
chr11	83092994
chr2	237590701
chr7	74292941
chr12	39443732
chr13	44431335
chr1	63674655
chr20	49688347
chr16	8863747
chr14	39266607
chr11	61973231
chr8	95067572
chr8	27490927
chr11	67650745
chr19	7200086
chr16	75305536
chr9	90458690
chr12	56082036
chr11	111360369
chr17	38871642
chr22	37501870
chr19	6403021
chr1	25168638
chr16	21261073
chr2	71388369
chr17	28698599
chr4	112231481
chr1	169148685
chr15	31296853
chr3	122365732
chr19	39397923
chr15	40593994
chr12	120978489
chr10	59972120
chr5	132807464
chr13	108154507
chr5	133424004
chr1	200896893
chr12	26114599
chr3	58175640
chr9	131735628
chr12	45990928
chr5	180808784
chr12	98491199
chr16	22680875
chr9	133892530
chr2	218444905
chr1	89045473
chr4	145938872
chr1	31509415
chr2	27890382
chr17	45407128
chr11	128448667
chr9	110220970
chr16	29829568
chr1	23809925
chr3	72973184
chr11	14258418
chr2	119679411
chr2	133844474
chr10	99593525
chr12	120984593
chr3	123606023
chr1	32321917
chr11	12219124
chr11	121231830
chr5	168315036
chr2	200963252
chr10	63738672
chr1	109426773
chr13	33126231
chr12	12314219
chr16	70428429
chr19	40523434
chr19	44613535
chr2	238294809
chr1	229221406
chr2	218419101
chr5	95987130
chr7	73979275
chr12	31590086
chr3	38133724
chr7	143902071
chr1	28296786
chr14	73796121
chr4	51909364
chr12	15629320
chr5	93637892
chr19	2330797
chr8	40054809
chr8	42915121
chr1	112699056
chr3	170331373
chr19	2577099
chr3	37229909
chr1	15800322
chr15	70788571
chr19	48558408
chr4	86936549
chr15	40002475
chr12	93314714
chr19	39411297
chr5	154647441
chr11	61756960
chr17	73798310
chr7	37943400
chr19	42444083
chr6	151669043
chr1	86793150
chr20	31610812
chr2	96819392
