Chrom	position
chr22	36025970
chr3	134093356
chr1	85794829
chr3	11642039
chr7	46185197
chr1	109045884
chr1	246599052
chr10	15242898
chr1	151167925
chr4	39044984
chr19	2540878
chr11	67780848
chr16	68271621
chr19	13964445
chr22	41686872
chr3	101561593
chr10	95048921
chr13	43843532
chr15	67175949
chr13	21635718
chr4	129450461
chr22	30603102
chr8	130528018
chr6	132272620
chr10	60616487
chr9	37472546
chr17	35848455
chr9	34989543
chr17	73426609
chr12	89844932
chr14	55119116
chr6	86226061
chr19	48102374
chr11	73020338
chr3	47462689
chr10	104991146
chr11	71010586
chr22	19868868
chr1	193080905
chr12	12420160
chr6	8085435
chr8	22455099
chr3	112366172
chr8	48425201
chr1	1296145
chr2	219596468
chr1	151961138
chr12	32830961
chr12	98869240
chr7	151451400
chr19	45879777
chr11	69312206
chr17	1617992
chr2	36713949
chr16	4550487
chr2	131678169
chr3	134045932
chr7	100765377
chr17	836868
chr21	17936257
chr2	151267593
chr2	62900042
chr9	99182972
chr4	102875253
chr15	67336860
chr19	2463224
chr9	86500614
chr9	33506797
chr18	71984231
chr7	79136032
chr5	176621406
chr12	46888375
chr10	96157668
chr4	123704600
chr1	3448153
chr18	29929890
chr8	97145151
chr16	70728150
chr10	22216078
chr7	94210087
chr9	134192721
chr10	179655
chr12	27856797
chr1	98552493
chr18	3261828
chr18	26745456
chr18	3247501
chr3	29735570
chr14	23452086
chr1	165742734
chr18	21032768
chr5	145305112
chr15	31316847
chr15	57649051
chr1	205270736
chr19	782707
chr3	192607142
chr3	47018586
chr3	51378131
chr18	12946891
chr3	124493334
chr18	9643707
chr1	960199
chr9	109561662
chr7	33756396
chr9	101553627
chr12	3068566
chr22	39570971
chr2	159314708
chr8	54857732
chr11	12695965
chr8	142164327
chr10	65389427
chr8	95370097
chr15	60672118
chr7	100464941
chr3	76547012
chr3	49171195
chr19	34972574
chr15	51202877
chr1	19379135
chr22	50346183
chr5	150017317
chr15	67066867
chr20	42568209
chr15	48104784
chr2	26567664
chr7	6323189
chr1	185615599
chr5	173251390
chr11	9634764
chr12	48214549
chr1	235123309
chr9	114792455
chr3	139021347
chr3	52188826
chr17	63781473
chr1	218670136
chr1	218848022
chr3	58546683
chr8	38895802
chr9	15253388
chr3	66101698
chr17	19861496
chr18	3650094
chr12	122885209
chr1	157989492
chr4	84129086
chr4	1880227
chr1	211725113
chr14	56072744
chr8	25053075
chr1	6784803
chr10	3819413
chr15	60685317
chr10	73526692
chr17	38324741
chr17	58219704
chr8	101679918
chr7	152091520
chr11	69235461
chr10	74524133
chr13	91097620
chr9	5818132
chr10	123811346
chr1	183850961
chr17	57294195
chr9	35518358
chr6	140085962
chr10	96989555
chr20	46082059
chr8	8522146
chr13	65298114
chr9	130377485
chr21	16922220
chr7	30027718
chr17	57232538
chr14	74129333
chr5	40552512
chr19	39150376
chr11	82781547
chr1	201472808
chr6	30663315
chr15	33117118
chr2	85185414
chr14	60561169
chr7	92464890
chr10	91038075
chr2	175307704
chr4	76439518
chr11	101881988
chr12	45628507
chr3	171530026
chr11	57546148
chr1	39644387
chr5	1555742
chr9	21466105
chr17	42620657
chr17	45383095
chr18	8891048
chr2	48698269
chr10	103769718
chr1	234908299
chr1	44287865
chr10	34817333
chr1	55400776
chr1	16114749
chr9	131317652
chr17	8057694
chr11	47211000
chr14	53477900
chr3	123324234
chr10	25052067
chr6	72114581
chr11	96058264
chr5	169578289
chr6	34577596
chr12	64316409
chr8	18577792
chr17	37856198
chr14	69408765
chr3	158152356
chr18	68051654
chr12	51180766
chr17	57839342
chr8	126245233
chr1	200045565
chr16	24989194
chr2	189961744
chr5	82419
chr3	5068800
chr15	99153024
chr22	39572360
chr8	61429104
chr3	183892432
chr9	123129086
chr5	142093170
chr16	75063935
chr2	28819741
chr3	197217085
chr1	214725272
chr9	100985727
chr1	8964159
chr1	205859072
chr2	205529753
chr22	32046476
chr8	56941554
chr12	52445026
chr7	102516402
chr1	8950674
chr7	83097783
chr14	69044725
chr17	48105907
chr1	65891561
chr5	159510390
chr9	127059959
chr12	115843174
chr7	47644664
chr17	36077309
chr3	125986340
chr8	96146945
chr7	127505716
chr1	210439160
chr14	75919938
chr1	17339667
chr12	66539116
chr5	957189
chr3	150027556
chr6	148762358
chr17	38471055
chr1	156473291
chr2	44460806
chr11	9385962
chr9	99377169
chr8	119037601
chr8	134353880
chr3	124782126
chr1	8686718
chr10	120932321
chr1	211826833
