Chrom	position
chr1	1659023
chr16	28950695
chr17	42998349
chr3	128879484
chr7	25125374
chr7	66995693
chr2	74529827
chr17	75667209
chr19	13747803
chr19	56141028
chr1	45500155
chr12	6852507
chr12	75511659
chr19	2783397
chr7	23181960
chr8	9555879
chr1	44721760
chr3	156555307
chr1	1724404
chr18	62715086
chr14	44962011
chr4	152536180
chr3	157175175
chr8	100150622
chr19	10416759
chr4	151099549
chr19	16496285
chr2	169573937
chr14	73027293
chr1	155308745
chr19	17419938
chr3	50359670
chr12	65169533
chr1	225999377
chr2	27489760
chr3	51391175
chr2	96532382
chr17	7688291
chr6	90587331
chr3	61250141
chr7	44848299
chr4	108620487
chr4	39458978
chr12	121016533
chr3	114056701
chr6	117675407
chr12	93441982
chr1	25998170
chr12	98593630
chr3	140941721
chr19	46851062
chr2	3575219
chr12	120201245
chr10	100267676
chr4	499201
chr12	110048630
chr17	8249285
chr17	43170413
chr10	110211314
chr8	120445173
chr20	37096059
chr11	81963210
chr1	146376464
chr11	67606908
chr11	66843424
chr2	219245466
chr19	5680702
chr19	6536257
chr3	11272379
chr10	62804498
chr19	12696659
chr19	14081457
chr9	32573175
chr9	33076680
chr2	113437727
chr2	110205035
chr19	40443286
chr11	126268972
chr17	78558552
chr20	63865234
chr17	28952400
chr19	43951160
chr17	35587256
chr19	43575624
chr12	48852239
chr7	100586226
chr10	114938193
chr9	101398721
chr22	26483854
chr10	42552915
chr7	124929854
chr21	43789525
chr21	42496437
chr7	151058118
chr20	63981114
chr16	1782817
chr14	69767107
chr4	118591714
chr19	57487688
chr6	34757489
chr10	95693978
chr1	51422163
chr10	13161482
chr19	57320469
chr9	132406868
chr6	32439791
chr19	55675096
chr19	55634992
chr13	102845774
chr10	92591711
chr15	57706601
chr15	42491173
chr14	24232490
chr19	54200789
chr1	36149599
chr9	135961471
chr19	48976375
chr5	138213440
chr19	49478899
chr19	49487551
chr14	99683916
chr14	55271249
chr9	137205667
chr5	150701098
chr14	76961967
chr19	50511534
chr6	34888071
chr14	21511420
chr4	145098221
chr4	147684222
chr20	49219364
chr11	118359571
chr20	45791926
chr11	117178709
chr8	22604605
chr14	36320684
chr1	205122307
chr20	34112361
chr20	32109703
chr8	37849951
chr1	120176547
chr11	83156904
chr16	1309152
chr1	203795585
chr1	144412284
chr4	56387508
chr20	5113112
chr14	49586542
chr1	146410108
chr19	507935
chr15	22838654
chr1	147928397
chr8	81842826
chr18	268066
chr8	10839893
chr4	56978775
chr6	26457865
chr10	38094295
chr22	23717389
chr10	18651643
chr6	26596928
chr7	133082271
chr1	109984711
chr12	6970734
chr1	54053535
chr16	10944474
chr1	110407786
chr4	44678415
chr15	34225008
chr4	53366081
chr12	125237297
chr15	40807514
chr7	152676280
chr15	40755274
chr20	58888843
chr5	132866615
chr1	113812477
chr20	50116051
chr5	133968675
chr1	148522770
chr8	94553538
chr22	26512495
chr11	17077790
chr13	30466061
chr19	13153020
chr6	2765323
chr11	20387431
chr19	13952245
chr4	103198481
chr9	27573837
chr1	40161295
chr5	181184321
chr14	74713149
chr13	31162411
chr1	9428985
chr5	179819098
chr1	155934442
chr5	178153902
chr5	177454692
chr11	10541225
chr10	68527518
chr19	17932994
chr11	9384572
chr1	7954292
chr11	6619480
chr4	94207617
chr11	46113168
chr2	233251572
chr1	37692381
chr5	140557483
chr1	150236199
chr5	140718898
chr11	65117745
chr14	50116586
chr2	216412371
chr5	140726143
chr1	151459512
chr1	37554315
chr11	63974540
chr8	125091832
chr1	153958733
chr2	201781200
chr2	200713243
chr1	10398911
chr1	153422668
chr19	9435568
chr19	9675101
chr6	8064512
chr2	178523137
chr4	77076296
chr16	3024333
chr1	35641559
chr1	109076029
chr3	196503765
chr4	2934898
chr16	89217658
chr16	89490826
chr1	85062218
chr16	89700336
chr3	71584104
chr5	7869126
chr5	37371106
chr15	70099636
chr4	2418869
chr3	57556074
chr1	87328424
chr3	101561812
chr7	27663099
chr3	52410031
chr3	51995945
chr16	25111710
chr1	53838619
chr1	244863166
chr1	88891628
chr3	50292532
chr12	57487988
chr3	49029449
chr16	88706470
chr3	101677195
chr17	44326961
chr12	120087168
chr3	196082153
chr12	112418870
chr3	184174679
chr6	36441608
chr4	169010320
chr4	169660208
chr16	67227109
chr16	68448731
chr4	932446
chr3	141311786
chr6	170554329
chr12	120293127
chr3	130746842
chr16	71845950
chr3	129161448
chr7	1138393
chr7	1160252
chr4	141220886
chr15	75023523
chr3	128650912
chr6	42217895
chr16	86555222
chr17	7191670
chr13	102799074
chr1	223992648
chr7	100049775
chr5	79514612
chr1	22052672
chr17	35567959
chr6	28443515
chr12	50025564
chr5	87412950
chr17	38825369
chr17	39402671
chr16	1420834
chr17	42677302
chr15	45279249
chr17	7315400
chr6	27838355
chr7	100436555
chr6	27553498
chr17	44014997
chr6	27545682
chr22	37658456
chr22	36529347
chr15	43106146
chr12	29381242
chr7	103344851
chr1	220046635
chr12	122896254
chr3	8963481
chr17	28357620
chr17	7435301
chr17	7561929
chr16	740997
chr12	56468503
chr6	31958987
chr3	44729600
chr15	65296115
chr3	40309602
chr1	222644296
chr7	65982274
chr17	15999714
chr3	25665045
chr17	17476982
chr6	110874723
chr3	15378339
chr3	14651708
chr12	53451952
chr6	30489407
chr6	30213521
chr1	23019344
chr3	9986866
chr19	18571757
chr19	50200220
chr19	36773078
chr9	136866407
chr2	68063031
chr10	110225861
chr1	3650131
chr10	70170523
chr9	96619930
chr19	52028437
chr19	48900058
chr19	48901260
chr19	48574878
chr19	57240624
chr19	55117718
chr2	72826078
chr10	124916755
chr10	70404102
chr19	51108467
chr1	156767272
chr19	50679560
chr9	113275627
chr1	2412584
chr19	35612720
chr19	57351255
chr19	50870607
chr2	18560699
chr10	101783435
chr9	125241503
chr19	57559889
chr19	44915163
chr19	45178508
chr19	49659977
chr2	27891287
chr9	97013797
chr19	51986904
chr1	778696
chr19	49641899
chr10	102502881
chr3	133661990
chr11	65472254
chr1	145607996
chr10	101353889
chr9	127388556
chr1	26169858
chr11	73761371
chr11	73647533
chr6	41787640
chr1	1000908
chr19	38619158
chr15	40160983
chr4	118278734
chr18	79069237
chr6	24721280
chr11	72434625
chr18	79679493
chr19	53520937
chr14	31561390
chr16	53704089
chr17	58679517
chr17	58417698
chr3	129413861
chr16	73053855
chr4	133149187
chr15	92904403
chr17	59707635
chr20	23358139
chr1	228103351
chr12	56104461
chr19	54102808
chr12	7933430
chr18	51197943
chr1	36224347
chr11	78188724
chr21	45541873
chr7	99408859
chr7	133252947
chr10	118755066
chr2	223602403
chr1	248874221
chr12	8082197
chr7	122144377
chr1	6260107
chr15	90994704
chr14	35046129
chr11	74949210
chr6	42563895
chr1	146387574
chr22	22343017
chr19	2900632
chr6	43059444
chr6	32941103
chr12	11486734
chr5	36151182
chr14	103921627
chr19	47048810
chr3	154324544
chr19	1885532
chr8	97775731
chr19	47113804
chr5	40756005
chr2	237085873
chr6	43477556
chr4	119454706
chr10	131900965
chr6	158560074
chr2	238060817
chr3	160399261
chr5	139341813
chr19	2702968
chr12	108562559
chr7	127585615
chr16	67562355
chr17	51121044
chr9	127715715
chr11	67428445
chr19	41321962
chr15	34343178
chr11	68903861
chr7	129952971
chr7	66844996
chr1	202808476
chr7	66921144
chr5	134738446
chr20	2664220
chr20	2470839
chr19	797067
chr16	69396249
chr9	92115425
chr20	770001
chr3	124217710
chr19	57746753
chr1	70205686
chr12	109093489
chr9	127451471
chr6	17600310
chr8	80485534
chr19	44094302
chr11	65712230
chr1	120851293
chr13	77329272
chr20	50499559
chr1	224434837
chr7	30594797
chr21	28992998
chr9	122093384
chr9	96417460
chr11	119084893
chr20	49278571
chr3	51385069
chr8	11458024
chr5	110726693
chr12	66234234
chr17	5468998
chr19	44927251
chr3	45689253
chr7	45111722
chr2	27081384
chr15	50424366
chr3	53130462
chr3	44976250
chr3	53891988
chr18	2655167
chr4	174283682
chr7	141738351
chr3	58306235
chr8	22245105
chr1	114581794
chr1	114346678
chr7	23532049
chr1	16895677
chr7	151227356
chr5	95962068
chr15	45456748
chr13	64076038
chr20	63272796
chr1	224114088
chr10	119892602
chr17	77088640
chr3	49007258
chr17	7483454
chr20	62183019
chr17	78254621
chr17	78841003
chr12	1690979
chr9	96854609
chr1	16440653
chr20	57718579
chr7	44200941
chr17	7572700
chr2	27370536
chr15	44711441
chr1	207321552
chr11	125569324
chr19	57411109
chr5	1634020
chr17	75779870
chr1	1471703
chr9	131373509
chr1	120850848
chr15	51681497
chr8	29737592
chr12	92145913
chr18	35041336
chr16	87765990
chr18	35290244
chr19	39445524
chr19	55305663
chr20	33811140
chr3	113577940
chr8	31033836
chr3	38165052
chr9	94374329
chr19	45730971
chr18	22933310
chr20	31604365
chr20	31547333
chr8	37736599
chr2	61177007
chr19	39409539
chr13	45464837
chr7	120950659
chr7	65770857
chr1	110034517
chr8	38386431
chr12	6938103
chr14	24328133
chr6	37433209
chr10	27155294
chr21	34030293
chr1	110964137
chr1	1512057
chr11	116788065
chr12	71754866
chr17	782339
chr7	140925042
chr14	24216096
chr17	67818283
chr3	69739318
chr1	2526271
chr19	55304470
chr12	56152500
chr4	163166944
chr17	8156687
chr9	132079920
chr17	63773797
chr1	2391676
chr3	87504137
chr5	86617883
chr9	97922247
chr16	88570409
chr12	6689631
chr5	121961851
chr9	98045549
chr10	27243099
chr20	35771947
chr19	57499838
chr21	44339436
chr3	48446679
chr1	6701855
chr13	102596315
chr4	8440768
chr5	65563272
chr12	31326386
chr19	29213205
chr11	43680731
chr16	22191435
chr11	65122189
chr1	179883930
chr19	55517101
chr1	234975289
chr14	60249039
chr22	49962552
chr7	101165624
chr5	168579730
chr17	42824316
chr8	144792445
chr14	88385640
chr4	13627764
chr1	154628000
chr16	20741828
chr1	27725804
chr22	49936214
chr5	171312760
chr14	90383439
chr4	8428521
chr16	23557381
chr5	69094003
chr1	6613600
chr10	73879783
chr6	125956692
chr19	41884287
chr11	3057497
chr6	83859635
chr2	88691560
chr7	77122421
chr10	99430763
chr1	153990706
chr8	143541613
chr11	9573579
chr8	143597437
chr8	143617626
chr4	103019727
chr19	11095245
chr17	29390304
chr7	102396359
chr6	53064878
