Chrom	position
chr7	41067090
chr1	172430323
chr7	77022748
chr7	7218652
chr8	82217144
chr3	24089532
chr11	59554535
chr8	81938764
chr15	39697118
chr17	63128285
chr2	147989967
chr7	151392349
chr3	114958732
chr10	8670394
chr6	4600323
chr3	21984001
chr3	16110771
chr8	89250125
chr7	97987237
chr8	103884002
chr1	151961033
chr7	19444694
chr14	61607690
chr12	115356762
chr7	134120049
chr21	33002453
chr4	159795196
chr3	106147573
chr20	45963007
chr4	146734228
chr8	80018006
chr8	80638423
chr3	42297746
chr1	215313634
chr10	80015941
chr2	55652680
chr7	6116917
chr2	236956651
chr14	21737797
chr8	96081400
chr3	189699563
chr6	35779080
chr2	45168743
chr19	19174500
chr3	22755607
chr21	27762614
chr3	189632778
chr11	7302510
chr1	16121798
chr11	102669013
chr5	37738335
chr3	119915860
chr5	37717769
chr6	30975644
chr8	96089728
chr14	52896336
chr20	10686802
chr7	21406881
chr11	119037281
chr16	66547180
chr1	241801057
chr14	65945533
chr1	241869745
chr2	111471338
chr5	84910472
chr8	126164110
chr1	162826290
chr1	227413616
chr11	118809383
chr12	47353472
chr1	207922228
chr14	33905325
chr8	81942237
chr6	141647711
chr1	207208495
chr3	97633405
chr21	16246965
chr8	122586823
chr11	117152057
chr3	23497480
chr1	162508916
chr1	64129245
chr2	153233647
chr1	116658270
chr2	216708424
chr14	31732845
chr11	20057380
chr14	66066298
chr1	116832061
chr19	8647413
chr8	90334723
chr10	78928807
chr17	44357299
chr1	200628458
chr17	44362032
chr1	200653329
chr12	117566259
chr11	84529229
chr17	56026119
chr5	102134915
chr14	50459935
chr8	81946472
chr20	15922960
chr20	15911691
chr8	134918019
chr1	200348620
chr8	101524682
chr3	151554987
chr3	71104912
chr3	23046709
chr8	126031953
chr2	55375602
chr11	71783419
chr8	82039840
chr20	11093631
chr10	79299078
chr2	181438865
chr2	45403653
chr17	56012681
chr9	81155000
chr20	11121225
chr11	34393179
chr6	19472654
chr2	85246357
chr1	147896525
chr8	90808555
chr11	102194869
chr2	32913843
chr1	46600686
chr1	173081381
chr3	20096195
chr9	28915339
chr3	94873801
chr1	209741266
chr8	126537710
chr14	59734944
chr1	46505428
chr14	70463066
chr8	101898500
chr14	34032887
chr7	7838989
chr14	59739615
chr20	48703143
chr8	122005688
chr4	142564078
chr8	80997603
chr13	96182609
chr10	80764211
chr1	164581197
chr10	80761263
chr21	42537335
chr3	82524091
chr1	61039588
chr3	161050683
chr7	8036377
chr8	133689333
chr20	9181523
chr5	112299602
chr8	126678060
chr1	244276187
chr20	52684224
chr7	51444371
chr19	6580528
chr17	42872480
chr7	51408211
chr8	126649767
chr12	27924605
chr19	54943504
chr8	102025049
chr12	96842228
chr7	110716442
chr5	148862530
chr10	32702666
chr6	12275568
chr8	133889721
chr11	35895406
chr1	12540900
chr14	65730364
chr8	101819443
chr11	68625165
chr1	150033816
chr8	62626042
chr12	118740082
chr10	63247412
chr11	120302926
chr22	41032786
chr1	242389107
chr4	142774659
chr2	85685169
chr8	126313188
chr2	169868882
chr8	101614974
chr12	113683899
chr5	13510800
chr2	237933979
chr1	200145521
chr20	10521566
chr3	119854596
chr19	19717017
chr8	125455565
chr3	151976419
chr14	65888306
chr21	16596874
chr10	80218866
chr17	60970426
chr1	36474336
chr6	126226265
chr21	36991721
chr14	70046819
chr3	102229733
chr8	134230289
chr1	225697671
chr5	149099433
chr11	121128844
chr10	32230007
chr8	81210582
chr3	190812080
chr8	126422983
chr17	26368570
chr7	38784598
chr8	134315489
chr14	70121005
chr22	21132132
chr15	41576079
chr11	69167784
chr8	101749213
chr8	62698675
chr14	59824982
chr2	85812333
chr18	6741524
chr7	7361529
chr17	55522634
chr2	75819356
chr2	113424540
chr2	46049243
chr5	90354529
chr11	109811670
chr5	157297974
chr21	38129106
chr17	58160076
chr17	45689423
chr7	43804733
chr5	90432297
chr21	30754511
chr7	151157215
chr18	2513772
chr8	89243113
chr17	79844217
chr22	46924264
chr2	231002810
chr7	42201486
chr17	80068350
chr1	145694713
chr8	142036939
chr21	38746550
chr3	99578799
chr8	142050152
chr3	123553690
chr5	110411352
chr10	75832481
chr14	61979404
chr14	32461549
chr8	87015106
chr7	27224888
chr14	45539598
chr2	218235298
chr3	149955431
chr3	123301323
chr5	90610300
chr7	44299317
chr20	56657148
chr8	89331338
chr7	27174173
chr8	116850826
chr22	30217516
chr2	138818015
chr3	48075718
chr17	79367936
chr2	53786867
chr3	184166820
chr2	220852774
chr7	41956275
chr13	45794265
chr9	113682095
chr14	78079825
chr11	108829692
chr2	166755116
chr2	26565897
chr2	201167751
chr3	185036174
chr1	159886108
chr10	61335178
chr5	176973563
chr8	88949422
chr22	29745134
chr1	22345730
chr21	30502693
chr3	124319160
chr8	143595838
chr1	120490294
chr8	144032264
chr13	81450654
chr1	87690032
chr12	65127868
chr10	74877921
chr17	57438928
chr7	155022144
chr3	29964613
chr5	103185799
chr21	38405387
chr12	115761508
chr11	107567058
chr2	70368509
chr5	126220196
chr20	46912791
chr6	11318802
chr2	70006550
chr11	106365884
chr8	142142045
chr18	2411619
chr14	53794560
chr20	47514068
chr10	60160568
chr11	108505995
chr18	24993903
chr2	198478432
chr10	61462315
chr5	178213077
chr8	87775345
chr10	61448821
chr5	89844106
chr1	23430047
chr17	57373719
chr2	166602667
chr2	184860554
chr2	9699325
chr7	43204526
chr3	170717893
chr20	15136716
chr1	232665713
chr7	46803963
chr3	183643038
chr3	145884421
chr3	188080419
chr2	235331133
chr18	67712025
chr10	62227080
chr6	32143942
chr5	36502832
chr8	125216517
chr11	78804052
chr18	3321644
chr2	187756081
chr10	72409516
chr1	161988962
chr1	201093232
chr8	94230973
chr8	89952323
chr20	56291481
chr21	39661803
chr10	27673021
chr11	73577783
chr2	235024812
chr1	201160966
chr6	18242785
chr3	98257559
chr8	83151395
chr18	61094980
chr1	43610090
chr7	3619477
chr7	41043397
chr14	54317649
chr15	93425672
chr1	240994788
chr1	230167086
chr1	224003765
chr8	116182272
chr4	54424808
chr3	171529446
chr3	4870834
