Chrom	position
chr19	18919532
chr2	105337399
chr1	1659063
chr19	4791476
chr8	143541534
chr2	197500109
chr11	126268979
chr7	25125438
chr19	7629628
chr3	128879561
chr1	11980389
chr3	157175096
chr12	122896245
chr16	1420839
chr19	47484222
chr18	79069216
chr1	174999500
chr11	9460853
chr11	108664969
chr1	70205646
chr16	89490813
chr17	75667248
chr6	31958999
chr1	202348552
chr1	114581756
chr8	73972328
chr3	14651688
chr8	9555850
chr4	152536195
chr21	29024814
chr2	88691568
chr9	34049146
chr19	13747833
chr12	55973887
chr3	53891974
chr16	1782811
chr5	140401611
chr2	27489769
chr7	108526208
chr14	75278651
chr7	124929875
chr3	185938123
chr20	33811148
chr10	102152317
chr5	173616738
chr19	49641922
chr11	65117752
chr20	32109657
chr20	49915653
chr5	146182799
chr1	27914827
chr1	1724403
chr11	20387438
chr17	7572657
chr14	55271316
chr5	176537906
chr1	36224299
chr21	14383265
chr3	140941740
chr12	123633765
chr4	119454709
chr1	45500181
chr1	51878978
chr15	52569149
chr7	23181973
chr1	223992652
chr4	185426029
chr17	59619707
chr12	56646174
chr3	114056705
chr9	132079916
chr12	132446203
chr22	38057380
chr1	778702
chr11	119334464
chr9	94374329
chr2	70142753
chr11	83156942
chr3	16264998
chr7	133252959
chr16	3134898
chr3	150546657
chr10	95694003
chr10	84139498
chr14	49862921
chr3	119463646
chr4	39458980
chr15	92904386
chr14	67619766
chr7	66493597
chr3	186570525
chr11	17077778
chr1	9428985
chr9	92115425
chr20	63981116
chr16	72093710
chr3	9986868
chr11	65084182
chr7	1138392
chr11	73761332
chr1	1512062
chr7	66844990
chr1	155308726
chr6	144095637
chr3	100260967
chr9	135961450
chr5	160009073
chr2	237085866
chr2	68063029
chr10	114938194
chr12	133130514
chr17	45161729
chr6	139134984
chr15	90994704
chr1	26432303
chr5	43313683
chr1	229508361
chr7	1160262
chr4	499200
chr12	132144400
chr6	106325804
chr1	228109312
chr17	18039218
chr10	102245464
chr11	66345126
chr11	111879209
chr19	55339722
chr16	1972028
chr12	6663372
chr11	18634450
chr18	2571494
chr1	20508158
chr7	19709062
chr1	29230954
chr19	57363486
chr19	58544231
chr19	29606278
chr6	49463303
chr1	40161295
chr17	17476984
chr2	10689979
chr11	4094784
chr12	53727619
chr12	6724091
chr19	18571763
chr17	8156646
chr7	76166603
chr1	26169856
chr8	117520699
chr10	13161480
chr1	222644288
chr17	81119810
chr19	57240621
chr14	75259148
chr11	57657648
chr14	51989463
chr6	90587328
chr19	2783392
chr1	228103359
chr8	100150622
chr4	121823966
chr3	10321135
chr22	38705584
chr3	10026400
chr6	26596928
chr16	67227109
chr5	41904108
chr15	66386765
chr5	62412754
chr1	37690604
chr9	131125578
chr1	47314276
chr6	126340105
chr3	8963482
chr11	118359568
chr2	117814660
chr4	118591710
chr4	163166943
chr4	53366083
chr11	125592599
chr12	133181486
chr17	63773795
chr15	40755276
chr7	45769061
chr12	98593624
chr16	71845952
chr16	88706465
chr14	60981105
chr19	10416760
chr14	21269692
chr3	101677195
chr2	20823123
chr1	35193250
chr6	17706956
chr17	38825368
chr2	95165702
chr11	60842045
chr11	67428446
chr6	33391559
chr4	103019724
chr14	35809375
chr22	26483855
chr17	78841004
chr1	38012626
chr12	120446419
chr22	31662259
chr3	11272376
chr1	88891620
chr17	8249285
chr19	19385685
chr14	31561393
chr1	151459532
chr16	31117644
chr6	37433207
chr18	13726646
chr6	89819792
chr10	68527518
chr19	50511539
chr17	782338
chr7	44885620
chr5	87412945
chr9	136866417
chr7	72925039
chr7	151227359
chr1	153990708
chr11	77474393
chr9	33076681
chr1	145607992
chr22	19144771
chr9	97013799
chr17	59565575
chr16	81314903
chr20	56468606
chr13	44989514
chr5	131170877
chr14	74713147
chr4	147684221
chr10	100267679
chr10	73168084
chr20	56392490
chr16	87765992
chr19	50679558
chr15	34101951
chr9	27573834
chr16	75623307
chr1	171781530
chr6	125956693
chr7	94004388
chr20	2664222
chr19	44927250
chr21	44339435
chr3	185586256
chr5	71455596
chr1	53238539
chr7	23105701
chr12	27244104
chr16	89217660
chr12	107685744
chr6	10694858
chr11	63974537
chr18	63422528
chr16	1309143
chr1	153422666
chr1	110964146
chr20	45791930
chr7	129952980
chr19	10380690
chr20	63865231
chr3	51391189
chr13	41132953
chr22	37608621
chr3	44761684
chr20	16729982
chr9	129835304
chr20	23358139
chr16	28846436
chr20	34677240
chr6	170554329
chr13	49247895
chr22	37844559
chr4	56387507
chr9	2844294
chr2	28870317
chr14	55272122
chr14	73458762
chr5	65563272
chr11	6481376
chr9	137188604
chr17	39927640
chr12	53451955
chr19	48574879
chr18	158534
chr4	158672170
chr2	110205035
chr9	6015654
chr19	52028437
chr4	8428518
chr9	101398671
chr22	37658449
chr19	50376443
chr1	47179243
chr5	160119597
chr22	19171668
chr3	101561812
chr14	77457724
chr2	96266081
chr3	196568587
chr12	132986343
chr6	149546100
chr3	25665044
chr14	50116592
chr17	75779853
chr1	22052670
chr16	30634408
chr19	49876704
