Chrom	position
chr6	26597045
chr9	139780768
chr7	100743637
chr15	55700428
chr1	52521886
chr19	48895414
chr19	48893327
chr19	49964610
chr19	3275781
chr19	40791402
chr21	34915199
chr5	179921322
chr19	48221951
chr18	21033242
chr5	71403108
chr1	150459793
chr19	50860696
chr8	681212
chr10	72692424
chr9	135820052
chr17	8198718
chr3	179280600
chr5	176829637
chr1	12079375
chr19	47615757
chr1	145542899
chr19	36139123
chr6	43597063
chr19	36630839
chr19	37178386
chr19	4273662
chr7	140714787
chr19	56652256
chr12	132645957
chr1	839955
chr9	131468537
chr1	38156242
chr19	51342703
chr10	97453677
chr13	36705696
chr19	6161412
chr10	62048237
chr19	6280050
chr4	49110412
chr4	49099749
chr10	70322563
chr13	36475854
chr4	41211431
chr10	70310706
chr19	6372683
chr4	41540212
chr4	41937152
chr19	6361480
chr4	74615242
chr4	39979622
chr4	38676473
chr4	77640157
chr19	6769435
chr4	38048568
chr10	71585287
chr10	71564690
chr13	33126693
chr4	38564475
chr4	38754774
chr4	77587962
chr4	77625959
chr10	71168778
chr19	6706741
chr4	39184014
chr19	6538041
chr13	41706963
chr13	35516114
chr19	6504958
chr4	49123035
chr10	69968322
chr10	65225828
chr13	41092679
chr19	5436836
chr4	56910212
chr4	57333746
chr19	4815812
chr10	64010773
chr19	5308525
chr19	5058030
chr4	56685924
chr13	39904099
chr10	64892984
chr19	4909427
chr4	69215738
chr10	64314608
chr13	40229826
chr19	4870283
chr10	65442367
chr10	65476463
chr4	74402140
chr4	49142589
chr10	62660971
chr4	49155266
chr4	49659608
chr19	5896985
chr4	76531330
chr19	4743008
chr10	71930440
chr4	52709112
chr10	63161556
chr13	37432469
chr19	5680642
chr10	63373599
chr13	33078546
chr19	12944793
chr10	71993342
chr4	4639512
chr4	6200747
chr19	8070722
chr4	6675755
chr4	6676189
chr13	29976687
chr19	8016678
chr10	75504057
chr13	30117644
chr19	7985211
chr4	6784359
chr4	6887779
chr19	7983718
chr4	7524859
chr4	8160720
chr10	74912098
chr4	8249135
chr10	74856669
chr13	30480099
chr4	8569581
chr19	8223506
chr19	8377166
chr13	32470719
chr19	8412786
chr4	1582013
chr4	1685789
chr13	28196048
chr10	77041776
chr19	8578692
chr4	2263903
chr4	2443594
chr4	2538160
chr19	8478118
chr4	2794153
chr13	28558619
chr10	76770496
chr19	8427012
chr13	28674779
chr4	3076215
chr4	3296473
chr4	3654294
chr4	3748158
chr4	3956535
chr4	8601578
chr10	74124239
chr4	8884941
chr13	30617851
chr10	73528737
chr10	73156780
chr10	73156090
chr10	73137313
chr4	25314402
chr10	73014525
chr4	26085036
chr4	26146965
chr19	7587397
chr4	26755458
chr4	26830528
chr10	72336572
chr19	7571548
chr10	61554138
chr4	27752927
chr13	31778982
chr4	30886182
chr4	31615993
chr19	7197306
chr4	23616352
chr13	31040163
chr10	73620372
chr19	7660570
chr4	9900424
chr4	9906952
chr10	74077043
chr13	30831695
chr4	15233345
chr4	15656898
chr4	15912541
chr19	7683072
chr13	30996591
chr19	7627707
chr10	73856045
chr10	73806219
chr10	73788037
chr4	18724776
chr4	19696081
chr4	20088644
chr4	20253606
chr4	20339075
chr19	4575614
chr19	4346161
chr19	4542700
chr19	1383879
chr4	140135431
chr13	52502646
chr10	33568330
chr13	52980058
chr4	141075332
chr10	33298503
chr19	1507190
chr10	33247340
chr10	33182547
chr10	32675643
chr4	142899427
chr19	1445310
chr4	144257215
chr4	144434609
chr4	146859428
chr13	53383672
chr4	147905869
chr19	1407444
chr13	53420492
chr4	140005455
chr19	1805558
chr4	139952022
chr10	35933525
chr4	122302257
chr10	38146055
chr19	2151776
chr4	122871591
chr4	122891825
chr4	124317894
chr4	124365587
chr4	125634558
chr10	35806532
chr4	139949654
chr13	51252225
chr13	51862667
chr10	35560591
chr19	1885510
chr4	130017351
chr4	137316462
chr10	35029095
