Chrom	position
chr2	233974780
chr10	68153776
chr2	10936374
chr21	45364185
chr12	31749357
chr11	43831125
chr5	76806228
chr16	4944950
chr1	12550018
chr13	110965468
chr2	172253378
chr16	15591060
chr20	35305916
chr5	143246225
chr6	4358790
chr10	63707502
chr8	131856953
chr8	125513257
chr19	16279395
chr10	116947315
chr4	83548595
chr10	113087536
chr7	73715792
chr7	48085114
chr5	140718874
chr10	52319268
chr7	102876010
chr3	197031623
chr14	95265627
chr11	9364475
chr1	225508690
chr10	30682597
chr3	5023487
chr2	102227896
chr7	99563058
chr6	158040534
chr13	100392924
chr4	74659989
chr13	46354961
chr17	21288094
chr2	150133809
chr5	56350775
chr10	89553520
chr1	230104917
chr7	37032134
chr8	125219458
chr9	12814606
chr14	94345499
chr17	48972504
chr8	58079101
chr3	150320090
chr11	66892346
chr2	55051354
chr14	101972607
chr7	100545874
chr9	83885698
chr2	209496154
chr5	158382672
chr19	13851326
chr6	73704550
chr20	1416157
chr2	238864406
chr1	113457155
chr4	13907554
chr12	122400667
chr4	1043802
chr2	215411057
chr11	64335282
chr5	40689648
chr20	34391012
chr1	218377480
chr19	2169133
chr17	59837771
chr5	57693274
chr1	154418440
chr10	99776080
chr17	59754743
chr15	60374810
chr16	69530849
chr18	60053875
chr4	184418103
chr1	56688667
chr5	133240689
chr5	32768300
chr15	52252957
chr9	86348676
chr11	64855141
chr11	129143518
chr3	12405922
chr11	9566162
chr6	20877615
chr17	80792157
chr11	9759858
chr11	10659886
chr2	232988681
chr1	7402006
chr17	40314797
chr1	151311742
chr2	27321267
chr20	25237980
chr8	73356549
chr11	36149883
chr3	56132398
chr1	178238944
chr13	30977955
chr3	27534146
chr4	54082346
chr5	132389838
chr1	234997487
chr7	45978295
chr3	8629656
chr1	153566710
chr2	113241024
chr19	38300771
chr10	103908466
chr6	136610470
chr17	40854405
chr4	177596199
chr7	101100306
chr3	188951079
chr8	125430261
chr20	44204356
chr4	139989559
chr2	43294015
chr20	50166239
chr3	115790958
chr2	85499282
chr13	42720583
chr4	145808493
chr12	75978077
chr22	49970936
chr3	138694544
chr6	52517741
chr20	57698451
chr22	39308971
chr14	44317068
chr11	86743577
chr22	40499330
chr12	86712556
chr15	67107171
chr3	51340685
chr16	3020977
chr9	105187971
chr13	113493491
chr8	10152420
chr11	112157477
chr2	28276300
chr1	115179691
chr3	41268210
chr1	15795277
chr6	155026614
chr10	117007249
chr10	3852476
chr10	91901973
chr7	151754340
chr6	47135888
chr11	117072741
chr5	136053850
chr19	47315529
chr10	90319689
chr6	42224687
chr8	66124068
chr22	46013625
chr12	26274886
chr10	57703966
chr21	45427892
chr20	34579305
chr20	58252252
chr14	95483388
chr14	23830290
chr8	41151788
chr3	54891728
chr9	96339910
chr19	32373967
chr14	22537101
chr2	233350923
chr3	34012235
chr18	23115866
chr9	76818501
chr12	65631811
chr22	31829651
chr7	55133041
chr5	127934972
chr15	58332334
chr1	198881409
chr13	110870368
chr10	21337085
chr2	43426575
chr10	98460997
chr2	160224280
chr17	64680034
chr16	80027226
chr11	94152419
chr5	42950815
chr10	3526015
chr13	34157195
chr20	23622992
chr1	218496775
chr2	33070053
chr1	172934066
chr2	27720310
chr10	4726207
chr8	12726745
chr4	113468478
chr2	234203473
