Chrom	position
chr12	6430748
chr11	9364400
chr19	36054452
chr15	72237574
chr4	8303789
chr7	876337
chr19	10654048
chr16	89326214
chr6	53548241
chr12	55716036
chr3	152909716
chr1	154558858
chr22	49970958
chr11	86069296
chr16	2520343
chr14	81221425
chr16	113646
chr10	118959276
chr22	35377124
chr8	1922658
chr7	101100307
chr2	205734595
chr20	44210883
chr2	213251755
chr19	48954796
chr10	24921545
chr9	33619768
chr7	157490659
chr16	88857084
chr10	45594919
chr9	114587712
chr12	16349196
chr3	184314519
chr20	10511747
chr21	33761889
chr3	177673570
chr18	59917699
chr17	33968821
chr1	32725346
chr2	8229780
chr13	108915873
chr12	121801088
chr1	28885116
chr11	47060995
chr8	59446986
chr3	15269722
chr10	5020430
chr19	48963941
chr9	113455448
chr7	100243607
chr3	106457488
chr20	37379363
chr7	26234280
chr2	111699057
chr16	89020478
chr10	22042751
chr20	24634937
chr14	70698488
chr1	37455215
chr1	185484355
chr17	80254954
chr20	3313143
chr2	100513783
chr6	17907872
chr7	126701192
chr7	1513538
chr11	10308168
chr10	78256300
chr11	1772702
chr18	48545907
chr16	57810475
chr1	211613512
chr20	365097
chr8	133634690
chr8	128556860
chr5	56812320
chr9	137482398
chr7	112423084
chr19	10813246
chr10	7956685
chr12	123126749
chr11	28343512
chr14	89000743
chr14	61662679
chr13	113297077
chr2	29130474
chr8	58842227
chr17	37609495
chr1	15893371
chr17	76660032
chr4	15150016
chr14	97077534
chr22	44870218
chr14	56340162
chr5	173056326
chr17	48002795
chr11	70457407
chr17	50661968
chr5	8457388
chr22	16825480
chr5	177379539
chr13	114222838
chr4	73704692
chr1	202927315
chr14	20455174
chr20	50292748
chr4	88107893
chr1	38009513
chr12	56941759
chr1	219089154
chr4	170007303
chr5	91314470
chr4	83548656
chr22	35372058
chr1	227432036
chr19	11344637
chr20	51650773
chr3	196339960
chr5	72504268
chr17	20059913
chr12	25615244
chr4	147951037
chr1	38859887
chr3	49218782
chr3	126911603
chr3	114275104
chr3	136075431
chr1	89906817
chr9	89606380
chr6	56890765
chr3	23945954
chr15	42371352
chr14	103119177
chr3	126607314
chr6	87723473
chr12	6891034
chr15	80160786
chr1	43974908
chr14	34078267
chr16	4847402
chr6	137910719
chr9	131707878
chr10	71860613
chr8	71831477
chr9	79611520
chr2	19786605
chr3	58350847
chr14	104677918
chr3	53236352
chr7	5755820
chr2	219217967
chr17	45949189
chr3	9977166
chr6	16342506
chr3	155791384
chr3	169930232
chr16	53225145
chr17	79933993
chr8	101376226
chr7	155206681
chr6	29965019
chr16	67481199
chr2	242098681
chr2	171244842
chr7	50535063
chr12	106269364
chr14	81163123
chr2	32592215
chr12	51327007
chr2	183059740
chr15	57446065
chr6	17703534
chr9	128783655
chr1	59292835
chr16	3589777
chr6	3023983
chr2	102064420
chr8	119580602
chr1	246306836
chr7	4775591
chr1	109824012
chr16	84733094
chr12	49060830
chr16	14486763
chr7	76389177
chr16	1475061
chr15	51228640
chr11	100863412
chr8	143454770
chr9	129168235
chr21	26405892
chr1	35894405
chr12	116493068
chr15	63372532
chr8	100882174
chr1	167420709
chr1	204647716
chr8	99682684
chr12	57752528
chr11	15969579
chr6	42028724
chr6	33418395
chr6	44247584
chr2	208172302
chr5	149806010
chr8	55940151
chr9	134407457
chr16	28974744
chr7	105012720
chr13	49110252
chr16	28492084
chr1	28471668
chr16	24838909
chr1	84946109
chr20	31560290
chr1	91282902
chr17	17206494
chr1	61746952
chr1	31170992
chr5	69046555
chr15	58493175
chr6	106325811
chr16	16022220
chr9	123820322
chr11	3437625
chr15	89848796
chr11	67374516
chr3	43773415
chr9	137745913
chr12	131987192
chr13	44174854
chr1	10415602
chr1	15603679
chr3	120642674
chr3	120693610
chr3	128145455
chr3	129016011
chr14	33414254
chr11	67391874
chr14	33951658
chr9	35072092
