Chrom	position
chr16	53503490
chr17	41786899
chr19	6425251
chr19	11155935
chr19	45584369
chr19	55461919
chr14	103715557
chr17	21284571
chr19	19385604
chr22	40636785
chr19	4968720
chr6	31827397
chr7	77798544
chr12	55817896
chr1	150697357
chr12	57693985
chr12	56646118
chr17	81239210
chr9	34989553
chr5	150758716
chr1	21607991
chr3	194769263
chr15	89088302
chr16	89490756
chr16	30370956
chr7	107168849
chr1	35193224
chr2	63219332
chr17	49789158
chr11	66958507
chr5	151771724
chr6	132513185
chr19	54159917
chr17	76671802
chr17	63550260
chr15	70099758
chr9	125241592
chr9	126914742
chr20	3889251
chr14	52552738
chr2	231781356
chr8	143430882
chr17	4967422
chr1	21648011
chr5	81751190
chr4	609622
chr19	4402416
chr19	48469159
chr7	134646717
chr1	221742158
chr5	177351884
chr12	120201248
chr19	50658348
chr1	54775346
chr9	94166129
chr1	54406448
chr3	56467287
chr14	64388154
chr19	19668695
chr21	42464063
chr8	38386430
chr4	122732585
chr14	100446733
chr2	24123344
chr10	94402343
chr14	99481297
chr14	70809818
chr1	11262647
chr8	38996769
chr1	247008182
chr14	23469432
chr12	54324994
chr1	247104475
chr14	49620671
chr9	136886371
chr19	3971244
chr19	4066031
chr19	4153548
chr9	132573087
chr4	162164047
chr19	12868943
chr7	140175402
chr19	12333751
chr22	50200880
chr4	2262195
chr10	44978866
chr7	149873900
chr7	150824582
chr19	8362135
chr3	48188509
chr22	37601757
chr13	97222214
chr19	17303476
chr19	17617208
chr1	12019403
chr14	36661774
chr5	36725199
chr10	78029582
chr19	17470178
chr4	23890133
chr10	25174671
chr19	16771684
chr14	23321311
chr22	26659007
chr13	108962853
chr19	1652965
chr13	100674992
chr5	14145363
chr1	46489754
chr16	8870961
chr17	48048218
chr20	35742521
chr1	39691525
chr11	75815100
chr16	3004031
chr7	1769019
chr2	61854600
chr20	63835113
chr16	9091446
chr10	123154293
chr16	28950879
chr16	46831537
chr11	66546089
chr11	59058527
chr16	67935813
chr16	74667076
chr7	66996603
chr1	8703629
chr17	46225461
chr17	45620257
chr17	45317259
chr16	84281257
chr11	44900148
chr9	91734579
chr9	89662171
chr11	32176432
chr19	48584379
chr5	135025400
chr9	129036417
chr2	218959548
chr1	155085433
chr16	370599
chr12	121400029
chr1	150236245
chr1	205227854
chr11	133934902
chr1	42682335
chr11	112119982
chr19	35648187
chr7	72828451
chr17	82519625
chr8	61714689
chr20	41136907
chr5	151081086
chr19	32675258
chr15	90352173
chr3	100492510
chr11	119195859
chr19	12162925
chr19	13163016
chr12	27524051
chr19	45677495
chr11	126063015
chr5	137754727
chr11	58900905
chr19	18064928
chr19	46029127
chr19	21082092
chr12	40692356
chr19	21569348
chr12	95217631
chr19	11739053
chr12	12717361
chr19	23395600
chr19	11639730
chr3	25664972
chr2	96208912
chr12	112125447
chr11	17979991
chr12	117155518
chr2	119544146
chr3	128123897
chr19	35748505
chr1	87328424
chr19	17859817
chr19	18281720
chr3	111978850
chr12	53696433
chr11	77994912
chr8	70402212
chr19	39793377
chr5	140346899
chr12	53998033
chr3	52220681
chr5	160119617
chr12	49707674
chr1	94527577
chr3	120907932
chr12	55829686
chr11	68030628
chr12	55973875
chr4	140765033
chr11	67508268
chr19	37251777
chr19	14419416
chr8	28703270
chr11	62831796
chr19	44753503
chr19	44906590
chr2	101884105
chr11	117144265
chr12	689709
chr14	89416218
chr12	121469730
chr12	132687396
chr7	64903161
chr16	2980025
chr16	2223500
chr16	1678203
chr20	38369564
chr6	170438646
chr7	73522388
chr17	75154625
chr5	61408894
chr7	76294818
chr15	69160500
chr15	64381589
chr17	81223074
chr17	81395321
chr15	51846643
chr20	58021694
chr18	158370
chr15	45279295
chr9	124658378
chr15	44195384
chr15	42920928
chr20	59994822
chr20	64095654
chr17	63622144
chr6	27251934
chr16	10744158
chr16	84586026
chr17	27529322
chr6	35689052
chr9	129178357
chr7	23014150
chr17	14301015
chr17	38752674
chr7	12687492
chr16	87493169
chr7	28406381
chr16	85027729
chr16	75464742
chr16	11345385
chr17	47100358
chr16	67893122
chr16	66880462
chr16	58129651
chr7	6827374
chr7	38178130
