Chrom	position
chr16	85325324
chr3	31330424
chr2	21279426
chr10	79609038
chr12	57146203
chr5	150505906
chr2	138721747
chr2	129067106
chr8	129179933
chr9	139917847
chr19	46377224
chr11	65186339
chr17	1371255
chr2	9844011
chr22	43474679
chr1	155151528
chr8	128832430
chr7	129425068
chr19	46914908
chr11	93220565
chr1	32039623
chr10	23049145
chr11	73730506
chr19	19745208
chr1	31365705
chr2	15906664
chr7	134828847
chr22	39642997
chr1	38417605
chr8	101738802
chr12	56431998
chr5	95193183
chr2	113450313
chr6	26475529
chr16	83847991
chr9	132429001
chr16	1341040
chr2	85814875
chr8	123772654
chr6	36650209
chr2	55336875
chr2	46782354
chr8	142171188
chr2	37331048
chr8	38011671
chr11	1846463
chr14	74250156
chr4	129439273
chr3	118960508
chr4	6754967
chr9	124861748
chr17	79075623
chr9	112956750
chr14	95831338
chr10	5570541
chr8	144816274
chr12	123868269
chr7	97841248
chr3	53533482
chr8	27316920
chr19	14134560
chr14	55589013
chr3	72194185
chr17	55536889
chr1	95588038
chr17	54987768
chr4	89083964
chr7	56074980
chr11	67173649
chr9	124186479
chr16	3213617
chr21	39665912
chr14	103297021
chr3	155322954
chr10	73103228
chr21	37582569
chr21	45277558
chr22	24921550
chr3	127889998
chr10	98437403
chr1	112276088
chr20	62600448
chr1	109981614
chr1	181012358
chr16	48637738
chr8	100649760
chr8	98220294
chr13	76014423
chr1	100065465
chr20	11657387
chr20	43767621
chr8	74751059
chr16	11243054
chr20	61144744
chr9	95871655
chr15	89009250
chr13	100677239
chr21	45553571
chr15	89954849
chr1	156056197
chr15	85890119
chr22	32809896
chr15	55953735
chr3	25623944
chr3	59894200
chr11	17791743
chr10	80729707
chr8	41330646
chr15	50408900
chr10	80844204
chr15	42431373
chr3	39565786
chr3	47926814
chr9	108430323
chr1	16439650
chr3	49041985
chr10	86087024
chr1	154326142
chr14	93502652
chr14	88490431
chr3	119514116
chr22	33149203
chr22	35773140
chr8	48895607
chr14	56269991
chr10	86257837
chr8	29147275
chr1	4174142
chr14	78174422
chr15	72434217
chr15	71407699
chr3	72640085
chr14	74195632
chr22	40395450
chr15	65671061
chr2	234262413
chr2	112241856
chr2	223603687
chr17	71285179
chr8	145014656
chr17	62840146
chr19	10922577
chr17	61920557
chr19	12405627
chr10	16356441
chr19	13162585
chr1	8728444
chr17	56071193
chr19	14623945
chr8	142238758
chr9	35834783
chr19	18851423
chr17	47976676
chr17	47100113
chr19	23832877
chr19	36274595
chr17	43574977
chr17	43190879
chr17	71197567
chr17	73080392
chr1	196407729
chr19	8420685
chr1	9271723
chr18	30812176
chr1	245206135
chr18	21656335
chr10	1051322
chr19	348769
chr18	12767199
chr18	11947335
chr18	11925978
chr19	1905790
chr1	236695143
chr19	4078368
chr17	80061986
chr17	79884600
chr17	79107340
chr9	495931
chr19	6403022
chr8	145614555
chr1	228640400
chr19	41828074
chr19	42937901
chr19	43061658
chr2	98357163
chr2	99029530
chr2	102172799
chr2	109065602
chr8	22287662
chr16	81792145
chr2	113705133
chr16	75340477
chr2	134890128
chr2	177454203
chr1	201721167
chr2	191217782
chr16	69438594
chr2	200389871
chr1	200398525
chr2	207024492
chr16	58490260
chr16	57855555
chr2	216370397
chr16	87292438
chr16	88830139
chr2	71615493
chr9	73825440
chr17	38641054
chr19	47562172
chr19	48389674
chr19	49057283
chr19	52196704
chr9	71584678
chr19	56056477
chr17	26075302
chr2	26568714
chr17	83338
chr17	7997333
chr2	33030440
chr17	7370356
chr17	4396740
chr2	64247019
chr2	65086630
chr2	69787024
chr2	69970778
chr4	986516
chr3	49203852
chr13	60275622
chr12	48249489
chr5	134591345
chr5	149995781
chr12	56404091
chr5	171860738
chr10	125795568
chr6	15970956
chr12	46824201
chr12	120715248
chr7	137928428
chr6	41552796
chr12	24167908
chr6	47079671
chr6	52999735
chr6	70506888
chr5	131746812
chr10	122610845
chr5	131332637
chr5	79324224
chr1	59347400
chr9	130659629
chr5	78057843
chr5	78054143
chr9	130153003
chr5	72114985
chr1	61557428
chr12	114208419
chr1	61785680
chr5	43437386
chr5	42001985
chr5	21663356
chr5	2038898
chr12	754854
chr6	105402571
chr6	106017768
chr1	28270017
chr7	100199878
chr9	140513118
chr7	99710438
chr7	95401693
chr11	46402299
chr11	57060539
chr7	64460004
chr7	48019290
chr11	12087962
chr7	43905054
chr11	63858423
chr11	64073616
chr11	64122844
chr9	139521302
chr11	65404601
chr6	117799775
chr1	28481532
chr7	24878252
chr7	22473715
chr11	66738569
chr7	2885724
chr11	70597452
chr6	168207184
chr6	163991806
chr6	158957255
chr6	151695370
chr6	143386326
chr11	116861060
chr11	117964126
chr6	137540724
chr12	120154546
chr18	55578230
chr13	52356687
chr12	133047916
chr4	95394244
chr10	106013093
chr13	41705518
chr4	75585265
chr13	49324040
chr8	20484998
chr4	41911368
chr13	30282239
chr4	111119900
chr1	32053495
chr1	226086841
chr1	92323282
chr3	123324900
chr1	93433931
chr19	54714809
chr1	225632771
chr6	139350893
chr1	22229166
chr19	52160365
chr1	228672894
chr1	226078471
chr19	49713453
chr7	123438276
chr19	49136832
chr3	127678907
chr4	48807117
chr6	143189310
chr19	48361770
chr19	59069541
chr6	143196002
chr19	47418776
chr3	124339614
chr8	134552556
chr6	146285221
chr3	124556715
chr3	126510367
chr19	42954671
chr6	166802776
chr6	113673558
chr18	44761656
chr6	112365087
chr6	42072030
chr1	211869081
chr8	125488637
chr6	44147131
chr6	43235575
chr6	43027642
chr1	119506425
chr4	77187170
chr2	54643749
chr2	70167051
chr2	70528487
chr6	37172415
chr6	37094157
chr2	72025631
chr2	72110208
chr6	46338570
chr2	47306291
chr2	10276609
chr2	23897348
chr1	36714122
chr1	31574169
chr2	16349408
chr2	20793435
chr6	112166704
chr3	122292092
chr6	105483353
chr3	98705133
chr2	32500054
chr6	101396699
chr3	114546534
chr2	38842143
chr2	39739424
chr3	111723721
chr19	36380481
chr7	383323
chr1	229139453
chr19	6013620
chr7	65962577
chr19	2278844
chr19	3339076
chr19	3720581
chr7	65214231
chr3	185851998
chr7	55210816
chr19	4145938
chr7	107886924
chr1	109935661
chr1	27237211
chr1	236118094
chr19	4654852
chr1	235795300
chr8	146192372
chr1	237068653
chr7	73682209
chr1	238027787
chr18	71892640
chr1	95469084
chr18	60193713
chr4	792928
chr1	95427347
chr3	194881354
chr7	95238200
chr18	77694845
chr8	23405485
chr7	92676127
chr7	91481918
chr19	556020
chr19	1068270
chr19	1254760
chr7	86769824
chr19	4769735
chr8	27298112
chr19	33161059
chr4	38134863
chr7	17448353
chr7	17279503
chr19	17208587
chr1	231330928
chr19	18581269
chr7	10694872
chr7	6618450
chr7	116764868
chr1	9989616
chr19	18618825
chr3	127799338
chr7	2139998
chr7	1753649
chr8	28102241
chr2	72178046
chr7	17658311
chr3	128332185
chr1	28702921
chr19	10197381
chr19	7574712
chr3	171685188
chr1	110438624
chr1	27372603
chr7	36189495
chr3	170586702
chr7	112348518
chr3	138413436
chr1	27934011
chr4	38191321
chr1	111957604
chr19	11513040
chr7	27175734
chr4	38492848
chr6	35941643
chr4	87894263
chr1	207777331
chr20	62918221
chr1	19772556
chr1	59509624
chr1	160129465
chr5	77817487
chr22	29375580
chr1	157124931
chr5	76101944
chr5	76035009
chr22	33375820
chr3	52216326
chr22	36822462
chr5	75680124
chr22	38414499
chr22	38429024
chr5	74691305
chr4	139888708
chr1	161277302
chr21	46928930
chr21	44171070
chr21	36880857
chr4	124486141
chr8	70858580
chr1	59351169
chr1	59364927
chr3	57541813
chr1	165455118
chr21	45553581
chr1	164744341
chr5	78091761
chr21	45011753
chr21	45196637
chr8	62641393
chr8	33332258
chr3	52162283
chr5	67801922
chr22	39608916
chr8	39912310
chr8	37653830
chr3	34055482
chr1	76320814
chr5	1550526
chr4	159132668
chr8	40020076
chr3	47517488
chr8	37476827
chr5	1186028
chr5	957678
chr1	68166612
chr3	48678997
chr8	8640168
chr1	65933428
chr5	27048832
chr5	67756140
chr1	154469583
chr5	67535471
chr3	52122600
chr22	42940881
chr3	50651686
chr5	55419792
chr1	61719231
chr3	50361974
chr1	151521455
chr22	50585496
