Chrom	position
chr16	87779192
chr12	131860913
chr15	92804145
chr10	71888866
chr1	201154588
chr7	84013952
chr9	127965661
chr4	38621165
chr9	112531022
chr1	10555843
chr10	18861590
chr1	8212177
chr11	32839023
chr8	93894346
chr5	43432673
chr15	66702190
chr14	39174987
chr15	67024584
chr3	4905009
chr8	26572388
chr15	101199568
chr9	133018633
chr9	108039781
chr9	123955180
chr6	13407869
chr1	150458699
chr17	42677183
chr1	111822305
chr7	16668235
chr9	33676397
chr3	5126824
chr2	191878023
chr2	127498668
chr3	4712265
chr5	72852505
chr2	135056989
chr8	37153472
chr19	7784209
chr12	69900865
chr1	31111422
chr3	94929132
chr6	21306074
chr3	88003278
chr10	107280548
chr3	72938749
chr3	20061064
chr14	50303945
chr3	58335352
chr12	66107651
chr8	116058438
chr3	52210858
chr8	108191306
chr5	174532678
chr2	119122864
chr4	102825333
chr4	172554793
chr4	40621837
chr4	163467590
chr4	162497792
chr4	73704745
chr15	48921730
chr4	94341671
chr4	105951325
chr14	96808815
chr10	24027355
chr8	66129931
chr10	13723522
chr4	111642170
chr15	39837658
chr10	21724804
chr11	69918946
chr4	39515043
chr9	127565411
chr3	141894984
chr12	9721643
chr8	97576759
chr3	143061049
chr2	204692024
chr8	9002740
chr5	36373603
chr14	76227593
chr19	46546660
chr3	175144546
chr11	46243387
chr3	178044515
chr5	15008692
chr6	146551114
chr11	35927965
chr2	74477181
chr19	49487549
chr18	363696
chr14	71588775
chr5	82641509
chr10	19332505
chr15	89396308
chr13	32001249
chr21	15826406
chr10	72272938
chr8	130466553
chr1	171366237
chr5	146510743
chr16	88600473
chr16	76396
chr5	145681853
chr21	42615106
chr15	90592432
chr1	15885922
chr22	28799388
chr7	99408887
chr22	32660403
chr5	44808858
chr13	45340631
chr3	150372010
chr9	70322293
chr10	87510226
chr5	52456147
chr3	152100699
chr14	73943273
chr10	48332365
chr12	24679390
chr4	150501165
chr9	128860625
chr6	158242831
chr3	156314978
chr16	4179234
chr6	157469455
chr1	171312355
chr6	73043090
chr4	121658320
chr14	75299181
chr3	160935565
chr15	48878084
chr6	36667241
chr4	85475189
chr9	5590214
chr1	48363082
chr20	19628814
chr12	27549932
chr1	109723115
chr11	77992350
chr13	21047802
chr3	121769448
chr5	140720185
chr19	33052530
chr21	34774932
chr7	77538822
chr3	126103509
chr11	7600403
chr11	75858675
chr6	109336473
chr4	139790476
chr5	68450521
chr15	68822288
chr9	91503104
chr8	98236274
chr22	49497427
chr3	139897980
chr6	7661574
chr17	68698216
chr1	222053998
chr7	1203870
chr3	141603682
chr16	8573107
chr3	142471019
chr6	169831810
chr5	56454450
chr8	57108990
chr8	93651868
chr10	5009358
chr12	796408
chr3	196055961
chr9	87715002
chr14	94599341
chr16	85098759
chr11	46554369
chr9	114364380
chr6	135259149
chr2	7031963
chr4	6695950
chr6	134109738
chr14	103330073
chr4	7965422
chr6	52081391
chr8	2182898
chr4	12286546
chr4	15659981
chr20	17682728
chr7	114372839
chr4	173411525
chr1	121525552
chr17	62916750
chr17	282693
chr9	127230217
chr15	100350784
chr9	112903297
chr1	22437780
chr7	151797894
chr19	46784907
chr2	46967357
chr6	39185075
chr1	168546203
chr4	84697403
chr1	48031839
chr11	33508143
chr3	176664002
chr9	122453296
chr6	69625138
chr2	46542334
chr17	65975989
chr8	71852877
chr15	59378131
chr6	119308275
chr10	92238947
chr1	166989040
chr6	146546712
chr6	43725257
chr17	13421103
chr20	56249757
chr1	234671146
chr5	157279835
chr15	58767060
chr20	51985135
chr12	3160295
chr5	8176311
chr7	100942476
chr5	71455606
chr8	100667660
chr8	12795302
chr15	81155866
chr5	122820491
chr11	72434673
chr12	88029301
chr9	12814441
chr17	28380429
chr12	121924035
chr3	45842201
chr5	121977217
chr3	47456042
chr1	84960579
chr5	120139238
chr9	32554331
chr12	122198361
chr12	70053185
chr21	44968270
chr12	113272300
chr13	113300094
chr7	157405215
chr15	52071788
chr1	178006249
chr7	136914215
chr19	13798189
chr3	58723424
chr3	25784322
chr14	31229900
chr3	63814507
chr3	15287725
chr5	133624523
chr16	25168115
chr1	110366224
chr16	9073224
chr7	88888877
chr9	109733829
chr10	99430810
chr2	27010983
chr2	190528830
chr2	190117507
chr1	2234715
chr4	127975236
chr3	23901035
chr14	23694725
chr5	131795329
chr8	125594149
chr1	33652662
chr7	71795553
chr19	10672724
chr2	182762007
chr12	103501640
chr14	30403987
chr3	23816926
chr1	192806040
chr1	151611523
chr10	63491696
chr21	42199638
chr5	95861548
chr19	16969298
chr1	175344843
chr8	11671507
chr9	105842242
chr9	36411596
chr9	130448240
chr5	112367245
chr6	79230365
chr12	51993331
chr14	58283927
chr10	23512568
chr3	104849316
chr3	106018337
chr6	106615976
chr11	68722352
chr6	9527839
chr21	38140676
chr17	7774242
chr5	82178573
chr1	45129218
chr7	17696632
chr5	77087376
chr3	120160162
chr15	44801559
chr20	25238035
chr5	171945285
chr14	52458180
chr10	62784746
chr17	36192506
chr12	62368625
chr10	98971653
chr9	107282978
chr16	11762627
chr8	105933251
chr2	156405854
chr10	32066031
chr12	56768694
chr6	20573123
chr9	125243485
chr3	72270208
chr10	122933431
chr5	143051747
chr2	16487883
chr5	172097098
chr4	152460704
chr11	63472576
chr5	173452270
chr2	20796641
chr11	67529623
chr4	139610997
chr4	123480053
chr1	22179613
chr5	171977541
chr2	3213169
chr5	159342010
chr11	63872289
chr15	51577000
chr8	55587752
chr11	64566756
chr1	85135304
chr2	15975397
chr1	15159007
chr10	86164570
chr15	50828955
chr11	67501169
chr4	128454507
chr5	173186326
chr9	96515853
chr15	43541965
chr2	11873987
chr5	140449621
chr15	52098540
chr15	77954164
chr5	96715083
chr15	91072345
chr9	111728758
chr10	124638432
chr5	91301718
chr10	125405080
chr15	91943178
chr5	90685830
chr19	18678174
chr5	83441964
chr19	19403203
chr19	31516217
chr5	74538543
chr8	24293998
chr11	8057200
chr5	97231196
chr10	99372791
chr5	68329726
chr15	78916888
chr5	139004873
chr5	138702653
chr8	26438426
chr1	100323075
chr5	141388862
chr19	7565506
chr19	7652370
chr19	7943695
chr5	127723803
chr10	110857743
chr5	126676329
chr1	15867072
chr19	11420627
chr5	120258331
chr10	114025515
chr1	93759120
chr11	9210768
chr15	53625338
chr5	23893755
chr19	47723741
chr11	35391214
chr18	68779384
chr5	4995108
chr1	89823229
chr19	51764809
chr11	45917925
chr1	107147991
chr19	52269610
chr9	98072470
chr1	107162893
chr11	47547948
chr5	157857952
chr19	53793236
chr4	169741739
chr1	90959757
chr5	154648880
chr19	39198523
chr15	96355189
chr8	41508618
chr18	80010082
chr19	40897381
chr5	140398449
chr1	20483299
chr5	38207496
chr19	44741975
chr5	36657740
chr5	150323306
chr19	45552268
chr5	32028224
chr15	62119599
chr18	76720905
chr15	96151923
chr1	91500776
chr5	53560581
chr1	156553067
chr15	42057692
chr13	113428192
chr2	163269581
chr3	56494925
chr3	49916895
chr12	70571263
chr12	70853512
chr14	36285177
chr3	36483905
chr3	32664737
chr9	33290346
chr2	177164789
chr14	30468551
chr3	18726027
chr8	120472402
chr2	183925478
chr3	16484343
chr2	186445710
chr12	95004805
chr2	189928024
chr3	10193412
chr8	123167699
chr3	5197776
chr14	20919218
chr8	123182497
chr14	20470470
chr3	4982018
chr1	54485701
chr3	58471612
chr12	64212230
chr14	55599529
chr3	114497098
chr14	60970297
chr12	50572445
chr12	50825499
chr2	134327606
chr14	59361357
chr8	101450400
chr14	59271931
chr8	101632748
chr2	140863941
chr2	141741850
chr3	100002984
chr3	63976769
chr12	53174968
chr12	53538550
chr12	53672171
chr12	53676171
chr2	146734193
chr12	54304350
chr14	52873920
chr12	57112275
chr12	60173773
chr12	62135747
chr3	64673538
chr8	123541383
chr2	199738926
chr2	25541583
chr22	50539813
chr13	26134027
chr2	237171700
chr21	17511749
chr20	63741027
chr20	63624649
chr13	29953779
chr20	53656937
chr20	50474547
chr20	49680725
chr20	13881078
chr1	39852388
chr13	64369325
chr20	16712072
chr1	42052581
chr20	17844741
chr20	48120344
chr13	60716470
chr13	43072626
chr13	52615615
chr20	41705102
chr13	52204026
chr13	47277971
chr13	48449093
chr13	48535115
chr20	31610923
chr8	130519162
chr9	5818115
chr13	21069742
chr12	123840928
chr12	104864836
chr13	111204950
chr22	38033029
chr12	110826887
chr2	207129033
chr8	125273443
chr12	116434453
chr8	125430229
chr2	216684081
chr13	98768721
chr12	123393289
chr21	42114300
chr13	20890748
chr13	95604312
chr2	222982232
chr21	41518955
chr21	39104607
chr2	224357517
chr21	38683428
chr12	130833008
chr12	130916343
chr12	131115074
chr12	132866555
chr21	33645928
chr12	49235155
chr1	29793257
chr12	47770240
chr14	65226940
chr9	89388433
chr2	44496310
chr2	46326466
chr4	81406022
chr4	78460570
chr4	77158151
chr11	95269631
chr4	72397515
chr8	74863996
chr14	103198964
chr14	103194453
chr8	74966154
chr9	86287229
chr4	54773217
chr4	52750405
chr4	48778547
chr4	41939121
chr11	112321996
chr11	113322313
chr9	83962470
chr4	38601484
chr9	83188464
chr4	8441684
chr4	8159054
chr11	124995891
chr2	44108188
chr8	70330778
chr2	43293965
chr2	30185440
chr2	25943816
chr11	70259239
chr15	40902677
chr11	72199458
chr1	83845624
chr4	112340289
chr2	28396566
chr4	112170636
chr4	112113232
chr4	111689393
chr4	110190453
chr15	38886793
chr2	42537689
chr11	73784510
chr2	32234339
chr15	37995836
chr9	92293710
chr4	105666861
chr11	76739964
chr2	37332763
chr4	89112414
chr9	91182600
chr11	82396828
chr11	84948155
chr4	2952579
chr2	66432052
chr4	2363647
chr14	70934246
chr2	98849323
chr12	19002398
chr3	157446093
chr12	21379427
chr12	21526217
chr12	22794216
chr12	23655320
chr3	152474789
chr14	73794865
chr14	73785995
chr8	96829979
chr14	70074087
chr2	96855180
chr3	141483704
chr3	141276216
chr3	139427690
chr3	139043758
chr8	98281078
chr14	68950355
chr3	136650195
chr14	68158285
chr14	68020689
chr3	126750126
chr2	120760917
chr12	14571981
chr14	76303385
chr11	129740337
chr12	6226610
chr2	69634407
chr14	91999379
chr2	70872134
chr14	91535206
chr14	90444461
chr2	73157382
chr3	186104131
chr1	27097649
chr14	88751157
chr14	88189651
chr3	184144692
chr9	73144072
chr14	76514841
chr2	83221437
chr3	183295408
chr3	181793167
chr1	65446037
chr12	8681477
chr2	85705773
chr12	8859637
chr3	173336464
chr2	85951850
chr3	172696540
chr3	172627278
chr4	2663482
chr13	50173243
chr7	67857916
chr8	15457547
chr16	70403101
chr10	32372408
chr17	81937391
chr6	122869656
chr16	10637870
chr1	148317428
chr9	128923690
chr17	49566881
chr7	94266389
chr6	159164254
chr6	16334854
chr9	126806547
chr7	94697497
chr7	54993298
chr6	52063669
chr17	50671181
chr6	156260995
chr17	64058012
chr16	11528246
chr7	98272223
chr8	11862711
chr1	179000411
chr1	225364636
chr7	141411357
chr1	179294581
chr7	43363144
chr10	30414236
chr1	115757041
chr9	123517730
chr7	114070443
chr7	43630672
chr18	31711608
chr7	43736380
chr6	118261042
chr17	15996521
chr6	14283819
chr7	6237977
chr16	8928542
chr7	129300084
chr17	66246476
chr9	135414498
chr10	68895265
chr7	140877340
chr1	223137580
chr16	30568349
chr6	45446012
chr6	151681564
chr10	35332373
chr17	17996077
chr16	13063641
chr16	81243173
chr1	244224625
chr1	172583056
chr1	3669041
chr6	143100629
chr6	36029693
chr1	170548708
chr7	69824887
chr1	236577203
chr6	27748846
chr17	18186666
chr6	135088992
chr6	135523408
chr6	35341655
chr5	175464615
chr6	136226148
chr9	127637701
chr6	138410534
chr7	102134654
chr7	103273593
chr10	58268999
chr18	21699737
chr7	99173948
chr16	31302228
chr1	155025385
chr6	149963841
chr1	232620694
chr1	232704910
chr1	193111782
chr17	58741275
chr1	111664326
chr7	106568968
chr6	26568815
chr18	12838247
chr16	84284458
chr18	3867932
chr16	83994203
chr1	146007414
chr1	234684407
chr6	145051870
chr16	16029633
chr6	144579138
chr1	234876557
chr16	85525064
chr7	51324701
chr8	17766533
chr1	160109062
chr1	117007413
chr10	71266582
chr16	78452237
chr6	2361400
chr1	208122963
chr10	14602316
chr9	129607619
chr1	116687895
chr17	77685394
chr6	1598135
chr1	109162504
chr16	87853741
chr6	73644250
chr16	67563863
chr6	110704136
chr1	159222267
chr10	11837576
chr16	77897333
chr6	104795573
chr6	878457
chr6	6277623
chr6	1321890
chr7	36119580
chr7	131942732
chr6	85644213
chr9	114743142
chr1	154501828
chr6	4008545
chr1	110004072
chr8	17525736
chr10	70405712
chr1	203537044
chr1	216213021
chr17	79839902
chr16	25005874
chr11	111923008
chr4	40492004
chr1	26015580
chr4	25760757
chr2	60961677
chr2	191013226
chr7	134363102
chr9	83708607
chr4	36128857
chr4	40264722
chr4	38169818
chr14	98953798
chr9	93116192
chr8	66132974
chr7	151272119
chr10	13236290
chr7	155654012
chr2	203552045
chr8	122639325
chr4	38667433
chr22	39308931
chr7	155808017
chr16	31382731
chr4	39458962
chr9	20683590
chr14	99947891
chr2	62561812
chr6	126682633
chr6	106181133
chr2	64273650
chr12	110345307
chr6	95574988
chr10	16116649
chr17	75028037
chr4	2430050
chr22	37158519
chr17	61149324
chr8	63213605
chr7	156659435
chr15	40953250
chr4	4778803
chr2	66494939
chr4	1693340
chr8	85836132
chr11	71080477
chr2	67650945
chr17	20139728
chr3	16550984
chr6	98657953
chr9	93397861
chr17	62626797
chr16	27505511
chr14	23035198
chr3	14301808
chr4	109976434
chr6	131637248
chr6	104711662
chr10	12475200
chr15	39804189
chr16	34018479
chr4	112186317
chr6	133983656
chr1	144550587
chr4	6633732
chr15	39953724
chr14	23202205
chr1	34617916
chr8	85297614
chr1	248829047
chr11	85619789
chr1	121414022
chr4	73721584
chr2	39099518
chr17	68378864
chr4	94215124
chr11	78290418
chr6	111229564
chr1	183318637
chr3	2923619
chr9	91395193
chr2	201406549
chr2	38148637
chr16	30598379
chr1	183584346
chr14	105352368
chr4	98232418
chr11	95076693
chr4	979194
chr7	78178484
chr4	99190096
chr2	37911729
chr6	118980260
chr15	22800115
chr4	88438080
chr1	24746285
chr16	77296087
chr2	200728748
chr2	42810557
chr2	42315285
chr2	43911587
chr15	25738414
chr6	111585829
chr1	119783614
chr4	86685557
chr8	123858663
chr4	87092827
chr17	67124947
chr16	76653603
chr4	84699144
chr1	154405274
chr4	82524730
chr11	83156966
chr2	46299863
chr11	95680766
chr4	99949201
chr4	41964625
chr12	101877328
chr1	25596843
chr10	191880
chr11	74593111
chr4	54550625
chr2	32417839
chr12	101557304
chr1	25695243
chr10	12276844
chr14	101895401
chr11	108085891
chr12	100219524
chr8	79196378
chr10	6274258
chr11	110298081
chr9	84832651
chr17	17408610
