Chrom	position
chr1	205718635
chr22	46512518
chr14	23775986
chr18	9102605
chr6	3259158
chr2	68290164
chr17	7142918
chr17	73390005
chr9	6015656
chr4	25314312
chr10	100206719
chr1	33647740
chr19	1315825
chr19	10138521
chr17	1933391
chr13	108870779
chr8	128746350
chr8	119124195
chr10	122610784
chr8	103424998
chr3	48595733
chr1	154989986
chr20	48729652
chr4	106629871
chr5	157158773
chr1	6266150
chr6	125421011
chr17	43225889
chr20	35201759
chr6	24360212
chr10	134266783
chr10	104221070
chr17	17380293
chr22	36236666
chr1	226891232
chr1	156721647
chr11	64655516
chr16	47071893
chr17	73585395
chr19	13001856
chr9	124049459
chr9	132222747
chr19	45348179
chr5	167913421
chr13	29233191
chr19	49137890
chr5	159626540
chr8	101962885
chr17	77715861
chr19	47104325
chr5	81047192
chr20	39946527
chr6	43670660
chr8	145688334
chr7	150783273
chr2	48541635
chr17	4607470
chr11	118796760
chr8	95732061
chr7	100076948
chr22	21356467
chr17	56495047
chr17	7740289
chr2	242041786
chr19	41222808
chr5	138739743
chr22	41844451
chr9	75142463
chr3	69788509
chr11	47236472
chr5	106878298
chr11	85566098
chr1	40723757
chr19	42750467
chr19	46919854
chr6	99963394
chr11	133920578
chr2	224822112
chr12	3150900
chr3	32726677
chr14	77495227
chr11	67276135
chr11	60609523
chr19	39127717
chr11	76494200
chr3	155462914
chr4	153457348
chr11	18416090
chr8	22004533
chr10	48952435
chr20	1447585
chr10	28592013
chr10	21823267
chr16	54320725
chr20	3792523
chr16	4994876
chr15	78592048
chr16	12009928
chr20	4804273
chr8	56987169
chr3	196336342
chr1	205030867
chr20	16554096
chr8	95565870
chr10	74856776
chr16	73104640
chr15	63334815
chr3	169684539
chr14	105399830
chr19	50832728
chr16	70473191
chr7	39663150
chr19	56632782
chr10	103874807
chr15	75497263
chr4	129730787
chr15	72668365
chr7	100399970
chr1	161284142
chr9	123638793
chr10	80063122
chr12	6875461
chr2	114341553
chr19	7197367
chr1	20478986
chr6	70506941
chr12	57030759
chr19	11670093
chr19	1885552
chr19	11647069
chr22	31556129
chr9	130324316
chr22	41488551
chr12	53493321
chr6	33756966
chr6	17600530
chr5	139154873
chr2	219860951
chr19	10045032
chr12	112856688
chr8	131515567
chr1	16359494
chr5	173472635
chr7	90893697
chr7	65447291
chr2	198364728
chr1	35657757
chr19	11404632
chr12	56211540
chr15	65282298
chr17	62773130
chr10	104155344
chr22	35874060
chr4	142297238
chr7	45194439
chr12	56510343
chr19	56028416
chr22	35773085
chr7	44058911
chr12	52477339
chr14	102904591
chr13	41837870
chr17	18684528
chr16	71879849
chr6	35889004
chr9	99179725
chr1	36839591
chr19	13228958
chr3	48514635
chr1	16482617
chr11	1793971
chr16	68271629
chr11	809794
chr15	40861514
chr1	59165812
chr1	2121112
chr7	30324374
chr10	124768373
chr15	49338730
chr7	40174487
chr19	56186534
chr7	42951643
chr1	27022118
chr2	32236102
chr20	335316
chr19	6199654
chr2	56410979
chr20	43160458
chr17	45144885
chr8	9413378
chr3	105085654
chr2	66802576
chr12	69633312
chr8	21669875
chr2	73404617
chr17	40172093
chr8	90996503
chr9	138859620
chr6	10747952
chr19	4182555
chr1	206785886
chr6	2634848
chr1	31643900
chr12	110283214
chr1	204733082
chr1	3713179
chr7	154861841
chr17	29025021
chr6	31704306
chr15	83209329
chr20	56293741
chr1	37945438
chr1	46216350
chr6	30688109
chr15	79043557
chr1	856642
chr7	121036459
chr10	71993284
chr6	30312912
chr1	33592900
chr7	152161133
chr20	1099197
chr6	29600903
chr10	51572251
chr7	144533170
chr17	46894567
