Chrom	position
chr7	97767102
chr13	77456752
chr16	46386908
chr17	64273930
chr17	55087581
chr17	48748561
chr17	40887899
chr8	98769395
chr17	32527232
chr17	1366617
chr16	84545016
chr16	70365734
chr19	34761069
chr18	55789310
chr15	38423090
chr14	94456367
chr14	93066996
chr14	69208734
chr14	66505591
chr14	61329232
chr14	27386513
chr14	24399127
chr15	74614953
chr19	15695636
chr19	8130518
chr3	143067839
chr8	1923065
chr7	145607162
chr7	128589260
chr7	92861766
chr7	17070383
chr6	150173433
chr4	186518912
chr3	151947647
chr3	125648094
chr19	15740250
chr3	52532980
chr3	12705959
chr20	49545874
chr20	47576265
chr8	143808059
chr20	6809699
chr2	97199685
chr2	71678675
chr13	99492589
chr17	38482678
chr11	66112380
chr12	10902970
chr1	156067021
chr1	39572825
chr10	93905385
chr11	66724249
chr10	74217076
chr11	128729963
chr12	4430062
chr1	203671337
chr9	129156950
chr9	132379684
chr12	92757668
chr13	28345125
chr1	93914801
chr13	41885247
chr20	57580417
chr1	161677065
chr3	138041254
chr3	129099090
chr1	207872362
chr1	162897963
chr1	16939247
chr21	39542544
chr1	163168466
chr3	40842049
chr3	32023079
chr3	171547876
chr1	204616822
chr20	55898413
chr22	39363860
chr3	27551215
chr13	53495620
chr3	171858424
chr3	189000580
chr1	59444984
chr1	85744817
chr7	106808726
chr1	95538239
chr1	109221572
chr7	77384107
chr7	26704795
chr7	26428121
chr1	110564737
chr6	170654043
chr6	167001766
chr6	158957386
chr1	110659161
chr6	146906694
chr5	173321261
chr5	173043150
chr5	172721181
chr5	149737589
chr4	114108318
chr20	5061295
chr4	3944458
chr1	246024064
chr2	174129572
chr20	1758108
chr15	52093829
chr17	20955269
chr11	110841940
chr16	70404293
chr11	122235986
chr16	19097093
chr16	4730046
chr15	96870725
chr15	65394110
chr14	100539276
chr11	43952690
chr12	15423496
chr12	46137092
chr14	90898476
chr14	70826356
chr12	94426545
chr12	124044208
chr14	55213664
chr13	28922060
chr17	27697147
chr11	1854031
chr2	242295522
chr10	35924685
chr2	241525665
chr2	218225638
chr2	177462517
chr2	173302682
chr2	149897072
chr2	144160276
chr2	119712399
chr2	113287573
chr10	10953607
chr2	47300464
chr17	43306671
chr2	10520193
chr19	40422953
chr10	90552642
chr19	14239004
chr19	1068289
chr10	125757066
chr10	129688259
chr17	55124448
chr11	348529
chr8	22562423
chr1	565368
chr9	96390280
chr9	69147907
chr9	33161139
chr8	118894019
chr1	569416
chr10	30387365
chr9	297669
chr10	105302676
chr20	14613688
chr2	122080660
chr16	46891733
chr15	41196430
chr13	105913797
chr18	45456485
chr1	158118038
chr3	46358090
chr1	156635062
chr16	54593764
chr9	127602022
chr4	26809086
chr7	77535565
chr7	102036622
chr6	36922160
chr12	52317308
chr1	162698656
chr2	99365711
chr3	12791155
chr6	26521940
chr10	95633388
chr6	29816006
chr13	76056811
chr4	115764875
chr19	45454997
chr8	121840033
chr12	64616482
chr6	169288336
chr12	57512793
chr19	42144019
chr6	34954815
chr14	103524177
chr1	150895182
chr12	14923979
chr1	150228505
chr11	72991845
chr14	39902329
chr9	124255356
chr2	219472326
chr9	125703486
chr17	14262798
chr19	1470717
chr11	124670597
chr19	1566794
chr7	14308842
chr3	171619863
chr7	2903495
chr14	54917491
chr3	156806846
chr6	140802108
chr11	125376278
chr14	95065204
chr19	18303091
chr1	39975475
chr6	100016661
chr9	1870052
chr1	148556849
chr7	50095954
chr4	2011843
chr3	113775635
chr14	88471523
chr3	197353984
chr14	23285069
chr3	195950005
chr11	58869148
chr11	59437031
chr7	30265805
chr19	47892215
chr6	168408391
chr6	12290510
chr10	69023036
chr5	141603429
chr10	54519999
chr17	72563794
chr1	93249756
chr2	8821684
chr22	24921547
chr1	40341076
chr5	1608542
chr5	160070972
chr5	43034823
chr17	73966206
chr16	11904005
chr5	170143151
chr10	73538157
chr5	140420801
chr10	497118
chr10	557246
chr8	37219068
chr1	55438947
chr10	45454780
chr5	137969134
chr2	12409558
chr10	3511259
chr15	75958003
chr15	78124189
chr12	123874684
chr10	5636472
chr21	35014949
chr5	98109386
chr17	64242667
chr15	91181608
chr5	30437053
chr2	7913759
chr1	207739039
chr22	45684138
chr6	3027553
chr17	78824975
chr1	224685966
chr19	51627082
chr4	155327443
chr16	25138368
chr17	43369062
chr17	78237329
chr3	190963955
chr15	77198002
chr16	46396262
chr14	79064466
chr5	131892627
chr4	118006639
chr6	134304747
chr9	19184245
chr3	193924411
chr19	11431370
chr1	200708365
chr3	192611133
chr19	14116105
chr6	30181221
chr6	2846777
chr19	41634035
chr6	142433797
chr11	77757134
chr15	81512577
chr14	69970601
chr10	24912105
chr15	48009284
chr2	26239625
chr10	94472385
chr15	92612298
chr2	101655212
chr3	183158667
chr14	70883693
chr5	98356307
chr15	94748792
chr6	151815417
chr5	114880985
chr2	20251951
chr15	74612404
chr5	71894585
chr2	90383375
chr4	162936546
chr4	79583476
chr4	25733655
chr16	11444031
chr4	25769670
chr16	11734391
chr14	105132032
chr1	27190871
chr15	38422192
chr1	212926436
chr1	225344207
chr5	36608355
chr16	11837591
chr9	134268216
chr19	40447779
chr19	54704394
chr11	33086085
chr14	103606781
chr4	147163224
chr4	88765411
chr1	228935901
chr9	75058408
chr2	110371721
chr19	50979549
chr19	21995640
chr4	3077169
chr6	106962000
chr14	93651952
chr9	91933208
chr10	55890123
chr2	60711637
chr6	99464394
chr2	111569435
chr16	69830643
chr19	44037223
chr10	103353407
chr2	26991993
chr7	87908495
chr22	38609367
chr22	37889086
chr7	151843273
chr7	29314174
chr13	41863850
chr8	38463533
chr13	95845108
chr12	78428066
chr17	43380389
chr20	18812645
chr17	37126586
chr1	109246205
chr18	74208643
chr18	10476627
chr12	51184095
chr12	117349165
chr12	49515027
chr13	49080046
chr13	52073648
chr8	23915984
chr3	56861505
chr3	117066159
chr13	43169308
chr12	3000730
chr12	6667309
chr8	102149446
chr8	22925025
chr12	9801032
chr13	46524744
chr7	27219297
chr2	228103154
chr12	117627672
chr18	55880857
chr21	32546419
chr17	62097514
chr12	68752691
chr17	34524349
chr7	852584
chr1	113589341
chr17	33422102
chr17	57638691
chr3	9029851
chr1	117360269
chr13	53173147
chr3	18015043
chr1	44238287
chr9	69065487
chr20	30190774
chr2	198687409
chr13	95201806
chr20	42839342
chr3	64092783
chr3	57581561
chr12	57504401
chr1	114525396
chr2	218578330
chr12	90150892
chr9	115603763
chr22	42793354
chr15	58762372
chr4	186434818
chr8	121136164
chr22	43076915
chr2	90393281
chr10	81164207
chr2	198002734
chr22	44263835
chr2	90390213
chr4	142250447
chr10	91664637
chr3	10886929
chr3	10187550
chr10	91093422
chr4	154073296
chr2	96873039
chr12	76536290
chr20	37089091
chr2	96785944
chr4	156875114
chr4	162502633
chr10	90145714
chr10	89947352
chr13	51472564
chr15	52730375
chr22	45929497
chr22	46525405
chr15	70013090
chr2	85788162
chr20	57607794
chr5	56378406
chr15	73928715
chr12	117176186
chr5	64972072
chr2	47285433
chr13	41591506
chr13	31226023
chr20	56303144
chr8	142046352
chr2	40078867
chr15	59277293
