Chrom	position
chr20	31968581
chr11	66421791
chr19	49987280
chr13	98653591
chr15	64387773
chr11	65422794
chr6	139374631
chr5	171387496
chr16	68520819
chr10	86377341
chr14	105801369
chr16	85420917
chr19	49937839
chr15	63093726
chr11	111423167
chr4	83455987
chr5	151447512
chr8	141716117
chr12	69291174
chr15	74615722
chr4	1410613
chr20	13784931
chr18	48446798
chr1	154220661
chr1	9491234
chr1	33470648
chr17	35312886
chr17	2828612
chr19	18239554
chr10	101081121
chr1	9627167
chr20	36344711
chr11	61567388
chr13	103140459
chr17	82552004
chr14	104816132
chr16	24858660
chr20	1900487
chr12	44948915
chr9	10268964
chr1	6245239
chr14	92914272
chr20	31613012
chr13	98569722
chr17	28357533
chr12	31600429
chr10	29119581
chr1	21659295
chr3	13648437
chr6	158704377
chr9	129824205
chr1	6554570
chr9	89186203
chr2	55693807
chr19	7294415
chr12	42144885
chr19	35820177
chr1	74733148
chr9	109321147
chr16	89706095
chr16	1827216
chr5	134904707
chr1	24112699
chr1	110746871
chr19	12766177
chr18	37270230
chr17	76523259
chr9	124110505
chr7	76438062
chr15	89419550
chr11	12888934
chr2	237774962
chr3	48401040
chr5	172794173
chr22	45995013
chr1	165768894
chr11	47408233
chr5	74767213
chr1	34925008
chr19	15432802
chr9	34494161
chr7	30672046
chr1	18256499
chr17	5469066
chr16	84308327
chr18	35386700
chr7	993308
chr22	29553904
chr22	45553923
chr4	76148472
chr8	126876798
chr7	152436807
chr22	43868027
chr22	44975743
chr5	160419087
chr16	29900095
chr1	236503391
chr13	114234830
chr11	64997067
chr16	57757409
chr17	82065870
chr16	67672891
chr15	98659412
chr12	108214683
chr15	42491207
chr15	88605848
chr1	7667711
chr15	58227900
chr4	184474758
chr2	8682074
chr3	128605550
chr17	31550118
chr2	3575200
chr16	10895537
chr22	31231319
chr2	204145434
chr2	231714006
chr11	66675391
chr16	87661726
chr22	30212725
chr17	34638439
chr19	19146205
chr22	30391270
chr8	121642445
chr17	34797881
chr6	125953170
chr5	37413154
chr11	69670419
chr10	103244845
chr2	15637460
chr7	76201883
chr1	150169162
chr2	16553416
chr17	82212889
chr20	49219404
chr11	70650504
chr1	34786658
chr8	20197210
chr6	43263637
chr17	81821931
chr20	23996345
chr22	35824464
chr10	43348644
chr1	93759119
chr2	200812536
chr20	22691813
chr1	227735339
chr14	24806404
chr21	33361418
chr3	40309588
chr11	46392730
chr2	232550663
chr1	151190216
chr2	162582618
chr21	34865450
chr14	22822966
chr15	53453743
chr12	71938906
chr19	18365165
chr19	18319869
chr6	167398431
chr1	54715819
chr6	39865501
chr22	32107142
chr22	29716928
chr6	167806495
chr18	63676
chr1	167297369
chr7	34454553
chr1	225475120
chr17	31394768
chr1	183699846
chr10	64041372
chr7	50633085
chr12	50075379
chr8	28657415
chr12	49347978
chr10	80662843
chr6	152136201
chr5	1235581
chr21	43810948
chr20	37627174
chr19	46487994
chr19	46638742
chr7	43640002
chr6	133953138
chr10	79105517
chr17	3013145
chr8	27837883
chr12	47837774
chr12	47817422
chr17	2749954
chr2	152037028
chr17	17001996
chr17	2401135
chr19	49487576
chr10	86203698
chr21	44479818
chr15	88166525
chr18	31373801
chr6	27902982
chr2	216666774
chr6	28136881
chr19	42450601
chr21	44939927
chr13	49848114
chr17	7280727
chr3	32178082
chr17	7579470
chr6	27688394
chr15	90003369
chr5	140181387
chr20	41594637
chr19	41204461
chr17	8173407
chr2	134460722
chr17	8186343
chr15	89416413
chr7	44019206
chr5	7879231
chr9	122093362
chr19	49506738
chr5	141735049
chr13	42969786
