Chrom	position
chr16	22448431
chr15	49913250
chr8	99837686
chr4	147097075
chr2	173941214
chr1	154580588
chr3	64009052
chr7	152133982
chr11	28131862
chr8	101571757
chr2	224822173
chr22	18632856
chr1	147400778
chr12	46385778
chr10	21816327
chr20	31989368
chr15	99791844
chr18	33647251
chr3	135915859
chr17	16118707
chr9	102669252
chr5	118407258
chr2	55509451
chr6	79786762
chr13	41634312
chr1	162467854
chr6	143771877
chr7	19748570
chr10	93683719
chr12	12510263
chr6	56407633
chr1	90460988
chr1	55680926
chr3	141868133
chr12	860438
chr9	21335242
chr2	242041795
chr1	94374806
chr4	103997705
chr6	75994377
chr2	177134282
chr14	60558940
chr1	100435542
chr7	107220834
chr7	138145632
chr1	93544709
chr8	96037367
chr1	92764477
chr2	191878747
chr6	4018722
chr2	208890269
chr12	16064367
chr7	102938050
chr8	59324035
chr9	33511056
chr10	94353025
chr11	121163772
chr6	90062328
chr2	136499838
chr14	45722289
chr15	42873795
chr5	102201753
chr4	2243434
chr2	40006238
chr8	82598365
chr6	32806502
chr1	222988456
chr15	85177123
chr1	109505801
chr2	136289579
chr8	8860648
chr14	31028594
chr15	44119234
chr7	64839007
chr8	67837686
chr1	36396885
chr7	43769079
chr7	127983860
chr12	111020606
chr2	74154169
chr2	99954175
chr3	99595010
chr3	37217548
chr9	98638358
chr10	5454621
chr10	6019680
chr8	118533180
chr10	94351493
chr1	101491439
chr6	28234997
chr1	145611004
chr8	120868166
chr7	131012810
chr15	34502057
chr4	84205627
chr2	170655538
chr12	42719781
chr14	31926439
chr12	122906698
chr9	91004154
chr6	56911454
chr8	41908605
chr1	100503951
chr9	123555649
chr12	95466835
chr1	36235028
chr10	43633914
chr6	143248127
chr6	135818734
chr8	42697924
chr6	26522307
chr4	83931757
chr1	197744253
chr7	30634422
chr8	116660629
chr18	33161021
chr21	17102581
chr8	22298610
chr13	42846532
chr11	9483033
chr21	30375142
chr1	35450873
chr6	52926526
chr1	149982687
chr15	35280490
chr5	118691591
chr10	48185914
chr13	50700261
chr3	186285042
chr16	31519785
chr6	170125059
chr4	56412156
chr16	66864573
chr2	74405731
chr2	233415321
chr15	55611320
chr6	127588464
chr5	59995952
chr11	47663760
chr6	151773845
chr10	122610863
chr15	41576335
chr1	1821623
chr11	110167227
chr12	110338255
chr3	11685411
chr1	145096533
chr8	95908999
chr13	23949562
chr6	17601027
chr4	166128849
chr15	64125807
chr5	114961523
chr21	34960678
chr14	23476064
chr6	28249355
chr13	41706695
chr5	122758865
chr12	27175726
chr4	75023955
chr4	120221733
chr7	7606810
chr2	170681346
chr5	141488590
chr15	80189333
chr4	153601064
chr18	18691251
chr3	160118708
chr1	180601469
chr16	15069033
chr12	96252859
chr3	152880845
chr6	125622851
chr7	12251128
chr4	103681987
chr2	38152722
chr9	128469407
chr2	114341574
chr5	131746681
chr16	57023539
chr2	98611851
chr4	15683009
chr12	42631380
chr10	75541844
chr16	53165681
chr4	77134893
chr10	70748831
chr7	26331705
chr6	7141319
chr12	88429521
chr1	213224718
chr14	75348691
chr12	62860728
chr10	115439781
chr5	76326596
chr7	158649566
chr7	40174035
chr6	100016351
chr20	61436277
chr12	46123775
chr4	2539117
chr13	48575266
chr12	107380768
chr14	78174212
chr14	69283320
chr1	198126372
chr2	46843803
chr17	60142401
chr2	211341296
chr6	170862135
chr1	183774298
chr14	32030757
chr6	105307453
chr3	118959657
chr6	96969739
chr1	213188625
chr9	32550678
chr4	119606773
chr17	29233361
chr1	78149246
chr5	77071821
chr3	71631588
chr7	117824323
chr5	79704287
chr4	83295659
chr1	224302228
chr22	42229800
chr4	141445498
chr10	70231465
chr8	66546259
chr1	100315808
chr2	230787537
chr5	64064409
chr5	37379341
chr5	65221055
chr5	159848928
chr4	4543811
chr14	45605379
chr2	46926579
chr18	9102897
chr6	170893543
chr15	23034204
chr3	10183598
chr4	69215541
chr5	73981177
chr12	116714686
chr13	46626683
chr1	174969386
chr4	17812862
chr7	23339039
chr22	29999736
chr13	29233218
chr6	157098343
chr19	11039684
chr6	47445850
