Chrom	position
chr12	133058534
chr19	37243330
chr2	95149596
chr19	36449258
chr19	58128221
chr17	15717145
chr7	55939717
chr19	36547450
chr5	178712281
chr19	56441457
chr19	37803413
chr15	98830242
chr7	56686484
chr19	44477233
chr8	124977002
chr17	18662165
chr19	36639104
chr19	36750219
chr19	9295539
chr16	75169986
chr1	246987319
chr7	63876947
chr19	9381422
chr19	36514163
chr5	178965638
chr19	51994336
chr19	36891967
chr7	57274753
chr19	37537598
chr5	178884051
chr5	141259207
chr1	247156927
chr9	111542700
chr19	58212957
chr6	27401233
chr4	271687
chr19	7083490
chr9	113043012
chr2	132466675
chr19	36719779
chr19	44476642
chr5	180258703
chr7	6675132
chr19	43847317
chr12	133106456
chr9	112997497
chr19	24127850
chr5	150931611
chr6	27452583
chr7	36937994
chr9	96818728
chr1	40463114
chr12	133156311
chr7	6676190
chr8	144842330
chr19	52474017
chr2	95215198
chr19	37389328
chr1	247190136
chr19	52474925
chr1	23362310
chr19	58197214
chr1	40495478
chr19	14718731
chr19	20397452
chr11	118087581
chr7	57120610
chr18	62688975
chr19	58166934
chr12	132926554
chr7	64015657
chr5	14256249
chr4	26113547
chr19	57978891
chr19	57572593
chr19	51944978
chr2	132104549
chr2	170911464
chr7	57165506
chr9	127444663
chr12	133105843
chr19	37564805
chr19	56577999
chr19	53577284
chr5	179079365
chr16	31916190
chr19	40034177
chr19	2834509
chr18	35306837
chr19	9342778
chr16	31755166
chr19	51873301
chr16	68564491
chr7	92868881
chr1	40463375
chr7	63291944
chr12	132925808
chr10	43524632
chr19	52115713
chr4	254185
chr7	56466661
chr14	71304862
chr7	64220048
chr19	53212742
chr19	36341125
chr7	5064631
chr19	22976321
chr19	36393489
chr19	20544920
chr12	12649438
chr10	42337192
chr16	68564241
chr19	22472332
chr15	71821743
chr19	52115826
chr12	6644130
chr10	37831926
chr19	37484762
chr3	44721762
chr19	57111227
chr5	178883336
chr14	50472032
chr6	23672948
chr19	36877097
chr17	15716630
chr19	58107935
chr8	144707826
chr20	62109420
chr19	44476946
chr19	23223108
chr16	31601998
chr13	48974030
chr9	35148137
chr5	150950783
chr20	62110189
chr10	43617004
chr1	247037627
chr19	36819281
chr7	64706771
chr16	34661229
chr5	49666206
chr17	16552139
chr6	5017365
chr19	52066467
chr17	16552788
chr19	22857937
chr16	46388679
chr19	43873097
chr12	133010841
chr3	44721403
chr19	8811564
chr22	35812859
chr20	62109484
chr19	21424379
chr7	63087852
chr2	73714316
chr1	143247067
chr4	49121019
chr19	21384183
chr17	5092514
chr19	57978758
chr5	141261057
chr2	102146187
chr4	121823298
chr16	31755336
chr9	122726985
chr19	23832979
chr5	49666960
chr7	57469487
chr7	92939978
chr9	113043205
chr19	36547052
chr6	27451732
chr19	52841276
chr2	185510181
chr19	52705828
chr1	227655073
chr4	374766
chr6	20885284
chr19	20197951
chr7	64348949
chr15	25070564
chr8	246018
chr19	58262410
chr19	34759623
chr19	2834387
chr15	25062481
chr18	35253946
chr4	49141094
chr12	133203592
chr7	64521630
chr19	12043943
chr19	9757814
chr19	22472277
chr19	20118442
chr10	38485591
chr19	21727405
chr7	6691929
chr19	21423463
chr19	23223258
chr10	41912774
chr10	41903531
chr17	21988732
chr21	7258781
chr5	150895946
chr7	62350360
chr19	37128521
chr1	143264272
chr1	125170166
chr11	3359320
chr11	3359430
chr10	42593485
chr16	46380708
chr17	26603920
chr19	37565442
chr19	37635594
chr19	52881104
chr16	46383342
chr19	51915486
chr5	180259082
chr19	37669674
chr10	73919051
chr19	9528829
chr9	92846801
chr19	12527113
chr8	144977462
chr19	58166396
chr2	92081320
chr5	140764273
chr4	443508
chr4	49107447
chr19	58263026
chr19	36627205
chr19	56424068
chr19	34943919
chr19	12272654
chr19	36720301
chr19	19835705
chr1	161049605
chr16	3290543
chr5	178932519
chr9	113043390
chr10	38118463
chr19	12077581
chr1	183801792
chr17	18662606
chr19	8811699
chr3	75737969
chr2	88192914
chr15	25057041
chr3	44734784
chr2	106207397
chr19	12350453
chr13	40874629
chr3	75738064
chr19	9467415
chr12	133120689
chr1	213297251
chr19	12187662
chr7	63456136
chr19	43873023
chr16	46384824
chr19	36393418
chr1	143230885
chr1	143245013
chr19	56423822
chr17	5092349
chr19	21970622
chr4	152715240
chr10	21827588
chr10	133689441
chr1	63679830
chr9	96818136
chr5	180259264
chr17	22521392
chr19	36877448
chr7	64707810
chr8	46871442
chr1	634029
chr8	65778205
chr4	86735
chr19	12350332
chr4	49100240
chr10	41875449
chr4	442897
chr10	41860297
chr19	21808492
chr19	12465365
chr1	125179479
chr16	46386431
chr7	56467050
chr8	245612
chr5	179079437
chr1	143256231
chr1	143253323
chr1	143239244
chr19	56525484
chr19	57377668
chr19	53237313
chr17	25920205
chr19	58262329
chr10	45003846
chr13	108645623
chr10	40447331
chr2	79547796
chr2	90390701
chr19	51862393
chr2	209376871
chr19	43849059
chr11	16430889
chr19	11780645
chr19	12145492
chr8	46785691
chr19	12015244
chr19	37413467
chr19	20806656
chr19	20544779
chr8	43238129
chr17	29278851
chr19	9381568
chr7	18250358
chr1	125166626
chr1	143221870
chr5	178712972
chr12	133120500
chr5	49602769
chr10	40829726
chr1	123195739
chr19	53237415
chr21	8234502
chr16	34573093
chr1	123853387
chr6	27358995
chr12	132926235
chr20	28897443
chr4	373289
chr4	162122
chr3	44734699
chr4	161532
chr1	143275884
chr3	44499899
chr6	27358842
chr4	49147780
chr1	180946727
chr9	96759532
chr12	132926152
chr5	140764583
chr3	13902759
chr16	34581462
chr1	246741457
chr10	42073916
chr10	6021565
chr15	25067936
chr4	122122937
chr19	57572444
chr10	38579031
chr1	227654641
chr7	57495591
chr20	46456341
chr7	63291593
chr12	133058172
chr21	8219996
chr7	63087746
chr21	34011792
chr16	34071611
chr16	34078894
chr19	36877316
chr1	143266419
chr19	23362045
chr18	79732330
chr10	6025957
chr19	58108602
chr19	34759164
chr19	58108251
chr7	57120309
chr2	89839665
chr19	36547325
chr19	56525585
chr19	36638923
chr2	96916725
chr2	156237823
chr19	36720030
chr19	9342601
chr5	178932176
chr10	130283017
chr16	31755456
chr1	227655334
chr19	9529001
chr1	211694064
chr10	42093457
chr12	71760150
chr19	52366236
chr11	10012306
chr19	19933925
chr19	51915592
chr4	373394
chr12	25587523
chr19	12527286
chr16	46390530
chr19	2834674
chr7	64978895
chr3	93470582
chr16	46393129
chr19	52841026
chr10	42336087
chr19	52800354
chr12	23601169
chr4	49657613
chr4	49149783
chr17	5092735
chr10	42067719
chr19	19711530
chr3	75738504
chr19	53165751
chr19	53213283
chr3	8705815
chr19	40014097
chr10	40131438
chr6	149239778
chr19	12247721
chr19	52613406
chr19	43872673
chr7	64077734
chr4	50556154
chr1	143187007
chr16	34725998
chr7	64078984
chr7	64266491
chr7	64266626
chr19	19835569
chr7	56639538
chr7	56467306
chr19	19892453
chr1	247100800
chr7	57119928
chr19	19712137
chr7	63876803
chr1	236097375
chr19	7450415
chr19	7450812
chr2	90383846
chr5	49658158
chr12	2255949
chr19	21536842
chr7	64979040
chr2	161278810
chr1	227655437
chr7	64266725
chr3	52733407
chr7	58104701
chr19	22471499
chr19	11942936
chr1	247100937
chr19	36236966
chr1	143203804
chr1	124731101
chr1	143238499
chr11	3359518
chr1	143235055
