Chrom	position
chr11	18127546
chr6	39665222
chr4	124570579
chr17	41393391
chr8	136935524
chr19	44716787
chr1	33761371
chr9	66494103
chr8	109083531
chr1	118197423
chr4	190802577
chr7	140877182
chr6	32605232
chr12	1663926
chr7	44790674
chr11	66206179
chr12	92831358
chr22	38656458
chr6	111266103
chr5	34196374
chr22	43011376
chr1	41094182
chr12	122064311
chr7	2339002
chr1	53164046
chr4	7971396
chr15	74392572
chr15	70489200
chr15	70048213
chr15	30218193
chr15	25200244
chr15	40567103
chr15	69972201
chr15	31804101
chr15	62775062
chr15	44487591
chr15	32172470
chr15	39110297
chr15	75069891
chr1	10190
chr15	75092619
chr15	76050894
chr16	17121826
chr16	16543329
chr16	11349951
chr16	10402616
chr16	10352865
chr16	10008373
chr16	5206645
chr16	5083945
chr16	4599013
chr16	2205324
chr16	279335
chr16	188841
chr15	102307664
chr15	100710640
chr15	93206677
chr15	89750318
chr15	89089902
chr14	102431000
chr15	83419299
chr15	81068927
chr15	78423995
chr15	86043459
chr14	70940746
chr14	101112245
chr14	23120456
chr13	113242572
chr13	111566600
chr13	101377971
chr13	100084417
chr13	62105933
chr13	50145858
chr13	42951903
chr13	29829417
chr13	22245149
chr13	21543083
chr13	20139114
chr12	133337362
chr12	133263950
chr12	133069263
chr12	131727613
chr12	130966131
chr12	129399679
chr13	115046919
chr14	24900263
chr14	99855783
chr14	29300485
chr14	94425879
chr14	89290847
chr14	79477676
chr14	78915052
chr14	72947335
chr16	29874464
chr14	70826542
chr14	70721518
chr14	70706716
chr14	66975739
chr14	61201519
chr14	59911114
chr14	58765087
chr14	54080475
chr14	50528001
chr14	50101248
chr14	48478094
chr14	48386771
chr14	31677466
chr16	17399799
chr16	48942298
chr16	30773645
chr17	61996795
chr17	54731450
chr17	51183596
chr17	43306525
chr17	40730745
chr17	40268886
chr17	40264734
chr17	40021625
chr17	39420760
chr17	36507598
chr17	30117004
chr17	29288383
chr17	27333079
chr17	27047087
chr17	26879540
chr17	26870928
chr17	25568617
chr17	25546359
chr17	25544800
chr17	57232702
chr17	62915916
chr16	31886051
chr17	63911175
chr18	42686491
chr18	32621310
chr18	23806384
chr18	20811386
chr18	14179028
chr18	13375449
chr18	11973123
chr18	10929120
chr18	9648974
chr18	7711673
chr18	7084289
chr18	4640524
chr17	80606369
chr17	79604152
chr17	78903374
chr17	78884591
chr17	77326521
chr17	76237708
chr17	74511811
chr17	72428114
chr17	65814365
chr17	22020721
chr17	21226485
chr17	18965588
chr16	88522780
chr16	87984562
chr16	87757040
chr16	86717065
chr16	86022642
chr16	85532324
chr16	85095457
chr16	84760580
chr16	84627987
chr16	84150525
chr16	81812850
chr16	81512700
chr16	70148111
chr16	69564767
chr16	68018890
chr16	56644284
chr12	124615795
chr16	46499923
chr16	46422591
chr16	46421754
chr16	34185125
chr16	88772858
chr16	89126809
chr16	89238058
chr17	7137899
chr17	17108755
chr17	15602936
chr17	15466811
chr17	12976543
chr17	7590057
chr17	7461571
chr17	7343483
chr17	7338812
chr17	7146341
chr17	4004902
chr16	89307766
chr17	3749472
chr17	3614452
chr17	1510831
chr17	1085170
chr17	726977
chr17	39382
chr17	18607
chr16	89907872
chr12	125599164
chr12	95034482
chr12	123849441
chr1	151763131
chr1	175567360
chr1	173837082
chr1	173446167
chr1	166139465
chr1	161511974
chr1	158255711
chr1	156806041
chr1	156786603
chr1	152537810
chr1	150968397
chr1	149224185
chr1	149785224
chr1	145208937
chr1	144520145
chr1	144908392
chr1	147510975
chr1	147400635
chr1	146556153
chr1	146373882
chr1	145827024
chr1	181057808
chr1	184836306
chr1	192544942
chr1	202804821
chr10	38778121
chr10	18916702
chr10	15033557
chr10	8173516
chr10	6309420
chr10	6296506
chr10	6093275
chr10	1716995
chr10	1082550
chr10	458270
chr1	246755052
chr1	246660832
chr1	246493413
chr1	235492010
chr1	230202559
chr1	227975671
chr1	227922989
chr1	206138152
chr1	203350434
chr12	122900952
chr1	58829567
chr1	115259292
chr1	109697184
chr1	109094316
chr1	92037798
chr1	89664666
chr1	87264829
chr1	80176781
chr1	66748202
chr1	59875453
chr1	56599767
chr1	148604927
chr1	53761963
chr1	53332900
chr1	46943286
chr1	46617917
chr1	44116232
chr1	44115653
chr1	41953241
chr1	40778319
chr1	38367362
chr1	115605418
chr1	117906210
chr1	145209011
chr1	148766936
chr1	121200696
chr1	120838679
chr1	149680270
chr1	144311254
chr1	144339833
chr11	74811492
chr12	8801388
chr12	8797679
chr12	4216681
chr12	3861654
chr12	791920
chr11	133765353
chr11	128285653
chr11	114502541
chr11	113160480
chr11	69197272
chr10	42395628
chr11	68606837
chr11	65819943
chr11	64636893
chr11	64107682
chr11	63605882
chr11	61501033
chr11	60530708
chr11	47039704
chr11	36531830
chr12	29239388
chr12	31345830
chr12	31478997
chr12	42632171
chr12	122102007
chr12	121382596
chr12	120729459
chr12	117628255
chr12	117588628
chr12	117543933
chr12	104531932
chr18	61576304
chr12	94853753
chr12	92540063
chr12	69964729
chr12	64615987
chr12	53815536
chr12	52512439
chr12	52510515
chr12	52399755
chr12	48906938
chr12	44152875
chr12	42719961
chr11	16923842
chr11	14790596
chr11	14600257
chr10	118441965
chr10	104221078
chr10	103578230
chr10	97592239
chr10	91061850
chr10	74008667
chr10	73649948
chr10	67261121
chr10	58121035
chr10	51827684
chr10	51811850
chr10	50385551
chr10	48427087
chr10	44503891
chr10	44090817
chr10	42384763
chr10	42391750
chr10	106595390
chr10	119412814
chr11	13095347
chr10	119416407
chr11	10476733
chr11	7693248
chr11	4629332
chr11	1876400
chr11	442166
chr11	208753
chrUn_gl000228	118377
chr10	135207752
chr10	135143480
chr10	135088608
chr10	135075051
chr10	134177943
chr10	133575734
chr10	132202699
chr10	130262844
chr10	127730569
chr10	126078020
chr10	121073354
chr10	121028658
chr18	45299159
chr19	6424376
chr19	510840
chr6	3209849
chr6	30539169
chr6	29477217
chr6	27833231
chr6	26923948
chr6	26197374
chr6	20543452
chr6	18214389
chr6	6918935
chr6	3389125
chr6	1574374
chr6	32407713
chr5	180670875
chr5	179247950
chr5	179246128
chr5	178287047
chr5	168843956
chr5	150591490
chr5	137673990
chr5	133747604
chr5	133197238
chr6	32405245
chr6	32557560
chr5	99870868
chr6	142468405
chr7	5183735
chr7	4992006
chr7	1102078
chr7	969856
chr7	964522
chr6	170489333
chr6	161162260
chr6	159070871
chr6	143166508
chr6	135908280
chr6	33553532
chr6	110000523
chr6	104973770
chr6	89791412
chr6	89435370
chr6	64927805
chr6	46185539
chr6	42897921
chr6	42713780
chr6	33756855
chr5	113107282
chr5	99805576
chr4	7989259
chr4	49653483
chr4	105982040
chr4	88343794
chr4	76979685
chr4	74439595
chr4	74401815
chr4	71870446
chr4	55181879
chr4	55094366
chr4	49659621
chr4	49652603
chr4	119341038
chr4	49650716
chr4	49109854
chr4	49109462
chr4	49107471
chr4	49105953
chr4	39611271
chr4	38312137
chr4	18211330
chr4	15893127
chr4	113656743
chr4	129596412
chr5	96691672
chr5	33436156
chr5	78525589
chr5	75013028
chr5	72143992
chr5	66602398
chr5	58423560
chr5	54830892
chr5	39256774
chr5	34180465
chr5	21459714
chr4	130948589
chr5	7794607
chr5	6222401
chr4	191044098
chr4	190861863
chr4	183899735
chr4	162477062
chr4	146951251
chr4	145892140
chr4	140871914
chr7	6866006
chr7	17980053
chr7	44052193
chr9	7756248
chr9	74526493
chr9	45729399
chr9	66494443
chr9	66493241
chr9	36324127
chr9	31519176
chr9	19409079
chr9	16060964
chr9	13427752
chr8	145688275
chr9	92316423
chr8	145638850
chr8	144363783
chr8	142884017
chr8	142416482
chr8	142402060
chr8	142216660
chr8	134247787
chr8	118452297
chr8	109085454
chr9	91604156
chr9	92989207
chr7	44060005
chr9	131017643
chr9	140657081
chr9	140655637
chr9	140022215
chr9	140013401
chr9	139137707
chr9	137208788
chr9	136687994
chr9	131843171
chr9	131038630
chr9	127420654
chr9	93049969
chr9	124855656
chr9	110514271
chr9	109515606
chr9	108304359
chr9	98585245
chr9	95553259
chr9	95239373
chr9	93970634
chr9	93518221
chr8	99057798
chr8	98643764
chr8	95078171
chr7	93800426
chr7	139910225
chr7	132766819
chr7	128595021
chr7	128116766
chr7	104624453
chr7	102920842
chr7	100662162
chr7	100492756
chr7	97601612
chr7	93790216
chr8	95043240
chr7	89809767
chr7	76637471
chr7	76595582
chr7	76097471
chr7	75115504
chr7	72628749
chr7	66594313
chr7	140884482
chr7	148204348
chr7	150784798
chr7	150929551
chr8	85919976
chr8	74205857
chr8	72763939
chr8	70746806
chr8	68492531
chr8	65063450
chr8	62007884
chr8	61816965
chr8	59465865
chr8	52530526
chr8	49862309
chr8	47829521
chr8	37854014
chr8	10767730
chr8	3569944
chr8	1978892
chr8	935181
chr7	155137347
chr7	152295919
chr4	15870627
chr4	5760708
chr19	863998
chr2	118578227
chr2	192798180
chr2	192059024
chr2	184408644
chr2	170217849
chr2	160057990
chr2	157918514
chr2	132272289
chr2	128321354
chr2	121832776
chr2	112642333
chr2	201578024
chr2	112641964
chr2	112641470
chr2	111977155
chr2	109275221
chr2	102239764
chr2	99797569
chr2	96676311
chr2	95729072
chr2	92269348
chr2	198492974
chr2	203037835
chr2	90392890
chr2	233192998
chr20	22293626
chr20	20805981
chr20	17837060
chr20	5467269
chr20	1099178
chr2	241453607
chr2	239335432
chr2	235320607
chr2	232526971
chr2	217363593
chr2	227637710
chr2	226141078
chr2	224171324
chr2	220360375
chr2	220083852
chr2	220042932
chr2	219969001
chr2	219083353
chr2	219033822
chr2	90390201
chr2	73964441
chr4	3491327
chr19	13266866
chr19	34269105
chr19	23869888
chr19	19627021
chr19	18401447
chr19	18392975
chr19	18303763
chr19	18111924
chr19	17887436
chr19	14152516
chr19	6926299
chr19	37157827
chr19	6675053
chr19	6661967
chr1	38061493
chr19	5330405
chr19	4831841
chr19	4540127
chr19	3985406
chr19	2391429
chr19	1180537
chr19	35352957
chr19	39211449
chr2	61677425
chr19	58011380
chr2	43629251
chr2	38265417
chr2	33141360
chr2	24732460
chr2	11295098
chr2	3622764
chr2	3044603
chr2	1217174
chr2	714591
chr19	55166633
chr19	39348200
chr19	55128555
chr19	49843750
chr19	49835039
chr19	48829366
chr19	48248789
chr19	47551964
chr19	45550929
chr19	45349032
chr19	42055902
chr20	32142943
chr20	37063939
chr3	51975833
chr3	88238903
chr3	75653912
chr3	66437506
chr3	66271447
chr3	61344288
chr3	59964916
chr3	57261695
chr3	57102815
chr3	56717168
chr3	44903363
chr3	98489325
chr3	40226798
chr3	38180224
chr3	32480609
chr3	30366308
chr3	9993079
chr3	3708668
chr3	893909
chr3	320082
chr1	249240546
chr3	101617844
chr20	37075403
chr3	172310096
chr4	3357182
chr4	2414018
chr4	1303214
chr4	493022
chr3	197121650
chr3	195808899
chr3	193689395
chr3	179601118
chr3	179375588
chr3	167098096
chr3	111834259
chr3	140730559
chr3	133144515
chr3	132136323
chr3	131450787
chr3	127494829
chr3	126630420
chr3	125461873
chr3	124503756
chr3	121771972
chr22	47000367
chr22	45351147
chr22	45131887
chr20	57033990
chrUn_gl000220	129314
chrUn_gl000220	127335
chr20	62870618
chr20	61077181
chr20	60914942
chr20	60596140
chr20	60489070
chr20	60379775
chr20	50211711
chr22	43659937
chr20	48616089
