Chrom	position
chr11	73967054
chr6	32145506
chr7	39740733
chr17	1620559
chr4	148605246
chr7	100728498
chr7	2996532
chr6	170863454
chr6	143718725
chr8	101733157
chr15	51520829
chr11	117468009
chr8	70858591
chr11	124940776
chr18	12420368
chr2	231281362
chr1	2493513
chr12	124866734
chr19	44617499
chr2	122457155
chr16	30066502
chr15	75230131
chr21	16594540
chr11	73088188
chr12	26451800
chr1	158119570
chr9	35477487
chr7	42024666
chr8	97247787
chr2	74007331
chr11	69500774
chr10	70825699
chr18	3593992
chr10	73698532
chr15	65175527
chr8	61816893
chr19	14492012
chr19	50528386
chr19	18613579
chr10	121031089
chr3	42054446
chr10	89622195
chr7	22654903
chr20	23314829
chr6	33129302
chr3	141944502
chr2	62443331
chr9	131645244
chr20	43238698
chr12	25062772
chr1	167632288
chr8	124934419
chr14	35806073
chr14	21081899
chr20	30326754
chr8	129961110
chr21	40721449
chr6	162453877
chr12	133614154
chr1	32166764
chr14	96567115
chr2	28668874
chr1	39456568
chr9	133710269
chr3	47422440
chr4	186064273
chr14	24559889
chr20	52740361
chr3	14693134
chr7	134117701
chr14	61570485
chr7	913157
chr1	150895166
chr16	68436369
chr12	53845756
chr3	156806596
chr10	26776669
chr9	98980721
chr20	37089032
chr13	48612218
chr22	21806310
chr17	16189378
chr10	80844228
chr17	42581038
chr1	110881068
chr5	75333943
chr18	57069888
chr1	186071832
chr7	150102483
chr6	121722019
chr1	150586036
chr1	71547065
chr19	17220983
chr7	155744602
chr10	121423530
chr15	82554394
chr5	139701661
chr1	209833423
chr2	12147579
chr3	48264383
chr19	40645939
chr8	125488645
chr13	91370285
chr20	1793936
chr16	87417549
chr11	85659105
chr8	99956946
chr2	153032551
chr5	90458742
chr20	43991716
chr19	41304746
chr3	45026005
chr1	211688856
chr4	144434759
chr17	28627286
chr7	12251003
chr22	29196739
chr1	241774550
chr6	3368045
chr2	219094799
chr22	32534345
chr16	88837619
chr16	81565298
chr1	51769734
chr16	11457225
chr1	175490945
chr5	139986801
chr4	141294807
chr1	230645496
chr8	48437793
chr2	226925174
chr11	64864268
chr18	56737849
chr12	104680810
chr16	82116473
chr17	39636623
chr11	128326688
chr1	183439442
chr1	203331212
chr11	48329508
chr6	68599343
chr2	199770925
chr15	69087874
chr13	111610129
chr3	42743102
chr10	96122803
chr20	30153730
chr5	36689089
chr3	58292276
chr9	95878474
chr19	12894694
chr3	187529544
chr2	25896796
chr20	52790795
chr2	9782912
chr15	79012334
chr6	107780871
chr6	106773608
chr22	22777201
chr16	58163492
chr17	9990830
chr12	94241805
chr7	4723156
chr1	222131743
chr10	105004589
chr4	148975652
chr8	28479935
chr19	4267773
chr19	18789044
chr3	49282213
chr5	90562364
chr7	45964152
chr6	18156052
chr10	89922865
chr10	18916631
chr17	79826144
chr1	42501713
chr6	161828692
chr3	196344429
chr6	2791673
chr7	56074985
chr5	96271637
chr1	38326190
chr7	100136995
chr19	7273044
chr15	45747335
chr19	12405637
chr5	72950488
chr2	15003762
chr10	102242522
chr1	40505801
chr12	12878404
chr2	204579085
chr17	55945593
chr7	135650486
chr4	15756100
chr1	182993142
chr7	47596243
chr19	47288149
chr2	241500724
chr6	42340503
chr20	49126631
chr4	88894954
chr1	23883300
chr22	29877179
chr10	3264431
chr22	32615289
chr6	34302992
chr15	72963297
chr6	149969828
chr8	27157417
chr3	114865029
chr11	71781116
chr1	218879365
chr15	50474603
chr16	18813061
chr11	66085914
chr2	113403477
chr15	40226131
chr5	180650205
chr20	29848352
chr2	72178003
chr15	68261510
chr5	95667126
chr2	37843671
chr8	105681403
chr1	119384292
chr12	53835204
chr17	33905684
chr9	140095549
chr10	75666493
chr20	10485715
chr20	39637061
chr9	110469886
chr5	60625810
chr6	51954745
chr1	235116435
chr6	138914551
chr12	46824389
chr1	183249199
chr14	95781124
chr22	24921503
chr17	27309562
chr19	54606333
chr19	2163704
chr5	37888715
chr11	12257244
chr19	39936184
chr3	135794853
chr2	190935323
chr1	158065710
chr14	35871614
chr6	161780752
chr12	92538060
chr13	31377190
chr2	120184534
chr14	59583873
chr3	114866755
chr7	100181555
chr12	125241480
chr3	127678925
chr3	39222418
chr2	75938015
chr19	13858697
chr8	95271403
chr10	6969698
chr10	120924985
chr6	25963038
chr6	147179012
chr20	49057442
chr15	90709067
chr20	3801491
chr19	58193197
chr7	101500147
