Chrom	position
chr20	10219663
chr3	186806718
chr7	50450388
chr17	5282191
chr15	49621029
chr1	65265829
chr4	112285854
chr11	27363210
chr5	135930482
chr19	47743540
chr8	33485020
chr9	95313353
chr6	142301927
chr1	109494055
chr1	110407481
chr17	47492634
chr2	39779188
chr1	154558957
chr9	132582197
chr10	47461361
chr7	155070188
chr9	133149534
chr3	28348954
chr10	43455647
chr2	73177562
chr15	39976802
chr2	99154960
chr3	184711893
chr8	85177812
chr15	60478988
chr2	119679225
chr6	3162977
chr20	297418
chr15	64460465
chr15	67863673
chr16	22437227
chr16	2340991
chr2	161414675
chr18	14179082
chr3	12663954
chr9	120877601
chr9	105244434
chr7	72829548
chr17	74671422
chr7	44019192
chr3	25790051
chr11	116773041
chr1	31938621
chr12	118136087
chr12	9648106
chr1	11859444
chr22	50783617
chr4	4542085
chr4	1712697
chr6	53548206
chr10	35337389
chr5	174045652
chr17	75033822
chr3	52685968
chr8	27592442
chr6	70956092
chr2	38536219
chr10	92591742
chr8	12659386
chr1	109283335
chr2	28870339
chr2	32011032
chr12	576316
chr19	4124314
chr2	55419931
chr19	3360657
chr2	42810513
chr1	112466356
chr6	73523693
chr22	50600281
chr3	196632640
chr1	32886704
chr3	57756257
chr14	105167995
chr12	57431133
chr8	90082809
chr12	53268222
chr3	9890630
chr18	268067
chr3	161221463
chr1	230426719
chr15	65611169
chr14	105415180
chr9	114611242
chr18	9102688
chr6	34154881
chr16	21502135
chr9	136866286
chr16	21284044
chr6	41319032
chr15	55319155
chr8	79765500
chr6	1311842
chr22	39399714
chr6	169724973
chr5	181169885
chr10	5692842
chr21	28885305
chr22	23913945
chr9	109321142
chr3	58433673
chr2	86623818
chr8	54022405
chr15	34437842
chr16	57447450
chr1	16644741
chr2	19358494
chr5	145835486
chr2	17539038
chr1	25338451
chr11	124839630
chr1	26408722
chr6	138988246
chr17	43983794
chr17	42833377
chr17	42536126
chr11	64166180
chr22	50508267
chr1	65254720
chr12	123602158
chr4	128809606
chr11	61581529
chr11	61567391
chr19	36128084
chr13	40771260
chr20	45791928
chr13	76992118
chr11	93197613
chr11	117178737
chr4	183407246
chr7	91880769
chr19	12790232
chr13	21671105
chr9	98119042
chr6	146857688
chr6	143450710
chr13	30445847
chr13	32586403
chr11	73779512
chr20	50790827
chr5	108728252
chr21	37365989
chr9	92809272
chr20	37694035
chr11	113875754
chr10	124916722
chr6	110982066
chr10	132185748
chr17	17303789
chr1	89995205
chr3	48241174
chr20	33489872
chr19	51704262
chr7	66921113
chr19	55180284
chr19	55408138
chr19	56595387
chr2	10689948
chr10	98446934
chr1	99850125
chr10	133261473
chr3	47475719
chr17	38297036
chr17	30824587
chr4	119454751
chr17	36703996
chr19	39480879
chr7	128343843
chr17	63523149
chr3	43690768
chr9	88389212
chr1	222815152
chr5	134411920
chr13	113584435
chr11	6603619
chr20	35092856
chr20	34825819
chr5	1524254
chr17	19977933
chr6	26743501
chr9	4666515
chr2	219206657
chr3	142578746
chr6	10747788
chr2	241636552
chr2	182716286
chr2	226836059
chr3	72848361
chr22	30802946
chr3	125357320
chr15	75712873
chr2	241610354
chr6	13712226
chr6	31660682
chr16	19086712
chr9	14693432
chr22	29603622
chr2	209771699
chr2	197435100
chr9	4298012
chr1	193059427
chr1	3625538
chr16	2983862
chr3	126982648
chr19	39540179
chr11	28110296
chr17	36464103
chr4	118033786
chr13	99606888
chr6	125749332
chr11	35943899
chr19	45496513
chr1	1512044
chr8	143617700
chr4	109729848
chr2	201780893
chr6	122610389
chr3	44861931
chr2	237692624
chr11	18394644
chr13	97110062
chr7	138981871
chr5	134371372
chr11	17351741
chr2	199850812
chr13	113297060
chr3	44761698
chr4	107931543
chr20	35954551
chr15	71115386
chr11	43311971
chr11	62805527
chr13	52194473
chr13	52159440
chr17	41666057
chr17	41786304
chr11	65122273
chr9	137423219
chr13	50124813
chr17	42609540
chr13	49848052
chr11	66052146
