Chrom	position
chr12	31749438
chr2	46967357
chr15	92804133
chr14	31229897
chr2	12456609
chr4	38667416
chr21	38831699
chr1	212608713
chr2	46299803
chr3	196055980
chr9	19161912
chr3	101686868
chr19	10672736
chr18	9782585
chr13	42720565
chr6	7698324
chr9	107480569
chr4	74374632
chr16	87779299
chr13	110094726
chr7	106568964
chr21	44968260
chr5	43432692
chr4	40621835
chr3	58335350
chr14	35374538
chr2	190528859
chr3	194089760
chr12	132866540
chr12	70053173
chr22	50539812
chr2	177263507
chr2	177164787
chr4	162497791
chr8	24293999
chr17	78592654
chr22	35301646
chr6	13407876
chr8	116058430
chr7	74610426
chr6	45446011
chr3	126261161
chr5	36657728
chr8	20200972
chr4	73704747
chr14	73943273
chr1	201154585
chr11	8057197
chr15	40593954
chr11	43920905
chr2	101308935
chr6	146857676
chr9	33290329
chr1	6260154
chr8	47369590
chr17	41689403
chr10	71888860
chr11	69918940
chr3	25784322
chr4	138242486
chr12	47770241
chr5	121977216
chr5	36373604
chr16	76398
chr12	26274892
chr1	31111420
chr3	4905009
chr3	72938747
chr3	45842200
chr20	49768457
chr15	77420693
chr1	223137586
chr12	89756847
chr9	123955183
chr5	82641505
chr11	66971020
chr2	161160971
chr7	5532001
chr14	101475888
chr7	99408884
chr1	154608292
chr2	218806544
chr6	87731997
chr17	35063750
chr17	38415654
chr14	30403990
chr13	21069744
chr1	192806058
chr13	43072624
chr15	67024579
chr19	8540766
chr20	23361978
chr7	16668236
chr1	230106051
chr12	110826890
chr10	21724803
chr6	26596862
chr16	53776277
chr2	54670024
chr4	111642176
chr6	13303044
chr8	123167696
chr1	2234720
chr22	28799401
chr2	27010983
chr17	50933607
chr5	53560581
chr12	69900861
chr1	234601813
chr9	112531023
chr9	33836420
chr2	8598485
chr11	63872290
chr10	122469179
chr3	4712266
chr4	81406024
chr2	64273651
chr19	18479060
chr12	121924035
chr2	201406555
chr19	13798188
chr2	28396572
chr2	69178407
chr12	89769364
chr12	104671844
chr2	119122861
chr5	59093427
chr6	85644212
chr1	154405283
chr8	97576759
chr13	113916363
chr11	1299295
chr15	92802195
chr11	16002060
chr5	143051741
chr21	42199638
chr5	44808869
chr12	93244335
chr4	38621166
chr1	27097650
chr2	238137387
chr18	12838248
chr7	43363148
chr12	130916346
chr5	179622828
chr14	73786000
chr7	75945899
chr1	91201403
chr1	28235401
chr2	224357516
chr11	35927965
chr1	167492057
chr17	45229159
chr8	23074803
chr6	20573123
chr3	42760661
chr7	77538824
chr10	63491695
chr5	138543212
chr1	151611522
chr20	50284036
chr8	27333489
chr1	234684399
chr11	67529619
chr6	118980259
chr4	77158147
chr12	131860919
chr15	91943183
chr12	66107655
chr1	1308246
chr3	58471612
chr18	9779803
chr3	72625845
chr13	45253641
chr16	83994198
chr8	125513254
chr18	23636022
chr5	124963781
chr14	68950336
chr2	67650946
chr15	66702195
chr1	29793258
chr4	8159052
chr17	79840791
chr19	46546658
chr5	145681850
chr1	109162503
chr6	3592581
chr3	4982018
chr8	9002739
chr2	144704055
chr12	53676172
chr10	16817799
chr16	25005873
chr16	85525064
chr16	8928546
chr2	189928024
chr10	73875088
chr20	4791341
chr2	43018469
chr10	35090696
chr11	69444726
chr11	112321995
chr20	31610909
chr19	52269612
chr7	106914216
chr13	50230575
chr8	119655318
chr9	2158524
chr15	48878089
chr2	85705775
chr16	84618237
chr6	17907883
chr3	72270209
chr4	8594817
chr6	134109745
chr2	215620215
chr15	55221372
chr6	16334855
chr8	57108988
chr12	54304347
chr9	89388425
chr17	73340266
chr14	105352373
chr17	27245087
chr2	74477177
chr14	77033378
chr11	32830591
chr12	27549935
chr2	43293972
chr3	170233606
chr4	139610991
chr1	203537050
chr6	36667241
chr20	23225580
chr11	57434864
chr14	75299182
chr16	67563863
chr2	189579778
chr10	13723528
chr8	94065956
chr5	127723803
chr6	27134569
chr20	371975
chr2	199738935
chr10	70302532
chr3	58051397
chr19	7784206
chr7	151227191
chr20	54132975
chr8	125233005
chr1	193111786
chr3	130821153
chr11	6703709
chr8	130519158
chr5	8176307
chr18	21699737
chr7	5397301
chr3	141894980
chr9	36411597
chr9	109733826
chr9	107548539
chr8	103158293
chr1	171366245
chr6	11143929
chr3	152100697
chr8	74966148
chr15	63247355
chr6	21306072
chr1	219089150
chr12	50572453
chr12	51993332
chr5	126676326
chr7	56033748
chr16	30814368
chr2	152421781
chr20	50474548
chr10	80498970
chr15	40902675
chr8	93894343
chr3	52455424
chr2	178112281
chr6	7661572
chr13	113300107
