Chrom	position
chr2	90381382
chrUn_gl000226	6795
chr3	196625722
chr17	22020738
chr4	49123041
chrUn_gl000228	118366
chr1	565344
chr1	569406
chr4	49099738
chr4	49151473
chr9	140222851
chr4	49659603
chr21	10819592
chr5	134263456
chr8	86781851
chr2	90383301
chr4	49094834
chr10	42389491
chr16	46385992
chr16	46421839
chr4	49155263
chr5	17526830
chr10	42364769
chrUn_gl000212	40875
chrUn_gl000226	9006
chr1	121485388
chr16	46396285
chr2	90391397
chr10	42380268
chr2	89879140
chr21	10856856
chr2	90388095
chr16	46394608
chr16	46393412
chr2	90390209
chr2	90378337
chr10	42380895
chr16	46396760
chr4	49104594
chr2	90392901
chr2	90388768
chr13	36477388
chr3	196625672
chr10	42386046
chr10	42360739
chr7	61794619
chr6	145208118
chr17	2083062
chr16	14107438
chr2	90392373
chr4	49110478
chr13	97963220
chr2	164929886
chr16	46393016
chr1	32095051
chr17	25263904
chr16	46435361
chr16	46434042
chr2	90393270
chr4	49122222
chr20	51787933
chr2	186925796
chr16	46422633
chr9	124365605
chr3	196625664
chr2	189360776
chr2	89869799
chr9	92451628
chr22	26092854
chr20	19731791
chr15	36229780
chr4	49156494
chr2	90386213
chr3	139807105
chr17	71701856
chr2	43496378
chr8	86563568
chr9	3549502
chr8	76087314
chr2	6864470
chr10	97075503
chr7	100761855
chr2	159078471
chr8	81079676
chr14	101250499
chr4	25958002
chr3	99622859
chr14	100890001
chr2	9079802
chr10	98938001
chr15	31309765
chr7	61791784
chr4	49120940
chr10	21245908
chr7	137130996
chr5	65713932
chr20	46937350
chr10	27618075
chr5	173126347
chr7	101860420
chr8	90999515
chr1	57747269
chr11	36274947
chr2	158900284
chr6	87268136
chr11	43938360
chr20	50531511
chr2	90379158
chr17	22261860
chr2	178395434
chr9	16422241
chr1	25570614
chr4	185468810
chr11	116255346
chr5	89008152
chr6	69583355
chr8	99571858
chr1	23864280
chr2	191335365
chr13	101162601
chr13	91422751
chr3	43806173
chr5	9714409
chr1	25006424
chr4_gl000193_random	90892
chr8	125053709
chr13	53648472
chr2	12409771
chr18	47192654
chr13	102632298
chr16	11223332
chr10	72582300
chr12	12857706
chr1	95221513
chr10	78666126
chr16	46403779
chr7	88715070
chr6	43909951
chr16	46423834
chr1	208233091
chr11	117632934
chr16	46409465
chr2	192186773
chr16	47977410
chr5	86923366
chr5	110584485
chr1	93544615
chr15	49756907
chr10	73595914
chr5	148065304
chr22	35921657
chr12	116814509
chr3	193463139
chr1	94747359
chr4	139837043
chr3	52065161
chr2	47925796
chr19	17902646
chr17	59458316
chr17	79305492
chr1	237911641
chr1	109229418
chr2	90384144
chr20	34046410
chr7	14938928
chr17	48681996
chr1	176816354
chr17	59554636
chr17	77821982
chr16	5657452
chr3	139905420
chr1	69191199
chr15	49090649
chr4	91249825
chr6	145358516
chr5	79620922
chr8	95071713
chr17	21261147
chr2	27075798
chr3	130544695
chr5	14400353
chr5	111010009
chr22	19984334
chr3	152933971
chr12	58176512
chr9	101932451
chr9	101481584
chr2	24340976
chr11	112136978
chr5	174115656
chr1	82067130
chr1	82170111
chr4	99670601
chr5	176220939
chr17	28929257
chr1	83295414
chr22	26142097
chr15	39866215
chr22	26176861
chr12	114226247
chr5	128410754
chr22	36034685
chr8	102486653
chr15	49530671
chr5	126303672
chr15	52093865
chr5	178758819
chr1	87835578
chr2	27631115
chr5	83567504
chr13	50940819
chr3	139113043
chr2	27301203
chr1	89450915
chr11	118286596
chr13	59677268
chr9	100243245
chr3	128130611
chr22	27776962
chr2	241849271
chr5	141559747
chr3	139256387
chr13	51467678
chr6	44189470
chr1	81694833
chr2	28062123
chr3	139850964
chr17	19091424
chr4	101030245
chr22	36383668
chr15	37664340
chr5	5615905
chr3	139738959
chr18	46247903
chr5	5542977
chr5	5524711
chr6	145585037
chr12	116587968
chr4	96546427
chr5	14595485
chr2	109061781
chr22	24846753
chr22	24838169
chr22	28745225
chr9	113860632
chr4	97698280
chr9	113910830
chr17	27375709
chr9	113912677
chr6	45369420
chr15	33212400
chr17	27300695
chr7	95471040
chr5	15753245
chr2	26872368
chr3	148533259
chr3	132983928
chr10	84443956
chr2	26174184
chr10	88020536
chr10	86051363
chr9	113516381
chr18	47009730
chr8	93746900
chr10	88106286
chr8	97841447
chr4	94338031
chr1	76472080
chr11	115619102
chr8	8182720
chr4	94959553
chr1	66956709
chr22	29833518
chr5	15484028
chr1	66960416
chr1	77034751
chr2	26189652
chr2	189191954
chr1	65341007
chr15	31593865
chr5	173204337
chr12	116568437
chr5	16169861
chr15	35604777
chr9	102594695
chr11	112649417
chr6	149557981
chr2	106269943
chr7	48124706
chr8	92901360
chr15	45462033
chr7	40761148
chr13	52306116
chr11	116323310
chr11	116331024
chr22	22219560
chr6	44632720
chr11	116289576
chr6	143050329
chr10	81161496
chr2	106134488
chr5	142251959
chr22	23455348
chr1	78414858
chr1	74841300
chr15	43698524
chr1	67386500
chr2	30200388
chr18	49408000
chr8	2027738
chr1	64518448
chr10	82204645
chr9	103191769
chr22	30787283
chr15	34898909
chr2	241668486
chr15	46535269
chr14	101249160
chr10	105493057
chr12	76175545
chr8	12945352
chr14	70619613
chr7	69736798
chr3	184204562
chr11	9069739
chr8	12785188
chr9	128845152
chr18	26320365
chr5	146096438
chr14	72178403
chr1	35975372
chr17	51576845
chr3	183281565
chr8	59738717
chr11	91441465
chr12	109969438
chr6	116089861
chr12	76408047
chr11	10051544
chr11	10088196
chr11	10416492
chr17	53517926
chr5	124817717
chr6	115860888
chr6	69663613
chr8	56827579
chr14	69480726
chr14	69414752
chr1	33078033
chr14	69404864
chr1	32960001
chr11	7484186
chr5	51198560
chr2	45356008
chr12	72259421
chr11	93971930
chr2	44037765
chr12	110139119
chr21	23719039
chr2	44171407
chr12	110094648
chr20	9551501
chr1	38663477
chr5	77283418
chr1	38230143
chr2	44793361
chr9	127888481
chr4	77873985
chr14	75508957
chr17	49050106
chr21	10574510
chr11	2699752
chr6	119518105
chr6	119517247
chr6	119515102
chr14	75036307
chr8	60194975
chr6	68500653
chr11	3177231
chr6	119449620
chr14	74722196
chr11	3396965
chr11	92418445
chr11	4065455
chr4	77489574
chr7	69995413
chr5	124816776
chr12	109742398
chr6	113011953
chr8	14870636
chr7	73130031
chr1	29743259
chr8	15466906
chr6	113734102
chr12	108959937
chr14	62235172
chr5	163764177
chr12	108843498
chr3	194459443
chr8	42348307
chr6	72842831
chr2	49167881
chr11	19585840
chr6	112962320
chr20	56242689
chr1	28143880
chr11	83575874
chr20	14896155
chr3	195271589
chr1	27916768
chr17	57353201
chr11	19814212
chr2	177442046
chr20	51696658
chr20	14903390
chr17	57502926
chr18	8791433
chr20	51575802
chr11	20079372
chr14	63380933
chr1	30160810
chr6	114879545
chr7	72249339
chr7	91258281
chr17	54920170
chr2	47075698
chr14	68440331
chr11	12284728
chr14	68206107
chr12	109490334
chr2	91762490
chr6	70390379
chr20	57145663
chr11	87080294
chr6	70743895
chr2	178106701
chr14	65786624
chr20	56853241
chr8	49491021
chr6	114075676
chr11	13320483
chr14	65262866
chr4	64099640
chr20	56614828
chr3	192602963
chr9	130622645
chr2	90371837
chr1	30857364
chr2	90372891
chr11	14471089
chr8	49556205
chr20	14382567
chr14	64343801
chr18	26315971
chr10	134607435
chr2	157432675
chr2	38663160
chr8	80200317
chr5	114530544
chr3	160287823
chr13	70391669
chr1	54494849
chr1	54791872
chr9	126872786
chr5	32590234
chr5	32490076
chr1	54956496
chr2	186933378
chr2	38209465
chr5	143569681
chr8	80107863
chr2	186256497
chr12	111616053
chr10	116484675
chr12	65700673
chr4	87551958
chr2	185786631
chr5	125851193
chr2	185557056
chr8	79450945
chr8	79341761
chr5	169981985
chr20	5602139
chr2	159908775
chr10	120370266
chr13	69773096
chr7	132372840
chr18	38506795
chr17	38617088
chr2	33062202
chr2	102271540
chr1	60746132
chr3	156198981
chr1	60213330
chr14	104625310
chr10	108241546
chr10	108326808
chr8	82249904
chr1	59340095
chr18	40538569
chr5	126017840
chr11	108810045
chr17	38607840
chr11	108718146
chr18	38824933
chr20	3799092
chr2	37187661
chr21	47297850
chr6	137049329
chr3	158057638
chr11	107827457
chr3	158201693
chr21	46991352
chr4	89023377
chr10	112548859
chr10	112551044
chr14	101593700
chr5	110808420
chr17	40125049
chr10	120375699
chr1	50808399
chr3	167761784
chr5	168411400
chr5	41230529
chr14	89370639
chr5	168569415
chr14	89017892
chr17	46080363
chr17	46081110
chr2	160982573
chr2	43084607
chr8	72408555
chr6	126167640
chr20	8651736
chr6	126146754
chr8	72212509
chr2	99525927
chr14	81051141
chr9	124260546
chr5	168403617
chr1	42180919
chr2	161082355
chr21	27926924
chr2	43478413
chr5	43151266
chr5	168371143
chr1	41921627
chr10	133113800
chr7	118818132
chr7	118923592
chr9	126440953
chr6	66908130
chr11	94465420
chr14	89674662
chr21	30456878
chr2	184904379
chr21	36187001
chr1	50697074
chr11	103530129
chr21	39512512
chr21	39073207
chr18	34850203
chr5	37054641
chr18	34092115
chr8	77363101
chr5	37720773
chr1	49514066
chr18	34026187
chr10	121729930
chr20	7075246
chr18	33958365
chr8	76638575
chr20	8490631
chr5	144018502
chr18	33679504
chr1	48387782
chr18	33615422
chr4	85245874
chr9	123425026
chr5	38672597
chr1	48053910
chr8	75739633
chr18	32781689
