Chrom	position
chr19	48322145
chr9	15422640
chr6	43725304
chr4	151099447
chr3	170222176
chr7	10940499
chr9	15511159
chr10	101353917
chr18	3247757
chr15	59657498
chr16	66873465
chr11	69297491
chr3	196632512
chr4	77076264
chr1	163321832
chr11	125887641
chr12	54304473
chr1	234373529
chr16	11916121
chr3	9363062
chr11	70398708
chr1	205211721
chr19	3500679
chr1	207321551
chr14	22556528
chr19	44753491
chr9	129777417
chr15	64163297
chr15	74546371
chr16	87779295
chr1	186375632
chr19	35757985
chr11	120344532
chr1	165393197
chr14	103607216
chr1	30756760
chr19	58519845
chr4	2413210
chr8	144508845
chr7	92133859
chr1	203626673
chr6	43635830
chr19	15418987
chr1	35268732
chr2	86440878
chr6	142147149
chr8	89984452
chr7	105012701
chr11	64878864
chr2	96537245
chr12	51369146
chr12	109052546
chr6	7313391
chr19	6801730
chr10	72297379
chr1	198681987
chr6	17600312
chr20	63658418
chr16	2868238
chr19	10566166
chr12	57936121
chr17	78592541
chr2	109214234
chr4	83034894
chr20	23361895
chr19	13846731
chr10	11178876
chr8	141036235
chr1	235012062
chr22	20858909
chr5	96935213
chr6	41936389
chr1	205288442
chr16	58129413
chr12	4321081
chr7	140253091
chr9	129863315
chr2	28359433
chr3	15271990
chr3	157175045
chr1	234963389
chr16	50282173
chr10	93702554
chr9	129888683
chr7	2400127
chr11	118316796
chr3	40309566
chr11	67317745
chr13	77327117
chr1	44775569
chr7	38233174
chr2	55419949
chr9	33290342
chr6	2543023
chr11	121417345
chr15	75108701
chr16	4767271
chr9	95462766
chr10	58385273
chr19	4723970
chr2	191020413
chr2	135052615
chr1	165871562
chr5	61408806
chr8	22715883
chr7	97872239
chr10	94299657
chr1	214603001
chr1	9426496
chr8	144078549
chr15	55408492
chr17	68019982
chr19	11280089
chr17	59786680
chr2	231545691
chr12	9650903
chr14	56579671
chr7	158830014
chr2	32011047
chr12	31896826
chr17	45226243
chr9	19049222
chr19	5680637
chr20	43950327
chr1	21334412
chr2	27081414
chr19	8569275
chr20	4038170
chr17	43483725
chr19	2085484
chr20	38304085
chr8	101137273
chr1	166876275
chr20	1466967
chr15	70492979
chr3	195260030
chr2	203238904
chr8	124474734
chr2	227325142
chr16	75075399
chr22	43187624
chr14	76961906
chr1	225445079
chr16	1971990
chr16	690454
chr10	14954072
chr19	41310383
chr8	30723084
chr5	172772544
chr13	30617739
chr1	159910606
chr15	89334911
chr11	124954149
chr2	240565969
chr9	126986023
chr10	103471384
chr12	110502135
chr2	24047599
chr7	40134692
chr1	113905031
chr13	41132937
chr12	117063442
chr22	37307261
chr7	20220081
chr16	57544433
chr11	62856046
chr19	2096343
chr14	69767903
chr9	126471189
chr2	54571133
chr12	11799062
chr13	77329345
chr21	45288057
chr15	69759189
chr19	41327696
chr5	134503429
chr2	75710873
chr11	47408330
chr8	94719830
chr18	35241079
chr17	57850134
chr2	23927264
chr1	113871777
chr16	57690018
chr7	73718160
chr17	42562127
chr18	58887775
chr15	73697229
chr6	30463780
chr11	34105480
chr11	103109436
chr14	60753934
chr18	268100
chr5	32313033
chr3	4831319
chr3	13414451
chr7	77351791
chr12	120087278
chr19	33260905
chr11	44862381
chr11	33893869
chr8	143026408
chr10	71748976
chr6	97283170
chr17	17237265
chr1	160540358
chr3	15292255
chr12	110743001
chr4	183407223
chr19	43562901
chr14	92040162
chr1	181159822
chr15	94584920
chr19	36573287
chr20	23358098
chr5	141605851
chr21	35026896
chr12	6953929
chr9	127783291
chr3	119463668
chr19	7349070
chr1	25034144
chr1	221708225
chr22	29167589
chr4	48831097
chr6	133983647
chr19	45792934
chr22	28674252
chr6	131628319
chr1	172746462
chr7	813037
chr6	26171987
chr18	54269526
chr15	60479215
chr15	39427351
chr11	65499050
chr3	167941761
chr10	30027485
chr19	17523437
chr5	43515078
chr1	1375292
chr1	199041708
chr6	26189093
chr9	91164883
chr4	82891260
chr11	119095561
chr2	120695845
chr21	35049241
chr1	231460814
chr22	37675130
chr5	43483921
chr5	40756045
chr20	35616169
chr17	63699441
chr5	124649868
chr21	29073765
chr11	46700685
chr11	11416730
chr12	10674174
chr3	172107193
chr4	103019553
chr20	49188503
chr19	54210906
chr6	35468314
chr20	5950552
chr6	35728236
chr19	45791188
chr6	30717578
chr3	46987912
chr1	77683541
chr10	43418276
chr15	75350096
chr20	49038175
chr9	99819542
chr16	10944437
chr14	24188936
chr8	141002353
chr2	239267584
chr6	146771167
chr19	9621201
chr3	126911639
chr19	16086590
chr2	127065045
chr19	44722311
chr15	49620989
chr22	32723779
chr19	39436042
chr16	29746127
chr1	233113119
chr14	35403916
chr11	59810847
chr22	41604169
chr6	149718129
chr1	182259553
chr1	206563203
chr22	28955994
chr4	2009251
chr10	30529700
chr16	87780861
chr15	70448073
chr14	91229930
chr1	156127349
chr5	176448337
chr4	184734254
chr12	46218188
chr13	98476679
chr16	89115414
chr9	114373189
chr17	58352236
chr17	2814776
chr21	43728798
chr2	178414850
chr12	48852240
chr2	43210767
chr10	102394100
chr6	83193334
chr11	61161447
chr19	5139397
chr12	121650043
chr1	201896086
chr6	108261325
chr20	31836324
chr2	128473360
chr19	45817354
chr19	10554166
chr7	66921179
chr7	98133392
chr5	142357116
chr21	36320198
chr3	9749971
chr11	14765379
chr1	2301225
chr12	89733799
chr13	99046443
chr17	17403996
chr12	82358431
chr2	12057620
chr20	1435057
chr2	84459334
chr11	118436342
chr10	1254089
chr1	246782646
chr4	122578582
chr10	12068737
chr6	35297778
chr17	51121066
chr17	27544767
chr15	41283965
chr4	54064593
chr6	137155924
chr5	109657021
chr2	196160296
chr6	14452839
chr9	99058116
chr1	11740978
chr12	76558982
chr19	6675038
chr1	206557223
chr20	50338955
chr2	20424980
chr6	160462663
chr20	63568002
chr7	100612250
chr11	65574417
chr6	52984447
chr1	8858297
chr10	6473635
chr1	146035680
chr6	30682704
chr9	134404129
chr16	71808965
chr6	43383906
chr7	74217830
chr1	175023445
chr15	43777512
chr11	67024689
chr11	57741385
chr3	141498992
chr16	78099562
chr16	58426302
chr5	38453724
chr2	196240388
chr10	67884548
chr9	129626221
chr6	137034085
chr16	67227135
chr12	108633862
chr13	48562480
chr16	46390586
chr8	129582232
chr17	45229179
chr11	68472220
chr15	64430475
chr5	34915604
chr3	72100903
chr1	26693148
chr19	36115081
chr2	112706435
chr3	44439932
chr10	43455636
chr16	85055609
chr1	9239851
chr9	127519503
chr7	133082279
chr5	141619169
chr10	79138006
chr5	127030716
chr16	53518900
chr12	67630932
chr11	57792391
chr15	69721590
chr17	1723255
chr2	27628975
chr20	47501924
chr2	197199078
chr8	19817305
chr16	25258253
chr22	17087906
chr10	103908478
chr16	30458901
chr11	65084123
chr22	40044755
chr16	88701107
chr3	15647780
chr19	10759739
chr11	14499821
chr9	135939565
chr11	121292556
chr17	77881721
chr1	25998299
chr13	45329858
chr3	51686671
chr1	114780783
chr1	161069945
chr13	31039447
chr6	53548097
chr1	24322404
chr12	123436670
chr3	189324876
chr19	12777751
chr16	70404516
chr19	8487593
chr20	4822712
chr1	169368160
chr2	159712421
chr2	232315754
chr12	53676308
chr1	27914553
