Chrom	position
chr6	135323343
chr4	78692127
chr1	164712421
chr12	113649443
chr10	61765798
chr16	88491837
chr10	92756445
chr7	73886258
chr2	6894065
chr5	56123947
chr17	28865483
chr12	89393857
chr9	133869851
chr3	138875939
chr10	50550513
chr16	88497949
chr6	37667677
chr8	23494324
chr1	47181356
chr6	42017298
chr3	98583920
chr1	92544891
chr12	32005675
chr21	24272659
chr12	108700299
chr16	88992649
chr17	28173227
chr16	113615
chr11	95153548
chr19	48878907
chr22	20025572
chr15	74610591
chr11	33944925
chr5	178449334
chr5	140611306
chr7	107836536
chr5	154654099
chr2	69799152
chr4	184684984
chr1	28884056
chr14	54754879
chr1	21905160
chr12	112351350
chr2	191837012
chr3	72144929
chr12	54295891
chr3	125433281
chr2	11968261
chr12	104467576
chr6	16270487
chr22	42462278
chr6	16031452
chr21	14753978
chr14	104159006
chr6	111843770
chr7	39810394
chr7	132489957
chr1	179047169
chr9	116465306
chr12	117042461
chr6	70337663
chr3	143085209
chr16	85535589
chr1	87180321
chr10	97789135
chr15	62094625
chr12	69624185
chr7	44081384
chr2	72543765
chr3	134496620
chr4	138671722
chr3	38724274
chr11	8206538
chr2	48265336
chr2	144441886
chr15	64695717
chr16	84952896
chr5	173839441
chr13	28408706
chr9	125285050
chr10	46001458
chr5	108531625
chr10	31972683
chr19	8418302
chr1	236913884
chr22	39452878
chr2	173224092
chr1	225928625
chr3	44518386
chr1	65293205
chr2	170263857
chr1	162372941
chr10	120145359
chr2	8615976
chr8	18122860
chr22	30216890
chr9	133004324
chr17	44288545
chr12	132471340
chr9	110371586
chr4	123349574
chr14	31059766
chr11	59707046
chr6	37302274
chr11	102342148
chr3	194003349
chr9	132799252
chr20	5675658
chr2	159135635
chr12	92403902
chr6	146876704
chr5	1067875
chr12	1304482
chr2	68121213
chr2	68135691
chr19	15844674
chr5	72597818
chr12	51395809
chr11	2303785
chr1	40634133
chr11	59960639
chr16	89004304
chr9	129069535
chr21	34908646
chr1	57218918
chr17	13510312
chr15	74954675
chr3	5429031
chr15	74389710
chr1	38915564
chr3	72289150
chr5	112548411
chr17	58492871
chr8	26391218
chr10	45470772
chr20	57410253
chr5	86527032
chr9	73024876
chr5	135134250
chr8	37673782
chr3	149085925
chr17	11908929
chr10	73456417
chr1	114380201
chr16	11105207
chr10	11178753
chr11	62042180
chr1	21632387
chr17	78666053
chr10	12266016
chr6	160101649
chr5	76658155
chr2	61288233
chr12	26846190
chr4	1883106
chr14	23112879
chr12	75893092
chr10	84293858
chr11	16857419
chr7	138257768
chr9	114239093
chr2	168976389
chr15	65805301
chr11	114082940
chr11	5151883
chr6	119137342
chr1	206847671
chr7	117792352
chr8	95093327
chr3	197444426
chr6	49646511
chr10	30821451
chr1	113914425
chr3	13546946
chr7	50497178
chr16	70428390
chr21	46320606
chr19	11560591
chr1	160990015
chr17	61175498
chr14	55384030
chr6	144886876
chr9	97051981
chr3	155131273
chr16	85382161
chr12	122155952
chr2	233091753
chr10	6920546
chr11	69905776
chr5	95934621
chr10	29009667
chr1	44036115
chr3	193660895
chr4	48243628
chr18	46153450
chr1	108016614
chr19	13069815
chr2	32960908
chr6	149728690
chr12	56988450
chr11	97963885
chr19	47892081
chr1	205157308
chr2	171086958
chr11	10743004
chr1	234876504
chr15	70628624
chr13	95285971
chr1	69540255
chr3	187022525
chr1	166705619
chr5	10294891
chr1	43522968
chr11	62396858
chr17	28527491
chr9	33240101
chr15	40559535
chr6	157393374
chr3	69792096
chr1	181153146
chr4	144019466
chr1	12449014
chr12	116197319
chr15	90901931
chr11	64889151
chr2	30290901
chr2	102069492
chr12	51972957
chr1	191824004
chr5	62261774
chr8	133540352
chr2	32768530
chr18	9009221
chr5	56984166
chr8	8777876
chr22	36368671
chr10	102763423
chr6	155080234
chr20	38948146
chr4	10181349
chr7	725770
chr20	53175619
chr15	39140137
chr20	34085795
chr8	127898933
chr6	84270222
chr2	208571931
chr1	30769118
chr2	102336047
chr22	40329320
chr12	62910745
chr14	70237918
chr2	201787654
chr20	4192475
chr16	1832951
chr2	112706420
chr6	139648560
chr9	120766879
chr16	21261671
chr1	154354705
chr6	83974775
chr16	11102247
chr14	23146574
chr8	105244161
chr7	103996302
chr21	45411672
chr12	49869267
chr6	119324953
chr18	25223394
chr8	55848044
chr12	7677656
chr1	40057659
chr9	69216114
chr5	149456961
chr7	100641585
chr3	33054481
chr6	146549035
chr19	32628620
chr17	33905531
chr19	13102862
chr2	219279619
chr22	41846159
chr3	168157470
chr6	15915678
chr3	47315465
chr2	169012388
chr1	223870812
chr17	44266747
chr19	5799407
chr4	54542668
chr18	2854300
chr22	39920300
chr10	50577922
chr5	56311009
chr12	49233228
chr2	178273909
chr4	80143503
chr2	55140711
chr22	27314507
chr1	160046652
chr11	96212583
chr12	6639335
chr1	113040306
chr1	27867427
chr8	96644548
chr2	24011499
chr22	26632767
