Chrom	position
chr1	46132834
chr7	66493579
chr2	27891272
chr19	10416802
chr12	82358409
chr3	128879519
chr10	31031760
chr15	40755264
chr12	120446429
chr15	77420870
chr4	8440774
chr21	39313704
chr6	143060549
chr1	9429003
chr2	197500057
chr1	151070594
chr14	76961972
chr7	45769059
chr1	25810978
chr7	158829633
chr5	146039609
chr3	58471456
chr5	177454705
chr1	1574896
chr2	38778200
chr19	1652865
chr21	42010341
chr2	24972136
chr12	10613592
chr5	173616747
chr8	22109730
chr2	20823113
chr12	132144380
chr16	53094193
chr17	72661625
chr17	782337
chr7	26515756
chr19	11095210
chr11	27395639
chr12	56042057
chr6	31806782
chr7	55074148
chr6	30556256
chr6	30061211
chr7	90346683
chr7	25125370
chr10	102394488
chr7	100049778
chr16	19067815
chr5	57173683
chr4	110904863
chr5	145936655
chr4	152536155
chr6	139134961
chr16	20741803
chr1	150629310
chr1	173867937
chr20	45972249
chr4	39458990
chr11	111879211
chr1	156728840
chr8	125091837
chr22	50508211
chr17	16381018
chr7	98106893
chr15	45455028
chr12	108568985
chr9	83708199
chr3	170815548
chr5	125409357
chr15	92904393
chr18	58789389
chr1	36386739
chr14	67619825
chr12	109573249
chr12	111842015
chr19	35612725
chr17	81926838
chr7	107563958
chr7	107891131
chr4	119454717
chr19	40921266
chr12	3208074
chr18	2571469
chr6	15248751
chr17	74873366
chr3	185537673
chr2	74554439
chr10	130169684
chr2	198697326
chr2	108719457
chr12	64222594
chr2	88691561
chr22	38701074
chr7	30134743
chr1	119662251
chr19	12945617
chr1	26169861
chr17	79839854
chr1	148522773
chr11	126268923
chr19	10252180
chr17	78841042
chr11	4094793
chr12	56127915
chr12	96907212
chr14	81194154
chr6	31972179
chr6	133953014
chr19	16572493
chr6	31796078
chr18	55095812
chr10	132446882
chr4	158811009
chr17	15999675
chr5	1345193
chr7	66075685
chr18	79679744
chr17	42964379
chr19	44753475
chr1	243101890
chr17	59565586
chr8	10839898
chr9	26947307
chr12	6663383
chr15	72783776
chr14	104976347
chr2	19348440
chr2	20052006
chr13	46648348
chr1	88891556
chr11	62839617
chr1	228109324
chr1	223992644
chr8	37736597
chr16	11916095
chr8	41528939
chr12	12267149
