Chrom	position
chr7	99372738
chr5	81353376
chr4	2787770
chr5	140664628
chr3	133469438
chr2	260874
chr4	139214246
chr4	1785314
chr16	83943080
chr14	100817516
chr10	30438645
chr3	16333176
chr19	18380234
chr3	196055919
chr12	6230776
chr9	81686982
chr19	524196
chr16	67446235
chr7	43674777
chr10	124036167
chr8	42453158
chr8	40162608
chr4	6751822
chr17	43134853
chr14	44027577
chr7	5294632
chr10	122912088
chr8	42539784
chr4	6755346
chr10	124470809
chr8	40054796
chr7	5558016
chr10	124838263
chr8	40175004
chr8	41151819
chr14	49721928
chr10	119114034
chr8	42075569
chr4	4812570
chr4	4640915
chr10	119639225
chr4	6337767
chr2	23122851
chr8	41813230
chr4	6648053
chr10	121555137
chr10	121905074
chr14	49993117
chr10	125792711
chr8	41569693
chr10	122056951
chr7	5494812
chr4	6703996
chr8	41279965
chr5	140363467
chr2	19538544
chr4	7761863
chr2	12941383
chr11	356009
chr7	6613942
chr2	12167708
chr7	6615023
chr8	37971172
chr4	9158582
chr11	654655
chr11	657944
chr11	704954
chr11	707423
chr8	37619292
chr5	138753123
chr11	844879
chr11	914957
chr11	936470
chr4	12913073
chr4	12933823
chr11	1388135
chr2	10188415
chr7	6578766
chr11	308087
chr8	38897189
chr11	306909
chr8	38785514
chr5	139746421
chr10	118581574
chr10	131641455
chr5	139733839
chr4	7995549
chr10	131897803
chr17	44247735
chr14	36980607
chr7	6450097
chr8	38583494
chr8	38580270
chr10	133088775
chr10	133162373
chr4	8013519
chr2	15766531
chr10	133329901
chr10	133347280
chr4	8242421
chr5	142807666
chr16	10266123
chr14	50225596
chr17	42779967
chr10	98274774
chr5	149382735
chr5	149382086
chr14	58395557
chr10	99304697
chr8	60961471
chr10	100292474
chr4	1771054
chr8	60744143
chr4	1776659
chr14	55599715
chr5	149320982
chr4	1795739
chr8	58478097
chr10	100680904
chr10	100890824
chr5	148492020
chr4	1802560
chr10	101008972
chr8	62139700
chr2	42787893
chr2	42792657
chr10	96663965
chr8	67366206
chr2	45273708
chr2	44786275
chr3	197458578
chr10	95663691
chr5	150001911
chr4	655305
chr10	96658410
chr5	149694154
chr14	60659155
chr5	149641430
chr4	708209
chr14	61042400
chr14	60819744
chr10	97310145
chr8	65635351
chr7	1876821
chr17	40101051
chr8	58459807
chr10	101063918
chr10	101442425
chr8	47525159
chr14	53887221
chr10	112296585
chr10	112332215
chr8	47753263
chr10	112380102
chr10	112394705
chr5	143196807
chr5	143173784
chr7	4742259
chr10	110740095
chr10	112888104
chr10	113074009
chr17	42627566
chr4	4018436
chr17	42766233
chr14	50892414
chr17	45460545
chr2	26238725
chr5	143683614
chr17	41687423
chr5	147671623
chr17	41003043
chr14	54656353
chr7	2629889
chr7	2638560
chr2	32777985
chr2	32331454
chr10	103197312
chr4	2801217
chr2	32329363
chr10	103592922
chr4	3206196
