Chrom	position
chr3	126793966
chr16	21528724
chr3	186371021
chr14	101832406
chr1	174245442
chr7	112758721
chr4	144325860
chr8	23279080
chr2	238578317
chr1	145096428
chr7	97829866
chr11	6455659
chr2	69016936
chr2	38835070
chr10	97055123
chr9	79087268
chr5	77590539
chr1	206714942
chr1	20539595
chr1	167772706
chr10	33231209
chr2	64203436
chr18	23770687
chr1	186051637
chr3	31993921
chr8	116464529
chr2	8685262
chr1	113206827
chr17	4796051
chr9	112181270
chr7	152038314
chr19	344969
chr15	31523209
chr11	129893283
chr8	70468679
chr3	149526193
chr16	13484111
chr19	57954858
chr3	98731099
chr7	48019319
chr1	31413297
chr8	128928366
chr7	65381070
chr4	300485
chr3	11338805
chr4	4945915
chr5	6188641
chr2	135675751
chr15	82158654
chr1	155214668
chr17	29042303
chr7	41686
chr13	41019866
chr11	123196411
chr10	43950322
chr19	38413885
chr3	58291997
chr14	25602190
chr3	16416386
chr11	132451024
chr3	197391769
chr9	6429486
chr2	235409221
chr13	60308680
chr10	22888180
chr6	2750400
chr19	38453141
chr20	35474589
chr14	89220427
chr1	109655436
chr17	31099668
chr5	141114220
chr22	50630030
chr2	203531429
chr19	36390799
chr7	130583078
chr17	31146366
chr22	33695773
chr13	111364709
chr5	140909606
chr19	42708084
chr12	113513202
chr19	11079385
chr12	53718680
chr7	76221424
chr2	8453514
chr3	197289048
chr3	183967536
chr4	153516852
chr10	5882424
chr2	64957753
chr16	89910628
chr21	43956165
chr3	79700743
chr7	121081151
chr8	18768934
chr16	71496208
chr1	67578337
chr5	138945143
chr15	44487560
chr17	57078905
chr8	94950973
chr3	142926283
chr1	24863191
chr3	45637999
chr15	66681961
chr17	76362715
chr16	25236525
chr1	167326779
chr1	173341915
chr22	37908250
chr7	18461329
chr3	121476162
chr7	105409766
chr20	3780624
chr5	133271030
chr15	101833542
chr2	24085054
chr16	50228527
chr11	48131567
chr8	27041788
chr14	55493997
chr4	120291787
chr11	64102736
chr4	54614649
chr6	33561033
chr16	29621989
chr12	133396828
chr8	81914376
chr8	101965398
chr4	166176805
chr8	104186129
chr15	100296155
chr8	6606144
chr1	32332221
chr1	207125352
chr1	211433637
chr10	121129142
chr20	62248627
chr1	32015996
chr7	72956250
chr2	62259479
chr10	124247133
chr1	31227717
chr16	87796099
chr17	36781310
chr4	102711833
chr7	101441682
chr2	166160764
chr2	135033196
chr7	65670225
chr17	36807712
chr12	96020791
chr1	198568122
chr18	73031953
chr3	59232682
chr5	40571023
chr16	87092544
chr2	151467386
chr16	30645718
chr1	206899125
chr14	71136024
chr9	129173953
chr15	51917663
chr3	48196801
chr5	173164222
chr19	10704008
chr13	42098749
chr7	101705534
chr2	157606754
chr2	61068172
chr7	152160333
chr20	40302365
chr3	170350745
chr5	157825754
chr3	189042715
chr1	110892650
chr3	133302463
chr11	64582432
chr18	61191086
chr3	23315920
chr3	57102732
chr14	71821051
chr1	12546989
chr1	220259690
chr15	91209125
chr1	76760337
chr22	36499234
chr20	50077557
chr14	102569500
chr1	25935287
chr10	81208608
chr1	25563549
chr2	15282395
chr4	619152
chr22	21361376
chr19	14714983
chr11	71542041
chr3	101953001
chr15	91138779
chr4	154006496
chr13	24420114
chr18	3035847
chr16	67719803
chr12	113831236
chr13	27722212
chr3	135794275
chr17	72230290
chr9	95900785
chr20	20584270
chr1	187760908
chr12	62654011
chr2	25585745
chr11	62232331
chr9	26956247
chr6	38378200
chr9	21711709
chr10	53976848
chr9	132032615
chr14	50063542
chr19	5161034
chr11	65175408
chr11	102188083
chr16	66925907
chr1	54300648
chr16	57447469
chr6	41755227
chr21	34451415
chr15	23033005
chr15	86127506
chr20	33589734
chr5	126889687
chr3	148985556
chr5	164237024
chr1	229171344
chr11	94829630
chr14	55534419
chr20	36000438
chr2	65454768
chr3	121966943
chr1	226850700
chr11	110063483
chr17	60571574
chr1	151224309
chr12	47750272
chr20	35640422
chr1	150601749
chr22	23277955
chr2	55275068
chr5	132441663
chr5	10579165
chr14	52311394
chr20	32498530
chr16	75143074
chr5	126305313
chr13	34440272
chr8	17036504
chr11	76288464
chr5	98363292
chr13	31019925
chr17	63175727
chr12	6409060
chr13	31236845
chr19	12840869
chr12	50400818
chr10	72639956
chr6	137494372
chr5	177548162
chr11	16635345
chr6	155136603
chr4	102728242
chr13	34567144
chr12	123122570
chr12	8763970
chr3	42003641
chr22	32225618
chr21	45749123
chr5	141927755
chr1	8569833
chr8	81070844
chr10	11929097
chr1	94127750
chr1	24055219
chr15	99619503
chr16	67835985
chr6	31548753
chr3	186142907
chr7	66100063
chr6	33359102
chr5	49741249
chr15	23086796
chr6	15268832
chr5	148521027
chr1	161146766
chr3	113724441
chr18	49265887
chr11	72147909
chr1	109505907
chr6	107150475
chr2	158325597
chr19	18280578
chr2	3606887
chr22	42854475
chr12	123850400
chr2	136964424
chr1	55068449
chr17	3614559
chr3	9822802
chr11	72759269
chr1	160594502
chr10	126753498
chr10	94911138
chr7	49806812
chr10	82223194
chr15	31618841
chr19	58892179
chr3	190439337
chr9	135879420
chr11	108160660
chr2	99953073
chr5	151080610
chr5	10284270
chr20	3048965
chr13	69241106
chr10	33248199
chr12	97950145
chr1	1765622
chr3	34097849
chr10	112674969
chr7	135158365
chr7	77328531
chr13	48878825
chr19	35866746
chr2	111814839
chr11	102604144
chr3	138634870
chr20	25450801
chr19	49376417
chr15	72983474
chr11	111585446
chr12	14310260
chr20	38118117
chr15	51178201
chr7	108166767
chr20	33202041
chr10	44755967
chr1	147639630
chr13	41164001
chr1	147994306
chr7	36406876
chr22	29563548
chr5	171405782
chr11	18127591
chr14	93234745
chr20	20447303
chr14	48398763
chr12	65015121
chr7	77166027
chr7	28610064
chr6	110035599
chr6	1940762
chr8	132937026
chr16	1764219
chr19	30250941
chr15	59217091
chr13	25139232
chr13	24848740
chr7	1685330
chr11	47421558
chr7	24323752
chr14	104158254
chr1	46201459
chr11	80560514
chr19	55767068
chr2	214097998
chr10	27030496
chr7	23450224
chr5	32252160
chr5	150590717
chr1	19642197
chr6	146284980
chr18	74212028
chr15	85131422
chr4	15955471
chr9	122499247
chr2	55680279
chr19	6203709
chr19	4399282
chr20	35402190
chr19	4863997
chr4	38763385
chr2	64870545
chr11	34072701
chr6	159230108
chr9	74410494
chr2	58468539
chr1	154469593
chr11	576408
chr10	98960572
chr2	48272967
chr19	5029771
chr15	66446559
chr16	14766485
chr8	681279
chr6	28339895
chr13	74542055
chr3	58306815
chr16	66349230
chr11	73708356
chr11	111288022
chr6	158662625
chr15	68347875
chr15	74695507
chr2	136777136
chr1	18297452
chr1	22088728
chr2	27886283
chr1	246917483
chr1	112232306
chr15	68055334
chr6	37123347
chr1	156571880
chr2	136889851
chr9	130749780
chr16	90014671
chr16	66982094
chr7	75807671
chr6	36635106
chr14	105689795
chr10	1978303
chr3	16475323
chr9	93593558
chr6	34642904
chr3	105974888
chr6	149792355
chr1	20937600
chr8	142046296
chr1	206290477
chr20	43238765
chr4	2834446
chr2	10222740
chr19	2950648
chr15	76196885
chr14	78915024
chr11	117278665
chr1	101713637
chr19	11302763
chr17	74394301
chr3	43934192
chr6	136609422
chr19	11877720
chr10	6390145
chr3	118352686
chr19	12273924
chr7	128186671
chr21	30848929
chr8	96240593
chr3	72806343
chr19	1263458
chr17	56736465
chr4	68442480
chr9	132650986
chr7	158426488
chr7	6692522
chr17	76702499
chr8	125985402
chr12	3861502
chr5	96232744
chr15	50737031
chr14	59741856
chr15	86236293
chr4	172598150
chr3	182879593
chr9	5438997
chr12	54082793
chr3	186664641
chr14	64192085
chr9	2054077
chr3	170352624
chr6	24929614
chr15	70391960
chr15	50157769
chr14	50426930
chr10	49892144
chr1	2427809
chr2	182451496
chr8	58333567
chr12	11802028
chr15	52713437
chr11	65208503
chr9	136811727
chr1	192486134
chr3	127469237
chr5	43177777
chr12	123209389
chr10	133728287
chr4	141712188
chr6	3125089
chr19	41832441
chr12	14436580
chr1	161391976
chr2	206546670
chr12	12867257
chr1	169829572
chr21	47437846
chr7	33431915
chr14	62035433
chr7	50188202
chr22	35763472
chr3	160787664
chr5	79783817
chr3	129322470
chr1	26056780
chr14	51256681
chr20	4446964
chr1	94173759
chr22	36413774
chr19	47802754
chr11	68041284
chr17	28136784
chr6	7979192
chr5	108804649
chr8	8602300
chr14	65672296
chr12	9800980
chr17	28256985
chr22	22711835
chr19	48281666
chr1	67395725
chr6	32909404
chr1	1343225
chr6	36518577
chr20	61878559
chr4	40198497
chr10	1101907
chr15	63767219
chr6	86353866
chr3	148847311
chr10	1531510
chr10	80850439
chr12	113655458
chr16	68108951
chr2	204463193
chr22	19106056
chr1	200066117
chr2	23315853
chr7	140090829
chr15	86262005
chr17	14206814
chr4	163084988
chr2	42360286
chr12	113611281
chr7	2328263
chr15	90775520
chr3	23561240
chr13	96104781
chr22	32026614
chr3	137893502
chr13	100028532
chr12	1314217
chr19	1472058
chr9	137902895
chr17	26870855
chr16	71916528
chr10	102137806
chr7	4729526
chr14	100131401
chr16	11402884
chr11	118741602
chr3	177069783
chr16	70322636
chr6	42540420
chr21	43782978
chr5	119793886
chr2	29471314
chr19	49998447
chr1	28201868
chr17	48084836
chr5	34854742
chr10	60753479
chr3	37216462
chr2	101894718
chr2	99240325
chr10	101774330
chr2	98644253
chr3	136751477
chr2	25433322
chr20	5743298
chr5	1653748
chr4	82570279
chr1	183517434
chr1	214495620
chr9	102790640
chr1	2343737
chr13	27096346
chr7	108056393
chr2	96899759
chr8	128707332
chr4	46905920
chr5	32445074
chr6	146056003
chr2	97711764
chr1	9473797
chr17	63759269
chr12	109027536
chr11	18350974
chr2	220507417
chr20	24851845
chr8	35416879
chr12	96721383
chr9	125996469
chr12	31004391
chr12	18318659
chr20	10165437
chr4	26863146
chr11	134098686
chr16	28986015
chr21	26796581
chr16	81855302
chr22	43256524
chr20	342422
chr17	37365289
chr7	55639314
chr1	228325986
chr1	201652717
chr9	214892
chr9	4514861
chr8	9321402
chr1	31203335
chr22	26169112
chr8	60060383
chr3	187653852
chr20	37075301
chr3	194406673
chr17	29465630
chr15	34625590
chr12	54412086
chr18	54745170
chr18	24492001
chr15	83475064
chr11	74661636
chr11	57750443
chr16	14700155
chr2	64050503
chr22	47131110
chr16	58664233
chr5	18698653
chr2	62266635
chr12	31899868
chr7	66380102
chr15	100145287
chr16	16102674
chr6	161162255
chr2	174739769
chr1	226558452
chr15	69972180
chr1	153438437
chr16	27437906
chr10	75351885
chr9	71161835
chr18	47447241
chr14	50583413
chr11	59538524
chr7	99831821
chr14	89897265
chr5	158248076
chr3	124018085
chr1	65330025
chr5	54961653
chr18	18679582
chr16	75589187
chr12	122028054
chr1	200255395
chr3	186746996
chr8	125624586
chr11	66379193
chr18	21444858
chr11	128421937
chr10	131400192
chr10	81107102
chr18	20933637
chr1	66748256
chr2	239686199
chr6	15359209
chr3	195752030
chr2	16807210
chr7	149568788
chr6	32522521
chr14	93241873
chr10	114602817
chr20	49126896
chr22	29816469
chr6	151173130
chr12	25151253
chr5	318694
chr2	45957330
chr4	39633470
chr2	33497234
chr14	51223259
chr3	51753364
chr7	33711274
chr12	102137670
chr7	111721306
chr22	22777256
chr15	75477225
chr8	145787718
chr10	73596082
chr2	75833078
chr19	42867975
chr11	114030810
chr2	32393802
chr2	62687485
chr7	128826544
chr11	15135116
chr7	100815444
chr2	62477572
chr22	33916150
chr5	177591290
chr5	179104597
chr19	1265177
chr14	52792036
chr12	53811320
chr11	109898125
chr19	44711591
chr19	4182582
chr4	39362357
chr4	4526270
chr5	96519248
chr7	22563799
chr11	66153748
chr8	128192478
chr6	87797837
chr2	70335090
chr20	40995518
chr16	84674960
chr19	48021590
chr1	10761376
chr1	64358893
chr1	16173618
chr7	120820679
chr2	54308808
chr5	175610900
chr12	16034795
chr11	43716216
chr4	40994211
chr3	170068514
chr2	241491423
chr16	85866372
chr9	6955427
chr6	88632794
chr16	28943211
chr14	41754585
chr4	39963797
chr20	35920274
chr20	33543196
chr4	37677699
chr21	34668680
chr7	127491970
chr5	95192323
chr4	7047865
chr10	112411449
chr2	65808617
chr6	89466056
chr21	34746875
chr12	102425866
chr3	59248152
chr8	97198979
chr1	149899695
chr6	53109975
chr5	179246108
chr16	15733290
chr5	64275514
chr1	85086875
chr17	17452925
chr3	4880431
chr1	27022144
chr9	136574602
chr8	73924902
chr10	124067272
chr15	60971055
chr19	14311220
chr8	29087162
chr14	74229348
chr6	149079799
chr20	23402292
chr11	72533754
chr10	14498738
chr6	149015246
chr10	30508723
chr17	44247485
chr1	51959431
chr18	48806077
chr16	14396155
chr17	81039212
chr1	208108707
chr22	20849525
chr2	118813298
chr5	75647608
chr22	38055321
chr4	170137002
chr6	24522766
chr1	26735192
chr14	68746839
chr5	78559359
chr1	158255622
chr11	75989068
chr18	54750942
chr12	51762965
chr15	95979336
chr2	16193791
chr12	133563000
chr6	14095831
chr1	21840906
chr7	149535462
chr19	59090153
chr10	64413189
chr14	73715379
chr4	142228612
chr1	8919561
chr2	132426607
chr5	151283059
chr14	105435014
chr6	33245894
chr7	148396689
chr11	8555065
chr6	33560417
chr19	18518962
chr11	72863294
chr6	2863121
chr17	4699431
chr17	45402101
chr2	224760226
chr22	36146047
chr14	32571725
chr3	140660662
chr1	24517625
chr2	174219209
chr17	5141782
chr2	169568778
chr16	16101119
chr12	49741298
chr4	2420640
chr4	76598778
chr17	67577963
chr17	68339002
chr8	144462018
chr8	8192475
chr2	225634389
chr4	2698297
chr2	172245955
chr2	30889590
chr8	41096884
chr1	6614517
chr19	1077268
chr8	41384803
chr20	30272651
chr6	24949408
chr13	111124327
