Chrom	position
chr8	11627264
chr1	51434008
chr3	169487433
chr11	73694337
chr17	65991874
chr6	31939900
chr1	51984130
chr11	65337669
chr2	85999422
chr7	98973054
chr16	75498676
chr1	26437467
chr1	26137445
chr13	111607656
chr9	107510372
chr9	108006730
chr3	194827437
chr20	57467427
chr18	72924128
chr8	103875373
chr13	112868025
chr1	25566393
chr8	103818673
chr18	67955831
chr6	16760284
chr18	74203989
chr6	13712354
chr7	105752306
chr20	43970923
chr7	6523173
chr20	44462649
chr13	99228626
chr3	20081492
chr3	192610976
chr2	240964992
chr12	133338936
chr7	101458699
chr8	124429101
chr5	142625636
chr19	54483259
chr8	124171120
chr9	98279308
chr17	61776716
chr7	2491405
chr13	108868013
chr2	232826539
chr20	48595790
chr3	194033487
chr17	62971462
chr1	101004820
chr17	17597740
chr18	61034747
chr2	202645562
chr5	133406968
chr17	9479078
chr3	128997713
chr11	110167664
chr6	144606279
chr19	48018595
chr6	144471431
chr5	132581392
chr12	56693892
chr11	111797847
chr15	81248122
chr6	139013423
chr10	134201515
chr7	140098092
chr14	93651132
chr1	207628013
chr14	93582613
chr17	75136647
chr15	59063209
chr6	150463904
chr14	100438696
chr14	21994518
chr1	23883422
chr17	33307964
chr17	17400020
chr10	118925572
chr2	211035750
chr3	197476418
chr19	17416317
chr1	110026878
chr22	39102416
chr1	110752636
chr6	154936970
chr12	124997498
chr6	151712456
chr17	73780837
chr10	123900724
chr17	14202947
chr11	112833820
chr7	131241742
chr10	88855115
chr17	56595144
chr9	93955487
chr13	36871927
chr9	4792635
chr7	76009478
chr7	56119171
chr13	47468449
chr19	2273619
chr1	42501219
chr16	730183
chr12	32112313
chr20	30424107
chr3	180630258
chr20	4667749
chr10	22610319
chr9	35096472
chr7	44364459
chr20	30947080
chr13	51483906
chr12	39837044
chr7	43798056
chr3	181430917
chr7	64700378
chr17	47647634
chr1	45265742
chr1	46669091
chr7	73152976
chr1	46598441
chr2	27070658
chr10	33269679
chr10	33423148
chr17	43449135
chr7	75368841
chr13	45152064
chr10	27529597
chr7	72568908
chr1	44871745
chr15	40226487
chr10	43332443
chr13	45951607
chr3	173115369
chr16	1993165
chr3	179041242
chr1	54411180
chr16	2525734
chr7	100303335
chr19	56632776
chr10	75666676
chr19	9186432
chr3	14219952
chr1	33116740
chr10	75757515
chr10	75911193
chr17	36860371
chr3	152552793
chr7	100067234
chr10	75571108
chr10	830766
chr20	39945813
chr20	39946538
chr15	44119188
chr2	48011226
chr3	188665663
chr9	92221057
chr3	127266909
chr3	156392241
chr10	5932683
chr1	38512786
chr22	50329952
chr7	39773079
chr1	54872421
chr3	184243710
chr1	38100575
chr17	48046644
chr20	3792492
chr12	46121486
chr2	39348333
chr16	3020279
chr1	33438710
chr1	36397035
chr7	98030659
chr19	7953546
