Chrom	position
chr5	91280674
chr15	90165901
chr8	133375704
chr16	30065542
chr3	190566637
chr3	4987050
chr11	18394481
chr15	84915114
chr15	72226885
chr9	19161914
chr19	34359402
chr8	28365955
chr11	10308186
chr10	72261053
chr9	112041839
chr12	7970818
chr10	73096940
chr19	4968623
chr1	8212216
chr2	84946643
chr4	119300737
chr12	124838350
chr3	149225385
chr1	234612853
chr12	124938697
chr3	93470584
chr6	166958485
chr6	44011035
chr2	74740875
chr8	133216765
chr6	44073510
chr16	14364599
chr20	62623680
chr3	122978234
chr2	144659822
chr3	146161376
chr16	67170395
chr7	158864171
chr10	14397315
chr7	105012793
chr3	4979268
chr1	65148683
chr10	91633300
chr12	120474842
chr10	72297471
chr3	39152784
chr5	1568788
chr9	127579004
chr5	136058509
chr3	48557260
chr3	177300447
chr7	54759315
chr6	157764819
chr9	19163047
chr17	40312523
chr11	9759851
chr2	172556088
chr19	8362144
chr15	72230546
chr1	21238628
chr2	135985111
chr21	33976320
chr6	87155514
chr3	157088960
chr1	8879046
chr15	63372573
chr1	58755676
chr10	97426059
chr22	30424138
chr8	122760349
chr21	43728592
chr21	29259180
chr3	81761101
chr5	151081380
chr1	85607384
chr20	50166081
chr8	23164053
chr16	84643265
chr8	94441112
chr17	82231114
chr1	143247068
chr5	143246059
chr5	107365863
chr10	6299442
chr5	139531364
chr19	41368014
chr4	88823797
chr20	402067
chr1	212486009
chr17	18183087
chr5	91281621
chr19	2087304
chr11	126163335
chr11	57424952
chr3	172140675
chr16	34595226
chr2	86440852
chr7	128455753
chr7	151809047
chr9	118331850
chr10	44982274
chr16	81568367
chr3	194593578
chr17	38286791
chr3	162709125
chr8	23345467
chr8	22598209
chr16	46386431
chr10	73773011
chr13	110006550
chr3	25790051
chr16	46388741
chr1	59044004
chr8	67825003
chr11	71299517
chr8	38901777
chr19	10749218
chr1	115179557
chr1	159910543
chr1	27542564
chr3	196082163
chr12	124423307
chr5	173329581
chr18	13726624
chr20	62603721
chr4	100096183
chr14	93165403
chr10	6201653
chr2	207395002
chr8	102654001
chr1	15356511
chr9	121558155
chr8	28412066
chr11	66971027
chr22	23894417
chr21	34888201
chr15	67109789
chr10	16986657
chr20	35617578
chr5	139526150
chr1	42941225
chr7	151745409
chr14	61751242
chr22	18061322
chr9	124309803
chr7	45978482
chr6	11393240
chr16	79169370
chr10	3467609
chr10	77505152
chr2	200713325
chr13	44815889
chr7	89474
chr17	57875487
chr9	91197403
chr3	187508140
chr9	91193882
chr16	87860847
chr5	14036115
chr20	45781714
chr15	75666891
chr7	20241660
chr16	34588216
chr19	52735546
chr3	30658576
chr14	49999307
chr17	66275776
chr20	50676267
chr7	135171569
chr4	77158399
chr14	34035796
chr1	14742477
chr2	88056877
chr3	76497865
chr15	70474892
chr1	15952830
chr4	128387257
chr12	45233132
chr20	19880757
chr15	53831148
chr6	43668299
chr14	93959622
chr11	34105679
chr8	81194207
chr1	41498992
chr22	30562529
chr3	72625791
chr1	233359554
chr7	101126921
chr3	4417084
chr16	85514973
chr14	33938502
chr19	2540903
chr12	54432639
chr12	6914465
chr5	38845981
chr3	45123292
chr16	46394806
chr4	2937299
chr15	96273918
chr5	143177472
chr2	101973126
chr1	94728112
chr20	31560973
chr8	17806027
chr8	121812106
chr16	46399395
chr1	168752323
chr9	16247432
chr1	143264274
chr4	77921898
chr6	27052519
chr8	133320758
chr9	5621484
chr12	6534385
chr4	67727233
chr5	139638380
chr2	64643444
chr21	10270327
chr10	110210096
chr8	95802026
chr10	93437422
chr16	66971238
chr5	177194409
chr2	233974722
chr3	81761754
chr2	28409533
chr18	50287978
chr7	116706777
chr7	140626533
chr11	14520573
chr17	43251710
chr2	118088185
chr22	30196315
chr19	18374565
chr16	46387832
chr16	56964998
chr22	27113369
chr4	125729773
chr17	45371842
chr21	8220003
chr22	26550647
chr5	160434196
chr3	134333704
chr8	23356272
chr6	44012271
chr6	122818000
chr19	44742033
chr1	143221780
chr10	100374020
chr3	124701196
chr8	133217982
chr4	6668460
chr11	115941593
chr8	28352116
chr4	1082373
chr8	142235237
chr8	38839639
chr5	126884528
chr2	133818413
chr17	25920206
chr20	38184261
chr3	141331954
chr4	49121019
chr4	71231263
chr1	59679002
chr16	46380894
chr1	59147074
chr9	87372647
chr8	26451308
chr17	77255596
chr2	235024426
chr11	73953522
chr7	151687829
chr8	133357093
chr16	84840192
chr2	20179788
chr9	134624886
chr2	74917935
chr7	17382799
chr1	246435767
chr6	45697807
chr8	69644212
chr12	6533537
chr7	129102701
chr2	28392824
chr7	116512180
chr1	155911622
chr1	143263453
chr5	102756158
chr11	62025697
chr4	173369886
chr2	217902915
chr4	7960984
chr21	45365993
chr15	74615628
chr2	236863207
chr17	7351933
chr6	89269001
chr5	173455364
chr10	29480457
chr5	115544965
chr1	207806000
chr12	100633302
chr6	11621268
chr5	68434285
chr8	142699943
chr17	37813908
chr9	111961107
chr11	128026769
chr22	36328851
chr2	46233062
chr16	88240256
chr17	10370194
chr5	14406780
chr1	43821719
chr1	17233868
chr14	34060308
chr10	14782868
chr10	100346506
chr5	148966075
chr3	197394794
chr18	27413970
chr2	237227823
chr6	106731223
chr14	68627183
chr1	201748519
chr6	106739559
chr19	4379722
chr17	44973035
chr9	131727628
chr5	36502766
chr5	10551434
chr2	70596836
chr2	122706932
chr19	13054010
chr15	55908025
chr6	113632507
chr16	34573070
chr14	104736431
chr2	10331252
chr10	133689440
chr6	88662384
chr9	124696775
chr6	26296136
chr11	85719340
chr9	91423394
chr20	54983851
chr21	8234502
chr8	126121293
chr4	110484928
chr9	81588368
chr1	241615743
chr9	91193143
chr11	61971952
chr8	106087229
chr15	62957417
chr8	53945148
chr16	31094945
chr21	10325838
chr9	15422685
chr1	235070268
chr6	139980806
chr2	69734385
chr1	205301568
chr1	143231961
chr1	143256225
chr3	23685853
chr7	101108402
chr2	150411072
chr6	81997631
chr7	101962
chr3	45554461
chr22	20916930
chr7	23273283
chr21	36430254
chr1	58883580
chr16	46383342
chr1	41496441
chr9	100426679
chr16	34574266
chr16	46400135
chr22	35372221
chr22	36250516
chr4	156942098
chr19	37999542
chr16	84851426
chr15	63362471
chr1	223888380
chr17	80856670
chr2	90383845
chr11	69297470
chr19	17950515
chr1	210265834
chr3	4995785
chr1	46332261
chr15	99486499
chr6	31186485
chr3	194135066
chr9	105071307
chr1	46325747
chr1	213496647
chr10	64731888
chr21	38840112
chr3	59610092
chr20	51750350
chr15	59168746
chr5	124661590
chr5	49666210
chr2	176612918
chr11	568622
chr7	94056987
chr7	157405150
chr20	45088549
chr11	65911780
chr20	41693547
chr9	104907341
chr9	105068108
chr7	48085198
chr3	129656857
chr7	101218055
chr1	12478378
chr17	26885775
chr6	149336158
chr1	143266429
chr7	121530607
chr2	136246397
chr6	31186141
chr21	43600891
chr3	95357114
chr19	2491512
chr9	124286585
chr13	29589482
chr9	124284471
chr17	26603919
chr8	127870941
chr16	11609675
chr16	34572103
chr22	39961633
chr13	112032354
chr17	36901710
chr19	46970980
chr21	41767237
chr1	143203808
chr19	48875352
chr3	58561069
chr1	143230887
chr4	179196677
chr7	41573213
chr10	62992275
chr2	127081194
chr16	56814935
chr12	52118867
chr3	98593815
chr3	5023484
chr1	143184717
chr11	66892355
chr1	16948568
chr17	78592697
chr8	61708790
chr9	37954351
chr5	56278642
chr12	89769370
chr9	137411864
