Chrom	position
chr19	36054416
chr9	132944763
chr19	10654072
chr14	20461661
chr19	8240522
chr1	202927316
chr16	28974711
chr1	154558856
chr1	11806179
chr17	7234575
chr19	18374568
chr5	150759028
chr5	131797036
chr19	14496485
chr6	87155536
chr11	67391855
chr8	108443599
chr12	122266491
chr19	5720221
chr17	7243016
chr20	48921687
chr16	31033297
chr10	69124178
chr19	48954764
chr3	128726077
chr14	23301537
chr11	18322252
chr22	35299867
chr9	96417407
chr1	203795516
chr19	40750562
chr11	75031482
chr19	47130721
chr1	220272555
chr1	38859903
chr17	75979467
chr20	38962194
chr13	113297054
chr2	99490269
chr19	40348543
chr7	100867281
chr16	11133466
chr10	67884596
chr1	166876457
chr16	27749060
chr9	128947645
chr1	28233022
chr1	44631942
chr5	151447585
chr1	222712789
chr12	6724283
chr14	20455179
chr8	53843293
chr1	15526819
chr9	114587718
chr19	15125710
chr8	70669370
chr19	1853565
chr7	105012779
chr2	46698790
chr20	23361873
chr12	57752521
chr3	155854703
chr9	100352973
chr10	32346486
chr1	154220756
chr19	12722741
chr9	97922291
chr7	96322200
chr10	72626110
chr16	28492092
chr17	37609506
chr6	31863003
chr5	134371084
chr19	48835951
chr20	40506769
chr16	2047877
chr1	111346588
chr5	132963685
chr7	4775598
chr12	55716042
chr3	156555338
chr3	143001485
chr13	110955405
chr22	49970926
chr10	50067917
chr22	39520463
chr19	32345610
chr17	43021362
chr17	35244696
chr8	125091794
chr7	5562214
chr15	75758538
chr17	68205485
chr11	108008923
chr10	45727204
chr17	50373001
chr1	28885140
chr6	44257348
chr12	53006435
chr11	65421380
chr17	42536107
chr11	61971856
chr17	64919495
chr8	123517137
chr7	100673486
chr8	53873057
chr12	28780239
chr12	112013397
chr9	6681289
chr1	21791881
chr10	29229542
chr3	184314477
chr22	36065892
chr17	81977624
chr11	61733556
chr19	1897772
chr11	65477578
chr11	65712014
chr5	66144641
chr9	122905511
chr21	37366571
chr9	128787163
chr7	107169824
chr11	59707016
chr4	89057224
chr11	126211730
chr11	36289437
chr6	33418365
chr17	7012359
chr4	54784327
chr22	41022656
chr19	797148
chr5	141041240
chr14	81221172
chr17	65057006
chr20	1416180
chr1	36224267
chr1	88891675
chr12	62935161
chr3	186938903
chr11	75814840
chr10	97889789
chr16	4847422
chr11	20112638
chr1	94854534
chr16	69762297
chr1	40097256
chr19	12681916
chr14	23320986
chr1	235129004
chr1	2555768
chr2	237128495
chr11	119067775
chr12	26318746
chr15	58332385
chr22	30969189
chr12	122946978
chr12	76559877
chr3	170908814
chr9	6757916
chr17	59619567
chr10	69179964
chr8	18083440
chr15	74100258
chr12	93570889
chr1	205775455
chr18	49460717
chr14	67816700
chr17	1724695
chr10	45594898
chr19	10316011
chr9	32552252
chr3	142347720
chr1	25906468
chr1	203026347
chr22	23717377
chr12	103957256
chr16	67481200
chr14	24213590
chr14	24161192
chr12	62602791
chr20	18138061
chr5	172983748
chr6	75243933
chr12	64759458
chr1	11736054
chr10	102642141
chr8	103415336
chr3	93844203
chr17	17972836
chr16	5071830
chr6	488159
chr1	36703908
chr4	77157151
chr7	92424730
chr9	124286073
chr17	18315278
chr4	17614570
chr5	41904336
chr13	49110255
chr12	120317787
chr3	112561962
chr12	46371434
chr17	76567966
chr3	197456639
chr12	133037481
chr2	176002358
chr11	113875754
chr16	5033955
chr20	44966405
chr2	27582948
chr15	44663743
chr1	24642989
chr3	19946982
chr12	113185576
chr11	78595652
chr22	31160177
chr10	31928911
chr12	53938653
chr16	1827199
chr1	231200704
chr16	58684765
chr1	156457409
chr1	50960330
chr7	106009781
chr19	12938313
chr6	13303039
chr12	2877215
chr2	28584119
chr12	116738238
chr1	110407693
chr15	72376056
chr6	43229520
chr20	41692866
chr19	7522595
chr7	26864836
chr8	1746335
chr1	159015668
chr18	9136756
chr8	103021076
chr2	229726120
chr9	36190791
chr21	37563876
chr6	127343587
chr22	49463097
chr3	113746708
chr14	31937877
chr3	57693157
chr15	78988713
chr3	39383354
chr13	21061604
chr16	9091200
chr17	81968043
chr3	20186313
chr17	17237190
chr7	38909164
chr14	101948353
chr5	173616810
chr3	38346726
chr1	19882358
chr7	2354078
chr16	85027625
chr20	45891295
chr17	82288181
chr3	169760685
chr22	21867877
chr20	33489862
chr3	128879507
chr16	88857099
chr12	13098236
chr16	88265175
chr15	75336020
chr1	234612829
chr8	42052235
chr11	60127439
chr1	173824883
chr19	55585783
chr1	26500582
chr2	129877567
chr1	40161357
chr5	16456188
chr21	37221354
chr19	1170042
chr19	8321486
chr2	208266082
chr1	22451805
chr19	10701400
chr11	20387536
chr16	21512758
chr2	85437775
chr1	186082473
chr19	1905233
chr8	9075021
chr15	74843327
chr13	23889431
chr9	91197429
chr2	64807540
chr13	44577904
chr8	93874116
chr16	28824211
chr2	240586689
chr12	113358572
chr20	63216320
chr17	32007369
chr2	25878491
chr12	57520720
chr14	74084959
chr7	17940558
chr19	35319207
chr1	183636061
chr1	156295685
chr2	26764258
chr1	171485441
chr2	27323046
chr6	84227681
chr1	43974907
chr15	45587273
chr4	47463693
chr3	66220963
chr1	68497151
chr3	158802045
chr17	75785056
chr17	82497254
chr10	32980664
chr19	45001287
chr19	48875182
chr12	48716937
chr17	51121921
chr18	77114678
chr11	67464663
chr20	35305886
chr13	114065271
chr5	32585516
chr7	22854314
chr10	119892575
chr12	26114549
chr3	132417429
chr3	4979216
chr4	6916809
chr14	59278253
chr9	129413727
chr5	168794498
chr21	45427802
chr17	43778451
chr16	81181419
chr13	113041481
chr12	26126575
chr9	33506730
chr17	43938186
chr15	43792043
chr11	6619425
chr4	75514417
chr6	13814298
chr19	3500726
chr19	45098420
chr17	3892247
chr12	55729178
chr7	100148909
chr9	128698089
chr16	1475053
chr8	133048710
chr22	40729061
chr10	625275
chr7	25849849
chr14	50065129
chr3	184812191
chr17	36948797
chr1	212470267
chr1	77605531
chr10	98446962
chr1	26432152
chr5	134738368
chr14	23078867
chr16	74368273
chr12	13255963
chr6	30721616
chr2	71068600
chr7	44490933
chr1	110339199
chr9	135499910
chr1	6394054
chr10	100365103
chr10	68720988
chr1	236604767
chr2	46224933
chr13	108915888
chr12	57591212
chr6	31197113
chr19	3990397
chr11	64181719
chr4	165112423
chr6	27633343
chr11	118928298
chr10	71868394
chr15	64856976
chr3	125603303
chr14	24114883
chr9	5895964
chr3	33798513
chr9	114485044
chr11	58579721
chr22	35372053
chr7	150877212
chr6	53548217
chr14	54489065
chr3	122793848
chr13	80048997
chr9	126705480
chr2	191020373
chr17	49764464
chr7	30550141
chr22	20496550
chr15	74956335
chr2	54574620
chr20	62875710
chr6	34757059
chr16	29291123
chr9	123340368
chr15	70259159
chr17	73189702
chr19	41310381
chr8	17922852
chr4	102869317
chr20	62891328
chr9	93302890
chr20	13784923
chr5	133052852
chr3	129490475
chr2	207311573
chr15	40894464
chr16	17405445
chr15	64989513
chr1	161727257
chr10	43407927
chr8	134832491
chr12	57905449
chr17	82738398
chr1	32650981
chr22	32723862
chr17	44345086
chr16	29807783
chr19	10271090
chr9	130579477
chr16	69530735
chr19	11482713
chr16	1106402
chr12	115341604
chr6	15793438
chr17	7627972
chr2	237482718
chr16	4416818
chr8	20197213
chr3	5122312
chr8	73356624
chr2	203239289
chr12	121626386
chr19	4131183
chr19	14419593
chr4	47643195
chr17	41697465
chr3	120349448
chr1	226703610
chr19	5083750
chr1	236524573
chr2	218731780
chr12	55728013
chr2	74503434
chr13	110915664
chr3	114152769
chr3	197031517
chr17	40069059
chr12	120904421
chr17	60569986
chr7	13991566
chr8	101205940
chr5	140564663
chr4	163550428
chr1	209884854
chr7	23246709
chr21	42532953
chr17	62179690
chr10	71860566
chr1	184491758
chr20	50931820
chr5	172052134
chr20	5057106
chr12	71754841
chr5	69234783
chr11	2898911
chr3	149129618
chr20	31699385
chr15	90362245
chr9	89310786
chr16	58129614
chr9	33290536
chr20	50440670
chr19	13621611
chr8	58842234
chr1	23825452
chr1	236168931
chr19	12945797
chr11	36149864
chr19	1275887
chr12	105226418
chr14	105025009
chr2	99181066
chr11	9759832
chr1	52366187
chr15	88476800
chr17	56914101
chr12	64625534
chr6	43725292
chr17	19977952
chr4	76198823
chr16	21952626
chr8	58596164
chr12	108826560
chr4	168450246
chr2	145038368
chr5	154755089
chr11	70399962
chr20	1897728
chr12	51238833
chr15	58749847
chr2	70142911
chr1	20697056
chr12	53493209
chr12	56316218
chr3	186772949
chr1	236097358
chr9	87974785
chr7	23470666
chr2	42361254
chr1	20733264
chr16	88570171
chr7	30594811
chr3	57756220
chr4	70892554
chr8	81842208
chr5	78638542
chr19	48634564
chr18	58224217
chr18	58118236
chr5	1799889
chr11	68839379
chr17	40113360
chr11	72752422
chr3	186209863
chr17	8859608
chr5	133240700
chr20	48854138
chr1	156505162
chr9	37904221
chr5	140175115
chr1	54577830
chr7	4642138
chr22	40856709
chr14	32225181
chr16	57623757
chr1	36464453
chr1	85048587
chr12	106645226
chr9	121320281
chr15	83011759
chr1	114716843
chr12	105107736
chr1	25743705
chr17	51153583
chr11	57741370
chr3	194255638
chr16	2603349
chr16	2682431
chr2	20651018
chr9	19161909
chr12	103859255
chr11	35166945
chr10	43397303
chr19	19489426
chr9	122093378
chr16	29606015
chr3	4467276
chr3	37996993
chr5	173056326
chr19	14830882
chr1	45550945
chr7	100694574
chr2	219171504
chr12	3600204
chr6	134296108
chr17	64506680
chr8	631071
chr6	132511345
chr19	16447156
chr12	108690112
chr2	197435131
chr1	23809910
chr12	6230887
chr7	42912075
chr12	113272046
chr1	26050004
chr2	232697300
chr16	30123380
chr2	3605402
chr21	37267397
chr2	23360942
chr7	79452371
chr10	4018092
chr16	70801147
chr1	180502414
chr1	161314316
chr19	28883400
chr14	34130104
chr2	227325213
chr22	26483738
chr17	47492687
chr19	11435338
chr1	15603671
chr22	38019368
chr2	189441148
chr19	11203793
chr2	201158261
chr8	38528288
chr8	22552704
chr4	99950627
chr4	113468486
chr22	40951269
chr15	100601322
chr20	62146269
chr12	50504979
chr19	45133788
chr12	124869334
chr5	122775097
chr6	8814630
chr3	185768676
chr1	6026267
chr8	130193976
chr6	108261211
chr20	324467
chr18	70234749
chr16	87861840
chr18	31943142
chr22	38701427
chr17	38881675
chr19	38619086
chr6	105992615
chr10	665698
chr8	132775304
chr10	25016572
chr19	2169118
chr15	48006330
chr5	106397861
chr7	116631145
chr7	100344996
chr2	215312021
chr19	1876216
chr6	42050392
chr2	28392828
chr1	109979803
chr5	179819097
chr18	74458344
chr7	131108149
chr14	74493339
chr1	151198446
chr4	158805740
chr16	21520622
chr16	2520383
chr1	6601284
chr15	31392336
chr1	226083534
chr1	37554358
chr19	18571702
chr7	1940626
chr4	184793106
chr20	48858292
chr3	51391159
chr13	49445223
chr10	79239475
chr12	124352987
chr3	172130104
chr13	39038419
chr6	111541126
chr6	36986208
chr4	17494430
chr12	54359686
chr1	174999379
chr9	127699369
chr6	1131895
chr2	144520283
chr18	13726632
chr5	173764632
chr9	122180889
chr17	80147257
chr12	57522319
chr15	40081859
chr9	112059440
chr19	17719191
chr1	246609095
chr2	54524892
chr17	17352669
chr15	52019108
chr20	49906442
chr22	38176413
chr9	92325798
chr12	57078772
chr6	30769472
chr14	104816050
chr5	149806025
chr9	70421034
chr11	65818165
chr14	64683477
chr17	45585211
chr22	41565748
chr21	36113214
chr17	40922511
chr6	137811569
chr11	63939181
chr2	235469233
chr7	43926053
chr7	43220481
chr19	51132535
chr12	108838524
chr20	34825816
chr3	52057334
chr6	143511730
chr19	12847689
chr17	50893776
chr17	42998316
chr12	103965795
chr5	7779502
chr2	38543138
chr1	10032948
chr1	27137746
chr3	150303911
chr2	43227368
chr19	11578466
chr16	79600927
chr9	38682949
chr6	151452225
chr22	30634543
chr10	49762361
chr7	106285288
chr1	32939953
chr11	443773
chr10	118755249
chr10	70664899
chr3	170765621
chr1	222054651
chr2	164991067
chr10	97649186
chr1	202348607
chr16	24539444
chr6	42548199
chr7	73342090
chr1	208086638
chr1	9441738
chr20	4973783
chr21	39788611
chr1	25563838
chr8	41608309
chr16	23149527
chr6	150005386
chr4	82374031
chr11	59669290
chr5	271614
chr7	74279806
chr7	75106044
chr21	44517428
chr10	44311259
chr3	140941668
chr10	119104870
chr12	54032946
chr19	3985525
chr17	55238467
chr20	49776534
chr4	139784309
chr13	51275287
chr5	98965434
chr2	70136011
chr16	87847859
chr20	63434978
chr1	203861548
chr2	7008243
chr1	247104494
chr20	31666827
chr11	82864501
chr17	27951220
chr3	183370972
chr9	87792949
chr9	38381263
chr8	129685812
chr7	12686608
chr5	140401751
chr6	26217271
chr19	3266970
