Chrom	position
chr1	171454080
chr12	50419614
chr14	36790133
chr9	86572331
chr7	116066859
chr7	116048628
chr9	5630500
chr11	58911255
chr1	149860454
chr15	60812902
chr2	191185137
chr6	47198849
chr7	66385331
chr11	59312651
chr12	14707090
chr2	190647596
chr5	57754478
chr5	162521647
chr11	59578770
chr1	151170661
chr10	23385753
chr2	191879392
chr1	146715637
chr15	62358766
chr10	22629001
chr10	32229521
chr4	74574288
chr11	57545861
chr18	23669672
chr5	158691076
chr18	26372268
chr2	200775546
chr13	79981334
chr5	59996591
chr5	59065207
chr2	198300806
chr4	75240683
chr7	56174562
chr15	62765739
chr7	65703796
chr5	159743487
chr15	62430299
chr6	75244730
chr13	98021601
chr6	74406708
chr13	76248906
chr4	88345058
chr5	52856208
chr6	68071341
chr18	52613131
chr7	77395041
chr11	65266198
chr18	54306484
chr2	170656472
chr7	112758942
chr15	56789205
chr5	177018660
chr15	56244717
chr15	55710517
chr7	111603119
chr1	162467283
chr8	54857740
chr18	61647136
chr10	16479850
chr12	12764222
chr12	12848789
chr7	75795619
chr5	57079503
chr6	74365125
chr13	99325143
chr13	100150506
chr9	1915969
chr1	154191965
chr1	154194710
chr1	154955273
chr2	174398310
chr12	13250869
chr5	166806738
chr12	13046423
chr8	146054025
chr13	106556259
chr11	62388577
chr2	175114067
chr4	74486639
chr2	202646451
chr14	22642824
chr1	95535928
chr20	10416506
chr5	73712721
chr5	147472761
chr7	40172700
chr13	40690106
chr4	38622488
chr13	41224586
chr1	95534694
chr8	17623729
chr4	74472787
chr20	5731609
chr6	111748937
chr9	25602971
chr20	2645201
chr8	17660067
chr5	73534294
chr20	381877
chr13	43662297
chr5	73715361
chr20	10686924
chr12	26426502
chr13	35906124
chr4	10659229
chr15	77449251
chr17	59285918
chr5	144920004
chr10	60581466
chr12	27702135
chr4	13641747
chr15	74987681
chr17	61368974
chr15	73076790
chr4	20594281
chr13	33113585
chr6	117924342
chr6	116937115
chr4	26585244
chr5	145562524
chr15	72529576
chr17	76733307
chr1	100714568
chr2	238968733
chr18	3653412
chr2	224950907
chr4	56772868
chr13	73614731
chr1	111507267
chr2	219537179
chr8	21867313
chr2	216178075
chr9	20551650
chr5	65119467
chr11	47429374
chr6	91295541
chr5	157158040
chr10	32394330
chr1	115323526
chr13	74252000
chr4	74469598
chr18	22005975
chr8	19395127
chr13	70658472
chr13	45916600
chr12	15972796
chr4	44679854
chr2	236617636
chr13	46038656
chr4	48270817
chr4	48701937
chr7	43768043
chr6	106567170
chr12	19249964
chr11	43373840
chr4	53577991
chr7	116443361
chr13	49685283
chr9	21580888
chr5	148441767
chr2	227699145
chr6	99874249
chr13	65728931
chr14	21924890
chr1	164605500
chr4	4249198
chr1	241683599
chr14	72316022
chr7	102631922
chr4	146541433
chr6	27156194
chr7	93632813
chr11	112035146
chr14	75229525
chr1	202311565
chr14	75350389
chr2	8281266
chr1	202895397
chr14	75594831
chr2	58467592
chr14	76617892
chr6	26988409
chr14	77563635
chr1	204485232
chr2	65259086
chr19	57790886
chr14	78175675
chr15	40213678
chr6	28350850
chr2	74348003
chr2	74346932
chr2	74153416
chr7	92156621
chr6	28317329
chr2	74006388
chr15	41409157
chr11	120208812
chr2	70359733
chr4	141444873
chr11	118229868
chr19	55678521
chr14	70233423
chr11	118122437
chr2	66213028
chr11	116969873
chr1	205744940
chr15	38366238
chr14	23057345
chr6	18149020
chr14	93796279
chr14	94548176
chr4	177117139
chr2	37604376
chr11	95941350
chr6	20320077
chr8	94767795
chr2	33825171
chr1	222763758
chr14	96928838
chr2	25029636
chr15	31284674
chr14	102991692
chr2	26102005
chr8	95449013
chr8	95452846
chr2	26567796
chr1	214776062
chr2	42086754
chr2	54776765
chr2	42423279
chr4	185457954
chr4	184359658
chr1	233560781
chr8	86018957
chr6	26402241
chr11	107993385
chr8	101408011
chr11	107436704
chr14	90723731
chr6	26328159
chr4	178364027
chr14	91903487
chr2	44394670
chr2	44221946
chr8	100906295
chr4	159290053
chr7	99277198
chr8	117778258
chr8	117887537
chr19	48706832
chr6	47444531
chr15	49339109
chr8	66556348
chr6	46757536
chr4	106844682
chr19	3763326
chr15	49169874
chr11	77347606
chr11	77349169
chr2	136743768
chr4	109571065
chr2	135174860
chr1	171909819
chr1	172412417
chr4	113096016
chr11	77849973
chr19	9250691
chr19	9732484
chr11	77011509
chr15	49462073
chr7	102989421
chr7	107135682
chr15	52588506
chr18	67910847
chr15	51916755
chr1	165739013
chr5	38660170
chr11	74701073
chr7	108167449
chr4	102277874
chr2	157258638
chr15	51157873
chr1	168147816
chr7	107531186
chr2	153325623
chr14	31927148
chr6	52284530
chr6	3411630
chr1	169117650
chr19	10990216
chr4	114978968
chr5	32643065
chr12	3983011
chr14	55594184
chr1	183439879
chr2	97002510
chr14	56270131
chr7	90084788
chr1	248070127
chr14	59198710
chr1	247611064
chr6	31589588
chr14	60797932
chr5	10726016
chr1	246150237
chr2	81109401
chr14	63159483
chr1	192669905
chr6	28953171
chr14	64109537
chr14	54954761
chr6	36177746
chr8	75262190
chr12	1457337
chr19	13044841
chr6	4880930
chr4	119771934
chr11	80410000
chr19	29704491
chr12	2112575
chr15	47715907
chr15	45878827
chr19	42006898
chr10	3871226
chr19	41767957
chr4	120964897
chr8	124855748
chr4	120989127
chr19	41870583
chr8	75163367
chr7	35460587
chr6	106577789
chr2	27436366
chr12	74932778
chr3	169023030
chr7	7605918
chr17	34257175
chr12	48551756
chr16	10837324
chr12	58330394
chr3	63545864
chr12	75905908
chr15	89644508
chr15	89631032
chr3	169995897
chr22	33974184
chr22	32808610
chr5	122847272
chr12	57825478
chr7	25897000
chr5	94963777
chr7	4682550
chr3	129613280
chr5	93447731
chr3	164668841
chr12	96428125
chr3	4508313
chr7	25608381
chr7	128378741
chr10	91112156
chr12	76149789
chr16	4819131
chr9	115985078
chr12	96613479
chr12	97300477
chr3	58665354
chr12	47820366
chr22	31555597
chr12	104233858
chr17	41562583
chr3	121658057
chr5	136011971
chr1	60955526
chr7	27385736
chr3	121265240
chr12	44200752
chr12	109530844
chr9	123473116
chr1	63832557
chr12	110010580
chr1	24305410
chr1	24151265
chr7	138581054
chr12	110436575
chr9	123964651
chr5	135949703
chr10	81839359
chr10	84110186
chr7	8029405
chr7	148681008
chr1	59485881
chr3	122787222
chr7	127225923
chr22	24256615
chr7	17658137
chr6	138807998
chr12	71606595
chr22	28314243
chr16	82202736
chr5	121809499
chr17	38255018
chr7	25165539
chr6	145244033
chr7	149322451
chr10	97850300
chr17	17184950
chr7	140715248
chr6	155636736
chr1	35733896
chr16	2846458
chr3	40494046
chr12	78928643
chr17	16557456
chr3	50337774
chr11	4628821
chr12	56694656
chr7	141437120
chr3	147664298
chr15	93364063
chr12	89146690
chr9	113021529
chr7	128380449
chr3	44771691
chr6	159275260
chr1	38479013
chr1	39583590
chr3	137905500
chr3	47420666
chr3	138582722
chr12	88428943
chr12	56521449
chr12	82751144
chr10	102134356
chr3	43810743
chr6	160389492
chr17	16200793
chr7	139153573
chr12	92538145
chr17	27181467
chr3	149470759
chr10	94581623
chr6	170862770
chr12	94576987
chr5	130505923
chr9	99638595
chr3	15247239
chr1	46805439
chr3	160284815
chr1	45097014
chr17	5095999
chr3	57231547
chr15	90877220
chr1	48162937
chr17	31011434
chr7	128502488
chr12	50678080
chr12	76377170
chr10	102730657
chr12	50927106
chr1	46153549
chr3	155571101
chr12	51013409
chr3	153463851
chr3	19987445
chr3	23654598
chr12	51328846
chr12	93862226
chr1	33938783
chr7	24865445
chr10	124740643
chr7	20259350
