Chrom	position
chr3	10359197
chr1	155914642
chr6	137678851
chr1	243669347
chr13	93901011
chr1	23805569
chr6	143730650
chr12	115861448
chr5	67535477
chr4	22458104
chr4	75579560
chr16	18801570
chr3	190142495
chr1	225397019
chr4	88787374
chr12	49260905
chr8	137501570
chr8	137062417
chr8	137130272
chr16	18573506
chr1	173182289
chr5	95322838
chr3	128594597
chr3	128444929
chr16	16366690
chr13	102229534
chr8	135626605
chr5	95770023
chr5	96050764
chr11	57103400
chr8	140909074
chr3	128724651
chr8	141349247
chr8	141646297
chr8	141637530
chr13	99428542
chr2	186510438
chr13	100089335
chr19	40378396
chr1	169545714
chr8	141348829
chr5	95197273
chr19	40136644
chr3	128838624
chr16	19490927
chr7	99327279
chr2	61404252
chr18	56809166
chr5	95194663
chr13	107844842
chr1	178024433
chr1	177540992
chr18	66554747
chr6	43484619
chr8	129665771
chr18	65183373
chr5	111078445
chr1	181111794
chr8	129597506
chr3	126881865
chr3	126877864
chr5	109682767
chr18	67067614
chr16	12293515
chr11	46148891
chr8	129370403
chr18	67420205
chr5	112338297
chr1	183042689
chr3	42463974
chr16	13339749
chr16	15150073
chr1	179121239
chr18	57183779
chr22	25797004
chr3	127889929
chr1	178651745
chr7	99719908
chr1	178695479
chr2	62421811
chr13	111358622
chr19	39616501
chr3	42172139
chr18	60190080
chr22	25272057
chr3	127771032
chr13	111561164
chr2	62684259
chr1	180148118
chr11	58530351
chr11	59323907
chr8	142238765
chr19	42209562
chr19	42123490
chr3	38008947
chr3	38175288
chr11	62013185
chr11	62012878
chr3	38388213
chr13	77901350
chr13	79163549
chr8	144718110
chr7	97651017
chr3	38847465
chr8	144619847
chr13	91519735
chr19	41337961
chr16	27807514
chr2	55336840
chr8	144513089
chr1	160070996
chr13	76033296
chr1	161672201
chr11	62235409
chr13	68631444
chr2	192731770
chr11	62554157
chr7	94536860
chr2	192677055
chr11	62420854
chr1	156648000
chr19	42644480
chr7	95064409
chr20	48100884
chr7	95069896
chr16	29626480
chr1	159147268
chr13	75951320
chr2	192242181
chr8	145051356
chr1	160001781
chr7	97930484
chr19	41224925
chr18	55021319
chr8	143713601
chr7	98923571
chr16	22824653
chr18	51751184
chr1	167237181
chr18	51884251
chr8	142970883
chr8	142726296
chr11	59521635
chr3	129209249
chr5	92223144
chr1	167684798
chr1	167786565
chr11	59411106
chr1	167895929
chr16	21524077
chr1	183439447
chr1	168115256
chr5	83014237
chr5	82726417
chr3	131753997
chr8	143751435
chr13	94944542
chr19	41140586
chr19	41113313
chr6	47156516
chr3	130465655
chr1	162217218
chr5	80272968
chr5	80649174
chr16	25056468
chr5	81147844
chr6	47103701
chr7	98690121
chr1	163144780
chr7	98788453
chr11	61103864
chr2	55844800
chr5	82420615
chr6	43456532
chr2	178262730
chr11	45907057
chr6	36997247
chr5	134492667
chr2	170683896
chr19	36103616
chr3	123244976
chr1	211810043
chr1	211816798
chr3	123005321
chr2	68290178
chr19	935071
chr1	207378581
chr5	135309240
chr19	35949868
chr16	1883198
chr11	17373251
chr1	212402315
chr1	212417972
chr5	135394379
chr8	110620235
chr2	171265776
chr2	171386912
chr8	118993123
chr20	52684312
chr19	719230
chr3	123324906
chr19	36319773
chr8	121457394
chr19	770454
chr3	123324111
chr16	2610950
chr19	36274655
chr1	208305681
chr3	45698458
chr16	2535223
chr5	134094402
chr8	119356387
chr16	2391049
chr8	119124096
chr8	119042132
chr22	23470782
chr20	54967538
chr1	212650653
chr6	36534432
chr2	166991094
chr1	219483805
chr7	107999197
chr6	35336451
chr16	501796
chr1	219794567
chr7	110163099
chr14	33045485
chr1	220445885
chr16	220177
chr19	1291089
chr8	101733148
chr20	56785057
chr7	111802385
chr8	101500239
chr16	61049
chr5	139955142
chr11	10783060
chr8	103669728
chr3	47040201
chr6	36409368
chr7	107675224
chr16	1481016
chr2	169104400
chr5	137558687
chr22	22442775
chr5	137688221
chr1	213547847
chr7	106810292
chr5	137843348
chr3	122292092
chr19	35558173
chr6	35941722
chr7	107497446
chr1	214435028
chr11	13987110
chr19	1113571
chr1	214851914
chr5	138897680
chr19	36370871
chr1	207326446
chr1	183669016
chr8	126243116
chr19	39192273
chr5	121297631
chr11	43598731
chr8	126464436
chr7	100701869
chr3	42895473
chr5	123935434
chr6	42714779
chr16	8957780
chr8	121787607
chr6	42185655
chr2	64873660
chr22	24339484
chr6	42119381
chr1	202012594
chr5	127537193
chr2	64975112
chr3	124553954
chr20	50211724
chr3	42861100
chr18	71916613
chr3	125897969
chr18	44786901
chr1	183965778
chr13	113874655
chr18	68001210
chr5	115910594
chr1	185615570
chr1	185643498
chr3	126184480
chr7	100321466
chr6	43235590
chr16	11233418
chr5	116198973
chr8	128231313
chr1	196370139
chr18	70211710
chr2	178029468
chr22	24655635
chr1	202777576
chr3	44363077
chr16	4509670
chr8	123769494
chr7	102119387
chr6	39902183
chr19	36611167
chr19	550222
chr6	39855689
chr1	205678994
chr5	133434509
chr19	36466728
chr6	38123153
chr16	3018949
chr3	45659174
chr19	591669
chr16	2961925
chr11	20180381
chr8	121881069
chr8	121851713
chr8	121822103
chr16	3207430
chr8	123772630
chr5	131332615
chr2	172968748
chr5	131348418
chr3	124552949
chr1	203242413
chr16	4396014
chr3	44771099
chr1	203764703
chr6	41440677
chr16	4340400
chr3	124449223
chr5	131894494
chr7	101777914
chr7	101880126
chr6	40965506
chr22	23747050
chr3	124271291
chr11	27497376
chr3	123936579
chr1	156326893
chr18	44781112
chr11	62572893
chr11	68613087
chr22	31985503
chr5	36154041
chr13	24190014
chr20	43408994
chr6	100449970
chr16	69166029
chr5	36373721
chr3	24538222
chr19	45999774
chr5	34687125
chr3	27323333
chr13	25497146
chr9	35665213
chr3	148966162
chr3	27402166
chr2	210636483
chr7	73709168
chr9	35604055
chr16	69364583
chr1	110577167
chr7	73130252
chr2	215275831
chr3	24404950
chr3	149111337
chr16	69874096
chr11	69483102
chr1	109935759
chr11	69473014
chr13	21675433
chr11	69459248
chr13	21871312
chr3	24406792
chr2	215718759
chr1	110306547
chr18	12741493
chr16	69470327
chr11	69312142
chr18	12838305
chr16	69385607
chr5	37718326
chr1	113569787
chr2	43603121
chr7	74307061
chr3	146344648
chr1	117028013
chr22	31619990
chr6	88381582
chr13	31366959
chr1	118364565
chr2	44243621
chr22	31615844
chr16	66642669
chr3	145236625
chr1	119503409
chr3	142682660
chr3	30300598
chr19	45582496
chr16	64193121
chr13	32633876
chr16	58790500
chr1	116915759
chr6	88508739
chr1	113931445
chr7	74291031
chr18	13216244
chr11	67867127
chr6	90605218
chr13	28366633
chr3	148932695
chr13	28404238
chr18	13824088
chr11	67398212
chr9	34494142
chr18	18844822
chr18	19130796
chr11	67396896
chr1	115259429
chr5	39437778
chr3	146902731
chr13	30689298
chr18	19560919
chr5	34839336
chr11	69517221
chr11	66738578
chr1	94529081
chr12	131011538
chr22	33698232
chr5	14207803
chr12	131311020
chr7	65607477
chr2	219260925
chr9	73029064
chr5	14664644
chr19	46804285
chr13	21524639
chr1	94582187
chr9	71650623
chr5	15008822
chr19	46455998
chr5	16179080
chr12	132345491
chr22	32980155
chr3	17462392
chr5	13867129
chr7	65470289
chr5	10962393
chr12	127765436
chr16	78517496
chr9	74736637
chr12	125412488
chr16	78331128
chr19	47207878
chr20	40322201
chr2	219524420
chr22	33974087
chr9	74341066
chr3	150916361
chr1	92952568
chr2	219309498
chr1	93352623
chr1	93416879
chr18	9808624
chr18	9814652
chr18	9870075
chr1	95427379
chr1	95428636
chr1	95479143
chr16	71645099
chr5	32174522
chr3	149470319
chr16	71501846
chr2	217237086
chr7	72395585
chr6	107317055
chr12	133758035
chr11	70980009
chr5	32613359
chr19	46240472
chr2	216698732
chr11	70496604
chr18	12039149
chr20	42876976
chr7	72739651
chr11	69816605
chr16	70285872
chr9	38381241
chr7	72147933
chr9	44750542
chr6	107563165
chr16	72982056
chr11	72388023
chr11	72336927
chr12	132628945
chr9	69381720
chr18	10914838
chr12	132638594
chr1	95587991
chr11	72145421
chr11	72128982
chr11	72125398
chr19	46377220
chr11	72109240
chr18	11005657
chr6	107814481
chr22	32503126
chr9	38443387
chr13	32713614
chr9	33139941
chr8	101347088
chr16	47691096
chr16	48475902
chr18	32735792
chr18	32811143
chr1	153918377
chr1	153926617
chr11	64764469
chr20	46415435
chr9	4700229
chr13	50181353
chr5	59967893
chr16	47509853
chr18	33756319
chr18	34850200
chr7	90032766
chr6	64220185
chr13	50467969
chr1	154670894
chr3	137893695
chr9	6015678
chr6	69942945
chr18	32559303
chr11	64933511
chr1	151032080
chr7	80128819
chr5	60597800
chr9	6900600
chr9	6899466
chr9	6898032
chr19	44763974
chr7	80241342
chr18	30383772
chr22	30112911
chr20	46122336
chr3	140418893
chr13	46683699
chr5	64397110
chr1	152128532
chr1	153395118
chr1	153425069
chr7	90893684
chr11	64122754
chr3	34053785
chr2	198478462
chr7	92463453
chr6	54794531
chr1	155959347
chr8	145911484
chr11	62895767
chr2	197664442
chr2	197594323
chr3	37271398
chr13	53416732
chr1	156056256
chr1	156060712
chr2	54054178
chr7	94250224
chr13	67804654
chr2	194293265
chr1	156195387
chr2	54198344
chr1	155579787
chr6	56548936
chr3	136742364
chr5	73704395
chr5	72143974
chr1	154990115
chr1	154997902
chr6	56911436
chr22	29314220
chr9	614063
chr16	31117270
chr5	72840519
chr22	29308077
chr5	72919892
chr18	39694476
chr18	42259060
chr5	72974431
chr2	48648063
chr1	155225286
chr2	200320549
chr11	63775414
chr16	52225643
chr16	52432603
chr5	43065127
chr3	31289841
chr5	52773060
chr13	34594214
chr6	83775440
chr5	52774751
chr6	82804349
chr5	53813449
chr11	66112619
chr18	22657117
chr1	145414485
chr5	59785901
chr1	145399312
chr3	31330358
chr13	37573393
chr5	55308702
chr1	148248145
chr11	65990342
chr16	56953373
chr5	52760709
chr1	145827004
chr18	21641830
chr9	140779198
chr13	32717199
chr13	32955832
chr20	44669715
chr1	148766983
chr1	149680250
chr5	43432790
chr1	121264017
chr16	58131311
chr13	33700449
chr2	45500841
chr20	44859766
chr9	32136944
chr16	57791287
chr5	52293441
chr5	52315409
chr16	57701531
chr5	52327680
chr6	82573033
chr7	75878785
chr13	40647057
chr2	46636203
chr1	149911157
chr9	15280244
chr1	149982704
chr6	78544450
chr3	141080075
chr9	15080185
chr1	150446329
chr1	150459754
chr18	29138723
chr7	77238347
chr16	52607716
chr16	52599251
chr1	150898755
chr5	59743566
chr16	52526952
chr19	45222003
chr6	74290199
chr13	41360820
chr19	45303924
chr19	45348187
chr3	141089140
chr13	40906177
chr1	147084351
chr5	55507514
chr3	32086985
chr1	147280317
chr6	80173645
chr22	30787281
chr6	79944422
chr16	56048055
chr13	41114685
chr6	79867960
chr16	54662914
chr9	16653761
chr16	54464569
chr3	141131892
chr5	55972349
chr1	149605501
chr1	223254884
chr19	34745359
chr2	163697316
chr6	401431
chr10	60228541
chr15	45272005
chr19	9896728
chr10	60766563
chr15	45128487
chr15	45123166
chr19	17378273
chr15	45018985
chr6	422921
chr10	50815176
chr6	693118
chr7	149823102
chr14	76120661
chr14	76455718
chr8	27348718
chr10	63798597
chr10	63809063
chr19	10112790
chr3	69134142
chr21	34949275
chr7	149321874
chr8	27631947
chr2	114341570
chr10	51827707
chr19	8747957
chr8	28514936
chr21	34144441
chr10	51994484
chr10	106013042
chr10	52261851
chr15	48483240
chr10	52331889
chr21	34632491
chr3	71202214
chr15	45933774
chr5	180611286
chr5	180634788
chr15	45493378
chr15	45490865
chr19	10120241
chr6	1268808
chr15	43398283
chr14	77675222
chr6	26260534
chr2	112286805
chr21	36209093
chr14	78174396
chr14	78283832
chr19	16600008
chr19	10806642
chr7	150869820
chr10	71728783
chr8	22963540
chr14	79329703
chr14	80935189
chr2	111435695
chr9	69654929
chr7	151201210
chr2	111056840
chr15	40391118
chr10	70636471
chr6	2999590
chr19	10230629
chr19	10676634
chr2	88427600
chr14	77435206
chr19	10317047
chr10	104813729
chr10	65498434
chr6	2354288
chr21	35987710
chr2	88512097
chr15	41860841
chr3	67346637
chr15	41788340
chr7	150705975
chr15	41552190
chr7	150715433
chr3	66859563
chr3	66531663
chr10	70287305
chr10	50970461
chr5	179499239
chr1	223351211
chr6	27640094
chr10	33269624
chr3	78226214
chr7	140179222
chr10	33482461
chr8	37857621
chr15	59704973
chr15	59569077
chr10	114847344
chr6	27636419
chr14	75365558
chr5	176038541
chr5	176088016
chr5	176264814
chr10	34819960
chr10	114656221
chr19	7627896
chr8	37449096
chr5	176797950
chr2	120502109
chr15	60666964
chr15	60672171
chr14	70540844
chr14	70156932
chr3	52035660
chr14	70207980
chr2	121223802
chr10	118976338
chr10	118927828
chr8	38612014
chr2	121199794
chr5	173251316
chr3	78893693
chr6	27799359
chr14	70312710
chr21	18873940
chr14	70472221
chr3	52162313
chr7	139952717
chr8	38036761
chr3	73006615
chr10	114501940
chr19	17958797
chr6	27300777
chr15	52311348
chr6	27261684
chr8	30173260
chr15	51973723
chr19	8333988
chr21	33302057
chr10	51572401
chr15	51606090
chr21	46432459
chr10	51563637
chr21	33942274
chr2	114647448
chr15	51199329
chr6	26596200
chr15	51011109
chr8	29631081
chr10	106584369
chr3	72192655
