Chrom	position
chr2	233415383
chr9	41954824
chr4	114683320
chr5	16867115
chr9	35814714
chr2	223316244
chr17	36690557
chr1	42179731
chr17	37057848
chr16	4668775
chr12	110215465
chr8	27472009
chr5	141017109
chr2	100938971
chr12	115141967
chr6	157392109
chr6	158652798
chr21	45285797
chr16	3099716
chr21	44392208
chr10	114143290
chr8	25806304
chr17	40172204
chr19	42299015
chr12	120826720
chr16	10674334
chr3	89228962
chr1	46986400
chr5	150181081
chr1	46908333
chr12	69005386
chr16	24999273
chr19	1445087
chr19	1325184
chr12	85675565
chr5	170890812
chr11	805509
chr5	167742299
chr12	90103700
chr16	27327111
chr19	1237228
chr11	448334
chr10	135207843
chr19	1017124
chr12	95598386
chr1	44351109
chr1	163290911
chr8	101921658
chr16	15241269
chr10	123263412
chr12	66696487
chr5	130599474
chr17	46184968
chr17	46309551
chr1	27248659
chr5	90679377
chr8	11532686
chr19	46273753
chr9	114246692
chr3	158441259
chr3	160416228
chr5	76070498
chr15	82415310
chr3	169487420
chr3	171178909
chr17	47979569
chr1	25348157
chr20	61734410
chr13	88323559
chr19	48829518
chr2	64995246
chr7	42896909
chr10	75617323
chr13	33160689
chr3	154745275
chr9	108006685
chr13	21900402
chr16	1480909
chr16	1159751
chr1	33830076
chr18	56339352
chr2	235866313
chr2	85843443
chr5	121988949
chr7	7760039
chr17	43900579
chr13	22211573
chr5	95048199
chr3	142695608
chr15	93198620
chr13	26456272
chr2	238969197
chr10	97416287
chr7	23471400
chr9	101984827
chr8	16884486
chr8	12052476
chr5	176433364
chr11	8103306
chr17	53800641
chr16	69428610
chr19	15409570
chr16	77904468
chr16	75292812
chr3	23121681
chr8	126676792
chr12	1640938
chr8	131371227
chr16	73399196
chr6	76458555
chr1	149871202
chr16	73023637
chr22	46370616
chr11	67138078
chr12	6098007
chr1	150540847
chr16	71918355
chr3	27674126
chr2	200324549
chr6	30181066
chr12	8396364
chr3	32542557
chr8	125212619
chr16	81439635
chr16	81602053
chr11	118045808
chr6	42858363
chr16	87799747
chr11	94467774
chr3	10479081
chr11	91605265
chr1	114446511
chr2	179058639
chr6	37123334
chr11	116969489
chr8	97172737
chr3	14646740
chr22	50689724
chr16	84681841
chr11	75378417
chr6	35420224
chr17	1391717
chr1	110719176
chr11	120983465
chr6	54911934
chr17	1552112
chr1	87293860
chr16	69364687
chr11	9482466
chr17	5370935
chr2	149267102
chr6	7727674
chr1	62773760
chr2	145769971
chr1	59579764
chr3	50375289
chr8	42996605
chr6	3163050
chr16	31891821
chr2	132430314
chr11	33795583
chr12	54509874
chr8	41570747
chr12	56366056
chr6	127468923
chr12	57472431
chr9	33415886
chr16	30007710
chr11	12352498
chr5	179234420
chr6	136870036
chr9	13279823
chr17	16281481
chr6	11921371
chr8	145017031
chr12	9436375
chr3	37035158
chr16	67850712
chr22	42258377
chr6	27445302
chr17	7308559
chr6	97243012
chr16	67490775
chr2	162016515
chr2	161098442
chr12	46950166
chr12	27678502
chr6	25450243
chr11	62477264
chr17	7893367
chr11	59435952
chr11	57062452
chr6	17167921
chr16	57539279
chr1	155048147
chr1	23854986
chr6	169825171
chr7	77649702
chr18	29963205
chr17	61921502
chr5	1524448
chr4	153601038
chr18	5896109
chr4	75023627
chr7	100017637
chr18	29264329
chr4	122872944
chr2	12856734
chr7	131242800
chr3	193858719
chr15	74044864
chr13	113366167
chr7	142960639
chr7	73156712
chr1	12538366
chr7	70175034
chr19	50086718
chr4	5053231
chr4	6472989
chr7	130794920
chr17	77778156
chr7	100076980
chr1	17553045
chr15	41039462
chr4	129522605
chr20	5093849
chr14	24768813
chr1	229693780
chr20	50477245
chr15	68901374
chr19	59086913
chr14	75418406
chr14	31676371
chr4	981240
chr14	33403505
chr7	140179186
chr15	42444137
chr14	23611550
chr15	67356560
chr15	41709748
chr7	75544350
chr2	38242219
chr7	100291235
chr20	9147031
chr14	36003518
chr4	71571331
chr20	30181400
chr17	76932291
chr10	30725326
chr20	30458612
chr17	79030950
chr4	36246376
chr17	79819160
chr17	79367057
chr10	29935273
chr4	95503854
chr15	29130867
chr20	44660589
chr10	33294763
chr7	128829431
chr9	126169112
chr4	6785187
chr2	42396986
chr7	96634719
chr10	22843792
chr2	43531228
chr1	9950600
chr19	56166555
chr5	61434612
chr4	187407039
chr10	1103069
chr3	185543035
chr7	148581831
chr6	108982761
chr6	107996515
chr17	20946918
chr6	107814569
chr7	100425441
chr11	47208956
chr11	18610379
chr17	11900540
chr17	72849013
chr20	44485812
chr7	99845165
chr11	57424916
chr11	60889010
chr22	28172419
chr17	26988790
chr17	72450593
chr10	17390926
chr10	17495506
chr22	39918883
chr17	8204193
chr22	39541173
chr11	60771834
chr11	17229819
chr17	73266379
chr11	59384186
chr22	39639881
chr17	26732937
chr6	106558271
chr11	46402777
chr22	38710435
chr6	112359236
chr6	117996293
chr22	31885250
chr11	34460282
chr11	62538937
chr11	44307944
chr17	73084439
chr11	36650455
chr10	22518300
chr10	22886174
chr22	36925005
chr10	22614858
chr11	43991273
chr17	17207231
chr11	43598274
chr22	36784446
chr6	112576290
chr11	33800350
chr22	37172669
chr11	45168069
chr10	21784910
chr17	73263702
chr6	126167682
chr6	113964157
chr11	46259373
chr17	15848991
chr11	30606245
chr17	19551237
chr22	30821825
chr22	38071150
chr10	21463518
chr11	45825729
chr22	31265174
chr20	43280624
chr22	37956111
chr11	45179895
chr6	99963402
chr10	74870310
chr11	63478232
chr11	73471416
chr6	53213950
chr7	117824307
chr17	1148145
chr6	53412750
chr7	117513907
chr17	1171892
chr11	74460629
chr10	1034187
chr17	78388808
chr17	78235157
chr6	56911423
chr6	52926526
chr17	77813658
chr20	33110859
chr6	56912855
chr11	71936647
chr6	57037263
chr20	33535942
chr6	57087285
chr6	57182541
chr7	113726220
chr6	64283687
chr11	75917819
chr6	52435387
chr22	41418696
chr3	4508758
chr3	9005051
chr6	43423579
chr16	89254109
chr1	244816577
chr3	4948122
chr3	4573250
chr3	4535697
chr3	4534109
chr16	89787028
chr6	43970748
chr16	89903470
chr7	123387856
chr6	44202511
chr1	245082002
chr20	31071886
chr16	89904381
chr11	79148824
chr1	246860012
chr20	31226841
chr17	836797
chr17	872699
chr22	50701015
chr11	69958107
chr22	46545943
chr6	70572118
chr17	7255277
chr7	104619978
chr20	36154902
chr10	13389209
chr11	65197777
chr17	74556321
chr22	42950094
chr6	90120920
chr22	42314402
chr17	27895451
chr20	36662013
chr10	15130684
chr22	46474686
chr10	15139480
chr7	101372970
chr22	42228455
chr22	42063444
chr22	41951440
chr7	101007175
chr6	99271944
chr7	101006218
chr7	100493213
chr10	17269869
chr17	5015293
chr11	65383771
chr7	104653210
chr20	34207485
chr22	46468362
chr17	2496582
chr22	46449897
chr17	76836446
chr11	68082170
chr10	6187204
chr20	33681175
chr6	76459191
chr10	7708782
chr7	107655731
chr10	8097709
chr10	11059527
chr22	45080648
chr6	83775448
chr17	3795561
chr10	11194943
chr17	75417224
chr17	4401907
chr11	66313369
chr17	4402711
chr6	86388942
chr10	24759222
chr6	142634731
chr17	28171951
chr7	76023172
chr10	99400831
chr17	44344680
chr17	61678255
chr20	52209232
chr17	44848471
chr17	44849663
chr20	52209875
chr10	99257575
chr21	33031785
chr21	32893226
chr17	60994320
chr10	97227183
chr10	95753965
chr10	94609615
chr17	45771789
chr21	27543011
chr17	45918564
chr17	60782015
chr17	45973169
chr10	70321854
chr7	27136122
chr17	46125905
chr7	27187061
chr7	74408248
chr17	61818999
chr17	44302885
chr10	63660592
chr7	75947647
chr10	104526824
chr17	41910076
chr17	42154329
chr10	104210780
chr10	103991799
chr7	1178294
chr7	1543877
chr10	102826261
chr17	42918510
chr10	63662253
chr7	20636508
chr10	102759223
chr7	5462217
chr17	43398516
chr10	101769065
chr7	6655810
chr7	8010759
chr7	12443467
chr17	43697563
chr21	33983953
chr21	33651691
chr21	16438184
chr10	70360292
chr17	58679557
chr7	42192398
chr17	48609262
chr7	37487431
chr7	38671049
chr10	77700863
chr20	61905358
chr10	77292579
chr7	41026107
chr20	60696962
chr20	61558084
chr10	76871560
chr7	51384985
chr20	62258670
chr17	55333198
chr17	48942841
chr20	61492188
chr7	47267568
chr10	74036856
chr7	42951744
chr17	55163639
chr10	75571066
chr20	61148721
chr17	54670336
chr17	48228934
chr10	80830462
chr17	58603468
chr7	30066667
chr10	71334599
chr17_gl000205_random	86631
chr17	46572027
chr10	72032641
chr10	72218563
chr10	88853863
chr20	62694241
chr10	72692223
chr10	88471919
chr7	30029103
chr17	46714109
chr20	59828597
chr17	46806798
chr17	46971173
chr7	30839304
chr7	64712705
chr17	56402148
chr7	56119238
chr17	47021882
chr7	32931890
chr10	81002575
chr17	56234581
chr10	104536034
chr21	38338575
chr17	72448547
chr10	104677227
chr22	24093513
chr7	96221799
chr20	46927894
chr22	23487784
chr22	22337146
chr10	33625311
chr6	146056827
chr20	47237652
chr10	135132157
chr17	35292613
chr17	35293945
chr10	35626333
chr22	20194512
chr10	134121116
chr10	131909699
chr17	36178503
chr10	131762445
chr10	35782479
chr17	36180454
chr10	35932519
chr22	19996074
chr10	127585289
chr6	150735091
chr22	24988527
chr7	96636040
chr20	46418458
chr11	6628254
chr6	139095001
chr17	28928336
chr6	139309369
chr6	139349843
chr10	26222912
chr11	7041250
chr17	72426707
chr7	98399774
chr20	44718681
chr10	29111839
chr6	140303067
chr11	1848591
chr11	3881074
chr17	53809816
chr10	32048240
chr11	3444684
chr10	32048943
chr17	29860668
chr6	143265887
chr10	33246602
chr11	2165398
chr11	2161078
chr6	151025786
chr10	38265336
chr10	43633439
chr10	112425091
chr17	38573820
chr20	49407466
chr10	116391828
chr10	116383485
chr17	39042490
chr20	50104745
chr10	114658503
chr17	64344833
chr6	166581139
chr6	166797010
chr17	40828798
chr10	119133801
chr21	40327660
chr17	40985158
chr10	111970670
chr10	111968256
chr7	80402240
chr17	41277261
chr7	192376
chr17	63552640
chr17	41623469
chr17	41653405
chr20	49341753
chr6	158407239
chr20	48531896
chr10	121631716
chr17	36741677
chr10	126218999
chr17	36862531
chr10	123734725
chr22	17566014
chr10	123358204
chr14	105560216
chr10	123098856
chr7	87257128
chr10	121632583
chr21	47393281
chr6	157801078
chr17	37617899
chr17	66453072
chr6	157099325
chr6	157104910
chr21	46714834
chr6	157259491
chr10	120495016
chr10	44070086
chr20	48902365
chr10	119625749
chr16	88844440
chr16	72047388
chr11	101982624
chr3	168864194
chr13	97900676
chr13	97876459
chr13	97874819
chr3	183852092
chr13	96742211
chr5	66255150
chr5	66256457
chr15	75661364
chr13	95365581
chr15	75748748
chr5	68665707
chr15	76631105
chr5	71543034
chr15	77357210
chr15	78203209
chr13	74708041
chr5	72512218
chr15	78358869
chr13	73355908
chr5	72733462
chr5	72747391
chr13	64649315
chr13	60970223
chr5	73317064
chr13	52025704
chr13	50931989
chr3	169489692
chr3	183894331
chr5	64331639
chr15	75287705
chr5	52083639
chr3	194802165
chr14	20881433
chr5	39073625
chr13	114462329
chr3	194071025
chr3	194033777
chr3	194033458
chr13	113344008
chr5	43121073
chr13	113242094
chr15	73260359
chr3	192127263
chr5	52775835
chr13	99228594
chr13	111566621
chr3	187455848
chr13	111364192
chr15	74392559
chr15	74674793
chr5	56112072
chr3	186288601
chr5	57878752
chr3	185543579
chr15	75165522
chr15	75249295
chr5	60139861
chr13	50511148
chr15	83680105
chr5	37247064
chr15	83875748
chr15	91478755
chr5	102147938
chr5	106969190
chr15	96807939
chr3	142315064
chr15	96884150
chr5	111091837
chr15	99190517
chr13	20749275
chr12	133463791
chr12	133337917
chr5	115910589
chr5	116178337
chr16	128029
chr5	118664665
chr16	168041
chr3	136538042
chr12	125670246
chr16	420731
chr16	438139
chr16	451540
chr16	476607
chr16	577206
chr16	634084
chr5	124238013
chr5	124744436
chr12	123755069
chr3	146262037
chr13	27543301
chr13	27557388
chr13	34731255
chr13	45013912
chr5	79552127
chr15	85290888
chr3	159482640
chr3	157824947
chr13	41635808
chr5	87986795
chr13	41185782
