Chrom	position
chr19	6292239
chr2	172488049
chr12	31835290
chr3	15698022
chr4	25225570
chr21	39601386
chr8	125989151
chr3	128578583
chr2	240857216
chr1	246678813
chr7	149226390
chr12	111742574
chr19	58077971
chr20	36966285
chr2	173390505
chr18	77782861
chr2	6985684
chr16	75156017
chr16	3458774
chr19	22130784
chr8	8216185
chr7	111436930
chr2	160944553
chr7	99129091
chr7	111582950
chr12	49110668
chr3	138487145
chr7	86957820
chr19	30181975
chr22	19304422
chr7	64869145
chr3	101027190
chr7	138212589
chr22	45007969
chr20	36871434
chr8	144751441
chr9	125667787
chr22	50161095
chr20	322616
chr11	10066416
chr3	128573422
chr12	32197064
chr17	75163985
chr17	75170906
chr12	82752300
chr20	54775679
chr15	80208306
chr13	41723012
chr18	19192235
chr1	163291611
chr19	9784682
chr8	69807367
chr14	106765199
chr7	66541318
chr19	23128565
chr13	52641489
chr7	46508556
chr6	33069102
chr6	18824202
chr2	109335874
chr2	114361834
chr16	10502849
chr5	171406788
chr12	1058887
chr16	50705778
chr17	37203365
chr17	26589346
chr19	58708568
chr3	129636419
chr2	3622754
chr18	44711202
chr17	26022469
chr3	123309730
chr19	2933650
chr15	34453724
chr3	119764519
chr17	57642810
chr2	31919164
chr3	38474535
chr7	121145818
chr20	25383424
chr9	90659293
chr14	67960236
chr7	5085435
chr4	39368028
chr19	50529317
chr15	80212645
chr5	117049483
chr7	72201041
chr21	34739942
chr1	191782943
chr20	40228664
chr7	50651178
chr7	56174368
chr20	44029439
chr13	50037552
chr1	12700423
chr19	12638398
chr8	42979725
chr10	37611643
chr10	27793173
chr9	37079515
chr6	4488817
chr13	48669290
chr12	32059955
chr19	9634773
chr9	37120107
chr3	87664840
chr2	128577864
chr2	213728039
chr5	114880980
chr10	5207889
chr22	43492634
chr1	151880071
chr18	48724697
chr1	145096384
chr3	48655207
chr13	52322489
chr9	94692832
chr7	6714785
chr21	39596028
chr22	43583723
chr5	151109402
chr7	33110094
chr12	104628894
chr4	6060455
chr7	66717125
chr7	137873203
chr1	31931335
chr7	5104169
chr7	131021837
chr21	30257610
chr10	58130699
chr14	103671254
chr6	4384473
chr16	30108437
chr2	156261382
chr12	1530462
chr3	119758676
chr19	10947324
chr17	55927567
chr16	3433180
chr10	5726518
chr12	32076106
chr15	34446989
chr11	43902291
chr9	115046341
chr10	100106823
chr9	138539961
chr1	67533550
chr7	152430544
chr11	17393357
chr17	15620419
chr20	13765560
chr6	28294400
chr17	66328257
chr17	45570005
chr7	121151133
chr8	145143408
chr19	58126911
chr1	15930243
chr12	50892103
chr1	183441183
chr19	8922176
chr7	86834472
chr8	131841377
chr3	183371190
chr11	59691529
chr12	10063605
chr8	144054887
chr5	173019273
chr10	127642513
chr2	103417762
chr9	35604041
chr2	86727667
chr2	232275114
chr2	129226980
chr13	21139686
chr2	43249538
chr13	115000267
chr2	238871292
chr1	245370535
chr11	35684761
chr1	244739763
chr1	244615592
chr1	29706122
chr2	2617260
chr12	9506772
chr4	65096638
chr19	58619291
chr1	218681153
chr14	70826483
chr20	32324984
chr12	101079321
chr19	42170228
chr7	100025857
chr7	96746833
chr1	151710172
chr7	141438092
chr15	64680016
chr7	124569975
chr2	174210981
chr22	22813717
chr22	20067438
chr17	49230911
chr8	126201427
chr3	149470350
chr1	45452336
chr17	47022324
chr7	139024961
chr21	30899075
chr1	9349215
chr3	42956580
chr22	24267583
chr11	109924747
chr8	17998567
chr11	76526940
chr3	142720323
chr19	2783548
chr12	46384574
chr3	98878070
chr14	102207441
chr9	125703021
chr1	186051577
chr5	71696972
chr1	244737270
chr10	17305792
chr1	148241553
chr16	87851162
chr18	20850081
chr1	16833036
chr13	111610100
chr7	39921938
chr14	93445161
chr16	3367520
chr19	45393795
chr11	63559427
chr6	150618689
chr8	23457985
chr20	25495590
chr2	139183830
chr1	117286342
chr6	84577492
chr9	128771495
chr4	89041256
chr12	32822742
chr1	212999395
chr4	106629876
chr8	102768688
chr2	43511713
chr12	104626584
chr4	116936428
chr18	29554104
chr17	34842378
chr7	23693760
chr2	29117340
chr18	29358529
chr1	18081752
chr2	62552700
chr19	9597892
chr1	235833681
chr12	31761415
chr4	178219352
chr1	171692544
chr9	36793489
chr5	137688140
chr19	247227
chr2	9771484
chr7	96342567
chr7	154726327
chr15	43653767
chr19	13030053
chr2	12364060
chr8	91628909
chr17	41457845
chr1	168421780
chr11	70295314
chr19	7083425
chr2	191885121
chr8	132021496
chr11	74538139
chr14	39525451
chr7	149408073
chr10	35732971
chr18	68110364
chr1	1655888
chr16	66586534
chr9	128508610
chr8	140873379
chr19	22327380
chr18	67894849
chr20	16710588
chr6	131949488
chr19	16993130
chr10	29134138
chr6	27420372
chr15	100713019
chr6	25158255
chr11	14175849
chr8	94920539
chr9	130611572
chr7	65730785
chr20	277934
chr4	88164764
chr6	106773675
chr17	58569381
chr17	56989304
chr11	37415990
chr6	107769075
chr6	111303242
chr17	58213144
chr15	56524465
chr6	35876772
chr11	93394685
chr8	56457833
chr12	133682979
chr22	29243179
chr3	99898717
chr5	6821186
chr16	10541363
chr5	153320990
chr22	33102318
chr8	62492909
chr10	97889734
chr12	126554353
chr6	27356703
chr2	74347530
chr6	28156123
chr12	31902071
chr6	88741474
chr5	150284472
chr2	65145031
chr6	31184474
chr12	3515166
chr4	129186932
chr10	17304721
chr2	201390776
chr8	54935017
chr6	39960971
chr2	128800828
chr8	54451153
chr6	63362778
chr3	10287122
chr6	118895603
chr19	56146312
chr17	28281625
chr12	89919880
chr1	35325488
chr13	42845990
chr19	14829589
chr19	16332191
chr20	47903653
chr1	52682770
chr7	127225819
chr7	129710152
chr18	67386359
chr19	21518716
chr3	142695637
chr1	151162679
chr17	278400
chr12	94816121
chr4	4976675
chr1	186717017
chr12	88536051
chr3	196483806
chr9	140597242
chr2	170440747
chr19	2834376
chr7	99775431
chr19	5535128
chr17	5713101
chr19	2740198
chr12	71830229
chr20	62776987
chr3	193432508
chr7	106470145
chr12	72233477
chr12	11324256
chr11	69796394
chr22	42511472
chr1	172589961
chr11	74660184
chr2	12845606
chr7	133774412
chr1	192134320
chr11	77850683
chr3	170626629
chr6	158379280
chr11	59936959
chr8	111810971
