geneName	chr	start	end	strand	avg_exp
A1BG	chr19	58856544	58864865	-1	5.44739992606268
A1CF	chr10	52559169	52645435	-1	0.368832547431156
A2M	chr12	9220260	9268825	-1	162.738589366792
A2ML1	chr12	8975068	9039597	1	0.644028666516316
A3GALT2	chr1	33772367	33786699	-1	0.36315591372251
A4GALT	chr22	43088127	43117304	-1	0.0692462760542727
A4GNT	chr3	137842560	137851229	-1	0
AAAS	chr12	53701240	53718648	-1	79.3463557525204
AACS	chr12	125549925	125627873	1	5.66603301728136
AADAC	chr3	151531825	151546276	1	0.0328909826724516
AADACL2	chrHSCHR3_1_CTG2_1	151462242	151489665	1	0
AADACL3	chr1	12776118	12788726	1	0.00688221082033303
AADACL4	chr1	12704566	12727097	1	0.0172400752561009
AADAT	chr4	170981373	171012850	-1	0.464207275064083
AAED1	chr9	99401859	99417585	-1	6.36370377458296
AAGAB	chr15	67493371	67547533	-1	49.3587750188267
AAK1	chr2	69688532	69901481	-1	119.507070514888
AAMDC	chr11	77532155	77629478	1	8.91184634752331
AAMP	chr2	219128850	219134980	-1	84.3459658654241
AANAT	chr17	74449433	74466199	1	2.11608083053927
AAR2	chr20	34824381	34858840	1	12.5544665290281
AARD	chr8	117950438	117956726	1	0.075887501395603
AARS	chr16	70286198	70323446	-1	49.769956674293
AARS2	chr6	44267391	44281063	-1	10.8310078048299
AARSD1	chr17	41102543	41116515	-1	32.0416511974958
AASDH	chr4	57204456	57253666	-1	27.1418616509836
AASDHPPT	chr11	105946228	105969437	1	22.0987222346266
AASS	chr7	121715701	121784334	-1	5.72231617866378
AATF	chr17	35306175	35414171	1	60.9130910160853
AATK	chr17	79091095	79139877	-1	1.52444042374467
ABAT	chr16	8768422	8878432	1	28.4780787813077
ABCA1	chr9	107543283	107690518	-1	17.6666517050129
ABCA10	chr17	67143355	67240987	-1	0.757938574280581
ABCA12	chr2	215796266	216003151	-1	1.00553068766426
ABCA13	chr7	48211055	48687092	1	0.711106770627446
ABCA2	chr9	139901686	139923367	-1	59.901800366179
ABCA3	chr16	2325882	2390747	-1	6.76532495403172
ABCA4	chr1	94458393	94586688	-1	0.367692108458131
ABCA5	chr17	67240452	67323385	-1	14.7078058275617
ABCA6	chr17	67074843	67138029	-1	1.53424341081447
ABCA7	chr19	1040102	1065571	1	36.7716856385042
ABCA8	chr17	66863433	66951533	-1	0.373287150979277
ABCA9	chr17	66970629	67057205	-1	0.926430400556988
ABCB1	chr7	87133175	87342611	-1	58.6851348049913
ABCB10	chr1	229652329	229694442	-1	9.00705384938987
ABCB11	chrHSCHR2_1_CTG12	169796437	169904821	-1	0.081694972856929
ABCB4	chr7	87031013	87109751	-1	18.1980115124039
ABCB5	chr7	20654830	20816658	1	0.117974841725783
ABCB6	chr2	220074490	220083712	-1	3.7648926669506
ABCB7	chrX	74273115	74376567	-1	79.5152159891104
ABCB8	chr7	150725510	150744869	1	9.37352560267839
ABCB9	chr12	123405498	123466196	-1	0.877000071265431
ABCC1	chr16	16043434	16236931	1	69.4508753399136
ABCC10	chr6	43395104	43418168	1	27.3394888871558
ABCC11	chr16	48200821	48281479	-1	0.142566349920006
ABCC12	chr16	48116884	48189929	-1	0.144904028826677
ABCC2	chr10	101542489	101611949	1	6.46802994341241
ABCC3	chr17	48712138	48769613	1	14.4111608780551
ABCC4	chr13	95672083	95953687	-1	6.20578576983887
ABCC5	chr3	183637722	183735803	-1	14.5158101007438
ABCC6	chr16	16242785	16317379	-1	8.80561985096802
ABCC8	chr11	17414432	17498449	-1	0.487953710480979
ABCC9	chr12	21950335	22094336	-1	0.211319668821635
ABCD1	chrX	152990323	153010216	1	12.4107913921237
ABCD2	chr12	39943835	40013553	-1	5.54916761432554
ABCD3	chr1	94883933	94984222	1	55.585119544345
ABCD4	chr14	74752126	74769759	-1	40.7225547017169
ABCE1	chr4	146019084	146050331	1	68.5273058006078
ABCF1	chrHSCHR6_MHC_DBB	30529391	30555197	1	124.318754640699
ABCF2	chr7	150904923	150924316	-1	29.7986109313547
ABCF3	chr3	183903811	183911800	1	66.601457196549
ABCG1	chr21	43619799	43717354	1	10.4502223057126
ABCG2	chr4	89011416	89152474	-1	0.154460605601593
ABCG4	chr11	119019722	119033360	1	0
ABCG5	chr2	44039611	44066004	-1	0.107646309590341
ABCG8	chr2	44066103	44105605	1	0.349774607773649
ABHD1	chr2	27346682	27353680	1	2.77708064333678
ABHD10	chr3	111697857	111712210	1	33.8181548856343
ABHD11	chr7	73150424	73153197	-1	6.95465915328497
ABHD12	chr20	25275379	25371619	-1	56.0527913037551
ABHD12B	chr14	51338878	51371688	1	5.62582984397709
ABHD13	chr13	108870727	108886603	1	3.99962821147902
ABHD14A	chr3	52005442	52015212	1	3.72382760640146
ABHD14A-ACY1	chr3	52009066	52023199	1	1.97497912583485
ABHD14B	chr3	52002526	52017425	-1	2.50890714827507
ABHD15	chr17	27887565	27894155	-1	1.80134444547678
