Chrom	position
chr1	218674450
chr6	47168437
chr2	209474077
chr18	23629582
chr7	85695697
chr21	29300358
chr9	109108170
chr3	29335610
chr14	38171385
chr12	48797237
chr18	57694111
chr3	157122197
chr12	14385254
chr3	197712450
chr20	33909729
chr4	48376062
chr17	51121947
chr4	56728674
chr5	140295580
chr1	23019342
chr2	54610943
chr4	83357475
chr12	632572
chr10	93335107
chr8	17675265
chr7	2157835
chr2	19141026
chr4	182578624
chr6	144314269
chr1	56688874
chr3	191387591
chr13	95246494
chr7	94511979
chr18	7872712
chr8	117989622
chr4	126794490
chr3	186104183
chr4	42673228
chr10	114697245
chr10	22682679
chr1	229070356
chr11	64335255
chr6	16766374
chr17	42998279
chr22	41672296
chr22	40711717
chr6	1348805
chr7	28581637
chr1	207002899
chr17	45462010
chr8	27683686
chr7	138784903
chr14	61537716
chr17	81395388
chr7	100436670
chr2	191041899
chr12	93526999
chr12	66633894
chr1	203907159
chr8	26329990
chr11	27209806
chr6	110827039
chr6	46994064
chr5	59036491
chr20	6666225
chr5	73434086
chr1	223776350
chr2	224485483
chr15	41249912
chr10	113297467
chr4	10346194
chr10	76583916
chr11	65418952
chr5	32195389
chr12	6371305
chr12	46473838
chr11	130124280
chr10	110083979
chr17	82267599
chr7	138752622
chr22	29821532
chr13	95530456
chr7	6077400
chr5	57698998
chr19	21023225
chr3	141361135
chr17	75364286
chr1	156225571
chr19	43765384
chr11	10659924
chr5	112762356
chr3	172103917
chr2	10936268
chr22	30044657
chr7	16668244
chr5	177389585
chr11	59787152
chr3	152452553
chr12	12336268
chr5	58149614
chr1	156926417
chr16	81584113
chr2	33134520
chr3	157125256
chr6	158707319
chr12	95318450
chr7	99210464
chr2	209426606
chr7	19405065
chr3	15319866
chr7	12715862
chr8	42461084
chr2	138422078
chr11	9741488
chr15	69592123
chr3	77825518
chr1	235917541
chr14	68137964
chr12	110039310
chr17	35809298
chr4	71608580
chr11	47416321
chr8	61707411
chr12	48199828
chr3	170308137
chr12	42961553
chr3	87333535
chr1	15795269
chr8	16826212
chr1	7218395
chr5	145629291
chr5	144220117
chr1	16123041
chr3	41681622
chr11	68013462
chr10	29659172
chr12	50787065
chr9	100440335
chr17	64348259
chr7	16269114
chr11	65472243
chr12	32897995
chr19	46263134
chr3	30606421
chr14	61662811
chr7	77685480
chr1	145281228
chr6	53593400
chr2	100875970
chr10	12702443
chr2	19911997
chr4	40996076
chr1	181117741
chr1	200150894
chr1	67653084
chr11	18394410
chr9	118643340
chr4	87844098
chr4	39970950
chr8	29314871
chr14	68191856
chr2	187547559
chr15	67691146
chr15	69201050
chr2	62569451
chr12	22975100
chr19	1102644
chr6	112282529
chr16	24297593
chr8	536921
chr7	44200949
chr11	73464540
chr20	47434264
chr10	24347341
chr21	14901556
chr10	5089988
chr7	75623641
chr7	155291248
chr17	67239129
chr10	116947374
chr17	58417674
chr5	82408192
chr8	73972432
chr6	132334446
chr22	29344369
chr10	92651053
chr15	59657589
chr11	10298561
chr2	74856391
chr1	234772554
chr12	131737378
chr20	25242546
chr7	23181887
chr3	138833727
chr5	128199316
chr4	184732314
chr2	132416654
chr6	5082779
chr1	231273103
chr2	9071250
chr16	77159802
chr12	19105648
chr10	3227172
chr14	36585192
chr11	31812124
chr2	130241206
chr12	46210098
chr1	94772375
chr14	91149591
chr20	59048185
chr5	95712651
chr1	33433821
chr14	68695600
chr10	94358753
chr7	55086936
chr10	4982233
chr12	51038409
chr6	47035110
chr8	48788821
chr8	29320527
chr14	63525682
chr3	160019122
chr16	66927277
chr4	186676717
chr9	1458675
chr19	21084500
chr15	59285034
chr8	16696072
chr3	23629728
chr4	185298928
chr2	27010992
chr4	185268157
chr20	31593477
chr1	241707263
chr2	96787077
chr19	40962731
chr10	11794086
chr8	9096113
chr4	128475458
chr6	138577600
chr11	86511248
chr18	30987619
chr14	37547068
chr13	99046604
chr1	26139082
chr7	111828320
chr4	40065246
chr14	71372679
chr3	179644591
chr6	138555835
chr12	12840088
chr17	19388214
chr5	143630165
chr11	100863436
chr21	32661188
chr15	75559551
chr10	120186688
chr6	113995846
chr8	127042011
chr15	99704598
chr5	141004187
chr14	31950806
chr19	7157840
chr17	19958194
chr9	92970639
chr6	31007864
chr11	129643402
chr10	62266778
chr8	27829132
chr7	135557712
chr8	82568912
chr16	31177263
chr7	36153064
chr12	120292993
chr7	107995772
chr1	154155594
chr5	127935076
chr3	100666882
chr7	21617215
chr10	72170503
chr20	34314664
chr15	66815531
chr9	123642791
chr1	98086949
chr21	33204071
chr3	150365469
chr11	35630155
chr16	10988565
chr3	150312339
chr19	2169158
chr11	66438851
chr6	25026900
chr12	85469647
chr12	104297899
chr3	102195397
chr2	234203483
chr19	56170497
chr2	204705804
chr7	30348257
chr5	154285762
chr12	64612014
chr3	129211994
chr4	104728640
chr4	7359841
chr22	36123991
chr6	144266332
chr2	19104736
chr2	22360937
chr9	26265438
chr19	16185415
chr9	81605269
chr9	125243434
chr9	96420624
chr19	16279424
chr2	189602440
chr5	39101129
chr18	31275959
chr11	107562984
chr16	57341879
chr7	7861489
chr9	96377044
chr22	36383452
chr2	32063421
chr16	29765462
chr10	31940992
chr16	84138902
chr9	21685086
chr13	95535465
chr14	23830263
chr3	109927358
chr19	17919277
chr3	115935416
chr5	93806161
chr18	9814645
chr15	99708806
chr4	38621209
chr4	139242575
chr1	9900498
chr10	119682312
chr12	121687132
chr12	52799391
chr5	142216011
chr1	205920355
chr2	190947847
chr1	19882260
chr15	100715205
chr20	9200813
chr19	36014456
chr2	237149500
chr7	138864880
chr15	80956007
chr10	22246754
chr6	16947806
chr17	55607911
chr14	57349471
chr11	63974449
chr6	142902873
chr3	108283135
chr12	469095
chr11	112157462
chr3	32969850
chr20	50736037
chr9	110016515
chr10	29634974
chr12	27703888
chr14	61524710
chr10	74190292
chr8	125274083
chr6	28645892
chr14	23115090
chr11	73570621
chr8	25180277
chr4	74109809
chr21	33443337
chr8	97778067
chr3	142078042
chr12	62725119
chr6	47188861
chr8	61689884
chr7	121530481
chr12	124512900
chr9	114677600
chr5	53945094
chr16	23470023
chr7	6385635
chr5	1545957
chr4	126850557
chr2	100291317
chr1	16367019
chr1	51261414
chr18	23994592
chr4	106587841
chr2	149420517
chr3	183152199
chr3	81744526
chr10	122561393
chr20	53805981
chr14	63492613
chr18	23134123
chr17	17921468
chr11	75626414
chr5	32193781
chr12	86660970
chr12	98636154
chr12	101568112
chr4	82374311
chr9	14326508
chr13	76760243
chr2	64439390
chr2	189192948
chr21	33947810
chr15	55627949
chr3	101686843
chr6	142323011
chr1	117631682
chr17	4330010
chr1	178263537
chr17	21286583
chr3	69083000
chr1	47650376
chr6	111468528
chr16	15591117
chr17	4249807
chr14	73027241
chr16	30064174
chr6	11766770
chr7	34260455
chr17	15651794
chr14	73662671
chr7	31408566
chr3	5161479
chr7	16978581
chr6	36885850
chr12	95605278
chr2	113806696
chr16	30740578
chr16	30741638
chr16	68756415
chr16	68265412
chr3	112097528
chr14	105025014
chr6	3978552
chr10	47406967
chr17	65785257
chr8	130424403
chr2	209472683
chr4	156291521
chr5	74020689
chr13	44922651
chr9	28213173
chr17	16536950
chr19	46793411
chr6	44119895
chr2	43059660
chr6	11293058
chr5	88268884
chr10	48406454
chr2	209496161
chr6	63516562
chr12	12333590
chr7	32670347
chr12	48021949
chr1	63795655
chr8	29555489
chr1	228838663
chr10	103504539
chr5	88785940
chr7	108351939
chr11	102242322
chr8	128177013
chr2	227214767
chr12	16350827
chr15	64566798
chr17	35085207
chr5	79173923
chr1	193115795
chr1	8097669
chr2	234694619
chr15	39128394
chr21	42098039
chr3	44886708
chr12	75718086
chr9	73149671
chr6	157092959
chr19	40178988
chr1	64550679
chr12	95763929
chr8	133207110
chr6	38259894
chr10	112742194
chr4	152970781
chr1	111593024
chr11	23988721
chr7	100586446
chr5	67207098
chr6	136610418
chr22	21556184
chr18	8891148
chr1	198930057
chr1	169312383
chr3	177443699
chr20	53899833
chr2	28711885
chr2	53617460
chr3	186753116
chr3	48188510
chr14	35292251
chr19	1189641
chr7	112449486
chr2	111321178
chr6	152054601
chr5	61408774
chr11	59776634
chr9	72557696
chr7	66880153
chr8	100433779
chr14	31885002
chr3	113098272
chr5	16856750
chr11	134267056
chr2	190864166
chr15	42046715
chr3	8963443
chr3	185365507
chr11	19919388
chr16	57277784
chr7	123769635
chr9	12818651
chr13	89554947
chr9	12784654
chr3	186883002
chr12	110111692
chr9	128635489
chr19	10283336
chr9	131635536
chr17	12024501
chr2	237298939
chr2	225337442
chr22	40683208
chr12	16581628
chr8	52467225
chr3	29065672
chr4	56680493
chr2	207331074
chr1	15833235
chr11	115333306
chr12	56527087
chr6	18186203
chr15	79994832
chr9	33415675
chr8	100463504
chr2	172693318
chr10	29784531
chr11	116034105
chr10	33292140
chr7	121545002
chr13	43268857
chr4	72951792
chr4	15936835
chr1	246827647
chr8	37860113
chr1	51321476
chr3	192907209
chr9	11417977
chr3	99721110
chr17	67441323
chr10	33248783
chr3	142850520
chr22	40960318
chr8	141154286
chr7	27974515
chr6	138562957
chr11	57800704
chr9	114349211
chr1	39130569
chr10	92238862
chr13	27043167
chr19	38619100
chr2	223696916
chr4	73708091
chr21	34878704
chr3	160131143
chr2	113284044
chr11	94880372
chr2	37631464
chr11	94876850
chr12	86712560
chr8	22455286
chr1	54764745
chr5	32313213
chr18	23099802
chr1	164772879
chr13	80040823
chr22	36776206
chr1	42530119
chr21	35303271
chr12	78887218
chr3	13106716
chr10	104348660
chr12	122400612
chr1	160160107
chr2	30487721
chr6	106870276
chr10	70378260
chr3	67646917
chr16	68745012
chr8	117619509
chr1	180586880
chr5	132090335
chr3	194740973
chr11	121254200
chr15	59350319
chr15	59322542
chr19	41397792
chr4	156942133
chr11	65915872
chr8	30804604
chr10	89421249
chr7	129657508
chr9	107983466
chr2	74918050
chr10	34528435
chr3	12664361
chr3	105651598
chr17	4215546
chr7	76583454
chr8	56322938
chr12	51371649
chr3	150345214
chr6	72787706
chr2	211457547
chr16	19383132
chr2	86199420
chr12	65880072
chr5	36763661
chr5	136004633
chr12	15801859
chr16	21300635
chr9	98547802
chr10	12271029
chr11	12080295
chr6	113643257
chr9	98488768
chr19	41415508
chr2	189232119
chr8	123178970
chr16	15888739
chr5	76814377
chr6	43872109
chr7	74635810
chr3	29695009
chr8	139968670
chr8	19262741
chr8	9006799
chr1	229221636
chr10	128192017
chr5	139799579
chr7	69800744
chr3	111904874
chr2	119256038
chr13	98484961
chr1	24190403
chr20	50715927
chr5	74327126
chr15	40380012
chr17	21257156
chr11	14030161
chr1	19888349
chr11	14337293
chr11	93197516
chr6	2994088
chr11	67380971
chr10	97647862
chr7	105439568
chr7	6448559
chr6	28124554
chr6	74598820
chr5	69000684
chr12	50580142
chr15	60407612
chr15	44157969
chr3	112676971
chr4	128601505
chr6	43799028
chr5	37668711
chr4	6920373
chr3	30476928
chr1	55429242
chr7	74994151
chr3	157514695
chr20	14093852
chr6	148306869
chr15	71791327
chr1	8904201
chr3	188773079
chr6	47030045
chr3	197160039
chr9	21788981
chr12	79983664
chr5	90548295
chr2	38375162
chr13	29924260
chr14	77004488
chr9	124256709
chr19	44356785
chr2	96353222
chr4	101200804
chr8	101361899
chr1	58764535
chr6	157969283
chr14	20343385
chr1	45329630
chr17	5889109
chr6	153977122
chr9	124659474
chr11	1154137
chr20	57772741
chr17	40956978
chr2	162245207
chr4	83035073
chr10	50169736
chr11	44965065
chr9	120730855
chr1	12454934
chr1	58629208
chr2	233487291
chr18	11947410
chr4	173252463
chr14	54134087
chr12	95633402
chr6	56101213
chr3	59664419
chr6	33345398
chr4	119370620
chr6	142147175
chr9	83352605
chr12	94262541
chr3	109921741
chr3	45818247
chr4	48909864
chr7	116730796
chr18	10020310
chr19	19385545
chr17	59754760
chr19	38374482
chr10	104105078
chr1	169741889
chr12	89375889
chr10	102136981
chr12	131865449
chr10	10831286
chr4	110534096
chr10	2112182
chr1	29570132
chr10	114320885
chr2	195612975
chr9	123710467
chr6	33364646
chr1	203134074
chr19	19377934
chr10	101778076
chr16	28846482
chr4	186685938
chr2	201533040
chr15	90401052
chr15	76398554
chr12	21437591
chr5	163379823
chr13	42271810
chr11	105108394
chr3	111582284
chr13	73137028
chr9	73137686
chr10	110629935
chr3	172140771
chr6	12483968
chr1	15160621
chr14	70782627
chr4	65658370
chr7	99563063
chr8	11995360
chr14	50001969
chr17	17011190
chr8	102807587
chr7	33987501
chr7	115750096
chr19	11142729
chr8	9303402
chr17	66467206
chr4	169254109
chr3	63494801
chr15	64597221
chr9	13942910
chr1	224306167
chr6	131968184
chr18	9643804
chr13	97600648
chr11	107717323
chr17	75908348
chr1	224204955
chr22	28712608
chr8	139960005
chr13	75714055
chr3	50671467
chr8	13122271
chr9	125538253
chr14	106201574
chr7	143384450
chr11	29282353
chr6	85495079
chr7	75528204
chr12	93116810
chr16	73020601
chr19	14507888
chr8	42543335
chr8	103308753
chr1	224317540
chr17	68235111
chr6	1987839
chr2	27978094
chr12	53825477
chr17	7750685
chr10	97640349
chr3	149367297
chr2	100903106
chr2	201404130
chr20	44302471
chr15	22888302
chr9	98538837
chr1	77998175
chr12	108854648
chr11	5621400
chr15	65186713
chr2	45892501
chr10	77889506
chr1	24192067
chr8	8260760
chr1	32806504
chr13	108919646
chr9	83825211
chr12	108838417
chr8	16087465
chr4	94488805
chr9	107243976
chr2	188476204
chr14	52961258
chr12	12883576
